OBJECTID,CYCLE,ASSESSMENT_UNIT_ID,ASSESSMENT_UNIT_NAME,LOCATION_DESCRIPTION,WATER_TYPE_NAME,WATER_SIZE,UNITS,CLASS_ID,USE_CLASS_NAME,LIS_BASIN,LIS_ZONE,ISLAND,BEACH,CT2020_AQL_Use_USE_NAME,CT2020_REC_Use_USE_NAME,CT2020_FSHCON_Use_USE_NAME,CT2020_SHLFSH_Use_USE_NAME,Impaired,CT2020_AQL_Use_ATTAINMENT,CT2020_REC_Use_ATTAINMENT,CT2020_FSHCON_Use_ATTAINMENT,CT2020_SHLFSH_Use_ATTAINMENT,Shape__Area,Shape__Length
55,2020,CT-E1_016-SB,"LIS EB Inner - Thames River (Upper), Norwich","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Thames River from just below outlet of Poquetanuck Cove (near Walden Island), adjacent to Route 12 at Cardinal Lane intersection, US to first dams in Yantic and Shetucket Rivers, Norwich.",ESTUARY,1.555,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Eastern,Inner Estuary,True,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Commercial Shellfish Harvesting Where Authorized,Yes,Not Supporting,Not Supporting,Insufficient Information,Not Supporting,43355803.5630493,152946.582019049
56,2020,CT-E1_027-SB,"LIS EB Inner - Duck River, Old Lyme","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Duck River from RR crossing near Route 156 crossing, US to saltwater limit at Elm Street, Old Lyme.",ESTUARY,0.007,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Eastern,Inner Estuary,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Commercial Shellfish Harvesting Where Authorized,Yes,Not Assessed,Not Supporting,Insufficient Information,Not Supporting,183157.772277832,7220.30823167854
57,2020,CT-E1_024-SB,"LIS EB Inner - Connecticut River (mouth), Old Lyme","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Connecticut River from outlet at Griswold Point, US to I 95 crossing (Includes North and South Coves, lower Lieutenant River and waters around Great Island upto RR crossings), Old Lyme.",ESTUARY,3.284,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Eastern,Inner Estuary,True,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Commercial Shellfish Harvesting Where Authorized,Yes,Not Assessed,Not Assessed,Not Supporting,Not Supporting,91545858.8737183,187381.763210123
60,2020,CT-W1_008,"LIS WB Inner - Sherwood Millpond, Westport","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from mouth at Compo Cove, US to saltwater limit south of RR and I95 (includes Mill Creek, Grove Point, and all of Greens Farm Brook surrounding Sherwood Island State Park), Westport.",ESTUARY,0.168,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Inner Estuary,True,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Not Assessed,Insufficient Information,Not Supporting,4679287.04647827,50701.3364762648
61,2020,CT-C1_011,"LIS CB Inner - Farm River, East Haven","See Map for Boundaries.  Central portion of LIS, Inner Estuary, SA water from SA/SB water quality line at Route 142 (Short Beach Road), US to saltwater limit above RR crossing and near Route 1, East Haven/Branford.",ESTUARY,0.066,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Inner Estuary,True,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Supporting,Not Assessed,Insufficient Information,Not Assessed,1844745.6661377,45781.0219088525
62,2020,CT-C1_007,"LIS CB Inner - West River, Guilford","See Map for Boundaries.  Central portion of LIS, Inner Estuary, from mouth of West River at outlet into Guilford Harbor, US to saltwater limit at Route 1 crossing, Guilford.",ESTUARY,0.047,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Inner Estuary,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Not Assessed,Insufficient Information,Not Supporting,1317364.32855225,26350.7315293489
64,2020,CT-E1_029-SB,"LIS EB Inner - Connecticut River (Lower), Essex","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Connecticut River from I95 crossing, US to area just above Brockway Island, Essex.",ESTUARY,3.182,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Eastern,Inner Estuary,True,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Commercial Shellfish Harvesting Where Authorized,Yes,Fully Supporting,Not Assessed,Not Supporting,Not Assessed,88707618.3771973,247663.829781432
66,2020,CT-E2_005,"LIS EB Shore - Mouth Mystic River, Stonington","See Map for Boundaries.  Eastern portion of LIS from western most tip of Mason Island along SB/SA water quality boundary to eastern most tip of Mason Island, out approximately 1000 ft offshore.",ESTUARY,0.35,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Shore,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Not Assessed,Insufficient Information,Not Supporting,9744571.94622803,29178.2386357076
67,2020,CT-E2_013,"LIS EB Shore - Niantic Bay (East), Waterford","See Map for Boundaries.  Eastern portion of LIS from Smith Avenue at junction with Route 156 to Millstone Point, out approximately 1000 ft offshore.  Waters adjacent to Millstone Power Plant.",ESTUARY,0.444,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Shore,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Supporting,Not Assessed,Insufficient Information,Not Supporting,12386349.3605957,27604.1661395995
68,2020,CT-E3_011,"LIS EB Midshore - Old Saybrook, Indian Harbor","See Map for Boundaries.  Eastern portion of LIS from approximately 1000 ft offshore Old Kelsey Point, to Guardhouse Point, Old Saybrook, (outer Indiantown Harbor and Plum Bank), out to 50 ft contour.",ESTUARY,5.639,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Midshore,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Fully Supporting,Not Assessed,Insufficient Information,Not Supporting,157218608.932068,57646.7166726261
69,2020,CT-C3_001,"LIS CB Midshore - Westbrook Harbor, Westbrook","See Map for Boundaries.  Central portion of LIS from approximately 1000 ft offshore (Westbrook Harbor), out to 50 ft contour and basin boundary separating Eastern/Central.",ESTUARY,2.692,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Midshore,True,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Fully Supporting,Not Assessed,Insufficient Information,Not Supporting,75045739.0455933,40337.5174447492
70,2020,CT-E3_012,LIS EB Midshore - Westbrook,"See Map for Boundaries.  Eastern portion of LIS from approximately 1000 ft offshore Old Kelsey Point (outer Westbrook Harbor), out to 50 ft contour. Odd shape due to 50 ft contour.",ESTUARY,7.407,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Midshore,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Fully Supporting,Not Assessed,Insufficient Information,Not Supporting,206495230.394104,88773.6682578699
71,2020,CT-C2_011,"LIS CB Shore - Stony Creek (East), Branford","See Map for Boundaries.  Central portion of LIS from Flying Point to Clark Point area (includes Hoadley Neck, Narrows Island), out approximately 1000 ft offshore, Branford/Guilford.",ESTUARY,0.546,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Shore,True,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Not Assessed,Insufficient Information,Not Supporting,15221554.6688843,52267.5214991965
72,2020,CT-C3_009-I,"LIS CB Midshore - Thimble Islands, Branford","See Map for Boundaries.  Central portion of LIS from approximately 1000 ft offshore (Thimble Islands), out to 50 ft contour, Branford.",ESTUARY,1.457,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Midshore,True,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Fully Supporting,Not Assessed,Insufficient Information,Not Supporting,40614880.4900513,75470.3197500749
73,2020,CT-C2_012,"LIS CB Shore - Stony Creek (West), Branford","See Map for Boundaries.  Central portion of LIS from Brown Point to Flying Point area (includes Stony Creek Beach, Saint Helena Island, Juniper Point, Pleasant Point), out approximately 1000 ft offshore, Branford.",ESTUARY,0.379,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Shore,True,True,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Fully Supporting,Insufficient Information,Not Supporting,10555102.7744751,39606.805607261
74,2020,CT-W1_020,"LIS WB Inner - Indian Harbor (upper), Greenwich","See Map for Boundaries.  Western portion of LIS, Inner Estuary, upper Indian Harbor (lower portion of Greenwich Creek) from Davis Avenue crossing, US to saltwater limit at West Brother Drive crossing (includes I95 crossing), Greenwich.",ESTUARY,0.025,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Inner Estuary,True,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Supporting,Not Assessed,Insufficient Information,Not Assessed,685988.439025879,9582.32452348792
75,2020,CT-W2_023,"LIS WB Shore - Smith Cove, Indian Hrbr, Greenwich","See Map for Boundaries.  Western portion of LIS from Field Point to Tweed Island (includes Round Island, Tweed Island, Smith Cove, Indian Harbor) out approximately 1000 ft offshore, Greenwich.",ESTUARY,0.374,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Shore,True,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Supporting,Not Assessed,Insufficient Information,Not Supporting,10435117.56604,36286.0095426858
76,2020,CT-C2_024-SB,"LIS CB Shore - Housatonic River mouth, Stratford","See Map for Boundaries.  Central portion of LIS from SA/SB WQ line at Stratford Point to SA/SB WQ line at Milford Point area (includes Short Beach, entire mouth of Housatonic River) all SB waters out approximately 1000-4000 ft offshore, Stratford.",ESTUARY,0.64,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Central,Shore,False,True,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Commercial Shellfish Harvesting Where Authorized,Yes,Not Supporting,Fully Supporting,Insufficient Information,Not Supporting,17852314.4109497,28860.212929491
79,2020,CT-C3_003,"LIS CB Midshore - Outer Clinton Harbor, Clinton","See Map for Boundaries.  Central portion of LIS from approximately 1000 ft offshore (Clinton Harbor), out to 50 ft contour, Clinton.",ESTUARY,2.524,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Midshore,True,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Fully Supporting,Not Assessed,Insufficient Information,Not Supporting,70372699.9239502,38711.6403275611
80,2020,CT-C1_002-SB,"LIS CB Inner - Inner Clinton Harbor, Clinton","See Map for Boundaries.  Central portion of LIS, Inner Estuary, SB water of inner Clinton Harbor, including mouths of Hammonasset, Indian, Hammock Rivers, and Dudley Creek (includes Esposito Beach), Clinton.",ESTUARY,0.372,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Central,Inner Estuary,False,True,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Commercial Shellfish Harvesting Where Authorized,Yes,Not Supporting,Not Assessed,Insufficient Information,Fully Supporting,10377399.7058105,21148.1794158666
81,2020,CT-C1_003-SB,"LIS CB Inner - Hammonasset River, Clinton","See Map for Boundaries.  Central portion of LIS, Inner Estuary, Hammonasset River SB water from mouth at inner Clinton Harbor, US to SA/SB water quality line between Currycross Road and RR track, Clinton.",ESTUARY,0.072,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Central,Inner Estuary,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Commercial Shellfish Harvesting Where Authorized,Yes,Not Assessed,Not Assessed,Insufficient Information,Not Supporting,2004912.58087158,26163.4200852147
82,2020,CT-C1_005,"LIS CB Inner - Clinton Harbor (SA Inputs), Clinton","See Map for Boundaries.  Central portion of LIS, Inner Estuary, (DISCONTINUOUS SEGMENT) SA water of upper Hammonasset, Indian, Hammock Rivers, Dudley Creek and other small tributaries, from SA/SB water quality line, US to saltwater limits, Clinton.",ESTUARY,0.138,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Inner Estuary,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Not Assessed,Insufficient Information,Not Supporting,3842627.11480713,98107.7573017659
83,2020,CT-W2_003,"LIS WB Shore - Seaside Park Beach, Bridgeport","See Map for Boundaries.  Western portion of LIS from tip of Fayerweather Island to SA/SB WQ line at Bridgeport Harbor area (includes Seaside Park Beach, SB water is Bridgeport Harbor) out approximately 1000 ft offshore, Bridgeport.",ESTUARY,0.492,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Shore,False,True,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Fully Supporting,Insufficient Information,Not Supporting,13719018.5932007,30076.785638492
84,2020,CT-W2_017,"LIS WB Shore - Darien Cove, Darien","See Map for Boundaries.  Western portion of LIS from Greenway Island area of outer Cove Harbor to Long Neck Point (includes Pear Tree Point Beach, Nash Island, Darien River mouth) out approximately 1000 ft offshore, Darien.",ESTUARY,0.498,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Shore,True,True,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Insufficient Information,Fully Supporting,Insufficient Information,Not Supporting,13893733.614563,46949.5096111007
85,2020,CT-C1_015-SB,"LIS CB Inner - West River (Lower), West Haven","See Map for Boundaries.  Central portion of LIS, Inner Estuary, from mouth just DS of I95 crossing (City Point, New Haven Harbor), US to SA/SB water quality line at Route 1 crossing, West Haven.",ESTUARY,0.065,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Central,Inner Estuary,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Commercial Shellfish Harvesting Where Authorized,Yes,Not Supporting,Not Supporting,Insufficient Information,Not Assessed,1817773.28057861,27773.3102192349
86,2020,CT-C1_021-SB,"LIS CB Inner - Housatonic River (Upper), Orange","See Map for Boundaries.  Central portion of LIS, Inner Estuary, from Route 15 crossing, US to just below Wooster Island (includes Great Flats, and mouth of Farmill River) Orange/Shelton.",ESTUARY,0.402,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Central,Inner Estuary,True,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Commercial Shellfish Harvesting Where Authorized,Yes,Not Supporting,Not Assessed,Insufficient Information,Not Assessed,11206148.5197754,43096.3295570767
87,2020,CT-E1_011-SB,"LIS EB Inner - Mumford Cove (Inner), Groton","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Inner Mumford Cove along east side of Bluff Point State Park shore, and North of Groton Long Point to saltwater limit near RR crossing, Groton.",ESTUARY,0.219,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Eastern,Inner Estuary,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Commercial Shellfish Harvesting Where Authorized,Yes,Not Assessed,Not Assessed,Insufficient Information,Not Supporting,6105252.72546387,17747.2107938251
88,2020,CT-E1_021,"LIS EB Inner - Pattagansett Rvr (mouth), East Lyme","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Pattagansett River from outlet at RR crossing, US to saltwater limit at Route 156 crossing, East Lyme.",ESTUARY,0.048,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Inner Estuary,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Not Assessed,Insufficient Information,Not Supporting,1345579.89190674,16943.0398792269
90,2020,CT-E2_022,"LIS EB Shore - Indiantown Harbor, Old Saybrook","See Map for Boundaries.  Eastern portion of LIS from Long Rock to Plum Bank Creek (includes the mouth of Oytser River and Back River, and Plum Bank Creek), out approximately 1000 ft offshore.",ESTUARY,0.389,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Shore,False,True,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Fully Supporting,Insufficient Information,Not Supporting,10856712.6245117,28446.8328214907
91,2020,CT-C1_004-SB,"LIS CB Inner - Hayden Creek, Clinton","See Map for Boundaries.  Central portion of LIS, Inner Estuary, Hayden Creek SB water from mouth at Hammonasset River (parallel with Pratt Road), US to saltwater limit near Maple Avenue (off Route 1), Clinton.",ESTUARY,0.009,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Central,Inner Estuary,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Commercial Shellfish Harvesting Where Authorized,Yes,Insufficient Information,Not Assessed,Insufficient Information,Not Supporting,248499.949584961,12064.515931827
92,2020,CT-C1_013-SB,"LIS CB Inner - New Haven Harbor, New Haven","See Map for Boundaries.  Central portion of LIS, Inner Estuary, Inner New Haven Harbor from Sandy Point to I95 crossing (mouth of Quinnipiac and Mill Rivers, and mouth of West River), New Haven/West Haven.",ESTUARY,2.343,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Central,Inner Estuary,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Commercial Shellfish Harvesting Where Authorized,Yes,Not Supporting,Not Supporting,Insufficient Information,Not Supporting,65321194.3063965,58309.3018226329
93,2020,CT-E2_009-SB,"LIS EB Shore - Thames River Mouth (East), Groton","See Map for Boundaries.  Eastern portion of LIS from Eastern Point in mouth of Thames River to SB/SA water quality boundary at Bushy Point Beach, out approximately 1000 ft offshore.",ESTUARY,0.4,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Eastern,Shore,False,True,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Commercial Shellfish Harvesting Where Authorized,Yes,Not Supporting,Fully Supporting,Insufficient Information,Not Supporting,11140365.3200073,25880.6998058798
94,2020,CT-C2_018-SB,"LIS CB Shore - New Haven Harbor (West), West Haven","See Map for Boundaries.  Central portion of LIS from Oyster River Point to Sandy Point area (includes West Haven West Beach, West Haven East Beach, West Shore, Sandy Point), out approximately 1000 ft offshore, West Haven.",ESTUARY,0.789,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Central,Shore,False,True,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Commercial Shellfish Harvesting Where Authorized,Yes,Not Supporting,Fully Supporting,Insufficient Information,Not Supporting,21992464.7771606,49849.2761494906
96,2020,CT-E2_003,"LIS EB Shore - Outer Quiambaug Cove, Stonington","See Map for Boundaries.  Eastern portion of LIS from Mouth of inner Quiambaug Cove at RR crossing to SB/SA water quality boundary at mouth of Stonington Harbor, out approximately 1000 ft offshore.",ESTUARY,0.388,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Shore,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Not Assessed,Insufficient Information,Not Supporting,10821502.4887695,26208.4311734603
97,2020,CT-C1_012,"LIS CB Inner - Morris Creek, East Haven","See Map for Boundaries.  Central portion of LIS, Inner Estuary, SA water from SA/SB water quality line at New Haven Harbor (near Lighthouse Point Beach) to, US to saltwater limit above Route 337, East Haven/New Haven.",ESTUARY,0.016,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Inner Estuary,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Supporting,Not Assessed,Insufficient Information,Not Assessed,432531.485473633,11231.3581999898
98,2020,CT-C2_017-SB,"LIS CB Shore - Morris Cove, New Haven","See Map for Boundaries.  Central portion of LIS from Black Rock to Morgan Point area (includes Lighthouse Point Beach, Lighthouse Point, South End), out approximately 1000 ft offshore, New Haven.",ESTUARY,0.586,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Central,Shore,False,True,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Commercial Shellfish Harvesting Where Authorized,Yes,Not Supporting,Fully Supporting,Insufficient Information,Fully Supporting,16325094.7133789,36372.4218838541
99,2020,CT-E2_020,"LIS EB Shore - Willard Bay, Old Saybrook","See Map for Boundaries.  Eastern portion of LIS from Cornfield Point to SB/SA water quality boundary at Lynde Point, out approximately 1000 ft offshore. (SB water)",ESTUARY,0.5,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Shore,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Not Assessed,Insufficient Information,Not Supporting,13928373.6854858,29879.568592061
100,2020,CT-E2_018,"LIS EB Shore - Soundview Beach, Old Lyme","See Map for Boundaries.  Eastern portion of LIS from SB/SA water quality boundary at Hawks Nest Beach area to Hatchett Point (Includes Soundview Beach), out approximately 1000 ft offshore.",ESTUARY,0.332,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Shore,False,True,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Fully Supporting,Insufficient Information,Not Supporting,9246758.45709229,20951.4117918318
101,2020,CT-C2_004,"LIS CB Shore - Outer Clinton Harbor, Clinton","See Map for Boundaries.  Central portion of LIS from West Rock to Kelsey Point area (outer Clinton Harbor SA water includes Hammonasset, Indian, and Hammock River outlets, and Town Beach), out approximately 1000 ft offshore, Clinton.",ESTUARY,0.505,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Shore,False,True,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Fully Supporting,Insufficient Information,Not Supporting,14086479.9918823,30531.041508012
102,2020,CT-E2_002,"LIS EB Shore - Stonington Point, Stonington","See Map for Boundaries.  Eastern portion of LIS from Stonington Point to RR crossing on west side of Wequetequock Cove, out approximately 1000 ft offshore.",ESTUARY,0.668,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Shore,True,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Supporting,Not Supporting,Insufficient Information,Not Supporting,18627636.1367798,43631.7253247157
103,2020,CT-C3_013-SB,"LIS CB Midshore - New Haven Harbor, East Haven","See Map for Boundaries.  Central portion of LIS from approximately 1000 ft offshore (South End, Morgan Point), out to extent of SB water at SA/SB water quality line for outer New Haven Harbor, East Haven.",ESTUARY,6.051,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Central,Midshore,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Commercial Shellfish Harvesting Where Authorized,Yes,Not Supporting,Not Assessed,Insufficient Information,Fully Supporting,168704132.153625,54179.7350316777
104,2020,CT-C3_014-SB,"LIS CB Midshore - New Haven Harbor, West Haven","See Map for Boundaries.  Central portion of LIS from approximately 1000 ft offshore (Morningside to West Shore), out to extent of SB water at SA/SB water quality line for outer New Haven Harbor, Milford/West Haven.",ESTUARY,7.961,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Central,Midshore,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Commercial Shellfish Harvesting Where Authorized,Yes,Not Supporting,Not Assessed,Insufficient Information,Fully Supporting,221950797.418152,69000.5834547377
105,2020,CT-E3_004,"LIS EB Midshore - Groton, Thames River","See Map for Boundaries.  Eastern portion of LIS from SB/SA water quality boundary out to 50 ft contour offshore of Goshen Point, Waterford, to approximately 1000 ft offshore, Groton Long Point, out to CT/NY State line.",ESTUARY,6.738,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Midshore,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Not Assessed,Insufficient Information,Not Supporting,187854525.837708,81868.1818406597
107,2020,CT-E1_003,"LIS EB Inner - Inner Wequetequock Cove, Stonington","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Inner Wequetequock Cove from RR crossing US to Saltwater limit, in two lopes adjacent to Route 1, Stonington.",ESTUARY,0.094,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Inner Estuary,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Supporting,Not Supporting,Insufficient Information,Not Supporting,2631438.84716797,19178.115042433
108,2020,CT-E1_007-SB,"LIS EB Inner - Mystic River (Mouth), Stonington","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Mouth of Mystic River Estuary from RR crossing, US to Saltwater limit, above Route 95 crossing, adjacent to Mill Street, Stonington (Old Mystic).",ESTUARY,0.453,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Eastern,Inner Estuary,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Commercial Shellfish Harvesting Where Authorized,Yes,Fully Supporting,Fully Supporting,Insufficient Information,Not Supporting,12632234.0164795,46973.1376835794
110,2020,CT-C2_013,"LIS CB Shore - Indian Neck, Branford","See Map for Boundaries.  Central portion of LIS from Clam Island to Brown Point area (includes Haycock Point), out approximately 1000 ft offshore, Branford.",ESTUARY,0.567,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Shore,True,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Not Assessed,Insufficient Information,Not Supporting,15818044.8639526,36936.9040296934
