boro,order_no,main_st,from_st,to_st,sos
B,S-01257194,EAST  132 STREET,CYPRESS AVENUE,CYPRESS AVENUE,N
B,S-01257213,EAST  135 STREET*N RDWY,LINCOLN AVENUE,THIRD AVENUE,N
B,S-01257217,EAST  135 STREET,BRUCKNER BOULEVARD,WILLOW AVENUE,S
B,S-01257218,EAST  135 STREET,WILLOW AVENUE,WALNUT AVENUE,S
B,S-01257221,EAST  135 STREET,ALEXANDER AVENUE,LINCOLN AVENUE,N
B,S-01257222,EAST  135 STREET,BROWN PLACE,WILLIS AVENUE,N
B,S-01257230,EAST  135 STREET,BROOK AVENUE,BROWN PLACE,N
B,S-01257235,EAST  135 STREET,ST ANNS AVENUE,BROOK AVENUE,N
B,S-01257255,EAST  135 STREET,WILLOW AVENUE,BRUCKNER BOULEVARD,N
B,S-01257260,EAST  135 STREET,LOCUST AVENUE,WALNUT AVENUE,N
B,S-01257265,EAST  172 STREET,WEST FARMS ROAD,BOONE AVENUE,N
B,S-01257267,EAST  137 STREET,BRUCKNER BOULEVARD,CYPRESS AVENUE,N
B,S-01257269,EAST  172 STREET,BOONE AVENUE,WEST FARMS ROAD,S
B,S-01257270,EAST  137 STREET,BRUCKNER BOULEVARD,CYPRESS AVENUE,S
B,S-01257271,EAST  137 STREET,BROOK AVENUE,BROWN PLACE,S
B,S-01257282,EAST  137 STREET,CYPRESS AVENUE,ST ANNS AVENUE,N
B,S-01257285,EAST  137 STREET,BRUCKNER BOULEVARD,WILLOW AVENUE,S
B,S-01257286,EAST  137 STREET,THIRD AVENUE,RIDER AVENUE,N
B,S-01257287,EAST  137 STREET,THIRD AVENUE,RIDER AVENUE,S
B,S-01257289,EAST  137 STREET,ST ANNS AVENUE,BROOK AVENUE,N
B,S-01257291,EAST  138 STREET,LOCUST AVENUE,WALNUT AVENUE,N
B,S-01257292,EAST  138 STREET,JACKSON AVENUE,BRUCKNER BOULEVARD,S
B,S-01257293,EAST  137 STREET,BROOK AVENUE,BROWN PLACE,N
B,S-01257294,EAST  136 STREET,WALNUT AVENUE,WILLOW AVENUE,N
B,S-01257295,EAST  135 STREET*N RDWY,THIRD AVENUE,CANAL PLACE,S
B,S-01257296,EAST  136 STREET,WILLOW AVENUE,BRUCKNER BOULEVARD,N
B,S-01257297,EAST  136 STREET,BRUCKNER BOULEVARD,WILLOW AVENUE,S
B,S-01257298,EAST  136 STREET,BRUCKNER BOULEVARD,CYPRESS AVENUE,N
B,S-01257300,EAST  136 STREET,CYPRESS AVENUE,BRUCKNER BOULEVARD,S
B,S-01257302,EAST  135 STREET,BROOK AVENUE,WILLIS AVENUE,S
B,S-01257303,EAST  135 STREET,BROOK AVENUE,ST ANNS AVENUE,S
B,S-01257304,EAST  135 STREET*S RDWY,CANAL PLACE,THIRD AVENUE,S
B,S-01257306,EAST  135 STREET*N RDWY,LINCOLN AVENUE,THIRD AVENUE,S
B,S-01257307,EAST  135 STREET,ALEXANDER AVENUE,LINCOLN AVENUE,S
B,S-01257308,EAST  135 STREET,MAJOR DEEGAN EXPRESS,ALEXANDER AVENUE,S
B,S-01257309,EAST  135 STREET,WALNUT AVENUE,LOCUST AVENUE,S
B,S-01257316,EAST  135 STREET*S RDWY,THIRD AVENUE,LINCOLN AVENUE,S
B,S-01257319,EAST  139 STREET,BROOK AVENUE,WILLIS AVENUE,N
B,S-01257320,EAST  139 STREET,ST ANNS AVENUE,BROOK AVENUE,S
B,S-01257325,EAST  139 STREET,JACKSON AVENUE,CYPRESS AVENUE,S
B,S-01257326,EAST  139 STREET,JACKSON AVENUE,CYPRESS AVENUE,N
B,S-01257328,EAST  139 STREET,BRUCKNER BOULEVARD,JACKSON AVENUE,N
B,S-01257350,EAST  139 STREET,ALEXANDER AVENUE,   3 AVENUE,N
B,S-01257355,EAST  139 STREET,MORRIS AVENUE,RIDER AVENUE,N
B,S-01257357,EAST  138 STREET,JACKSON AVENUE,BRUCKNER BOULEVARD,N
B,S-01257371,BERGEN AVENUE,EAST  147 STREET,EAST  148 STREET,E
B,S-01257372,EAST  152 STREET,WALES AVENUE,TINTON AVENUE,S
B,S-01257373,EAST  152 STREET,CONCORD AVENUE,WALES AVENUE,S
B,S-01257374,EAST  152 STREET,JACKSON AVENUE,CONCORD AVENUE,S
B,S-01257377,EAST  152 STREET,WESTCHESTER AVENUE,TINTON AVENUE,N
B,S-01257384,EAST  156 STREET,COURTLANDT AVENUE,MELROSE AVENUE,S
B,S-01257386,EAST  156 STREET,ELTON AVENUE,THIRD AVENUE,S
B,S-01257388,EAST  156 STREET,ELTON AVENUE,THIRD AVENUE,N
B,S-01257396,EAST  156 STREET,BROOK AVENUE,SAINT ANNS AVENUE,S
B,S-01257398,EAST  156 STREET,SAINT ANNS AVENUE,BROOK AVENUE,N
B,S-01257419,BELMONT AVENUE,EAST  181 STREET,EAST  182 STREET,W
B,S-01257430,BELMONT AVENUE,EAST  181 STREET,EAST  182 STREET,E
B,S-01257458,EAST  175 STREET,MARMION AVENUE,PROSPECT AVENUE,S
B,S-01257516,TAYLOR AVENUE,GUERLAIN STREET,EAST TREMONT AVENUE,W
B,S-01257541,EAST  138 STREET,CANAL PLACE,PARK AVENUE,N
B,S-01257564,EAST  138 STREET,CANAL STREET WEST,CANAL PLACE,S
B,S-01257766,ARNOW AVENUE,EASTCHESTER ROAD,WOODHULL AVENUE,S
B,S-01257961,BOONE AVENUE,EAST  173 STREET,EAST  172 STREET,E
B,S-01257962,BOONE AVENUE,EAST  173 STREET,EAST  172 STREET,W
B,S-01258003,FT INDEPENDENCE STREET,BAILEY PLACE,HEATH AVENUE,W
B,S-01258028,WASHINGTON AVENUE,EAST  181 STREET,EAST  180 STREET,W
B,S-01258091,DORIS STREET,WESTCHESTER AVENUE,LYON AVENUE,E
B,S-01258093,DORIS STREET,WESTCHESTER AVENUE,LYON AVENUE,W
B,S-01258116,EAST  161 STREET,COURTLANDT AVENUE,MELROSE AVENUE,S
B,S-01258163,MELVILLE STREET,VAN NEST AVENUE,DEAD END,W
B,S-01258165,ELTON AVENUE,WASHINGTON AVENUE,EAST  163 STREET,W
B,S-01258178,WARING AVENUE,BOSTON ROAD,WHITE PLAINS ROAD,N
B,S-01258298,EAST  136 STREET,RIDER AVENUE,   3 AVENUE,S
B,S-01258299,EAST  136 STREET,BROWN PLACE,BROOK AVENUE,N
B,S-01258303,EAST  136 STREET,WILLIS AVENUE,BROWN PLACE,S
B,S-01258371,WESTCHESTER AVENUE,KELLY STREET,INTERVALE AVENUE,N
B,S-01258411,BARRETTO STREET,SIMPSON STREET,SOUTHERN BOULEVARD,E
B,S-01258482,BRONX RIV AVENUE,ROSEDALE AVENUE,EAST TREMONT AVENUE,S
B,S-01258629,EAST  136 STREET,   3 AVENUE,LINCOLN AVENUE,S
B,S-01258638,EAST  136 STREET,   3 AVENUE,LINCOLN AVENUE,N
B,S-01258648,ROSEDALE AVENUE,MANSION STREET,EAST TREMONT AVENUE,E
B,S-01258712,ROSEDALE AVENUE,BRONX RIV AVENUE,EAST TREMONT AVENUE,E
B,S-01258727,EAST TREMONT AVENUE,ROSEDALE AVENUE,BRONX RIV AVENUE,S
B,S-01258805,GARDEN STREET,PROSPECT AVENUE,SOUTHERN BOULEVARD,N
B,S-01258852,PENNYFIELD AVENUE,HATTING PLACE,CHAFFEE AVENUE,E
B,S-01258875,BOYNTON AVENUE,BRUCKNER BOULEVARD,STORY AVENUE,E
B,S-01258881,BRUCKNER BOULEVARD,ELDER AVENUE,BOYNTON AVENUE,S
B,S-01258899,UNDERHILL AVENUE,STORY AVENUE,LAFAYETTE AVENUE,W
B,S-01258919,RHINELANDER AVENUE,LURTING AVENUE,HAIGHT AVENUE,S
B,S-01258944,EAST  140 STREET,PARK AVENUE,CANAL PLACE,S
B,S-01258947,EAST  140 STREET,PARK AVENUE,CANAL PLACE,N
B,S-01258951,EAST  140 STREET,RIDER AVENUE,MORRIS AVENUE,S
B,S-01258953,EAST  140 STREET,   3 AVENUE,ALEXANDER AVENUE,N
B,S-01258955,EAST  140 STREET,DEAD END,ALEXANDER AVENUE,N
B,S-01258957,EAST  140 STREET,ST ANNS AVENUE,CYPRESS AVENUE,N
B,S-01258958,EAST  140 STREET,ST ANNS AVENUE,CYPRESS AVENUE,S
B,S-01258960,EAST  140 STREET,CYPRESS AVENUE,JACKSON AVENUE,N
B,S-01258963,EAST  140 STREET,CYPRESS AVENUE,JACKSON AVENUE,S
B,S-01258970,BAINBRIDGE AVENUE,EAST  206 STREET,EAST  207 STREET,E
B,S-01258976,EAST  140 STREET,WALTON AVENUE,GRAND CONCOURSE,S
B,S-01258983,EAST  138 STREET,GRAND CONCOURSE,WALTON AVENUE,N
B,S-01258985,EAST  138 STREET,WALTON AVENUE,GERARD AVENUE,N
B,S-01258986,EAST  161 STREET*S RDWY,MACOMBS DAM BRIDGE APPROACH,RUPPERT PLACE,S
B,S-01258987,EAST  138 STREET,PARK AVENUE,CANAL STREET WEST,S
B,S-01258988,EAST  141 STREET,POWERS AVENUE,CYPRESS AVENUE,N
B,S-01258991,EAST  141 STREET,JACKSON AVENUE,POWERS AVENUE,N
B,S-01258993,EAST  141 STREET,CYPRESS AVENUE,JACKSON AVENUE,S
B,S-01258994,EAST  156 STREET,WESTCHESTER AVENUE,TINTON AVENUE,S
B,S-01258998,EAST  161 STREET,ELTON AVENUE,MELROSE AVENUE,N
B,S-01259000,EAST  141 STREET,CONCORD AVENUE,JACKSON AVENUE,N
B,S-01259001,EAST  141 STREET,LOCUST AVENUE,WALNUT AVENUE,N
B,S-01259002,EAST  141 STREET,CANAL PLACE,PARK AVENUE,N
B,S-01259003,EAST  141 STREET,RIDER AVENUE,CANAL PLACE,N
B,S-01259004,EAST  141 STREET,RIDER AVENUE,CANAL PLACE,S
B,S-01259005,EAST  141 STREET,CANAL PLACE,PARK AVENUE,S
B,S-01259007,EAST  141 STREET,JACKSON AVENUE,WALES AVENUE,S
B,S-01259008,EAST  141 STREET,WALES AVENUE,BRUCKNER BOULEVARD,S
B,S-01259009,EAST  141 STREET,BRUCKNER BOULEVARD,CONCORD AVENUE,N
B,S-01259010,EAST  141 STREET,WALNUT AVENUE,LOCUST AVENUE,S
B,S-01259012,EAST  142 STREET,CONCORD AVENUE,JACKSON AVENUE,N
B,S-01259013,EAST  142 STREET,JACKSON AVENUE,POWERS AVENUE,N
B,S-01259017,EAST  142 STREET,WALES AVENUE,CONCORD AVENUE,N
B,S-01259018,EAST  142 STREET,BROOK AVENUE,ST ANNS AVENUE,S
B,S-01259027,PENNYFIELD AVENUE,CHAFFEE AVENUE,GERANIUM PLACE,W
B,S-01259322,INDEPENDENCE AVENUE,WEST  232 STREET,WEST  235 STREET,E
B,S-01259397,EAST  197 STREET,MARION AVENUE,DECATUR AVENUE,S
B,S-01259408,WALLACE AVENUE,BURKE AVENUE,ADEE AVENUE,W
B,S-01259409,WALLACE AVENUE,ADEE AVENUE,BURKE AVENUE,E
B,S-01259552,TINTON AVENUE,EAST  156 STREET,EAST  152 STREET,W
B,S-01259620,WASHINGTON AVENUE,EAST  182 STREET,EAST  181 STREET,W
B,S-01259666,THROGS NECK EXPRESSWAY,MEAGHER AVENUE,SCHLEY AVENUE,E
B,S-01259690,HARDING AVENUE,MEAGHER AVENUE,PENNYFIELD AVENUE,S
B,S-01259695,OAK POINT AVENUE,DRAKE STREET,HALLECK STREET,N
B,S-01259725,EAST TREMONT AVENUE,MAYFLOWER AVENUE,PURITAN AVENUE,N
B,S-01259787,ELLIOT PLACE,JEROME AVENUE,WALTON AVENUE,N
B,S-01259876,EAST  139 STREET,ST ANNS AVENUE,BROOK AVENUE,N
B,S-01259883,LOCUST AVENUE,EAST  138 STREET,EAST  141 STREET,E
B,S-01259897,EAST  147 STREET,SAINT ANNS AVENUE,BROOK AVENUE,N
B,S-01259916,COURTLANDT AVENUE,EAST  150 STREET,EAST  151 STREET,E
B,S-01259922,WILLOW AVENUE,EAST  135 STREET,EAST  134 STREET,W
B,S-01259925,WILLOW AVENUE,EAST  136 STREET,EAST  135 STREET,W
B,S-01259951,LOCUST AVENUE,EAST  141 STREET,EAST  140 STREET,W
B,S-01259953,LOCUST AVENUE,EAST  133 STREET,EAST  132 STREET,W
B,S-01259959,EAST  142 STREET,SOUTHERN BOULEVARD,WALES AVENUE,N
B,S-01259962,EAST  142 STREET,POWERS AVENUE,JACKSON AVENUE,S
B,S-01259966,EAST  142 STREET,RIDER AVENUE,MORRIS AVENUE,N
B,S-01259971,EAST  142 STREET,JACKSON AVENUE,CONCORD AVENUE,S
B,S-01259972,BEECH TERRACE,BEEKMAN AVENUE,DEAD END,N
B,S-01259975,BEECH TERRACE,DEAD END,BEEKMAN AVENUE,S
B,S-01259979,OAK TERRACE,BEEKMAN AVENUE,DEAD END,N
B,S-01259981,OAK TERRACE,DEAD END,BEEKMAN AVENUE,S
B,S-01259985,EAST  143 STREET,THIRD AVENUE,MORRIS AVENUE,N
B,S-01259989,EAST KINGSBRIDGE ROAD,VALENTINE AVENUE,GRAND CONCOURSE,N
B,S-01259996,EAST  143 STREET,EAST  144 STREET,MORRIS AVENUE,N
B,S-01259997,ST MARYS STREET,SOUTHERN BOULEVARD,WALES AVENUE,N
B,S-01259998,ST MARYS STREET,WALES AVENUE,CONCORD AVENUE,N
B,S-01260000,ST MARYS STREET,CONCORD AVENUE,JACKSON AVENUE,N
B,S-01260002,ST MARYS STREET,WALES AVENUE,CONCORD AVENUE,S
B,S-01260003,ST MARYS STREET,CONCORD AVENUE,JACKSON AVENUE,S
B,S-01260005,ST MARYS STREET,JACKSON AVENUE,POWERS AVENUE,S
B,S-01260007,ST MARYS STREET,POWERS AVENUE,CYPRESS AVENUE,S
B,S-01260008,ST MARYS STREET,CYPRESS AVENUE,BEEKMAN AVENUE,S
B,S-01260012,ST MARYS STREET,BEEKMAN AVENUE,CRIMMINS AVENUE,S
B,S-01260068,RIVERDALE AVENUE,WEST  231 STREET,WEST  230 STREET,W
B,S-01260070,RIVERDALE AVENUE,WEST  232 STREET,WEST  231 STREET,W
B,S-01260101,ST MARYS STREET,CRIMMINS AVENUE,ST ANNS AVENUE,S
B,S-01260102,EAST  141 STREET,ALEXANDER AVENUE,   3 AVENUE,N
B,S-01260103,EAST  141 STREET,WILLIS AVENUE,ALEXANDER AVENUE,S
B,S-01260105,EAST  141 STREET,WILLIS AVENUE,ALEXANDER AVENUE,N
B,S-01260106,EAST  141 STREET,BROOK AVENUE,WILLIS AVENUE,N
B,S-01260107,EAST  141 STREET,ST ANNS AVENUE,BROOK AVENUE,N
B,S-01260108,EAST  146 STREET,EXTERIOR STREET,GERARD AVENUE,N
B,S-01260109,EAST  146 STREET,EXTERIOR STREET,GERARD AVENUE,S
B,S-01260110,EAST  141 STREET,BEEKMAN AVENUE,CRIMMINS AVENUE,N
B,S-01260112,LOCUST AVENUE,EAST  134 STREET,EAST  138 STREET,E
B,S-01260133,EAST  144 STREET,GERARD AVENUE,EXTERIOR STREET,N
B,S-01260134,EAST  144 STREET,EAST  143 STREET,MORRIS AVENUE,S
B,S-01260142,EAST  144 STREET,EXTERIOR STREET,GERARD AVENUE,S
B,S-01260144,EAST  144 STREET,GRAND CONCOURSE,PARK AVENUE,S
B,S-01260146,PENNYFIELD AVENUE,FORT SCHUYLER PARK,ALAN PLACE,E
B,S-01260148,EAST  144 STREET,GERARD AVENUE,WALTON AVENUE,S
B,S-01260150,EAST  144 STREET,WALTON AVENUE,GERARD AVENUE,N
B,S-01260154,EAST  149 STREET,UNION AVENUE,TINTON AVENUE,N
B,S-01260170,EAST  149 STREET,UNION AVENUE,PROSPECT AVENUE,S
B,S-01260220,EAST  150 STREET,MELROSE AVENUE,COURTLAND AVENUE,N
B,S-01260224,EAST  150 STREET,THIRD AVENUE,MELROSE AVENUE,N
B,S-01260226,EAST  150 STREET,THIRD AVENUE,MELROSE AVENUE,S
B,S-01260231,EAST  150 STREET,TINTON AVENUE,UNION AVENUE,N
B,S-01260234,EAST  150 STREET,TINTON AVENUE,UNION AVENUE,S
B,S-01260235,EAST  150 STREET,WALES AVENUE,TINTON AVENUE,S
B,S-01260237,EAST  146 STREET,   3 AVENUE,COLLEGE AVENUE,N
B,S-01260238,EAST  146 STREET,   3 AVENUE,WILLIS AVENUE,N
B,S-01260239,EAST  146 STREET,WILLIS AVENUE,BROOK AVENUE,N
B,S-01260242,EAST  146 STREET,CANAL PLACE,PARK AVENUE,N
B,S-01260244,EAST  145 STREET,SOUTHERN BOULEVARD,WALES AVENUE,N
B,S-01260247,EAST  145 STREET,CONCORD AVENUE,WALES AVENUE,S
B,S-01260252,EAST  145 STREET,WALES AVENUE,SOUTHERN BOULEVARD,S
B,S-01260255,PROSPECT AVENUE,GROTE STREET,EAST  183 STREET,E
B,S-01260258,EAST  144 STREET,BROOK AVENUE,SAINT ANNS AVENUE,N
B,S-01260260,EAST  144 STREET,BROOK AVENUE,SAINT ANNS AVENUE,S
B,S-01260282,EAST  144 STREET,AUSTIN PLACE,TIMPSON PLACE,N
B,S-01260283,EAST  144 STREET,SOUTHERN BOULEVARD,BRUCKNER BOULEVARD,S
B,S-01260290,EAST  145 STREET,SOUTHERN BOULEVARD,TIMPSON PLACE,S
B,S-01260315,MORRIS PARK AVENUE,EAST  178 STREET,WYATT STREET,W
B,S-01260357,EAST  145 STREET,ST ANNS AVENUE,BROOK AVENUE,S
B,S-01260370,EAST  150 STREET,COURTLANDT AVENUE,MORRIS AVENUE,S
B,S-01260383,EAST  145 STREET,WILLIS AVENUE,THIRD AVENUE,N
B,S-01260386,EAST  145 STREET,   3 AVENUE,COLLEGE AVENUE,S
B,S-01260407,EAST  148 STREET,COLLEGE AVENUE,COURTLANDT AVENUE,S
B,S-01260411,EAST  148 STREET,COURTLANDT AVENUE,THIRD AVENUE,S
B,S-01260413,EAST  148 STREET,BROOK AVENUE,SAINT ANNS AVENUE,S
B,S-01260415,WESTCHESTER AVENUE,JACKSON AVENUE,EAST  156 STREET,S
B,S-01260416,EAST  151 STREET,COURTLANDT AVENUE,MELROSE AVENUE,N
B,S-01260418,EAST  151 STREET,PARK AVENUE,MORRIS AVENUE,N
B,S-01260421,EAST  151 STREET,CONCORD AVENUE,JACKSON AVENUE,N
B,S-01260422,EAST  151 STREET,WALES AVENUE,CONCORD AVENUE,N
B,S-01260424,EAST  151 STREET,WALES AVENUE,CONCORD AVENUE,S
B,S-01260425,EAST  151 STREET,TINTON AVENUE,WALES AVENUE,S
B,S-01260426,EAST  151 STREET,TINTON AVENUE,WALES AVENUE,N
B,S-01260428,EAST  151 STREET,CONCORD AVENUE,JACKSON AVENUE,S
B,S-01260429,EAST  151 STREET,UNION AVENUE,PROSPECT AVENUE,S
B,S-01260430,EAST  151 STREET,UNION AVENUE,PROSPECT AVENUE,N
B,S-01260432,EAST  153 STREET,PARK AVENUE,MORRIS AVENUE,N
B,S-01260436,EAST  153 STREET,MELROSE AVENUE,COURTLANDT AVENUE,S
B,S-01260438,EAST  153 STREET,MELROSE AVENUE,COURTLANDT AVENUE,N
B,S-01260440,EAST  153 STREET,ELTON AVENUE,MELROSE AVENUE,N
B,S-01260441,EAST  153 STREET,ELTON AVENUE,MELROSE AVENUE,S
B,S-01260442,EAST  153 STREET,BERGEN AVENUE,THIRD AVENUE,S
B,S-01260445,EAST  155 STREET,PROSPECT AVENUE,UNION AVENUE,N
B,S-01260446,EAST  155 STREET,PROSPECT AVENUE,UNION AVENUE,S
B,S-01260449,EAST  147 STREET,TIMPSON PLACE,SOUTHERN BOULEVARD,N
B,S-01260450,EAST  147 STREET,TIMPSON PLACE,SOUTHERN BOULEVARD,S
B,S-01260451,EAST  147 STREET,BROOK AVENUE,WILLIS AVENUE,S
B,S-01260452,EAST  147 STREET,SAINT ANNS AVENUE,BROOK AVENUE,S
B,S-01260453,EAST  147 STREET,TRINITY AVENUE,JACKSON AVENUE,S
B,S-01260454,EAST  147 STREET,CONCORD AVENUE,JACKSON AVENUE,N
B,S-01260457,EAST  147 STREET,CONCORD AVENUE,JACKSON AVENUE,S
B,S-01260460,EAST  152 STREET,   3 AVENUE,MELROSE AVENUE,N
B,S-01260461,EAST  152 STREET,DEAD END,COURTLANDT AVENUE,S
B,S-01260462,EAST  152 STREET,COURTLANDT AVENUE,DEAD END,N
B,S-01260463,RAE STREET,ST ANNS AVENUE,DEAD END,N
B,S-01260464,RAE STREET,DEAD END,ST ANNS AVENUE,S
B,S-01260465,EAST  154 STREET,ELTON AVENUE,THIRD AVENUE,N
B,S-01260466,EAST  154 STREET,ELTON AVENUE,THIRD AVENUE,S
B,S-01260472,EAST  155 STREET,THIRD AVENUE,ELTON AVENUE,N
B,S-01260473,EAST  155 STREET,MELROSE AVENUE,COURTLANDT AVENUE,N
B,S-01260474,EAST  156 STREET,BROOK AVENUE,THIRD AVENUE,N
B,S-01260475,EAST  156 STREET,EAGLE AVENUE,CAULDWELL AVENUE,S
B,S-01260476,EAST  156 STREET,CAULDWELL AVENUE,FOREST AVENUE,S
B,S-01260477,EAST  156 STREET,FOREST AVENUE,WESTCHESTER AVENUE,S
B,S-01260478,EAST  156 STREET,WESTCHESTER AVENUE,FOREST AVENUE,N
B,S-01260479,EAST  156 STREET,JACKSON AVENUE,TRINITY AVENUE,N
B,S-01260480,EAST  156 STREET,TRINITY AVENUE,CAULDWELL AVENUE,N
B,S-01260481,EAST  156 STREET,UNION AVENUE,PROSPECT AVENUE,S
B,S-01260488,EAST  156 STREET,PROSPECT AVENUE,UNION AVENUE,N
B,S-01260489,EAST  156 STREET,UNION AVENUE,WESTCHESTER AVENUE,N
B,S-01260490,EAST  158 STREET,PARK AVENUE,COURTLANDT AVENUE,S
B,S-01260491,EAST  158 STREET,JACKSON AVENUE,TRINITY AVENUE,N
B,S-01260493,EAST  158 STREET,CAULDWELL AVENUE,EAGLE AVENUE,N
B,S-01260494,EAST  158 STREET,PARK AVENUE,COURTLANDT AVENUE,N
B,S-01260495,EAST  158 STREET,COURTLANDT AVENUE,MELROSE AVENUE,N
B,S-01260496,EAST  158 STREET,JACKSON AVENUE,TRINITY AVENUE,S
B,S-01260497,EAST  158 STREET,MELROSE AVENUE,ELTON AVENUE,N
B,S-01260500,EAST  158 STREET,ELTON AVENUE,THIRD AVENUE,N
B,S-01260501,EAST  158 STREET,ELTON AVENUE,THIRD AVENUE,S
B,S-01260502,EAST  158 STREET,THIRD AVENUE,BROOK AVENUE,S
B,S-01260506,EAST  158 STREET,CAULDWELL AVENUE,EAGLE AVENUE,S
B,S-01260507,EAST  158 STREET,UNION AVENUE,TINTON AVENUE,N
B,S-01260508,EAST  158 STREET,UNION AVENUE,TINTON AVENUE,S
B,S-01260510,EAST  158 STREET,TINTON AVENUE,FOREST AVENUE,N
B,S-01260512,EAST  158 STREET,TINTON AVENUE,FOREST AVENUE,S
B,S-01260513,EAST  158 STREET,FOREST AVENUE,JACKSON AVENUE,N
B,S-01260514,EAST  158 STREET,FOREST AVENUE,JACKSON AVENUE,S
B,S-01260516,CANAL PLACE,EAST  135 STREET,EAST  138 STREET,E
B,S-01260517,CANAL PLACE,EAST  141 STREET,EAST  140 STREET,E
B,S-01260519,CANAL PLACE,EAST  144 STREET,EAST  146 STREET,E
B,S-01260521,CANAL PLACE,EAST  144 STREET,EAST  146 STREET,W
B,S-01260522,CANAL STREET WEST,EAST  135 STREET,EAST  138 STREET,E
B,S-01260523,PARK AVENUE,EAST  149 STREET,EAST  144 STREET,W
B,S-01260525,PARK AVENUE,EAST  153 STREET,MORRIS AVENUE,E
B,S-01260526,PARK AVENUE,EAST  149 STREET,CONCOURSE VILLAGE EAST,W
B,S-01260535,PARK AVENUE,EAST  144 STREET,EAST  146 STREET,E
B,S-01260538,PARK AVENUE,EAST  138 STREET,EAST  140 STREET,E
B,S-01260544,THIRD AVENUE,EAST  136 STREET,EAST  135 STREET,W
B,S-01260545,THIRD AVENUE,EAST  135 STREET,EAST  135 STREET,E
B,S-01260547,THIRD AVENUE,EAST  136 STREET,EAST  135 STREET,E
B,S-01260548,THIRD AVENUE,EAST  158 STREET,BROOK AVENUE,E
B,S-01260549,THIRD AVENUE,EAST  146 STREET,EAST  145 STREET,W
B,S-01260550,THIRD AVENUE,EAST  153 STREET,ELTON AVENUE,W
B,S-01260555,THIRD AVENUE,EAST  142 STREET,EAST  143 STREET,E
B,S-01260556,THIRD AVENUE,EAST  141 STREET,EAST  142 STREET,E
B,S-01260557,   3 AVENUE,EAST  139 STREET,EAST  140 STREET,E
B,S-01260558,   3 AVENUE,EAST  138 STREET,EAST  139 STREET,E
B,S-01260559,THIRD AVENUE,EAST  145 STREET,EAST  146 STREET,E
B,S-01260566,THIRD AVENUE,EAST  157 STREET,EAST  156 STREET,W
B,S-01260579,THIRD AVENUE,EAST  159 STREET,EAST  158 STREET,W
B,S-01260587,RIDER AVENUE,EAST  136 STREET,EAST  137 STREET,E
B,S-01260591,GERARD AVENUE,EAST  146 STREET,EAST  149 STREET,W
B,S-01260593,GERARD AVENUE,EAST  144 STREET,EAST  146 STREET,E
B,S-01260594,GERARD AVENUE,EAST  144 STREET,EAST  146 STREET,W
B,S-01260595,GERARD AVENUE,EAST  138 STREET,EAST  140 STREET,E
B,S-01260596,WALTON AVENUE,EAST  144 STREET,EAST  140 STREET,E
B,S-01260632,VALENTINE AVENUE,BEDFORD PARK BOULEVARD,EAST  199 STREET,W
B,S-01260644,BEDFORD PARK BOULEVARD,DECATUR AVENUE,MARION AVENUE,N
B,S-01260654,EAST  161 STREET,MELROSE AVENUE,ELTON AVENUE,S
B,S-01260662,SOUTHERN BOULEVARD,EAST  180 STREET,EAST  181 STREET,E
B,S-01260667,SOUTHERN BOULEVARD,EAST TREMONT AVENUE,ELSMERE PLACE,W
B,S-01260705,EAST  161 STREET,SHERMAN AVENUE,SHERIDAN AVENUE,N
B,S-01260758,WILLIS AVENUE,EAST  145 STREET,EAST  146 STREET,E
B,S-01260781,WILLIS AVENUE,EAST  135 STREET,EAST  136 STREET,E
B,S-01260783,WILLIS AVENUE,EAST  147 STREET,EAST  148 STREET,W
B,S-01260793,WILLIS AVENUE,EAST  147 STREET,EAST  146 STREET,W
B,S-01260795,WILLIS AVENUE,EAST  145 STREET,EAST  144 STREET,W
B,S-01260866,EAST  187 STREET,WEBSTER AVENUE,PARK AVENUE,N
B,S-01260872,EAST  187 STREET,WEBSTER AVENUE,PARK AVENUE,S
B,S-01260942,MICKLE AVENUE,CHESTER STREET,BOSTON ROAD,S
B,S-01260943,MICKLE AVENUE,BOSTON ROAD,CHESTER STREET,E
B,S-01260947,LACONIA AVENUE,EAST  218 STREET,EAST  219 STREET,E
B,S-01260949,HUNTS POINT AVENUE,GARRISON AVENUE,LAFAYETTE AVENUE,W
B,S-01260950,EAST  221 STREET,PAULDING AVENUE,LACONIA AVENUE,N
B,S-01260952,WILSON AVENUE,HICKS STREET,NEEDHAM AVENUE,N
B,S-01260955,HUNTS POINT AVENUE,COSTER STREET,FAILE STREET,W
B,S-01260956,WHITE PLAINS ROAD,BIRCHALL AVENUE,SAGAMORE STREET,W
B,S-01260960,RADCLIFF AVENUE,BURKE AVENUE,DUNCAN STREET,E
B,S-01260967,HALLECK STREET,EAST BAY AVENUE,VIELE AVENUE,W
B,S-01261030,FOOD CENTER DRIVE,FARRAGUT STREET,UNNAMED STREET,S
B,S-01261039,FOOD CENTER DRIVE,UNNAMED STREET,UNNAMED STREET,S
B,S-01261050,ST ANNS AVENUE,EAST  157 STREET,EAST  156 STREET,W
B,S-01261090,EAST  172 STREET,HOE AVENUE,SOUTHERN BOULEVARD,N
B,S-01261121,NOBLE AVENUE,BRONX RIVER AVENUE,CROSS BRONX EXPRESSWAY*N S/R,W
