IntakeType,IntakeSubtype,Number_of_Animals,YEAR,MONTH,OBJECTID
QUARANTINE,MAS,21,2008,6,651
QUARANTINE,OWNER,4,2008,6,652
QUARANTINE,STRAY,2,2008,6,653
RETURN,FIELD,6,2008,6,654
RETURN,OTC,12,2008,6,655
STRAY,,8,2008,6,656
STRAY,FIELD,521,2008,6,657
STRAY,OTC,453,2008,6,658
CONFISCATE,,2,2008,7,659
CONFISCATE,BITE,1,2008,7,660
CONFISCATE,CRUELTY,4,2008,7,661
CONFISCATE,FIELD,4,2008,7,662
CONFISCATE,NEGLECT,18,2008,7,663
CONFISCATE,POTDANGER,4,2008,7,664
CONFISCATE,UNPERMITED,20,2008,7,665
EUTH REQ,FIELD,1,2008,7,666
EUTH REQ,FIELD OWN,1,2008,7,667
EUTH REQ,MAS,1,2008,7,668
EUTH REQ,OTC,18,2008,7,669
EUTH REQ,OTC OWNED,33,2008,7,670
EUTH REQ,OWNER,1,2008,7,671
EUTH REQ,OWNER SUR,1,2008,7,672
OUTSURGERY,,65,2008,7,673
OWNER SUR,,1,2008,7,674
OWNER SUR,FIELD,59,2008,7,675
OWNER SUR,FIELD OWN,1,2008,7,676
OWNER SUR,NEGLECT,2,2008,7,677
OWNER SUR,OTC,405,2008,7,678
OWNER SUR,OWNER SUR,2,2008,7,679
OWNER SUR,STRAY,2,2008,7,680
QUARANTINE,FIELD,4,2008,7,681
QUARANTINE,MAS,18,2008,7,682
QUARANTINE,OTC,1,2008,7,683
QUARANTINE,OWNER,3,2008,7,684
QUARANTINE,STRAY,4,2008,7,685
RETURN,,2,2008,7,686
RETURN,FIELD,2,2008,7,687
RETURN,OTC,17,2008,7,688
STRAY,FIELD,456,2008,7,689
STRAY,OTC,446,2008,7,690
STRAY,STRAY,14,2008,7,691
TRANSFER,FIELD,1,2008,7,692
CONFISCATE,ABANDONED,4,2008,8,693
CONFISCATE,BITE,1,2008,8,694
CONFISCATE,CHAINING,7,2008,8,695
CONFISCATE,DANGER DOG,1,2008,8,696
CONFISCATE,FIELD,1,2008,8,697
CONFISCATE,NEGLECT,38,2008,8,698
CONFISCATE,POTDANGER,1,2008,8,699
CONFISCATE,UNPERMITED,45,2008,8,700
EUTH REQ,,3,2008,8,701
EUTH REQ,FIELD OWN,5,2008,8,702
EUTH REQ,OTC,9,2008,8,703
EUTH REQ,OTC OWNED,59,2008,8,704
INVESTIGAT,POTDANGER,1,2008,8,705
KHS,,6,2008,8,706
OUTSURGERY,,64,2008,8,707
OUTSURGERY,OTC,1,2008,8,708
OWNER SUR,,2,2008,8,709
OWNER SUR,FIELD,103,2008,8,710
OWNER SUR,OTC,355,2008,8,711
QUARANTINE,MAS,8,2008,8,712
QUARANTINE,OWNER,1,2008,8,713
QUARANTINE,STRAY,4,2008,8,714
RETURN,,1,2008,8,715
RETURN,OTC,18,2008,8,716
STRAY,,1,2008,8,717
STRAY,FIELD,487,2008,8,718
STRAY,OTC,459,2008,8,719
STRAY,STRAY,4,2008,8,720
CONFISCATE,BITE,2,2008,9,721
CONFISCATE,CHAINING,12,2008,9,722
CONFISCATE,DANGER DOG,1,2008,9,723
CONFISCATE,NEGLECT,12,2008,9,724
CONFISCATE,POTDANGER,1,2008,9,725
CONFISCATE,UNPERMITED,8,2008,9,726
EUTH REQ,OTC OWNED,58,2008,9,727
OUTSURGERY,,49,2008,9,728
OWNER SUR,FIELD,110,2008,9,729
OWNER SUR,OTC,279,2008,9,730
QUARANTINE,MAS,10,2008,9,731
QUARANTINE,STRAY,1,2008,9,732
RETURN,OTC,15,2008,9,733
STRAY,FIELD,541,2008,9,734
STRAY,OTC,429,2008,9,735
TRANSFER,AN CONTROL,1,2008,9,736
CONFISCATE,ABANDONED,9,2008,10,737
CONFISCATE,BITE,2,2008,10,738
CONFISCATE,CHAINING,8,2008,10,739
CONFISCATE,CRUELTY,1,2008,10,740
CONFISCATE,DANGER DOG,1,2008,10,741
CONFISCATE,NEGLECT,33,2008,10,742
CONFISCATE,POTDANGER,2,2008,10,743
CONFISCATE,UNPERMITED,22,2008,10,744
EUTH REQ,,2,2008,10,745
EUTH REQ,FIELD OWN,11,2008,10,746
EUTH REQ,OTC OWNED,46,2008,10,747
INVESTIGAT,,1,2008,10,748
OUTSURGERY,,93,2008,10,749
OWNER SUR,FIELD,50,2008,10,750
OWNER SUR,OTC,272,2008,10,751
QUARANTINE,MAS,8,2008,10,752
QUARANTINE,STRAY,1,2008,10,753
RETURN,OTC,22,2008,10,754
STRAY,FIELD,443,2008,10,755
STRAY,OTC,430,2008,10,756
CONFISCATE,,1,2008,11,757
CONFISCATE,ABANDONED,5,2008,11,758
CONFISCATE,CHAINING,14,2008,11,759
CONFISCATE,CRUELTY,6,2008,11,760
CONFISCATE,NEGLECT,33,2008,11,761
CONFISCATE,UNPERMITED,66,2008,11,762
EUTH REQ,FIELD OWN,7,2008,11,763
EUTH REQ,OTC OWNED,46,2008,11,764
OUTSURGERY,,88,2008,11,765
OWNER SUR,EUTH REQ,1,2008,11,766
OWNER SUR,FIELD,32,2008,11,767
OWNER SUR,OTC,283,2008,11,768
QUARANTINE,MAS,9,2008,11,769
QUARANTINE,OWNER,2,2008,11,770
QUARANTINE,STRAY,3,2008,11,771
RETURN,FIELD,1,2008,11,772
RETURN,OTC,13,2008,11,773
STRAY,FIELD,345,2008,11,774
STRAY,OTC,373,2008,11,775
CONFISCATE,ABANDONED,5,2008,12,776
CONFISCATE,CHAINING,15,2008,12,777
CONFISCATE,DANGER DOG,1,2008,12,778
CONFISCATE,NEGLECT,16,2008,12,779
CONFISCATE,POLICE,3,2008,12,780
CONFISCATE,UNPERMITED,59,2008,12,781
EUTH REQ,FIELD OWN,2,2008,12,782
EUTH REQ,OTC OWNED,41,2008,12,783
OUTSURGERY,,103,2008,12,784
OWNER SUR,FIELD,42,2008,12,785
OWNER SUR,OTC,202,2008,12,786
QUARANTINE,MAS,5,2008,12,787
QUARANTINE,OWNER,1,2008,12,788
QUARANTINE,STRAY,3,2008,12,789
RETURN,OTC,12,2008,12,790
STRAY,FIELD,316,2008,12,791
STRAY,OTC,230,2008,12,792
CONFISCATE,,5,2009,1,793
CONFISCATE,ABANDONED,6,2009,1,794
CONFISCATE,CHAINING,24,2009,1,795
CONFISCATE,NEGLECT,23,2009,1,796
CONFISCATE,UNPERMITED,24,2009,1,797
EUTH REQ,FIELD OWN,4,2009,1,798
EUTH REQ,OTC OWNED,41,2009,1,799
INVESTIGAT,POTDANGER,1,2009,1,800
OUTSURGERY,,84,2009,1,801
OWNER SUR,FIELD,55,2009,1,802
OWNER SUR,OTC,179,2009,1,803
QUARANTINE,MAS,3,2009,1,804
QUARANTINE,OWNER,2,2009,1,805
QUARANTINE,STRAY,4,2009,1,806
RETURN,,1,2009,1,807
RETURN,FIELD,2,2009,1,808
RETURN,OTC,31,2009,1,809
STRAY,FIELD,293,2009,1,810
STRAY,OTC,217,2009,1,811
CONFISCATE,ABANDONED,5,2009,2,812
CONFISCATE,BITE,1,2009,2,813
CONFISCATE,CHAINING,11,2009,2,814
CONFISCATE,CRUELTY,2,2009,2,815
CONFISCATE,EVICTION,1,2009,2,816
CONFISCATE,NEGLECT,17,2009,2,817
CONFISCATE,UNPERMITED,46,2009,2,818
EUTH REQ,FIELD OWN,13,2009,2,819
EUTH REQ,OTC OWNED,36,2009,2,820
OUTSURGERY,,103,2009,2,821
OWNER SUR,,1,2009,2,822
OWNER SUR,FIELD,44,2009,2,823
OWNER SUR,OTC,157,2009,2,824
QUARANTINE,MAS,2,2009,2,825
QUARANTINE,OWNER,1,2009,2,826
QUARANTINE,STRAY,1,2009,2,827
RETURN,FIELD,2,2009,2,828
RETURN,OTC,12,2009,2,829
STRAY,FIELD,314,2009,2,830
STRAY,OTC,194,2009,2,831
CONFISCATE,,1,2009,3,832
CONFISCATE,ABANDONED,3,2009,3,833
CONFISCATE,BITE,1,2009,3,834
CONFISCATE,CHAINING,15,2009,3,835
CONFISCATE,NEGLECT,15,2009,3,836
CONFISCATE,OWNER DIED,1,2009,3,837
CONFISCATE,POLICE,3,2009,3,838
CONFISCATE,POTDANGER,10,2009,3,839
CONFISCATE,UNPERMITED,28,2009,3,840
EUTH REQ,FIELD OWN,7,2009,3,841
EUTH REQ,OTC OWNED,46,2009,3,842
OUTSURGERY,,93,2009,3,843
OWNER SUR,FIELD,64,2009,3,844
OWNER SUR,OTC,133,2009,3,845
QUARANTINE,MAS,10,2009,3,846
QUARANTINE,OWNER,6,2009,3,847
QUARANTINE,STRAY,2,2009,3,848
RETURN,,1,2009,3,849
RETURN,OTC,35,2009,3,850
STRAY,FIELD,346,2009,3,851
STRAY,OTC,262,2009,3,852
CONFISCATE,,2,2009,4,853
CONFISCATE,ABANDONED,3,2009,4,854
CONFISCATE,CHAINING,50,2009,4,855
CONFISCATE,DANGER DOG,2,2009,4,856
CONFISCATE,EVICTION,1,2009,4,857
CONFISCATE,NEGLECT,14,2009,4,858
CONFISCATE,POTDANGER,3,2009,4,859
CONFISCATE,RESTRAINT,2,2009,4,860
CONFISCATE,UNPERMITED,29,2009,4,861
EUTH REQ,FIELD OWN,4,2009,4,862
EUTH REQ,OTC OWNED,56,2009,4,863
OUTSURGERY,,82,2009,4,864
OWNER SUR,FIELD,53,2009,4,865
OWNER SUR,OTC,165,2009,4,866
QUARANTINE,MAS,13,2009,4,867
QUARANTINE,STRAY,1,2009,4,868
RETURN,,2,2009,4,869
RETURN,OTC,25,2009,4,870
STRAY,FIELD,387,2009,4,871
STRAY,OTC,316,2009,4,872
TRANSFER,AN CONTROL,1,2009,4,873
CONFISCATE,,5,2009,5,874
CONFISCATE,ABANDONED,2,2009,5,875
CONFISCATE,CHAINING,17,2009,5,876
CONFISCATE,NEGLECT,32,2009,5,877
CONFISCATE,POTDANGER,3,2009,5,878
CONFISCATE,RESTRAINT,10,2009,5,879
CONFISCATE,UNPERMITED,16,2009,5,880
EUTH REQ,FIELD OWN,6,2009,5,881
EUTH REQ,OTC OWNED,72,2009,5,882
INVESTIGAT,POTDANGER,1,2009,5,883
OUTSURGERY,,62,2009,5,884
OWNER SUR,,1,2009,5,885
OWNER SUR,FIELD,48,2009,5,886
OWNER SUR,OTC,245,2009,5,887
QUARANTINE,MAS,20,2009,5,888
QUARANTINE,STRAY,3,2009,5,889
RETURN,FIELD,1,2009,5,890
RETURN,OTC,24,2009,5,891
STRAY,FIELD,429,2009,5,892
STRAY,OTC,471,2009,5,893
CONFISCATE,,8,2009,6,894
CONFISCATE,CHAINING,13,2009,6,895
CONFISCATE,CRUELTY,3,2009,6,896
CONFISCATE,NEGLECT,58,2009,6,897
CONFISCATE,POLICE,2,2009,6,898
CONFISCATE,POTDANGER,1,2009,6,899
CONFISCATE,RESTRAINT,5,2009,6,900
CONFISCATE,UNPERMITED,13,2009,6,901
EUTH REQ,,1,2009,6,902
EUTH REQ,FIELD OWN,10,2009,6,903
EUTH REQ,OTC OWNED,76,2009,6,904
INVESTIGAT,POTDANGER,1,2009,6,905
MED OBSERV,,1,2009,6,906
OUTSURGERY,,91,2009,6,907
OUTSURGERY,STRAY,1,2009,6,908
OWNER SUR,,2,2009,6,909
OWNER SUR,FIELD,40,2009,6,910
OWNER SUR,OTC,287,2009,6,911
QUARANTINE,,2,2009,6,912
QUARANTINE,MAS,14,2009,6,913
QUARANTINE,STRAY,1,2009,6,914
RETURN,FIELD,2,2009,6,915
RETURN,OTC,27,2009,6,916
STRAY,FIELD,563,2009,6,917
STRAY,OTC,503,2009,6,918
CONFISCATE,,6,2009,7,919
CONFISCATE,BITE,1,2009,7,920
CONFISCATE,CHAINING,6,2009,7,921
CONFISCATE,DANGER DOG,1,2009,7,922
CONFISCATE,EVICTION,1,2009,7,923
CONFISCATE,NEGLECT,86,2009,7,924
CONFISCATE,RESTRAINT,30,2009,7,925
CONFISCATE,UNPERMITED,8,2009,7,926
EUTH REQ,,1,2009,7,927
EUTH REQ,FIELD OWN,8,2009,7,928
EUTH REQ,OTC OWNED,78,2009,7,929
INVESTIGAT,POTDANGER,1,2009,7,930
KHS,STRAY,1,2009,7,931
OUTSURGERY,,50,2009,7,932
OWNER SUR,,1,2009,7,933
OWNER SUR,FIELD,37,2009,7,934
OWNER SUR,OTC,220,2009,7,935
QUARANTINE,,1,2009,7,936
QUARANTINE,MAS,35,2009,7,937
QUARANTINE,STRAY,4,2009,7,938
RETURN,FIELD,2,2009,7,939
RETURN,OTC,19,2009,7,940
STRAY,,1,2009,7,941
STRAY,FIELD,537,2009,7,942
STRAY,OTC,547,2009,7,943
CONFISCATE,,7,2009,8,944
CONFISCATE,CHAINING,11,2009,8,945
CONFISCATE,NEGLECT,15,2009,8,946
CONFISCATE,POLICE,2,2009,8,947
CONFISCATE,POTDANGER,1,2009,8,948
CONFISCATE,RESTRAINT,5,2009,8,949
CONFISCATE,UNPERMITED,4,2009,8,950
EUTH REQ,FIELD OWN,8,2009,8,951
EUTH REQ,OTC OWNED,58,2009,8,952
OUTSURGERY,,20,2009,8,953
OWNER SUR,FIELD,37,2009,8,954
OWNER SUR,OTC,260,2009,8,955
QUARANTINE,MAS,13,2009,8,956
QUARANTINE,OWNER,1,2009,8,957
RETURN,FIELD,2,2009,8,958
RETURN,OTC,19,2009,8,959
STRAY,FIELD,496,2009,8,960
STRAY,OTC,419,2009,8,961
CONFISCATE,BITE,2,2009,9,962
CONFISCATE,CHAINING,20,2009,9,963
CONFISCATE,CRUELTY,2,2009,9,964
CONFISCATE,EVICTION,1,2009,9,965
CONFISCATE,NEGLECT,19,2009,9,966
CONFISCATE,POLICE,1,2009,9,967
CONFISCATE,POTDANGER,2,2009,9,968
CONFISCATE,RESTRAINT,10,2009,9,969
CONFISCATE,UNPERMITED,2,2009,9,970
EUTH REQ,FIELD OWN,7,2009,9,971
EUTH REQ,OTC OWNED,42,2009,9,972
OUTSURGERY,,40,2009,9,973
OWNER SUR,FIELD,52,2009,9,974
OWNER SUR,OTC,285,2009,9,975
QUARANTINE,MAS,9,2009,9,976
QUARANTINE,OWNER,1,2009,9,977
QUARANTINE,STRAY,2,2009,9,978
RETURN,FIELD,1,2009,9,979
RETURN,OTC,17,2009,9,980
STRAY,FIELD,426,2009,9,981
STRAY,OTC,487,2009,9,982
CONFISCATE,CHAINING,8,2009,10,983
CONFISCATE,DANGER DOG,2,2009,10,984
CONFISCATE,NEGLECT,74,2009,10,985
CONFISCATE,RESTRAINT,4,2009,10,986
CONFISCATE,UNPERMITED,3,2009,10,987
EUTH REQ,FIELD OWN,3,2009,10,988
EUTH REQ,OTC OWNED,48,2009,10,989
OUTSURGERY,,63,2009,10,990
OWNER SUR,,3,2009,10,991
OWNER SUR,FIELD,25,2009,10,992
OWNER SUR,OTC,265,2009,10,993
QUARANTINE,MAS,13,2009,10,994
QUARANTINE,STRAY,1,2009,10,995
RETURN,,1,2009,10,996
RETURN,FIELD,1,2009,10,997
RETURN,OTC,21,2009,10,998
STRAY,,5,2009,10,999
STRAY,FIELD,419,2009,10,1000
STRAY,OTC,464,2009,10,1001
CONFISCATE,,1,2009,11,1002
CONFISCATE,BITE,1,2009,11,1003
CONFISCATE,CHAINING,5,2009,11,1004
CONFISCATE,CRUELTY,1,2009,11,1005
CONFISCATE,NEGLECT,15,2009,11,1006
CONFISCATE,POLICE,1,2009,11,1007
EUTH REQ,FIELD OWN,8,2009,11,1008
EUTH REQ,OTC OWNED,46,2009,11,1009
OUTSURGERY,,42,2009,11,1010
OWNER SUR,,1,2009,11,1011
OWNER SUR,FIELD,31,2009,11,1012
OWNER SUR,OTC,184,2009,11,1013
QUARANTINE,MAS,8,2009,11,1014
QUARANTINE,STRAY,4,2009,11,1015
RETURN,FIELD,1,2009,11,1016
RETURN,OTC,33,2009,11,1017
STRAY,FIELD,339,2009,11,1018
STRAY,OTC,313,2009,11,1019
CONFISCATE,ABANDONED,1,2009,12,1020
CONFISCATE,CHAINING,8,2009,12,1021
CONFISCATE,NEGLECT,4,2009,12,1022
CONFISCATE,POLICE,1,2009,12,1023
CONFISCATE,RESTRAINT,1,2009,12,1024
EUTH REQ,FIELD OWN,3,2009,12,1025
EUTH REQ,OTC OWNED,49,2009,12,1026
OUTSURGERY,,47,2009,12,1027
OUTSURGERY,NEUTER,1,2009,12,1028
OWNER SUR,,2,2009,12,1029
OWNER SUR,FIELD,36,2009,12,1030
OWNER SUR,OTC,199,2009,12,1031
QUARANTINE,MAS,3,2009,12,1032
QUARANTINE,OWNER,1,2009,12,1033
RETURN,,1,2009,12,1034
RETURN,FIELD,1,2009,12,1035
RETURN,FOSTER,1,2009,12,1036
RETURN,OTC,11,2009,12,1037
STRAY,FIELD,253,2009,12,1038
STRAY,OTC,267,2009,12,1039
CONFISCATE,,2,2010,1,1040
CONFISCATE,ABANDONED,3,2010,1,1041
CONFISCATE,CHAINING,3,2010,1,1042
CONFISCATE,CRUELTY,1,2010,1,1043
CONFISCATE,DANGER DOG,1,2010,1,1044
CONFISCATE,NEGLECT,8,2010,1,1045
CONFISCATE,POLICE,1,2010,1,1046
CONFISCATE,POTDANGER,2,2010,1,1047
CONFISCATE,RESTRAINT,1,2010,1,1048
EUTH REQ,,1,2010,1,1049
EUTH REQ,FIELD OWN,8,2010,1,1050
EUTH REQ,OTC OWNED,40,2010,1,1051
INVESTIGAT,POTDANGER,1,2010,1,1052
KHS,,1,2010,1,1053
OUTSURGERY,,29,2010,1,1054
OWNER SUR,FIELD,63,2010,1,1055
OWNER SUR,OTC,144,2010,1,1056
RETURN,FIELD,2,2010,1,1057
RETURN,OTC,21,2010,1,1058
STRAY,FIELD,270,2010,1,1059
STRAY,OTC,208,2010,1,1060
TRANSFER,AN CONTROL,1,2010,1,1061
CONFISCATE,BITE,1,2010,2,1062
CONFISCATE,CHAINING,1,2010,2,1063
CONFISCATE,DANGER DOG,2,2010,2,1064
CONFISCATE,NEGLECT,19,2010,2,1065
CONFISCATE,POLICE,1,2010,2,1066
CONFISCATE,POTDANGER,1,2010,2,1067
CONFISCATE,RESTRAINT,4,2010,2,1068
EUTH REQ,FIELD OWN,2,2010,2,1069
EUTH REQ,OTC OWNED,29,2010,2,1070
KHS,STRAY,3,2010,2,1071
OUTSURGERY,,49,2010,2,1072
OWNER SUR,,1,2010,2,1073
OWNER SUR,FIELD,37,2010,2,1074
OWNER SUR,OTC,169,2010,2,1075
QUARANTINE,MAS,5,2010,2,1076
QUARANTINE,OWNER,1,2010,2,1077
QUARANTINE,STRAY,4,2010,2,1078
RETURN,FIELD,5,2010,2,1079
RETURN,OTC,14,2010,2,1080
STRAY,FIELD,258,2010,2,1081
STRAY,OTC,199,2010,2,1082
TRANSFER,AN CONTROL,1,2010,2,1083
CONFISCATE,ABANDONED,5,2010,3,1084
CONFISCATE,CHAINING,7,2010,3,1085
CONFISCATE,CRUELTY,2,2010,3,1086
CONFISCATE,NEGLECT,8,2010,3,1087
CONFISCATE,OWNER DIED,1,2010,3,1088
CONFISCATE,POLICE,1,2010,3,1089
CONFISCATE,POTDANGER,2,2010,3,1090
EUTH REQ,FIELD OWN,11,2010,3,1091
EUTH REQ,OTC OWNED,52,2010,3,1092
FOSTER,RETURN,1,2010,3,1093
OUTSURGERY,,49,2010,3,1094
OUTSURGERY,NEUTER,4,2010,3,1095
OWNER SUR,FIELD,63,2010,3,1096
OWNER SUR,OTC,169,2010,3,1097
QUARANTINE,MAS,7,2010,3,1098
QUARANTINE,OWNER,2,2010,3,1099
RETURN,OTC,31,2010,3,1100
STRAY,FIELD,377,2010,3,1101
STRAY,OTC,275,2010,3,1102
TRANSFER,AN CONTROL,1,2010,3,1103
CONFISCATE,ABANDONED,1,2010,4,1104
CONFISCATE,BITE,1,2010,4,1105
CONFISCATE,CHAINING,4,2010,4,1106
CONFISCATE,CRUELTY,1,2010,4,1107
CONFISCATE,DANGER DOG,1,2010,4,1108
CONFISCATE,NEGLECT,10,2010,4,1109
CONFISCATE,RESTRAINT,8,2010,4,1110
EUTH REQ,,1,2010,4,1111
EUTH REQ,FIELD OWN,7,2010,4,1112
EUTH REQ,OTC OWNED,45,2010,4,1113
OUTSURGERY,,53,2010,4,1114
OWNER SUR,,3,2010,4,1115
OWNER SUR,FIELD,93,2010,4,1116
OWNER SUR,OTC,163,2010,4,1117
QUARANTINE,MAS,4,2010,4,1118
RETURN,ADOPTION,2,2010,4,1119
RETURN,OTC,18,2010,4,1120
STRAY,,2,2010,4,1121
STRAY,FIELD,444,2010,4,1122
STRAY,OTC,330,2010,4,1123
CONFISCATE,ABANDONED,5,2010,5,1124
CONFISCATE,BITE,3,2010,5,1125
CONFISCATE,CHAINING,5,2010,5,1126
CONFISCATE,NEGLECT,28,2010,5,1127
CONFISCATE,POTDANGER,2,2010,5,1128
CONFISCATE,RESTRAINT,5,2010,5,1129
CONFISCATE,UNPERMITED,6,2010,5,1130
EUTH REQ,,3,2010,5,1131
EUTH REQ,FIELD OWN,7,2010,5,1132
EUTH REQ,OTC OWNED,43,2010,5,1133
INVESTIGAT,POTDANGER,1,2010,5,1134
OUTSURGERY,,51,2010,5,1135
OWNER SUR,,7,2010,5,1136
OWNER SUR,FIELD,45,2010,5,1137
OWNER SUR,OTC,179,2010,5,1138
QUARANTINE,MAS,4,2010,5,1139
QUARANTINE,OWNER,3,2010,5,1140
QUARANTINE,STRAY,2,2010,5,1141
RETURN,FIELD,2,2010,5,1142
RETURN,OTC,23,2010,5,1143
STRAY,,44,2010,5,1144
STRAY,FIELD,463,2010,5,1145
STRAY,OTC,338,2010,5,1146
CONFISCATE,ABANDONED,4,2010,6,1147
CONFISCATE,BITE,2,2010,6,1148
CONFISCATE,CHAINING,5,2010,6,1149
CONFISCATE,CRUELTY,3,2010,6,1150
CONFISCATE,EVICTION,3,2010,6,1151
CONFISCATE,NEGLECT,124,2010,6,1152
CONFISCATE,POTDANGER,1,2010,6,1153
CONFISCATE,RESTRAINT,3,2010,6,1154
EUTH REQ,,1,2010,6,1155
EUTH REQ,FIELD OWN,7,2010,6,1156
EUTH REQ,OTC OWNED,53,2010,6,1157
INVESTIGAT,DANGER DOG,1,2010,6,1158
KHS,,1,2010,6,1159
OUTSURGERY,,47,2010,6,1160
OUTSURGERY,NEUTER,7,2010,6,1161
OWNER SUR,,6,2010,6,1162
OWNER SUR,FIELD,49,2010,6,1163
OWNER SUR,OTC,239,2010,6,1164
QUARANTINE,MAS,4,2010,6,1165
QUARANTINE,OWNER,4,2010,6,1166
QUARANTINE,STRAY,1,2010,6,1167
RETURN,FIELD,1,2010,6,1168
RETURN,OTC,21,2010,6,1169
STRAY,FIELD,494,2010,6,1170
STRAY,OTC,488,2010,6,1171
CONFISCATE,CHAINING,3,2010,7,1172
CONFISCATE,CRUELTY,15,2010,7,1173
CONFISCATE,DANGER DOG,1,2010,7,1174
CONFISCATE,EVICTION,5,2010,7,1175
CONFISCATE,NEGLECT,18,2010,7,1176
CONFISCATE,RESTRAINT,6,2010,7,1177
EUTH REQ,,5,2010,7,1178
EUTH REQ,FIELD OWN,11,2010,7,1179
EUTH REQ,OTC OWNED,48,2010,7,1180
OUTSURGERY,,42,2010,7,1181
OUTSURGERY,NEUTER,5,2010,7,1182
OWNER SUR,FIELD,98,2010,7,1183
OWNER SUR,OTC,279,2010,7,1184
QUARANTINE,MAS,4,2010,7,1185
QUARANTINE,STRAY,4,2010,7,1186
RETURN,FIELD,4,2010,7,1187
RETURN,OTC,17,2010,7,1188
STRAY,FIELD,565,2010,7,1189
STRAY,OTC,505,2010,7,1190
CONFISCATE,ABANDONED,2,2010,8,1191
CONFISCATE,BITE,2,2010,8,1192
CONFISCATE,CHAINING,5,2010,8,1193
CONFISCATE,CRUELTY,1,2010,8,1194
CONFISCATE,NEGLECT,13,2010,8,1195
CONFISCATE,POTDANGER,1,2010,8,1196
CONFISCATE,RESTRAINT,3,2010,8,1197
EUTH REQ,,7,2010,8,1198
EUTH REQ,FIELD OWN,31,2010,8,1199
EUTH REQ,OTC OWNED,62,2010,8,1200
OUTSURGERY,,38,2010,8,1201
OUTSURGERY,NEUTER,7,2010,8,1202
OWNER SUR,,2,2010,8,1203
OWNER SUR,FIELD,120,2010,8,1204
OWNER SUR,OTC,241,2010,8,1205
QUARANTINE,MAS,4,2010,8,1206
QUARANTINE,OWNER,2,2010,8,1207
QUARANTINE,STRAY,4,2010,8,1208
RETURN,,1,2010,8,1209
RETURN,FIELD,3,2010,8,1210
RETURN,OTC,28,2010,8,1211
STRAY,,1,2010,8,1212
STRAY,FIELD,580,2010,8,1213
STRAY,OTC,469,2010,8,1214
CONFISCATE,ABANDONED,1,2010,9,1215
CONFISCATE,CHAINING,2,2010,9,1216
CONFISCATE,NEGLECT,16,2010,9,1217
CONFISCATE,POLICE,1,2010,9,1218
CONFISCATE,RESTRAINT,5,2010,9,1219
EUTH REQ,,5,2010,9,1220
EUTH REQ,FIELD OWN,9,2010,9,1221
EUTH REQ,OTC OWNED,49,2010,9,1222
OUTSURGERY,,43,2010,9,1223
OUTSURGERY,NEUTER,3,2010,9,1224
OWNER SUR,,4,2010,9,1225
OWNER SUR,FIELD,83,2010,9,1226
OWNER SUR,OTC,224,2010,9,1227
QUARANTINE,MAS,8,2010,9,1228
QUARANTINE,STRAY,1,2010,9,1229
RETURN,OTC,21,2010,9,1230
STRAY,FIELD,443,2010,9,1231
STRAY,OTC,393,2010,9,1232
CONFISCATE,ABANDONED,3,2010,10,1233
CONFISCATE,BITE,2,2010,10,1234
CONFISCATE,CHAINING,2,2010,10,1235
CONFISCATE,CRUELTY,1,2010,10,1236
CONFISCATE,NEGLECT,6,2010,10,1237
CONFISCATE,RESTRAINT,4,2010,10,1238
EUTH REQ,,5,2010,10,1239
EUTH REQ,FIELD OWN,6,2010,10,1240
EUTH REQ,OTC OWNED,33,2010,10,1241
KHS,,1,2010,10,1242
OUTSURGERY,,36,2010,10,1243
OUTSURGERY,NEUTER,5,2010,10,1244
OWNER SUR,FIELD,59,2010,10,1245
OWNER SUR,OTC,221,2010,10,1246
QUARANTINE,,1,2010,10,1247
QUARANTINE,MAS,3,2010,10,1248
QUARANTINE,OWNER,1,2010,10,1249
QUARANTINE,STRAY,2,2010,10,1250
RETURN,ADOPTION,1,2010,10,1251
RETURN,FIELD,2,2010,10,1252
RETURN,OTC,16,2010,10,1253
STRAY,,1,2010,10,1254
STRAY,FIELD,421,2010,10,1255
STRAY,OTC,367,2010,10,1256
CONFISCATE,BITE,2,2010,11,1257
CONFISCATE,CHAINING,4,2010,11,1258
CONFISCATE,CRUELTY,2,2010,11,1259
CONFISCATE,NEGLECT,25,2010,11,1260
CONFISCATE,RESTRAINT,7,2010,11,1261
EUTH REQ,,2,2010,11,1262
EUTH REQ,FIELD OWN,9,2010,11,1263
EUTH REQ,OTC OWNED,44,2010,11,1264
OUTSURGERY,,31,2010,11,1265
OUTSURGERY,NEUTER,4,2010,11,1266
OWNER SUR,,1,2010,11,1267
OWNER SUR,FIELD,44,2010,11,1268
OWNER SUR,OTC,186,2010,11,1269
QUARANTINE,MAS,5,2010,11,1270
QUARANTINE,OWNER,2,2010,11,1271
QUARANTINE,STRAY,2,2010,11,1272
RETURN,ADOPTION,2,2010,11,1273
RETURN,OTC,16,2010,11,1274
STRAY,FIELD,356,2010,11,1275
STRAY,OTC,248,2010,11,1276
TRANSFER,,1,2010,11,1277
CONFISCATE,CHAINING,1,2010,12,1278
CONFISCATE,DANGER DOG,4,2010,12,1279
CONFISCATE,NEGLECT,22,2010,12,1280
CONFISCATE,POLICE,1,2010,12,1281
EUTH REQ,FIELD OWN,6,2010,12,1282
EUTH REQ,OTC OWNED,29,2010,12,1283
MED OBSERV,POST SURG,5,2010,12,1284
OUTSURGERY,,27,2010,12,1285
OUTSURGERY,NEUTER,2,2010,12,1286
