OBJECTID,CYCLE,ID305B,WATER_NAME,LOCATION,WATER_SIZE,SIZE_UNIT,WATER_TYPE,LIS_BASIN,LIS_ZONE,ISLAND,BEACH,CLASS_ID,CLASS_NAME,MILES_SQUARE,AQUATIC_LIFE_ATTAINMENT_CODE,AQUATIC_LIFE_ATTAINMENT,RECREATION_ATTAINMENT_CODE,RECREATION_ATTAINMENT,FISH_CONSUMPTN_ATTAINMENT_CODE,FISH_CONSUMPTION_ATTAINMENT,SHELLFISH_USE_DESCRIPTION,SHELLFISH_ATTAINMENT_CODE,SHELLFISH_ATTAINMENT,IMPAIRED,Shape__Area,Shape__Length
69,2016,CT-E2_013,"LIS EB Shore - Niantic Bay (East), Waterford","See Map for Boundaries.  Eastern portion of LIS from Smith Avenue at junction with Route 156 to Millstone Point, out approximately 1000 ft offshore.  Waters adjacent to Millstone Power Plant.",0.444,SQUARE MILES,ESTUARY,Eastern,Shore,False,False,51,Coastal and Marine Surface Waters Class SA,0.444,N,Not Supporting,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,12386349.3603516,27604.1661396767
70,2016,CT-E3_011,"LIS EB Midshore - Old Saybrook, Indian Harbor","See Map for Boundaries.  Eastern portion of LIS from approximately 1000 ft offshore Old Kelsey Point, to Guardhouse Point, Old Saybrook, (outer Indiantown Harbor and Plum Bank), out to 50 ft contour.",5.639,SQUARE MILES,ESTUARY,Eastern,Midshore,False,False,51,Coastal and Marine Surface Waters Class SA,5.639,F,Fully Supporting,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,157218608.932312,57646.7166725746
71,2016,CT-C3_001,"LIS CB Midshore - Westbrook Harbor, Westbrook","See Map for Boundaries.  Central portion of LIS from approximately 1000 ft offshore (Westbrook Harbor), out to 50 ft contour and basin boundary separating Eastern/Central.",2.692,SQUARE MILES,ESTUARY,Central,Midshore,True,False,51,Coastal and Marine Surface Waters Class SA,2.692,F,Fully Supporting,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,75045739.045166,40337.5174446511
72,2016,CT-E3_012,LIS EB Midshore - Westbrook,"See Map for Boundaries.  Eastern portion of LIS from approximately 1000 ft offshore Old Kelsey Point (outer Westbrook Harbor), out to 50 ft contour. Odd shape due to 50 ft contour.",7.407,SQUARE MILES,ESTUARY,Eastern,Midshore,False,False,51,Coastal and Marine Surface Waters Class SA,7.407,F,Fully Supporting,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,206495230.393921,88773.6682579121
74,2016,CT-W3_010,"LIS WB Midshore - Outer Cove Harbor, Darien","See Map for Boundaries.  Western portion of LIS from approximately 1000 ft offshore (off of Long neck Point, outer Cove Harbor, Darien Cove, Scott Cove area), out to 50 ft contour, Darien.",2.113,SQUARE MILES,ESTUARY,Western,Midshore,False,False,51,Coastal and Marine Surface Waters Class SA,2.113,N,Not Supporting,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,58903269.492981,38700.8838749499
75,2016,CT-C2_011,"LIS CB Shore - Stony Creek (East), Branford","See Map for Boundaries.  Central portion of LIS from Flying Point to Clark Point area (includes Hoadley Neck, Narrows Island), out approximately 1000 ft offshore, Branford/Guilford.",0.546,SQUARE MILES,ESTUARY,Central,Shore,True,False,51,Coastal and Marine Surface Waters Class SA,0.546,X,Unassessed,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,15221554.6694336,52267.5214991364
76,2016,CT-C3_009-I,"LIS CB Midshore - Thimble Islands, Branford","See Map for Boundaries.  Central portion of LIS from approximately 1000 ft offshore (Thimble Islands), out to 50 ft contour, Branford.",1.457,SQUARE MILES,ESTUARY,Central,Midshore,True,False,51,Coastal and Marine Surface Waters Class SA,1.457,F,Fully Supporting,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,40614880.4883423,75470.3197500756
77,2016,CT-C2_012,"LIS CB Shore - Stony Creek (West), Branford","See Map for Boundaries.  Central portion of LIS from Brown Point to Flying Point area (includes Stony Creek Beach, Saint Helena Island, Juniper Point, Pleasant Point), out approximately 1000 ft offshore, Branford.",0.379,SQUARE MILES,ESTUARY,Central,Shore,True,True,51,Coastal and Marine Surface Waters Class SA,0.379,X,Unassessed,F,Fully Supporting,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,10555102.774231,39606.8056074292
78,2016,CT-W1_020,"LIS WB Inner - Indian Harbor (upper), Greenwich","See Map for Boundaries.  Western portion of LIS, Inner Estuary, upper Indian Harbor (lower portion of Greenwich Creek) from Davis Avenue crossing, US to saltwater limit at West Brother Drive crossing (includes I95 crossing), Greenwich.",0.025,SQUARE MILES,ESTUARY,Western,Inner Estuary,True,False,51,Coastal and Marine Surface Waters Class SA,0.025,N,Not Supporting,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,X,Unassessed,Yes,685988.43862915,9582.32452347862
79,2016,CT-W2_023,"LIS WB Shore - Smith Cove, Indian Hrbr, Greenwich","See Map for Boundaries.  Western portion of LIS from Field Point to Tweed Island (includes Round Island, Tweed Island, Smith Cove, Indian Harbor) out approximately 1000 ft offshore, Greenwich.",0.374,SQUARE MILES,ESTUARY,Western,Shore,True,False,51,Coastal and Marine Surface Waters Class SA,0.374,N,Not Supporting,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,10435117.5658569,36286.0095427086
80,2016,CT-C2_024-SB,"LIS CB Shore - Housatonic River mouth, Stratford","See Map for Boundaries.  Central portion of LIS from SA/SB WQ line at Stratford Point to SA/SB WQ line at Milford Point area (includes Short Beach, entire mouth of Housatonic River) all SB waters out approximately 1000-4000 ft offshore, Stratford.",0.64,SQUARE MILES,ESTUARY,Central,Shore,False,True,52,Coastal and Marine Surface Waters Class SB,0.64,N,Not Supporting,F,Fully Supporting,F,Fully Supporting,Shellfish Commercial Harvesting,N,Not Supporting,Yes,17852314.4110107,28860.2129294079
83,2016,CT-C3_003,"LIS CB Midshore - Outer Clinton Harbor, Clinton","See Map for Boundaries.  Central portion of LIS from approximately 1000 ft offshore (Clinton Harbor), out to 50 ft contour, Clinton.",2.524,SQUARE MILES,ESTUARY,Central,Midshore,True,False,51,Coastal and Marine Surface Waters Class SA,2.524,F,Fully Supporting,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,70372699.9241333,38711.6403275541
84,2016,CT-C1_002-SB,"LIS CB Inner - Inner Clinton Harbor, Clinton","See Map for Boundaries.  Central portion of LIS, Inner Estuary, SB water of inner Clinton Harbor, including mouths of Hammonasset, Indian, Hammock Rivers, and Dudley Creek (includes Esposito Beach), Clinton.",0.372,SQUARE MILES,ESTUARY,Central,Inner Estuary,False,True,52,Coastal and Marine Surface Waters Class SB,0.372,N,Not Supporting,X,Unassessed,F,Fully Supporting,Shellfish Commercial Harvesting,F,Fully Supporting,Yes,10377399.7059937,21148.1794158331
85,2016,CT-C1_003-SB,"LIS CB Inner - Hammonasset River, Clinton","See Map for Boundaries.  Central portion of LIS, Inner Estuary, Hammonasset River SB water from mouth at inner Clinton Harbor, US to SA/SB water quality line between Currycross Road and RR track, Clinton.",0.072,SQUARE MILES,ESTUARY,Central,Inner Estuary,False,False,52,Coastal and Marine Surface Waters Class SB,0.072,X,Unassessed,X,Unassessed,F,Fully Supporting,Shellfish Commercial Harvesting,N,Not Supporting,Yes,2004912.58111572,26163.4200852855
86,2016,CT-C1_005,"LIS CB Inner - Clinton Harbor (SA Inputs), Clinton","See Map for Boundaries.  Central portion of LIS, Inner Estuary, (DISCONTINUOUS SEGMENT) SA water of upper Hammonasset, Indian, Hammock Rivers, Dudley Creek and other small tributaries, from SA/SB water quality line, US to saltwater limits, Clinton.",0.138,SQUARE MILES,ESTUARY,Central,Inner Estuary,False,False,51,Coastal and Marine Surface Waters Class SA,0.138,X,Unassessed,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,3842627.11468506,98107.7573022069
87,2016,CT-W2_003,"LIS WB Shore - Seaside Park Beach, Bridgeport","See Map for Boundaries.  Western portion of LIS from tip of Fayerweather Island to SA/SB WQ line at Bridgeport Harbor area (includes Seaside Park Beach, SB water is Bridgeport Harbor) out approximately 1000 ft offshore, Bridgeport.",0.492,SQUARE MILES,ESTUARY,Western,Shore,False,True,51,Coastal and Marine Surface Waters Class SA,0.492,X,Unassessed,F,Fully Supporting,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,13719018.5932312,30076.7856384555
88,2016,CT-W2_017,"LIS WB Shore - Darien Cove, Darien","See Map for Boundaries.  Western portion of LIS from Greenway Island area of outer Cove Harbor to Long Neck Point (includes Pear Tree Point Beach, Nash Island, Darien River mouth) out approximately 1000 ft offshore, Darien.",0.498,SQUARE MILES,ESTUARY,Western,Shore,True,True,51,Coastal and Marine Surface Waters Class SA,0.498,X,Unassessed,F,Fully Supporting,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,13893733.6144714,46949.5096110643
89,2016,CT-C1_015-SB,"LIS CB Inner - West River (Lower), West Haven","See Map for Boundaries.  Central portion of LIS, Inner Estuary, from mouth just DS of I95 crossing (City Point, New Haven Harbor), US to SA/SB water quality line at Route 1 crossing, West Haven.",0.065,SQUARE MILES,ESTUARY,Central,Inner Estuary,False,False,52,Coastal and Marine Surface Waters Class SB,0.065,N,Not Supporting,N,Not Supporting,F,Fully Supporting,Shellfish Commercial Harvesting,X,Unassessed,Yes,1817773.27990723,27773.310219118
90,2016,CT-C1_021-SB,"LIS CB Inner - Housatonic River (Upper), Orange","See Map for Boundaries.  Central portion of LIS, Inner Estuary, from Route 15 crossing, US to just below Wooster Island (includes Great Flats, and mouth of Farmill River) Orange/Shelton.",0.402,SQUARE MILES,ESTUARY,Central,Inner Estuary,True,False,52,Coastal and Marine Surface Waters Class SB,0.402,N,Not Supporting,X,Unassessed,F,Fully Supporting,Shellfish Commercial Harvesting,X,Unassessed,Yes,11206148.5198364,43096.3295570413
91,2016,CT-E1_011-SB,"LIS EB Inner - Mumford Cove (Inner), Groton","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Inner Mumford Cove along east side of Bluff Point State Park shore, and North of Groton Long Point to saltwater limit near RR crossing, Groton.",0.219,SQUARE MILES,ESTUARY,Eastern,Inner Estuary,False,False,52,Coastal and Marine Surface Waters Class SB,0.219,X,Unassessed,X,Unassessed,F,Fully Supporting,Shellfish Commercial Harvesting,N,Not Supporting,Yes,6105252.72631836,17747.2107938155
92,2016,CT-E1_021,"LIS EB Inner - Pattagansett Rvr (mouth), East Lyme","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Pattagansett River from outlet at RR crossing, US to saltwater limit at Route 156 crossing, East Lyme.",0.048,SQUARE MILES,ESTUARY,Eastern,Inner Estuary,False,False,51,Coastal and Marine Surface Waters Class SA,0.048,X,Unassessed,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,1345579.89160156,16943.0398791074
94,2016,CT-E2_022,"LIS EB Shore - Indiantown Harbor, Old Saybrook","See Map for Boundaries.  Eastern portion of LIS from Long Rock to Plum Bank Creek (includes the mouth of Oytser River and Back River, and Plum Bank Creek), out approximately 1000 ft offshore.",0.389,SQUARE MILES,ESTUARY,Eastern,Shore,False,True,51,Coastal and Marine Surface Waters Class SA,0.389,X,Unassessed,F,Fully Supporting,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,10856712.6241455,28446.8328215178
95,2016,CT-C1_004-SB,"LIS CB Inner - Hayden Creek, Clinton","See Map for Boundaries.  Central portion of LIS, Inner Estuary, Hayden Creek SB water from mouth at Hammonasset River (parallel with Pratt Road), US to saltwater limit near Maple Avenue (off Route 1), Clinton.",0.009,SQUARE MILES,ESTUARY,Central,Inner Estuary,False,False,52,Coastal and Marine Surface Waters Class SB,0.009,X,Unassessed,X,Unassessed,F,Fully Supporting,Shellfish Commercial Harvesting,N,Not Supporting,Yes,248499.950561523,12064.5159317706
96,2016,CT-C1_013-SB,"LIS CB Inner - New Haven Harbor, New Haven","See Map for Boundaries.  Central portion of LIS, Inner Estuary, Inner New Haven Harbor from Sandy Point to I95 crossing (mouth of Quinnipiac and Mill Rivers, and mouth of West River), New Haven/West Haven.",2.343,SQUARE MILES,ESTUARY,Central,Inner Estuary,False,False,52,Coastal and Marine Surface Waters Class SB,2.343,N,Not Supporting,N,Not Supporting,F,Fully Supporting,Shellfish Commercial Harvesting,N,Not Supporting,Yes,65321194.3062744,58309.3018228375
97,2016,CT-C1_012,"LIS CB Inner - Morris Creek, East Haven","See Map for Boundaries.  Central portion of LIS, Inner Estuary, SA water from SA/SB water quality line at New Haven Harbor (near Lighthouse Point Beach) to, US to saltwater limit above Route 337, East Haven/New Haven.",0.016,SQUARE MILES,ESTUARY,Central,Inner Estuary,False,False,51,Coastal and Marine Surface Waters Class SA,0.016,N,Not Supporting,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,X,Unassessed,Yes,432531.485717773,11231.358200017
98,2016,CT-C2_017-SB,"LIS CB Shore - Morris Cove, New Haven","See Map for Boundaries.  Central portion of LIS from Black Rock to Morgan Point area (includes Lighthouse Point Beach, Lighthouse Point, South End), out approximately 1000 ft offshore, New Haven.",0.586,SQUARE MILES,ESTUARY,Central,Shore,False,True,52,Coastal and Marine Surface Waters Class SB,0.586,N,Not Supporting,F,Fully Supporting,F,Fully Supporting,Shellfish Commercial Harvesting,F,Fully Supporting,Yes,16325094.713562,36372.4218838786
99,2016,CT-E2_020,"LIS EB Shore - Willard Bay, Old Saybrook","See Map for Boundaries.  Eastern portion of LIS from Cornfield Point to SB/SA water quality boundary at Lynde Point, out approximately 1000 ft offshore. (SB water)",0.5,SQUARE MILES,ESTUARY,Eastern,Shore,False,False,51,Coastal and Marine Surface Waters Class SA,0.5,X,Unassessed,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,13928373.6848755,29879.5685919762
100,2016,CT-E2_018,"LIS EB Shore - Soundview Beach, Old Lyme","See Map for Boundaries.  Eastern portion of LIS from SB/SA water quality boundary at Hawks Nest Beach area to Hatchett Point (Includes Soundview Beach), out approximately 1000 ft offshore.",0.332,SQUARE MILES,ESTUARY,Eastern,Shore,False,True,51,Coastal and Marine Surface Waters Class SA,0.332,X,Unassessed,F,Fully Supporting,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,9246758.45733643,20951.4117919319
101,2016,CT-E1_032,"LIS EB Inner - Oyster River Area, Old Saybrook","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Oyster River, Plum Bank Creek, and Back River from mouths on Indian Harbor, US to saltwater limits (Oyster River is to RR crossing above Route 1), Old Saybrook.",0.098,SQUARE MILES,ESTUARY,Eastern,Inner Estuary,False,False,51,Coastal and Marine Surface Waters Class SA,0.098,X,Unassessed,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,2736394.59490967,60412.0746500354
102,2016,CT-C1_001,LIS CB Inner - Patchogue And Menunketesuck Rivers,"See Map for Boundaries.  Central portion of LIS, Inner Estuary, Patchogue and Menunketesuck Rivers from mouths at Grove Beach Point, US to saltwater limits just above I95 crossing, and at I95 crossing respectively, Westbrook.",0.182,SQUARE MILES,ESTUARY,Central,Inner Estuary,False,False,51,Coastal and Marine Surface Waters Class SA,0.182,X,Unassessed,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,5060668.84375,88922.0596382774
103,2016,CT-W3_012,"LIS WB Midshore - Outer Stamford Harbor, Greenwich","See Map for Boundaries.  Western portion of LIS from approximately 1000 ft offshore (Greenwich Point to Shippan Point area), out to 50 ft contour, Greenwich/Stamford.",2.101,SQUARE MILES,ESTUARY,Western,Midshore,False,False,51,Coastal and Marine Surface Waters Class SA,2.101,N,Not Supporting,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,58581899.6998291,32734.2928844888
104,2016,CT-W3_011,"LIS WB Midshore - Outer Westcott Cove, Stamford","See Map for Boundaries.  Western portion of LIS from approximately 1000 ft offshore (Shippan Point to Greenway Island, outer Westcott Cove, Cove Harbor, Darien Cove, Scott Cove areas), out to 50 ft contour, Stamford.",2.404,SQUARE MILES,ESTUARY,Western,Midshore,False,False,51,Coastal and Marine Surface Waters Class SA,2.404,N,Not Supporting,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,67015564.938324,43044.6330024383
105,2016,CT-C3_017,LIS CB Midshore - Milford,"See Map for Boundaries.  Central portion of LIS, SA water from SA/SB water boundary along outer New Haven Harbor, out to 50 ft contour, Milford.",8.095,SQUARE MILES,ESTUARY,Central,Midshore,False,False,51,Coastal and Marine Surface Waters Class SA,8.095,N,Not Supporting,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,225669935.932434,63748.8134522877
106,2016,CT-E3_007,"LIS EB Midshore - East Lyme, Rocky Neck","See Map for Boundaries.  Eastern portion of LIS from approximately 1000 ft offshore Hatchett Point to Black Point, East Lyme, out to 50 ft contour (offshore of mouths of Fourmile and Pattagasett Rivers).",2.93,SQUARE MILES,ESTUARY,Eastern,Midshore,True,False,51,Coastal and Marine Surface Waters Class SA,2.93,X,Unassessed,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,81687630.5792236,53108.9529702101
107,2016,CT-C3_019-I,"LIS CB Midshore - Outer Silver Sand Beach, Milford","See Map for Boundaries.  Central portion of LIS from SA/SB water quality line along beach, out to Island (THE GULF SA water inside of Island at Silver Sands State Park Beach), Milford.",0.573,SQUARE MILES,ESTUARY,Central,Midshore,True,False,51,Coastal and Marine Surface Waters Class SA,0.573,X,Unassessed,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,15972018.4317017,17949.3805112372
108,2016,CT-C3_018,"LIS CB Midshore - Fort Trumbull, Milford","See Map for Boundaries.  Central portion of LIS from approximately 1000 ft offshore (Silver Sands State Park area, water beyond Island), out to 50 ft contour, Milford.",11.311,SQUARE MILES,ESTUARY,Central,Midshore,False,False,51,Coastal and Marine Surface Waters Class SA,11.311,N,Not Supporting,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,F,Fully Supporting,Yes,315335913.110474,79956.7441267246
109,2016,CT-C2_004,"LIS CB Shore - Outer Clinton Harbor, Clinton","See Map for Boundaries.  Central portion of LIS from West Rock to Kelsey Point area (outer Clinton Harbor SA water includes Hammonasset, Indian, and Hammock River outlets, and Town Beach), out approximately 1000 ft offshore, Clinton.",0.505,SQUARE MILES,ESTUARY,Central,Shore,False,True,51,Coastal and Marine Surface Waters Class SA,0.505,X,Unassessed,F,Fully Supporting,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,14086479.9923706,30531.0415079853
110,2016,CT-E2_002,"LIS EB Shore - Stonington Point, Stonington","See Map for Boundaries.  Eastern portion of LIS from Stonington Point to RR crossing on west side of Wequetequock Cove, out approximately 1000 ft offshore.",0.668,SQUARE MILES,ESTUARY,Eastern,Shore,True,False,51,Coastal and Marine Surface Waters Class SA,0.668,N,Not Supporting,N,Not Supporting,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,18627636.1362915,43631.7253247064
111,2016,CT-C3_013-SB,"LIS CB Midshore - New Haven Harbor, East Haven","See Map for Boundaries.  Central portion of LIS from approximately 1000 ft offshore (South End, Morgan Point), out to extent of SB water at SA/SB water quality line for outer New Haven Harbor, East Haven.",6.051,SQUARE MILES,ESTUARY,Central,Midshore,False,False,52,Coastal and Marine Surface Waters Class SB,6.051,N,Not Supporting,X,Unassessed,F,Fully Supporting,Shellfish Commercial Harvesting,F,Fully Supporting,Yes,168704132.15332,54179.7350316218
112,2016,CT-C3_014-SB,"LIS CB Midshore - New Haven Harbor, West Haven","See Map for Boundaries.  Central portion of LIS from approximately 1000 ft offshore (Morningside to West Shore), out to extent of SB water at SA/SB water quality line for outer New Haven Harbor, Milford/West Haven.",7.961,SQUARE MILES,ESTUARY,Central,Midshore,False,False,52,Coastal and Marine Surface Waters Class SB,7.961,N,Not Supporting,X,Unassessed,F,Fully Supporting,Shellfish Commercial Harvesting,F,Fully Supporting,Yes,221950797.418213,69000.5834546197
113,2016,CT-E3_004,"LIS EB Midshore - Groton, Thames River","See Map for Boundaries.  Eastern portion of LIS from SB/SA water quality boundary out to 50 ft contour offshore of Goshen Point, Waterford, to approximately 1000 ft offshore, Groton Long Point, out to CT/NY State line.",6.738,SQUARE MILES,ESTUARY,Eastern,Midshore,False,False,51,Coastal and Marine Surface Waters Class SA,6.738,X,Unassessed,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,187854525.838013,81868.1818406068
115,2016,CT-E1_003,"LIS EB Inner - Inner Wequetequock Cove, Stonington","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Inner Wequetequock Cove from RR crossing US to Saltwater limit, in two lopes adjacent to Route 1, Stonington.",0.094,SQUARE MILES,ESTUARY,Eastern,Inner Estuary,False,False,51,Coastal and Marine Surface Waters Class SA,0.094,N,Not Supporting,N,Not Supporting,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,2631438.84729004,19178.1150424784
116,2016,CT-E1_007-SB,"LIS EB Inner - Mystic River (Mouth), Stonington","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Mouth of Mystic River Estuary from RR crossing, US to Saltwater limit, above Route 95 crossing, adjacent to Mill Street, Stonington (Old Mystic).",0.453,SQUARE MILES,ESTUARY,Eastern,Inner Estuary,False,False,52,Coastal and Marine Surface Waters Class SB,0.453,F,Fully Supporting,X,Unassessed,F,Fully Supporting,Shellfish Commercial Harvesting,N,Not Supporting,Yes,12632234.017395,46973.1376833157
118,2016,CT-C2_013,"LIS CB Shore - Indian Neck, Branford","See Map for Boundaries.  Central portion of LIS from Clam Island to Brown Point area (includes Haycock Point), out approximately 1000 ft offshore, Branford.",0.567,SQUARE MILES,ESTUARY,Central,Shore,True,False,51,Coastal and Marine Surface Waters Class SA,0.567,X,Unassessed,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,15818044.8638916,36936.9040296724
119,2016,CT-C3_010,"LIS CB Midshore - Indian Neck, Branford","See Map for Boundaries.  Central portion of LIS from approximately 1000 ft offshore (Indian Neck, Little Point), out to 50 ft contour, Branford.",8.554,SQUARE MILES,ESTUARY,Central,Midshore,True,False,51,Coastal and Marine Surface Waters Class SA,8.554,F,Fully Supporting,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,238458705.479736,69642.3020861341
120,2016,CT-W3_003,"LIS WB Midshore - Bridgeport Hbr, West, Bridgeport","See Map for Boundaries.  Western portion of LIS from approximately 1000 ft offshore (Grover Hill, Fayerweather Island, Seaside Beach area), out to 50 ft contour, Bridgeport. Odd shape due to 50 ft contour.",6.059,SQUARE MILES,ESTUARY,Western,Midshore,False,False,51,Coastal and Marine Surface Waters Class SA,6.059,N,Not Supporting,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,168911527.666931,64565.8310752736
121,2016,CT-C2_006,"LIS CB Shore - Madison Beaches (East), Madison","See Map for Boundaries.  Central portion of LIS from West Warf to Webster Point area (includes West Warf and East Warf Beaches, Tuxis Island, and tidal Fence Creek ), out approximately 1000 ft offshore, Madison.",0.399,SQUARE MILES,ESTUARY,Central,Shore,True,True,51,Coastal and Marine Surface Waters Class SA,0.399,X,Unassessed,F,Fully Supporting,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,11113917.585083,36611.9739565693
122,2016,CT-W3_008-I,"LIS WB Midshore - Norwalk Islands, Norwalk","See Map for Boundaries.  Western portion of LIS from approximately 1000 ft offshore (Norton Point to Seymour Point, includes all Norwalk Islands area), out to line just beyond Sheffield Island to Cockenoe Island, Norwalk.",5.94,SQUARE MILES,ESTUARY,Western,Midshore,True,False,51,Coastal and Marine Surface Waters Class SA,5.94,N,Not Supporting,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,165604705.085602,144644.657657928
123,2016,CT-E1_028-SB,"LIS EB Inner - Lieutenant River, Old Lyme","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Leiutenant River from Route 156 crossing, US to saltwater limit adjacent to Longacre Lane, Old Lyme.",0.105,SQUARE MILES,ESTUARY,Eastern,Inner Estuary,False,False,52,Coastal and Marine Surface Waters Class SB,0.105,X,Unassessed,N,Not Supporting,F,Fully Supporting,Shellfish Commercial Harvesting,X,Unassessed,Yes,2917641.93951416,34788.936712761
124,2016,CT-W2_004,"LIS WB Shore - Outer Bridgeport Harbor, Fairfield","See Map for Boundaries.  Western portion of LIS from Shoal Point to tip of Fayerweather Island (includes Penfield Beach, Jennings Beach, Ash Creek outlet) out approximately 1000 ft offshore, Fairfield.",0.407,SQUARE MILES,ESTUARY,Western,Shore,False,True,51,Coastal and Marine Surface Waters Class SA,0.407,X,Unassessed,F,Fully Supporting,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,11360144.7259216,25131.5384830323
125,2016,CT-W2_005,"LIS WB Shore - Pine Creek Point, Fairfield","See Map for Boundaries.  Western portion of LIS from Pine Creek Point area to Shoal Point (includes South Pine Creek Beach, Pine Creek outlet) out approximately 1000 ft offshore, Fairfield.",0.37,SQUARE MILES,ESTUARY,Western,Shore,False,True,51,Coastal and Marine Surface Waters Class SA,0.37,X,Unassessed,F,Fully Supporting,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,10308710.2252808,22728.213908892
126,2016,CT-W2_016,"LIS WB Shore - Scott Cove, Darien","See Map for Boundaries.  Western portion of LIS from Long Neck Point to Fish Islands (includes Hay Island, Great Island) out approximately 1000 ft offshore, Darien.",0.718,SQUARE MILES,ESTUARY,Western,Shore,True,False,51,Coastal and Marine Surface Waters Class SA,0.718,X,Unassessed,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,20014992.8310852,67235.5811467354
127,2016,CT-W3_009,"LIS WB Midshore - Outer Fivemile R Estuary, Darien","See Map for Boundaries.  Western portion of LIS from approximately 1000 ft offshore (outer Scott Cove near Fish Islands to Norton Point area), out to 50 ft contour, Darien.",2.453,SQUARE MILES,ESTUARY,Western,Midshore,True,False,51,Coastal and Marine Surface Waters Class SA,2.453,N,Not Supporting,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,68390926.9485474,37578.6496338257
128,2016,CT-W2_025,"LIS WB Shore - Byram Harbor (West), Greenwich","See Map for Boundaries.  Western portion of LIS from NY/CT border at Byram River to just west of Shore Island (includes mouth of Byram River, Byram Point) out approximately 1000 ft offshore, Greenwich.",0.244,SQUARE MILES,ESTUARY,Western,Shore,False,False,51,Coastal and Marine Surface Waters Class SA,0.244,X,Unassessed,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,6798537.8565979,15988.2271261987
129,2016,CT-E2_009-SB,"LIS EB Shore - Thames River Mouth (East), Groton","See Map for Boundaries.  Eastern portion of LIS from Eastern Point in mouth of Thames River to SB/SA water quality boundary at Bushy Point Beach, out approximately 1000 ft offshore.",0.4,SQUARE MILES,ESTUARY,Eastern,Shore,False,True,52,Coastal and Marine Surface Waters Class SB,0.4,N,Not Supporting,F,Fully Supporting,F,Fully Supporting,Shellfish Commercial Harvesting,F,Fully Supporting,Yes,11140365.3204346,25880.6998060237
