OBJECTID,ALTPAST,ALLOTNUM,ALLOTNAME,PASTNUM,PASTNAME,GRAZSYS,MGMTCAT,ADMINRA,GIS_ACRES,Standard_1,Causal_Factor_1,Causal_Factor_1b,Standard_2,Causal_Factor_2,Causal_Factor_2b,Standard_3,Causal_Factor_3,Causal_Factor_3b,Standard_4,Causal_Factor_4,Causal_Factor_4b,Standard_5_TERR,Causal_Factor_5_TERR,Causal_Factor_5_TERR_b,Standard_5_RIP,Causal_Factor_5_RIP,Causal_Factor_5_RIP_b,Status,Year_Assessed,Year_Evaluated,Year_Determination,SHAPE_Length,SHAPE_Area
841,00304_13,00304,BLACK BUTTE,13.0,WEISNER,DR,I,ORV04,4107.02192278344,,,,,,,,,,,,,,,,,,,,,,,26948.9230968177,16620528.0451538
842,00304_17,00304,BLACK BUTTE,17.0,TERRY BASIN CATCH PEN,CU,I,ORV04,0.154631870746841,,,,,,,,,,,,,,,,,,,,,,,101.499010837848,625.772979239579
843,10401_16,10401,KEENEY CREEK,16.0,RILEY PLACE STATE BLOCK,CU,I,ORV04,2659.39219251294,,,,,,,,,,,,,,,,,,,,,,,12946.4670612587,10762178.3739514
844,10403_09,10403,NYSSA,9.0,RYEFIELD RSEX,RX,I,ORV04,19.675833401081,No Data,,,Meets Standard,,,No Data,,,Meets Standard,,,No Data,,,No Data,,,,,,,1158.02107565681,79625.2727652369
845,10404_22,10404,SOURDOUGH,22.0,NEGRO ROCK PEN,RE,M,ORV04,1.00177635703884,No Data,,,No Data,,,No Data,,,No Data,,,No Data,,,No Data,,,,,,,266.879840083428,4054.0450842911
846,10403_30,10403,NYSSA,30.0,RYEFIELD SEEDING TEST PLOT,MX,I,ORV04,2.37928577709716,No Data,,,Not Applicable,,,No Data,,,Meets Standard,,,No Data,,,No Data,,,,,,,393.647673370632,9628.62792777063
847,10403_15,10403,NYSSA,15.0,NORTH GRASSY MOUNTAIN RSEX,RE,I,ORV04,4.26221890393488,No Data,,,Not Applicable,,,No Data,,,No Data,,,No Data,,,No Data,,,,,,,565.682079088704,17248.5879450636
848,OUT,OUT, ,,RILEY SPRING ENCL NO.1,00,M,ORV04,14.0055571131478,,,,,,,,,,,,,,,,,,,,,,,1074.92209846816,56678.4787526322
849,10403_31,10403,NYSSA,31.0,OWYHEE RIDGE TROUGH ENCL,RE,I,ORV04,1.75626168339794,No Data,,,Not Applicable,,,No Data,,,Meets Standard,,,No Data,,,No Data,,,,,,,361.791014211593,7107.33887287399
850,00304_07,00304,BLACK BUTTE,7.0,POTHOLES,DR,I,ORV04,10331.5813922351,,,,,,,,,,,,,,,,,,,,,,,26779.1887592393,41810426.5107151
851,10401_28,10401,KEENEY CREEK,28.0,RILEY PLACE FFR NO.2,CU,I,ORV04,187.229436257717,No Data,,,Not Applicable,,,No Data,,,Not Applicable,,,,,,,,,,,,,4608.47495029439,757690.646581874
852,10403_34,10403,NYSSA,34.0,GRASSY RESERVOIR EXCLOSURE,RE,I,ORV04,1.17524179762839,No Data,,,Not Applicable,,,No Data,,,Meets Standard,,,No Data,,,No Data,,,,,,,277.896110620934,4756.03481660538
853,10501_04,10501,BLACKJACK,4.0,GUZZLER EXCLOSURE,MX,M,ORV04,0.109947185328678,,,,,,,,,,,,,,,,,,,,,,,103.133359736261,444.940473072163
854,10401_27,10401,KEENEY CREEK,27.0,RILEY PLACE FFR NO.3,CU,I,ORV04,6.80151467980376,,,,,,,,,,,,,,,,,,,,,,,786.360783493446,27524.7533640117
855,10411_03,10411,DRY CREEK,3.0,SOUTH FREEZEOUT,DR,M,ORV04,13025.3139620894,Meets Standard,,,Does Not Meet,Existing Livestock,Other,Does Not Meet,Historic Livestock,Other,Does Not Meet,,,Does Not Meet,Historic Livestock,Other,Meets Standard,,,,,,,42943.1410074296,52711575.4612577
856,00301_10,00301,HARPER,10.0,GOOD PLACE RESERVOIR ENCLOSURE,RE,I,ORV04,2.62218665266903,,,,,,,,,,,,,,,,,,,,,,,409.308051253276,10611.6128960852
857,00304_06,00304,BLACK BUTTE,6.0,JUNIPER BASIN,DR,I,ORV04,1166.19428868083,,,,,,,,,,,,,,,,,,,,,,,9631.78274645508,4719420.84691422
858,00301_08,00301,HARPER,8.0,AVERY CREEK RES ENCL,RE,I,ORV04,6.62179145636476,,,,,,,,,,,,,,,,,,,,,,,660.759561629066,26797.4392829832
859,10411_08,10411,DRY CREEK,8.0,TWIN SPRINGS RSEX,RE,M,ORV04,13.5516117052002,No Data,,,Does Not Meet,,,No Data,,,Does Not Meet,,,No Data,,,Not Applicable,,,,,,,943.188090809137,54841.4268630604
860,10403_18,10403,NYSSA,18.0,FROG POND SPR EXCL,RX,M,ORV04,0.655836792712958,No Data,,,Meets Standard,,,No Data,,,Does Not Meet,,,No Data,,,No Data,,,,,,,211.393610104847,2654.07733663665
861,10411_07,10411,DRY CREEK,7.0,TWIN SPRINGS REC SITE,MX,M,ORV04,18.2206542738074,No Data,,,Meets Standard,,,No Data,,,Meets Standard,,,No Data,,,Not Applicable,,,,,,,1385.86327728592,73736.3717682875
862,10404_12,10404,SOURDOUGH,12.0,W FREEZEOUT CR FFR,CU,M,ORV04,915.05038168228,No Data,,,No Data,,,No Data,,,No Data,,,No Data,,,No Data,,,,,,,9807.32953755003,3703077.5139305
863,00513_01,00513,GORDON GULCH,1.0,GORDON GULCH,SL,I,ORV04,1856.09386491701,,,,,,,,,,,,,,,,,,,,,,,11089.7114701233,7511345.37781663
864,10411_06,10411,DRY CREEK,6.0,E FREEZEOUT CR FFR,CU,M,ORV04,1185.67953997613,No Data,,,No Data,,,No Data,,,No Data,,,No Data,,,Not Applicable,,,,,,,10638.5565890327,4798274.86126067
865,10403_29,10403,NYSSA,29.0,TWIN SPRINGS CREEK WATER GAP,DR,M,ORV04,0.599286117611553,No Data,,,Does Not Meet,Historic Livestock,,No Data,,,Does Not Meet,,,No Data,,,No Data,,,,,,,246.88440039802,2425.22487391147
866,00304_10,00304,BLACK BUTTE,10.0,PARKS,RR,I,ORV04,3065.5496484666,,,,,,,,,,,,,,,,,,,,,,,21301.8445861284,12405839.2830831
867,10411_13,10411,DRY CREEK,13.0,TWIN CREEK PEN,RE,M,ORV04,0.5500144262799,No Data,,,No Data,,,No Data,,,No Data,,,No Data,,,Not Applicable,,,,,,,194.169685061544,2225.82941340347
868,10507_02,10507,BOARD CORRALS,2.0,BOARD CORRAL,DR,I,ORV04,6231.13548012744,,,,,,,,,,,,,,,,,,,,,,,22678.4794978505,25216510.6365982
869,00304_99,00304,BLACK BUTTE,99.0,ODFW STATE,99,I,ORV04,644.17695177882,,,,,,,,,,,,,,,,,,,,,,,9847.87959881744,2606891.63446817
870,10411_14,10411,DRY CREEK,14.0,DRY CREEK EXCLOSURE,RX,M,ORV04,25.5399106152584,No Data,,,Does Not Meet,Existing Livestock,,No Data,,,Does Not Meet,,,No Data,,,Not Applicable,,,,,,,1509.31581688493,103356.35130088
871,00405_01,00405,WALLROCK,1.0,DRY CREEK BUTTE,WO,M,ORV04,49343.9917606192,Meets Standard,,,Does Not Meet,Existing Livestock,Historic Livestock,Meets Standard,,,Does Not Meet,,,Meets Standard,,,No Data,,,,,,,64415.7142535079,199688049.963314
872,10507_07,10507,BOARD CORRALS,7.0,FFR,CU,I,ORV04,1485.04868474556,,,,,,,,,,,,,,,,,,,,,,,15686.3999639773,6009778.80743926
873,10503_02,10503,THREE FINGERS,2.0,CAMP KETTLE NORTH,WO,I,ORV04,7804.23430761137,,,,,,,,,,,,,,,,,,,,,,,26379.7710791197,31582615.7296715
874,00309_09,00309,SOUTH STAR MTN,9.0,CANYON,DR,I,ORV04,3693.78200274568,,,,,,,,,,,,,,,,,,,,,,,18436.3633448087,14948205.4207569
875,00309_10,00309,SOUTH STAR MTN,10.0,GRANITE FFR,CU,I,ORV04,9223.82644474499,,,,,,,,,,,,,,,,,,,,,,,30876.7070902927,37327501.2870192
876,10503_11,10503,THREE FINGERS,11.0,S SHEEPHEAD ENCL,RE,I,ORV04,1.946344011968,,,,,,,,,,,,,,,,,,,,,,,404.12851821806,7876.57476503247
877,00308_08,00308,BUTTE,8.0,ROBINSON RES BRNDG,RE,M,ORV04,0.260114089085852,Not Applicable,,,Not Applicable,,,Not Applicable,,,Not Applicable,,,Not Applicable,,,Not Applicable,,,,,,,132.838037706391,1052.64437197381
878,00308_07,00308,BUTTE,7.0,ROBINSON RES ENCL,RE,M,ORV04,17.6916766664448,,,,,,,,,,,,,,,,,,,,,,,1219.60021311179,71595.6753406264
879,00308_09,00308,BUTTE,9.0,E COPELAND RES ENCL,RE,M,ORV04,12.604350420633,Not Applicable,,,Not Applicable,,,Not Applicable,,,Not Applicable,,,Not Applicable,,,Not Applicable,,,,,,,921.02114063274,51007.9964499189
880,00405_07,00405,WALLROCK,7.0,ANTELOPE FLAT SEEDING,DR,M,ORV04,3226.79606722934,Meets Standard,,,Not Applicable,,,Meets Standard,,,Meets Standard,,,Meets Standard,,,No Data,,,,,,,17970.4384193377,13058380.3884421
881,00405_06,00405,WALLROCK,6.0,PAGE PLACE FFR,CU,M,ORV04,294.126493667531,No Data,,,No Data,,,No Data,,,No Data,,,No Data,,,No Data,,,,,,,4423.47016035955,1190287.68989644
882,00405_09,00405,WALLROCK,9.0,WEST PAGE PLACE FFR,CU,M,ORV04,118.024057690088,No Data,,,No Data,,,No Data,,,No Data,,,No Data,,,No Data,,,,,,,2772.75099967565,477626.415860842
883,10503_10,10503,THREE FINGERS,10.0,FFR,CU,I,ORV04,410.872673338693,,,,,,,,,,,,,,,,,,,,,,,6285.21342781861,1662742.71688935
884,10508_08,10508,ROCKVILLE,8.0,TOP RES EXCL,RE,I,ORV04,6.63520996805839,,,,,,,,,,,,,,,,,,,,,,,678.08750497533,26851.7420732096
885,00309_11,00309,SOUTH STAR MTN,11.0,CHAPMAN FFR,CU,I,ORV04,480.338702968152,,,,,,,,,,,,,,,,,,,,,,,9038.2966892496,1943861.76503395
886,10406_11,10406,QUARTZ MOUNTAIN,11.0,MORCOM COW CAMP FFR,CU,M,ORV04,281.454179350368,,,,,,,,,,,,,,,,,,,,,,,4421.83902974524,1139004.65331536
887,10406_05,10406,QUARTZ MOUNTAIN,5.0,SOUTH MCNULTY,DR,M,ORV04,11172.5362396404,,,,,,,,,,,,,,,,,,,,,,,30940.2031624891,45213650.0358854
888,10406_10,10406,QUARTZ MOUNTAIN,10.0,LONG WATERHOLE FFR,CU,M,ORV04,680.206132858706,,,,,,,,,,,,,,,,,,,,,,,6788.90706726372,2752696.55731512
889,10406_09,10406,QUARTZ MOUNTAIN,9.0,MCNULTY RES ENCL,RE,M,ORV04,36.580168553192,,,,,,,,,,,,,,,,,,,,,,,1540.06189061244,148034.69004196
890,00303_13,00303,TURNBULL,13.0,FANGOLLANO FFR,CU,M,ORV04,848.036828678654,,,,,,,,,,,,,,,,,,,,,,,7757.37621890812,3431883.28656994
891,10406_06,10406,QUARTZ MOUNTAIN,6.0,MUD FLAT FFR,CU,M,ORV04,3304.9791937668,,,,,,,,,,,,,,,,,,,,,,,17085.3414918324,13374776.2761935
892,10903_11,10903,EAST COW CREEK,11.0,DOWNEY CANYON,DR,M,ORV04,1260.25173858623,,,,,,,,,,,,,,,,,,,,,,,10067.292933707,5100057.84213845
893,10903_03,10903,EAST COW CREEK,3.0,JORDAN VALLEY NORTH,SP,M,ORV04,1387.62557001462,,,,,,,,,,,,,,,,,,,,,,,13440.3709872332,5615521.44990013
894,20805_06,20805,SADDLE BUTTE,6.0,CLARK GZEX,MX,M,ORV04,0.713522666758083,,,,,,,,,,,,,,,,,,,,,,,194.151460228753,2887.52378649792
895,21001_24,21001,AROCK,24.0,GRASSY MOUNTAIN WATER GAP,RX,M,ORV04,39.1901390943184,,,,,,,,,,,,,,,,,,,,,,,1595.44629070479,158596.866088592
896,21001_23,21001,AROCK,23.0,PINTO HORSE WATER GAP EXCL,RE,M,ORV04,9.07953279999817,,,,,,,,,,,,,,,,,,,,,,,804.952605208483,36743.5656240641
897,OUT,OUT,,, ,00,M,ORV04,1123.24647715683,,,,,,,,,,,,,,,,,,,,,,,8958.27497020501,4545617.2200203
898,11004_18,11004,WILLOW CREEK,18.0,BLACK BUTTE,DR,I,ORV04,2395.34696169441,,,,,,,,,,,,,,,,,,,,,,,13831.2391259085,9693625.23580934
899,11005_04,11005,BIGHORN,4.0,TODDS PIT EXCL,RE,M,ORV04,2.50033628378261,,,,,,,,,,,,,,,,,,,,,,,436.12580872212,10118.5019481854
900,21003_03,21003,RATTLESNAKE,3.0,RATTLESNAKE INDIVIDUAL FFR,CU,C,ORV04,2565.65808639985,,,,,,,,,,,,,,,,,,,,,,,16014.5443827399,10382849.9046297
901,11014_01,11014,CHERRY CREEK,1.0,CHERRY CREEK,SP,C,ORV04,610.070017356105,,,,,,,,,,,,,,,,,,,,,,,8231.55142428971,2468865.76785123
902,01201_38,01201,15-MILE COMMUNITY,38.0,CASCADE (HARPER) RSEX,RX,I,ORV04,3.93629898884238,,,,,,,,,,,,,,,,,,,,,,,493.481779328086,15929.6368434834
903,01201_46,01201,15-MILE COMMUNITY,46.0,COYOTE GZEX,MX,I,ORV04,1.05372452369396,,,,,,,,,,,,,,,,,,,,,,,277.99236500547,4264.27185615127
904,01206_99,01206,WHITEHORSE BUTTE,99.0,PRIVATE,CU,I,ORV04,2769.51360657822,,,,,,,,,,,,,,,,,,,,,,,33346.3983424295,11207823.9257053
905,10406_02,10406,QUARTZ MOUNTAIN,2.0,WILLOW SPRING,WO,M,ORV04,16322.9091993236,,,,,,,,,,,,,,,,,,,,,,,48482.7206722789,66056469.9255346
906,10504_01,10504,SPRING MOUNTAIN,1.0,SPRING CREEK SEEDING NORTH,DR,I,ORV04,1437.59141112834,,,,,,,,,,,,,,,,,,,,,,,10085.5283584679,5817726.03491179
907,OUT,OUT,,, ,00,M,ORV04,496.079496613588,,,,,,,,,,,,,,,,,,,,,,,5959.29315786604,2007562.49689166
908,NOALC,NOALC,,,BIRCH CREEK RANCH,NX,M,ORV04,476.126513426442,,,,,,,,,,,,,,,,,,,,,,,11180.4176216645,1926815.63873472
909,10605_08,10605,VENATOR,8.0,SOUTH DEADMAN,SS,M,ORV04,6937.42488069891,,,,,,,,,,,,,,,,,,,,,,,22980.3717812484,28074762.4333739
910,10504_24,10504,SPRING MOUNTAIN,24.0,FFR,CU,M,ORV04,649.600552673554,,,,,,,,,,,,,,,,,,,,,,,7186.80573610966,2628840.16858156
911,10506_04,10506,BIRCH CREEK,4.0,SOUTH BLACKROCKS,WO,I,ORV04,1015.1132524735,,,,,,,,,,,,,,,,,,,,,,,8839.89236953629,4108017.58523575
912,10406_08,10406,QUARTZ MOUNTAIN,8.0,GREELEY BAR,MX,M,ORV04,49.3234202285288,,,,,,,,,,,,,,,,,,,,,,,1996.45508427117,199604.799926556
913,NOALC,NOALC, ,,OWYHEE RIVER NOT ALLOCATED,NX,M,ORV04,3206.57458225984,,,,,,,,,,,,,,,,,,,,,,,41330.0889095848,12976546.9421228
914,10504_24,10504,SPRING MOUNTAIN,24.0,FFR,CU,M,ORV04,712.31095112818,,,,,,,,,,,,,,,,,,,,,,,7643.28885529055,2882620.14731893
915,10509_14,10509,MAHOGANY MOUNTAIN,14.0,SHELL ROCK BC RES EXCL,RX,I,ORV04,14.2327598139416,,,,,,,,,,,,,,,,,,,,,,,982.036570631389,57597.9354615263
916,10505_04,10505,MCCAIN SPRINGS,4.0,MCCAIN SPRINGS FFR,CU,I,ORV04,650.974730066083,,,,,,,,,,,,,,,,,,,,,,,10470.6125606329,2634401.26718803
917,10901_02,10901,LODGE,2.0,EAST,DR,M,ORV04,11484.7686218924,,,,,,,,,,,,,,,,,,,,,,,44092.7568470337,46477209.6572833
918,10509_10,10509,MAHOGANY MOUNTAIN,10.0,FFR,CU,I,ORV04,1414.21447249039,,,,,,,,,,,,,,,,,,,,,,,11144.2944695184,5723122.92064875
919,10504_25,10504,SPRING MOUNTAIN,25.0,STRODE SPR EXCL,RX,I,ORV04,4.38278869723207,,,,,,,,,,,,,,,,,,,,,,,539.121969569189,17736.5165874157
920,10504_17,10504,SPRING MOUNTAIN,17.0,STICKY JOE SEEDING,DR,I,ORV04,948.081057289572,,,,,,,,,,,,,,,,,,,,,,,8507.75211161802,3836747.91564809
921,20902_09,20902,WEST COW CREEK,9.0,MUD CREEK EAST,DR,M,ORV04,3.64391166100745,,,,,,,,,,,,,,,,,,,,,,,488.178512354349,14746.3873080062
922,20902_07,20902,WEST COW CREEK,7.0,LODGE ANNEX WEST,DR,M,ORV04,881.168304942064,,,,,,,,,,,,,,,,,,,,,,,8070.09197330072,3565961.61407011
923,10905_02,10905,OLIVER,2.0,COW LAKES,XX,M,ORV04,48.2548468847818,,,,,,,,,,,,,,,,,,,,,,,1801.62561205084,195280.437027608
924,20902_06,20902,WEST COW CREEK,6.0,LODGE ANNEX EAST,DR,M,ORV04,1120.12453526881,,,,,,,,,,,,,,,,,,,,,,,12868.0737063915,4532983.16944039
925,NOALC,NOALC, ,,OWYHEE RIVER NOT ALLOCATED,NX,M,ORV04,127.008121138008,,,,,,,,,,,,,,,,,,,,,,,5626.7230641069,513983.630724307
926,10903_18,10903,EAST COW CREEK,18.0,COW CREEK UPEX,EX,M,ORV04,10.9301406837058,,,,,,,,,,,,,,,,,,,,,,,837.929143096312,44232.7100235902
927,20805_03,20805,SADDLE BUTTE,3.0,CHUCKAR GZEX,MX,M,ORV04,2.29887216453282,,,,,,,,,,,,,,,,,,,,,,,367.541492548449,9303.20558331622
928,10903_02,10903,EAST COW CREEK,2.0,HOOKER CREEK SOUTH,DR,M,ORV04,1453.04088970252,,,,,,,,,,,,,,,,,,,,,,,11279.4775899777,5880247.85650246
929,10903_22,10903,EAST COW CREEK,22.0,BENNETT SOUTH,SP,M,ORV04,516.491663615315,,,,,,,,,,,,,,,,,,,,,,,6749.66355963839,2090167.6060177
930,10903_17,10903,EAST COW CREEK,17.0,JIM SPRING SPEX,RX,M,ORV04,5.99276639776027,,,,,,,,,,,,,,,,,,,,,,,658.470422780643,24251.8651847191
931,10702_04,10702,SHEEPHEADS,4.0,EAST RYEGRASS,DR,M,ORV04,17955.6642088655,,,,,,,,,,,,,,,,,,,,,,,33445.3275617221,72663995.0221052
932,10702_02,10702,SHEEPHEADS,2.0,WEST RYEGRASS,DR,M,ORV04,16892.243097608,,,,,,,,,,,,,,,,,,,,,,,36183.2785390177,68360482.4682971
933,10903_14,10903,EAST COW CREEK,14.0,LITTLE SANDY SOUTH,DR,M,ORV04,999.835782376263,,,,,,,,,,,,,,,,,,,,,,,8950.14507180235,4046191.85725471
934,20902_32,20902,WEST COW CREEK,32.0,OWYHEE BUTTE BBEX#1,MX,M,ORV04,0.0701642954319028,,,,,,,,,,,,,,,,,,,,,,,67.4789155893205,283.944829591767
935,20902_34,20902,WEST COW CREEK,34.0,DOG LAKE RES. EXCL.,RE,M,ORV04,8.93342582909971,,,,,,,,,,,,,,,,,,,,,,,759.261745024282,36152.2916905262
936,20805_05,20805,SADDLE BUTTE,5.0,RIM GZEX,MX,M,ORV04,1.89924143610995,,,,,,,,,,,,,,,,,,,,,,,396.376722667065,7685.95740340975
937,01402_01,01402,STAR VALLEY COMMUNITY,1.0,NORTH STONEY CORRAL,SS,M,ORV04,57248.2453266985,Meets Standard,,,Not Applicable,,,Meets Standard,,,Meets Standard,,,Meets Standard,,,Not Applicable,,,,,,,87908.7962784088,231675429.271481
938,11306_06,11306,CAMPBELL,6.0,TWIN SPRINGS MIDDLE,RR,M,ORV04,7162.08835583331,Meets Standard,,,Not Applicable,,,Meets Standard,,,Not Applicable,,,Meets Standard,,,Not Applicable,,,,,,,30223.6948089795,28983943.2606003
939,11011_01,11011,ANTELOPE INDIVIDUAL,1.0,ANTELOPE INDIVIDUAL,CU,C,ORV04,1835.39768862057,,,,,,,,,,,,,,,,,,,,,,,12377.8810697241,7427590.92385226
940,11013_01,11013,DANNER INDIVIDUAL,1.0,DANNER INDIVIDUAL,CU,C,ORV04,617.912243467788,,,,,,,,,,,,,,,,,,,,,,,8048.84875082959,2500602.13095721
941,21002_15,21002,ANTELOPE,15.0,CANTOR NORTH,DR,I,ORV04,2421.42401234202,,,,,,,,,,,,,,,,,,,,,,,13894.1361180946,9799155.31569986
942,21001_20,21001,AROCK,20.0,ROCK CREEK RSEX,RX,M,ORV04,8.57013228809685,,,,,,,,,,,,,,,,,,,,,,,799.262975927162,34682.0948909024
943,01101_08,01101,JACKIES BUTTE SUMMER,8.0,ROME NORTH,RX,M,ORV04,11799.1451555812,,,,,,,,,,,,,,,,,,,,,,,33751.0918181551,47749446.3516934
944,21002_99,21002,ANTELOPE,99.0,CANTOR NORTH,99,M,ORV04,159.981833614485,,,,,,,,,,,,,,,,,,,,,,,3944.96373045231,647423.510830107
945,21002_23,21002,ANTELOPE,23.0,CANTOR CORRAL PIT RSEX,RX,I,ORV04,10.4637043399339,,,,,,,,,,,,,,,,,,,,,,,838.555488303161,42345.1091101564
946,21002_30,21002,ANTELOPE,30.0,SAGEHEN UPEX,EX,I,ORV04,14.781112441514,,,,,,,,,,,,,,,,,,,,,,,985.327985341389,59817.0398141575
947,21002_26,21002,ANTELOPE,26.0,CANTOR CORRAL SPEX,RX,I,ORV04,2.42526879268239,,,,,,,,,,,,,,,,,,,,,,,383.236832460619,9814.71458971304
948,11003_04,11003,WROTEN,4.0,CHICKEN CREEK,DR,I,ORV04,6406.88314954639,,,,,,,,,,,,,,,,,,,,,,,27283.5145001113,25927736.2213081
949,21002_29,21002,ANTELOPE,29.0,ROUND PEAK SPEX,RX,I,ORV04,7.22633537323352,,,,,,,,,,,,,,,,,,,,,,,747.107179398972,29243.9417155864
950,21002_20,21002,ANTELOPE,20.0,PARSNIP PKEX,EX,I,ORV04,1.94230209459048,,,,,,,,,,,,,,,,,,,,,,,371.827471994165,7860.21770573445
951,21002_24,21002,ANTELOPE,24.0,ANTELOPE RIM SPEX,RX,I,ORV04,9.45425104637875,,,,,,,,,,,,,,,,,,,,,,,893.906219476856,38259.9965660198
952,NOALC,NOALC, ,,OWYHEE RIVER NOT ALLOCATED,NX,M,ORV04,9076.8975898732,,,,,,,,,,,,,,,,,,,,,,,212622.426555669,36732901.3070454
953,21002_22,21002,ANTELOPE,22.0,TOM SKINNER RSEX,RX,I,ORV04,6.88400421502124,,,,,,,,,,,,,,,,,,,,,,,671.448339901544,27858.5766693874
954,OUT,OUT,,, ,00,M,ORV04,633.267762521501,,,,,,,,,,,,,,,,,,,,,,,6524.81541493992,2562743.71185902
955,01101_16,01101,JACKIES BUTTE SUMMER,16.0,DRY RANCH FFR,CU,M,ORV04,335.412074481354,,,,,,,,,,,,,,,,,,,,,,,4824.35046078143,1357364.50776537
956,11004_17,11004,WILLOW CREEK,17.0,JACA SEEDING EAST,DR,I,ORV04,1856.0241157074,,,,,,,,,,,,,,,,,,,,,,,11689.7445997193,7511063.11277978
957,OUT,OUT,,,HIGHWAY CORIDOR,00,M,ORV04,86.2785106453333,,,,,,,,,,,,,,,,,,,,,,,18454.5547280326,349156.744920174
958,10804_04,10804,COYOTE LAKE,4.0,AIR STRIP EXCL,XX,M,ORV04,145.847961210331,,,,,,,,,,,,,,,,,,,,,,,5391.49867409461,590225.758517976
959,11005_03,11005,BIGHORN,3.0,MUD FLAT,DR,M,ORV04,695.296396444482,,,,,,,,,,,,,,,,,,,,,,,7692.78601014419,2813764.68742293
960,01101_13,01101,JACKIES BUTTE SUMMER,13.0,DRY CREEK EX @ UPEX,EX,M,ORV04,8.40887046694378,,,,,,,,,,,,,,,,,,,,,,,741.431613081445,34029.4914542811
961,01103_01,01103,JACKIES BUTTE WINTER,1.0,JACKIES BUTTE,WO,C,ORV04,20202.2844486769,,,,,,,,,,,,,,,,,,,,,,,40863.0230054498,81755744.5682797
962,11008_03,11008,WHITEHORSE,3.0,LONG CANYON #3 RES EXCL,RE,I,ORV04,2.23738329788774,,,,,,,,,,,,,,,,,,,,,,,418.102428492735,9054.36896842748
963,01101_18,01101,JACKIES BUTTE SUMMER,18.0,GARLOW BUTTE RESERVOIR EXCL,RE,M,ORV04,33.5780417071253,,,,,,,,,,,,,,,,,,,,,,,1724.72741225084,135885.513734095
964,11004_03,11004,WILLOW CREEK,3.0,INDIAN CANYON EAST,DR,I,ORV04,2047.33126635126,,,,,,,,,,,,,,,,,,,,,,,11754.3507116791,8285255.68401392
965,11004_02,11004,WILLOW CREEK,2.0,INDIAN CANYON WEST,DR,I,ORV04,2905.6098484371,,,,,,,,,,,,,,,,,,,,,,,15627.1739786671,11758585.8761364
966,11008_02,11008,WHITEHORSE,2.0,WEST,SP,I,ORV04,10872.8976331817,,,,,,,,,,,,,,,,,,,,,,,33791.7649831358,44001055.6169393
967,10803_02,10803,BOWDEN HILLS,2.0,BOWDEN GZEX,MX,M,ORV04,1.42342532954313,,,,,,,,,,,,,,,,,,,,,,,303.808166993088,5760.39793666846
968,NOALC,NOALC, ,,OWYHEE RIVER NOT ALLOCATED,NX,M,ORV04,1145.79435395077,,,,,,,,,,,,,,,,,,,,,,,23881.7190980605,4636865.24003534
969,10804_01,10804,COYOTE LAKE,1.0,SAND GAP,WO,M,ORV04,37374.3641351183,,,,,,,,,,,,,,,,,,,,,,,65830.8562479465,151248685.53332
970,11305_07,11305,EIGUREN,7.0,BULL CREEK SEEDING,DR,M,ORV04,4229.70110721223,,,,,,,,,,,,,,,,,,,,,,,16483.9792371788,17116993.0905542
971,NOALC,NOALC,,,THREE FORKS - TRAILING,NX,M,ORV04,2281.08038842486,,,,,,,,,,,,,,,,,,,,,,,24031.3505156424,9231204.81990783
972,11305_06,11305,EIGUREN,6.0,BEBER SEEDING,DR,M,ORV04,1834.35454254888,,,,,,,,,,,,,,,,,,,,,,,12764.1648286001,7423369.46147256
973,11305_11,11305,EIGUREN,11.0,UPPER CHIMEY CR RES EXCL,RE,M,ORV04,3.17325254557467,,,,,,,,,,,,,,,,,,,,,,,473.026689843535,12841.697443956
974,11306_12,11306,CAMPBELL,12.0,COYOTE HOLES RSEX,RX,M,ORV04,8.40168243792695,,,,,,,,,,,,,,,,,,,,,,,752.671375286012,34000.40253289
975,01102_01,01102,AMBROSE-MAHER,1.0,AMBROSE MAHER,SP,C,ORV04,3781.05233306416,Meets Standard,,,Not Applicable,,,Meets Standard,,,Meets Standard,,,Does Not Meet,Wildfire,,Not Applicable,,,,,,,24909.6153115918,15301375.9174912
976,11305_04,11305,EIGUREN,4.0,WINTER AREA SOUTH,SP,M,ORV04,2863.01416819886,,,,,,,,,,,,,,,,,,,,,,,15066.9368469968,11586207.2739977
977,21301_01,21301,GILBERT,1.0,BATTLE CREEK NORTH,SP,M,ORV04,5891.07582817406,,,,,,,,,,,,,,,,,,,,,,,20447.8826417669,23840338.0500916
978,11305_09,11305,EIGUREN,9.0,CHIMNEY GZEX,MX,M,ORV04,1.51145027324096,,,,,,,,,,,,,,,,,,,,,,,313.376693809383,6116.62224540344
979,10804_03,10804,COYOTE LAKE,3.0,WHITEHORSE FFR,CU,M,ORV04,42910.4223279375,,,,,,,,,,,,,,,,,,,,,,,62121.8927841058,173652318.18571
980,01307_01,01307,LOUSE CANYON COMMUNITY,1.0,DRUMMOND BASIN,SP,M,ORV04,15050.1961952739,Meets Standard,,,Not Applicable,,,Does Not Meet,,,Not Applicable,,,Does Not Meet,,,Not Applicable,,,,,,,49285.1267448846,60905983.1312244
981,11306_15,11306,CAMPBELL,15.0,FIVE POINT RSEX,RX,M,ORV04,9.4448572751538,,,,,,,,,,,,,,,,,,,,,,,823.975825429207,38221.9813226075
