File #,Pooled or Unitized,Owner Agency,Active/ Expired,County,Section,Township,Range,Tract #,Legal Description,Latitude,Longitude,Net Acres,Gross Acres,Original Lessee,Current Lessee,Lease #,Royalty Interest,Well Name,Well Operator,Production Zone,Sale or Approved Date,End or Expiration Date,Bonus
,,OMD,Expired,Garfield,8,22N,6WIM,,"Beginning at the SW corner of Gore Park, formerly McGuire Park, thence N 375', thence E 316', thence S 375', thence 316' to the point of beginning; in the City of Enid, Oklahoma (all of the above tract except S 300' of W 300') together with all streets, alleys, roadways and easements of record adjacent thereto, in the NW Quarter (NW/4) Sec. 8-22N-6WIM",,,3.046832,160.0,"Continental Trend Resources, Inc.",,,,,,,,,
,,DHS,Expired,Garfield,33,23N,6W,3.0,NE/4 Sec. 33-23N-6W,,,160,,Jones and Pellow Oil CO.,,,,,,,5/9/1962,,
,,,Expired,Garfield,34,23N,6W,6.0,20 acres out of NW/4 SW/4 & 1 acre out of SW/4 section 34-23N,,,21,,,,,,,,,,,
OA-0008,,DPS,Expired,Garfield,16,22N,7W,,"A tract of land lying in the NE/4 of Section 16-22N-7WIM , more particularly described as follows: Commencing at a point on the permanent South Right-of-Way line of US Highway 60, a distance of 1436.2 feet West of the Point where said right-of-way line intersects the East line of said NE/4.  Thence 0 degree 06'23"" East a distance of 300' to a point.  Thence South 89 degrees37' East parallel to the South right of way line of US Highway 60 a distance of 210', thence N 0 degree 06'23"" West a distance of 300' to a point.  Thence North 89 degrees 37' West along the South right-of-way line of US Highway 60 a distance of 210' to the point of beginning of tract herein described.  Said tract containing 1.44 acres, more or less.",,,1.44,1.44,Leon Producing Company,,,,,,,12/19/1990,12/1/1993,267.97
OA-29829,,,Active,Garfield,25,21N,3W,,SW4 (1/8 MR),36.264182,-97.47666,20,160.0,,DAGNY'S,,  3/16,,,,6/2/2014,6/2/2017,"31,400"
,,,Expired,Garfield,4,20N,4W,,Lots 1 and 2 and the S/2 NE/4,,,143.06,,,,,,,,,,,
,,DPS,Expired,Garfield,16,22N,6W,,SE/4NE/4,,,40,40.0,,,,,,,,,,
,Pooled,,Expired,Garfield,9,22N,6W,,Part of N/2,36.4038,-97.8462,,,,,,,,,,,,
OA-29373,,,Active,Garfield,4,22N,6W,8.0,NE/4 NE/4 Sec. 4-22N-6W,36.37622311,-97.83661136,25,,Champlin Oil and Refining,,,,,,,,,
OA-43,Unitized 2009,DHS,Active,Garvin,34,3N,1E,,"NE/4 NW/4 (All M.R.), Sec 34-3N-1E",34.6936,-97.1879,40,202.55,Joe Clifton Exploration INC,RD Davis & Assoc.,,,,,,6/11/1999,6/11/2002,"$4,560.00 "
OA-44,Unitized 2009,DHS,Active,Garvin,34,3N,1E,,"NW/4 NW/4 (All M.R.), Sec 34-3N-1E",34.6926,-97.1941,40,202.55,Burnett Oil Company,RD Davis & Assoc.,,0.1875,"State ""34"" Unit 1-H","Burnett Oil Co., Inc.",Basal Oil Creek,6/11/1999,6/11/2002,"$1,112.00 "
OA-45,Unitized 2009,DHS,Active,Garvin,34,3N,1E,,"SE/4 NW/4 (All M.R.), Sec 34-3N-1E",34.6892,-97.1885,40,202.55,Burnett Oil Company,RD Davis & Assoc.,,0.1875,"State ""34"" Unit 1-H","Burnett Oil Co., Inc.",Basal Oil Creek,6/11/1999,6/11/2002,"$8,560.00 "
OA-46,Unitized 2009,DHS,Active,Garvin,34,3N,1E,,"SW/4 NW/4 (All M.R.), Sec 34-3N-1E",34.6894,-97.1945,40,202.55,Burnett Oil Company,RD Davis & Assoc.,,0.1875,"State ""34"" Unit 1-H","Burnett Oil Co., Inc.",Basal Oil Creek,6/11/1999,6/11/2002,"$8,560.00 "
OA-53,Unitized 2009,DHS,Expired,Garvin,34,3N,1E,,NE/4 NE/4,,,,202.55,,RD Davis & Assoc.,,,,,,12/9/1999,12/9/2002,$490.00 
OA-80,Unitized 2009,DHS,Expired,Garvin,34,3N,1E,,"NE/4 NW/4 , less and except the Basal Oil Creek formation, perforated from 4,633 feet to 5,563 feet and 4,856 feet to 5,748 feet, respectively, as found in the Duker Unit#1-H Well (SW/4 NW/4) and the State ""34"" Unit 1-H Well (NW/4 NW/4) (All M.R.)",,,40,202.55,Tenn-OK Pipeline Corporation,,,,,,,12/16/2003,12/16/2006,$280.00 
OA-81,Unitized 2009,DHS,Expired,Garvin,34,3N,1E,,"NW/4 NW/4 (All M.R.), Sec 34-3N-1E",,,,202.55,Tenn-OK Pipeline Corporation,,,,,,,12/16/2003,12/16/2006,$280.00 
OA-82,Unitized 2009,DHS,Expired,Garvin,34,3N,1E,,"SE/4 NW/4 (All M.R.), Sec 34-3N-1E",,,,202.55,Tenn-OK Pipeline Corporation,,,,,,,12/16/2003,12/16/2006,$280.00 
OA-83,Unitized 2009,DHS,Active,Garvin,34,3N,1E,,"SW/4 NW/4, less and except the Basil Oil Creek formation, perforated from 4,633 feet to 5,563 feet and 4,856 feet to 5,748 feet, respectively, as found in the Duker Unit #1-H Well (SW/4 NW/4) and the State ""34"" Unit 1-ll Well (NW/4 NW/4) (All M.R.), Sec. 34-3N-1E",34.6931,-97.2849,40,202.55,Tenn-OK Pipeline Corporation,,,0.1875,,,,12/16/2003,12/16/2006,$280.00 
OA-0136,Unitized 2009,DHS,Expired,Garvin,35,3N,1E,10.0,NW/4 NW/4 NW/4 Sec. 35-3N-1E,,,6.7,6.7,Joe B. Clifton Exploration,,,,,,,7/21/2005,7/21/2008,$844.20 
OA-135,Unitized 2009,DHS,Expired,Garvin,34,3N,1E,,N/2 NE/4,,,,202.55,Joe B. Clifton Exploration,,,,,,,7/21/2005,7/21/2008,"$6,155.00 "
OA-0037,Unitized 2009,DHS,Expired,Garvin,33,3N,1E,,NE/4 NE/4,,,,240.0,RD Davis & Associates Inc.,,,,,,,6/11/1999,6/11/2002,"$1,112.00 "
OA-32,Unitized 2009,DHS,Expired,Garvin,34,3N,1E,,NW/4 NE/4,,,37.35,202.55,Las Colinas Energy,,,,,,,8/10/1998,8/10/2001,"$1,876.84 "
,,DMH,Expired,Garvin,36,4N,3E,,N/2 NW/4 NW/4; NW/4 NE/4 NW/4,,,30,30.0,,,,,,,,,,
OA-0038,Unitized 2009,DHS,Expired,Garvin,33,3N,1E,,NW/4 NE/4,,,,240.0,RD Davis & Associates Inc.,,,,,,,6/11/1999,6/11/2002,"$2,160.00 "
OA-0039,Unitized 2009,DHS,Expired,Garvin,33,3N,1E,,NE/4 NW/4,,,,240.0,RD Davis & Associates Inc.,,,,,,,6/11/1999,6/11/2002,"$2,160.00 "
OA-0040,Unitized 2009,DHS,Expired,Garvin,33,3N,1E,,NW/4 NW/4,,,,240.0,RD Davis & Associates Inc.,,,,,,,6/11/1999,6/11/2002,"$2,160.00 "
OA-0041,Unitized 2009,DHS,Expired,Garvin,33,3N,1E,,SE/4 NW/4,,,,240.0,RD Davis & Associates Inc.,,,,,,,6/11/1999,6/11/2002,"$4,560.00 "
OA-0042,Unitized 2009,DHS,Expired,Garvin,33,3N,1E,,SW/4 NW/4,,,,240.0,RD Davis & Associates Inc.,,,,,,,6/11/1999,6/11/2002,"$2,160.00 "
OA-0129,Unitized 2009,DHS,Expired,Garvin,33,3N,1E,,NE/4 NE/4,,,,240.0,Eagle Land & Minerals Co.,,,,,,,7/21/2005,7/21/2008,"$1,700.00 "
OA-0130,Unitized 2009,DHS,Expired,Garvin,33,3N,1E,,NW/4 NE/4,,,,240.0,Eagle Land & Minerals Co.,,,,,,,7/21/2005,7/21/2008,"$3,324.00 "
OA-0131,Unitized 2009,DHS,Expired,Garvin,33,3N,1E,,NE/4 NW/4,,,,240.0,Eagle Land & Minerals Co.,,,,,,,7/21/2005,7/21/2008,"$4,624.00 "
OA-0132,Unitized 2009,DHS,Expired,Garvin,33,3N,1E,,NW/4 NW/4,,,,240.0,Eagle Land & Minerals Co.,,,,,,,7/21/2005,7/21/2008,"$4,480.00 "
OA-0133,Unitized 2009,DHS,Expired,Garvin,33,3N,1E,,SE/4 NW/4,,,,240.0,Eagle Land & Minerals Co.,,,,,,,7/21/2005,7/21/2008,"$4,300.00 "
OA-0134,Unitized 2009,DHS,Expired,Garvin,33,3N,1E,,SW/4 NW/4,,,,240.0,Eagle Land & Minerals Co.,,,,,,,7/21/2005,7/21/2008,"$4,392.00 "
OA-0033,,DHS,Expired,Garvin,28,3N,1E,,"NE/4 SE/4 ( All that part of the NE/4 SE/4 NE/4 lying West of the G.C. & S.F. Railway, and all of the SE/4 SE/4 NE/4. W/2 SE/4 NE/4, S/2 NW/4. amd S/2 (All M.R.), Sec 28-3N-1E, containing 478.91 acres m.o.l)",,,,478.91,RD Davis & Associates Inc.,,,,,,,6/11/1999,6/11/2002,"$2,160.00 "
OA-0034,,DHS,Expired,Garvin,28,3N,1E,,"NW/4 SE/4 ( All that part of the NE/4 SE/4 NE/4 lying West of the G.C. & S.F. Railway, and all of the SE/4 SE/4 NE/4. W/2 SE/4 NE/4, S/2 NW/4. amd S/2 (All M.R.), Sec 28-3N-1E, containing 478.91 acres m.o.l)",,,,478.91,RD Davis & Associates Inc.,,,,,,,6/11/1999,6/11/2002,"$2,160.00 "
OA-0035,,DHS,Expired,Garvin,28,3N,1E,,"SE/4 SE/4 ( All that part of the NE/4 SE/4 NE/4 lying West of the G.C. & S.F. Railway, and all of the SE/4 SE/4 NE/4. W/2 SE/4 NE/4, S/2 NW/4. amd S/2 (All M.R.), Sec 28-3N-1E, containing 478.91 acres m.o.l)",,,,478.91,RD Davis & Associates Inc.,,,,,,,6/11/1999,6/11/2002,"$2,160.00 "
OA-0036,,DHS,Expired,Garvin,28,3N,1E,,"SW/4 SE/4 ( All that part of the NE/4 SE/4 NE/4 lying West of the G.C. & S.F. Railway, and all of the SE/4 SE/4 NE/4. W/2 SE/4 NE/4, S/2 NW/4. amd S/2 (All M.R.), Sec 28-3N-1E, containing 478.91 acres m.o.l)",,,,478.91,RD Davis & Associates Inc.,,,,,,,6/11/1999,6/11/2002,"$1,080.00 "
OA-0048,,DHS,Expired,Garvin,28,3N,1E,,"W/2 SW/4 SE/4 ( All that part of the NE/4 SE/4 NE/4 lying West of the G.C. & S.F. Railway, and all of the SE/4 SE/4 NE/4. W/2 SE/4 NE/4, S/2 NW/4. amd S/2 (All M.R.), Sec 28-3N-1E, containing 478.91 acres m.o.l)",,,,478.91,RD Davis & Associates Inc.,,,,,,,12/9/1999,12/9/2002,$700.00 
OA-0049,,DHS,Expired,Garvin,28,3N,1E,,"NE/4 SW/4 ( All that part of the NE/4 SE/4 NE/4 lying West of the G.C. & S.F. Railway, and all of the SE/4 SE/4 NE/4. W/2 SE/4 NE/4, S/2 NW/4. amd S/2 (All M.R.), Sec 28-3N-1E, containing 478.91 acres m.o.l)",,,,478.91,RD Davis & Associates Inc.,,,,,,,12/9/1999,12/9/2002,"$1,400.00 "
OA-0050,,DHS,Expired,Garvin,28,3N,1E,,"NW/4 SW/4 ( All that part of the NE/4 SE/4 NE/4 lying West of the G.C. & S.F. Railway, and all of the SE/4 SE/4 NE/4. W/2 SE/4 NE/4, S/2 NW/4. amd S/2 (All M.R.), Sec 28-3N-1E, containing 478.91 acres m.o.l)",,,,478.91,RD Davis & Associates Inc.,,,,,,,12/9/1999,12/9/2002,"$1,400.00 "
OA-0051,,DHS,Expired,Garvin,28,3N,1E,,"SE/4 SW/4 ( All that part of the NE/4 SE/4 NE/4 lying West of the G.C. & S.F. Railway, and all of the SE/4 SE/4 NE/4. W/2 SE/4 NE/4, S/2 NW/4. amd S/2 (All M.R.), Sec 28-3N-1E, containing 478.91 acres m.o.l)",,,,478.91,RD Davis & Associates Inc.,,,,,,,12/9/1999,12/9/2002,"$1,400.00 "
OA-0052,,DHS,Expired,Garvin,28,3N,1E,,"SW/4 SW/4 ( All that part of the NE/4 SE/4 NE/4 lying West of the G.C. & S.F. Railway, and all of the SE/4 SE/4 NE/4. W/2 SE/4 NE/4, S/2 NW/4. amd S/2 (All M.R.), Sec 28-3N-1E, containing 478.91 acres m.o.l)",,,,478.91,RD Davis & Associates Inc.,,,,,,,12/9/1999,12/9/2002,"$1,400.00 "
OA-0123,,DHS,Expired,Garvin,28,3N,1E,," NE/4 SE/4 ( All that part of the NE/4 SE/4 NE/4 lying West of the G.C. & S.F. Railway, and all of the SE/4 SE/4 NE/4. W/2 SE/4 NE/4, S/2 NW/4. amd S/2 (All M.R.), Sec 28-3N-1E, containing 478.91 acres m.o.l)",,,,478.91,Eagle Land & Minerals Co.,,,,,,,7/21/2005,7/21/2008,"$1,720.00 "
OA-0124,,DHS,Expired,Garvin,28,3N,1E,,"NW/4 SE/4 ( All that part of the NE/4 SE/4 NE/4 lying West of the G.C. & S.F. Railway, and all of the SE/4 SE/4 NE/4. W/2 SE/4 NE/4, S/2 NW/4. amd S/2 (All M.R.), Sec 28-3N-1E, containing 478.91 acres m.o.l)",,,,478.91,Eagle Land & Minerals Co.,,,,,,,7/21/2005,7/21/2008,"$1,810.00 "
OA-0125,,DHS,Expired,Garvin,28,3N,1E,,"SE/4 SE/4 ( All that part of the NE/4 SE/4 NE/4 lying West of the G.C. & S.F. Railway, and all of the SE/4 SE/4 NE/4. W/2 SE/4 NE/4, S/2 NW/4. amd S/2 (All M.R.), Sec 28-3N-1E, containing 478.91 acres m.o.l)",,,,478.91,Eagle Land & Minerals Co.,,,,,,,7/21/2005,7/21/2008,"$1,630.00"
OA-0126,,DHS,Expired,Garvin,28,3N,1E,,"SW/4 SE/4 ( All that part of the NE/4 SE/4 NE/4 lying West of the G.C. & S.F. Railway, and all of the SE/4 SE/4 NE/4. W/2 SE/4 NE/4, S/2 NW/4. amd S/2 (All M.R.), Sec 28-3N-1E, containing 478.91 acres m.o.l)",,,,478.91,Eagle Land & Minerals Co.,,,,,,,7/21/2005,7/21/2008,"$3,150.00 "
OA-0127,,DHS,Expired,Garvin,28,3N,1E,,"SE/4 SW/4 ( All that part of the NE/4 SE/4 NE/4 lying West of the G.C. & S.F. Railway, and all of the SE/4 SE/4 NE/4. W/2 SE/4 NE/4, S/2 NW/4. amd S/2 (All M.R.), Sec 28-3N-1E, containing 478.91 acres m.o.l)",,,,478.91,Eagle Land & Minerals Co.,,,,,,,7/21/2005,7/21/2008,"$3,160.00 "
OA-0128,,DHS,Expired,Garvin,28,3N,1E,,"SW/4 SW/4 ( All that part of the NE/4 SE/4 NE/4 lying West of the G.C. & S.F. Railway, and all of the SE/4 SE/4 NE/4. W/2 SE/4 NE/4, S/2 NW/4. amd S/2 (All M.R.), Sec 28-3N-1E, containing 478.91 acres m.o.l)",,,,478.91,Eagle Land & Minerals Co.,,,,,,,7/21/2005,7/21/2008,"$3,140.00 "
OA-8.1,,DMH,Expired,Garvin,27,3N,1E,,"S/2 SE/4 SW/4 (All that part of the NW/4 SW/4 NW/4 lying West of the G.C. & S.F. Railroad, containing .01  acres.  All that part of the SW/4 SW/4 NW/4 lying West of the G.C. & S.F. Railroad, containing 1.61 acres. All that part of the NW/4 NW/4 SW/4 lying West of the G.C. & S.F. Railroad, containing 4.31 acres.  The S/2 SE/4 SW/4, S/2 SW/4 SE/4, SW/4 SE/4 SE/4, and all that part of the SE/4 SE/4 SE/4, more particularly described as follows: Beginning at the SE corner of Section 27, thence running West 660 feet, thence North 660 feet, thence East 167 feet to the center line of the Washita River; thence following the meanderings of said Washita River in a Southeasterly direction a distance of 610 feet to an intersection with the East line of Section 27; thence South 300 feet to the point of beginning; all of SW/4 NW/4 SW/4 lying West of G.C. & S.F. Railway and all of NW/4 SW/4 lying West of G.C. & S.F. Railway and SE/4 SW/4 SW/4, less 1.58 acres for G.C. & S.F. Railway, and SW/4 SW/4 SW/4 ( All M.R.), sec 27-3N-1E, containing 99.04 acres m.o.l)",,,,99.04,EP Operating Ltd. Partnership,,,,,,,6/1/1994,6/1/1997,"$1,100.00 "
OA-0031,,DMH,Expired,Garvin,27,3N,1E,,"S/2 SE/4 SW/4 (All that part of the NW/4 SW/4 NW/4 lying West of the G.C. & S.F. Railroad, containing .01  acres.  All that part of the SW/4 SW/4 NW/4 lying West of the G.C. & S.F. Railroad, containing 1.61 acres. All that part of the NW/4 NW/4 SW/4 lying West of the G.C. & S.F. Railroad, containing 4.31 acres.  The S/2 SE/4 SW/4, S/2 SW/4 SE/4, SW/4 SE/4 SE/4, and all that part of the SE/4 SE/4 SE/4, more particularly described as follows: Beginning at the SE corner of Section 27, thence running West 660 feet, thence North 660 feet, thence East 167 feet to the center line of the Washita River; thence following the meanderings of said Washita River in a Southeasterly direction a distance of 610 feet to an intersection with the East line of Section 27; thence South 300 feet to the point of beginning; all of SW/4 NW/4 SW/4 lying West of G.C. & S.F. Railway and all of NW/4 SW/4 lying West of G.C. & S.F. Railway and SE/4 SW/4 SW/4, less 1.58 acres for G.C. & S.F. Railway, and SW/4 SW/4 SW/4 ( All M.R.), sec 27-3N-1E, containing 99.04 acres m.o.l)",,,,99.04,Las Colinas Energy Corporation,,,,,,,8/10/1998,8/10/2001,"$1,005.00 "
OA-0122,Unitized 2009,DMH,Expired,Garvin,26,3N,1E,9.0,SW/4 SW/4 SW/4 Sec.26-3N-1E,,,4.7,4.7,Joe B. Clifton Exploration,,,,,,,7/21/2005,7/21/2008,$592.20 
,Unitized 2009,DMH,Expired,Garvin,26,3N,1E,9.0,SW/4 SW/4 SW/4 Sec.26-3N-1E,,,4.7,4.7,Jess Harris Jr.,,,,,,,9/21/1971,9/21/1976,$117.50 
,,DHS,Expired,Grady,36,4N,7W,,NW/4 SW/4 NE/4; SW/4 NE/4 NE/4; E/2 SE/4 NE/4; NW/4 SE/4: W2 SW/4 SE/4,,,170,170.0,,,,,,,,,,
OA-1434,,DMH,Expired,Hughes,12,9N,10E,,NW/4,,,160,160.0,Brower Oil & Gas Co. Inc.,,,,,,,6/6/1988,6/6/1991,
OA-30236,,DMH,Active,Hughes,31,7N,11E,,SW/4 1/10 of 3/8 [Lot 3 (NW/4 SW/4) = 41.06 acres and Lot 4 ( SW/4 SW/4)= 41.06 acres],35.07240632,-96.14176915,6.078,162.07,,,,,,,,,,
OA-29828,,DMH,Active,Hughes,3,9N,9E,,E/2 SE/4,35.24650407,-96.35279943,80,80.0,,,,,,,,,,
OA-0137,,,Expired,Kay,23,26N,2EIM,,"A tract of land described as beginning at the SW corner of Sec. 23-26N-2E, thence N a distance of 480 feet, thence E a distance of 1,150 feet, thence S a distance of 480 feet, thence W a distance of 1,150 feet to the point of beginning (All M.R.) Sec. 23-26N-2E",,,12.67,12.67,The Warren Corporation,,,,,,,8/2/2005,8/2/2008,"$1,320.00 "
,,,Expired,Kay,4,27 N,5E,,NE/4,,,,,,,,,,,,,,
OA-99,Pooled,OHS,Active,Kay,26,26N,2EIM,,"A triangular tract of land located in the Northwest corner more particularly described as follows: Starting at the Northwest corner of said Northwest Quarter; thence East 33 feet; thence South 33 Feet to the true point of beginning: thence East, parallel to and 33 feet from the North line of said Section, a distance of 194.95 feet to the West line of a dedicated highway; thence in a Southwesterly direction along the West line of said highway, a distance of 374 feet; thence North, parallel to and 33 feet from the West line of said Section 26, a distance of 315 feet to the true point of beginning, containing approximately 0.7 acres.  State also owns to the middle of the adjacent streets, containing approximately 0.66894 acres. (All M.R.), Sec 26-26N-02EIM",36.72409804,-97.08517387,1.36894,1.36894,The Warren Corporation,,,0.125,Cotton Patch#1,The Warren Corporation,,4/19/2004,4/19/2007,$68.45 
OA-30237,,OHS,Active,KAY,23,25N,01WIM,,"A TRACT OF LAND 16 SQUARE FEET WHERE THE MONUMENT  NOW STANDS, ADJOINING U.S. HIGHWAY 177 ON THE EAST SIDE,  CONTAINING .00037 ACRES",36.63732303,-97.30067723,,,,,,,,,,,,
OA-93,,DMH,Active,Latimer,7,5N,18E,1.0,"NE/4 SE/4; E/2 NW/4 SE/4; N/2 SE/4 SE/4; SW/4 SE/4 SE/4; W/2 SE/4 SE/4 SE/4 (1/2 M.R.), Sec 7-5N-18E",34.9149,-95.438,47.5,95.0,Unit Petroleum Company,,,,McAlester #3 Unit,,,9/8/2004,9/27/2007,"$15,508.75 "
OA-0027,,DMH,Expired,Latimer,8,5N,18E,,"N/2 SE/4 NE/4 (1/4 M.R.), Sec 8-5N-18E",,,5,20.0,Vastar Resources Inc.,,,,,,,11/14/1996,11/14/1999,$635.00 
OA-94,,DMH,Active,Latimer,8,5N,18E,2.0,"N/2 SE/4 NE/4 (1/4 M.R.), Sec 8-5N-18E",34.92275,-95.42227,5,20.0,Unit Petroleum Company,,,,,,,9/8/2004,9/27/2007,"$1,632.50 "
OA-95,,DMH,Active,Latimer,33,06N,18EIM,,"SW/4 NE/4. Less and Except 1.17 Acres for Missouri, Kansas & Texas Railroad Right-of-way (1/2 M.R.) of Sec. 33-06N-18EIM",34.95,-95.4085,38.83,,Chesapeake Exploration Limited Partnership,,,,Kinninkin 1-33,,,9/27/2004,9/27/2007,"$17,667.65 "
,,OMD,Expired,Latimer,34,4N,21E,,SE/4; N/2 SW/4; SE/4 SW/4,,,,260.0,,,,,,,,,,
OA-96,,DMH,Active,Latimer,33,06N,18EIM,,NW/4 SE/4 (1/2 M.R.) of Sec. 33-06N-18EIM,34.9481,-95.4046,40,80.0,Chesapeake Exploration Limited Partnership,,,,,,,9/27/2004,9/27/2007,"$18,200.00 "
OA-168,,DMH,Active,Latimer,7,5N,18E,,"NE/4 SE/4; E/2 NW/4 SE/4; N/2 SE/4; N/2 SE/4 SE/4; SW/4 SE/4 SE/4; W/2 SE/4 SE/4 SE/4 less and except the Fanshawe formation (1/2 M.R.) , Sec 7-5N-18E",34.9189,-95.4418,47.5,95.0,Unit Petroleum Company,,,,Fanshawe,,,3/26/2008,3/26/2011,"$11,970.00 "
OA-12,Pooled,DCAM,Active,LeFlore,34,9N,25EIM,,"E/2 NE/4, (19/140 M.R.), Sec 34-09N-25EIM",35.2122,-94.6404,10.86,80.0,OGP Operating,,,0.125,"Frank H. Howery #34-13, John Baxter#34-1, John Baxter#34-8, Lantie Bailey#34-11, Lantie Bailey#34-14 Lantie Bailey#34-2 Lantie Bailey#34-7, Lewis W. Howery# 34-10, Lewis W. Howery#34-15, Lewis W. Howery#34-9, Margie Sweazy#34-12",Sunwest Oklahoma Inc.,Hartshorne,N/A-Pooled Interest ,N/A-Pooled Interest ,
OA-59,,OAM (Kerr),Active,LeFlore,16,6N,25EIM,,"E/2 SE/4 SE/4 (1/16 M.R.), Sec 16-6N-25E",34.987,-94.6654,1.25,20.0,El Paso Production Co.,,,0.1875,"Goad 6-16H & 7-16H, Henson 2-16, MD BAR 4-16H & 5-16H","El Paso E&P Company, L.P.",,6/28/2002,6/28/2005,$125.00 
OA-60,,DCAM,Active,LeFlore,22,6N,25EIM,,"NW/4 NW/4 NW/4 (1/2 M.R.), Sec 22-6N-25E",34.9852,-94.6622,5,10.0,El Paso Production Co.,,,0.1875,"KERR 2-22 & 4-22H & 5-22H & 6-22H, Nichols 7-22H, Nobles 1-22, Van Bockel 3-22","El Paso E&P Company, L.P.",Hartshorne,6/28/2002,6/28/2005,$500.00 
,,,Expired,LeFlore,21,6N,25EIM,,NE/4 NE/4 NE/4 (1/2 MR),,,5,10.0,,,,,,,,,,
,,Historical Society,Expired,LeFlore,18,9N,26E,,"A part of the SE/4 NE/4 SW/4 described as follows: Beginning at the Northeaset corner of the SE/4 NE/4 SW/4; thence west 251 feet, thence South 69 degrees 05 minutes East 450 feet; thence North 39 degrees 50 minutes East 179 feet; thence North 14 degrees 38 minutes East 270 feet to the point of beginning of Section 18-9N-26E",,,3.88,,,,,,,,,,,
,,,Expired,LeFlore,34,9N,25EIM,,All of section 34-9N-25E,,,640,,,,,,,,,,,
OA-54,,DHS,Active,Lincoln,33,16N,3E,,"N/2 SW/4, less and except Railroad Right-of-Way (All M.R.) Section 33-16N-3E",35.8174,-96.997,74.52,74.52,IQBAL Society,,,0.1875,Hauser#1-33,"Altex Resources, Inc.",Hunton,11/5/2000,11/5/2003,"$8,001.00 "
OA-155,,DCAM,Expired,Lincoln,30,14N,6EIM,,"SE/4 NW/4 (1/2 M.R.), Sec. 30-14N-6E",,,20,40.0,Brittany Energy LLC,,,,,,,3/22/2006,11/8/2006,"$2,080.00 "
OA-11,,DCAM,Active,Logan,21,19N,4WIM,,"NW/4, less and except the 6.2 acre tract conveyed to the Denver, Enid & Gulf Railroad Company by Warranty Deed dated September 29, 1902, filed and recorded on January 12, 1903 in Book 25, Page 178 (1/4 M.R.), Sec 21-19N-4WIM",36.138,-97.648,38.45,153.8,"B.R. Polk, Inc.",PVR MIDSTREAM & SUNOCO,,0.125,Worden Wehling #1,"B.R. Polk, Inc.",Cherokee,8/4/1975,8/4/1980,$907.42 
,,,Expired,Logan,18,19N,4W,,Lots 3 and 4 and E/2 of SW/4 of Sec. 18-19N-4W,,,166.69,,,,,,,,,,,
,,,Expired,Logan,21,19N,4W,,All of Section 21-19N-4W,,,,,,,,,,,,,,
,,,Expired,Logan,18,19N,4W,,All of Section 18-19N-4W,,,,,,,,,,,,,,
OA-138,,,Active,Marshall,20,6S,7EIM,,"S/2 SW/4 SW/4 NW/4, less 0.15 acres occupied as right-of-way by road of Section 20, Township 6 South, Range 7 East, containing approximately 4.85 acres, more or less (1/2 M.R.), Sec 20-06S-07EIM",34.0227,-96.5901,2.425,4.85,Colbert H. Marshall,,,0.125,Lake Texhoma#1-20,Spring Operating Company,Basal Oil Creek,12/20/1941,12/20/1946,$10.00 
,,,Expired,Marshall,20,6s,7EIM,,NE/4 SW/4,34.0187,-96.6006,,,,Shell Trading Company,70750,,,Godfrey Oil Properties,Basil Oil Creek,,,
OA-191,,,Expired,Marshall,23,6S,6EIM,,"N/2 SE/4 (1/2 M.R.), Sec 23-06S-06EIM",34.0205,-96.5355,40,80.0,Chesapeake Exploration Limited Partnership,,,,,,,12/21/2010,12/21/2013,"$28,680.00 "
OA-193,,,Expired,Marshall,24,6S,6EIM,,"N/2 NE/4 SE/4 (All M.R.), Sec. 24-06S-06EIM",34.0205,-96.5175,20,60.0,Chesapeake Exploration Limited Partnership,,,,,,,12/21/2010,12/21/2013,"$14,340.00 "
OA-194,,,Expired,Marshall,30,6S,7EIM,,"N/2 NE/4, less 1.20 acres for railroad right-of-way (1/2 M.R.), Sec 30-06S-07EIM",34.0135,-96.6141,39.4,78.8,Chesapeake Exploration Limited Partnership,,,,,,,12/21/2010,12/21/2013,"$10,519.80 "
OA-195,,,Expired,Marshall,30,6S,7EIM,5.0,"E/2 NW/4; Lots 1 and 2, less .6 acres for right-of-way (1/2 M.R.), Sec 30-06S-07EIM",34.0133,-96.6169,75.73,151.46,Chesapeake Exploration Limited Partnership,,,,,,,12/21/2010,12/21/2013,"$20,219.91 "
OA-192,,,Expired,Marshall,24,6S,6EIM,,SE/4 NE/4,34.0665,-96.7107,30,60.0,Cleary Petroleum Corporation,Chesapeake Exploration Limited Partnership,,,,,,9/8/1975,9/8/1978,"$28,680.00 "
,,,Expired,Marshall,24,6S,6EIM,2.0,N/2 SW/4 NE/4 of Sec. 24-6S-6E,,,10,,Cleary Petroleum Corporation,,,,,,,9/8/1975,9/8/1978,
,,,Expired,Marshall & Bryan,19,6,7,8.0,S/4 SE/4 of Section 19-6S-7E,,,40,,Cleary Petroleum Corporation,,,,,,,9/8/1975,9/8/1978,
,,,Expired,Marshall & Bryan,30,6S,7E,6.0,NE/4 NE/4 and E/2 NW/4 NE/4 of Sec. 30-6S-7E,,,30,,Cleary Petroleum Corporation,,,,,,,9/8/1975,9/8/1978,
