OBJECTID,EOFORM,PARKFLAG,FID_PHSREG,FID_EAGLE_,FID_HERONH,SOURCE,DESCRIPTION,P_AREA,SHAPE_Length,SHAPE_Area
75,915021.0,,6,-1,-1,WDFW priority habitat and species,"PHS-EOFORM: 915021 (Biodiversity Areas And Corridor)  WASHINGTON ARBORETUM AND ENVIRONS - SEATTLE STANDS OF CINIFER, DECIDUOUS, AND MIXED CONIFER-DECIDUOUS TREES INTERMIXED WITH  LANDSCAPED GRASSLANDS AND FOREST. SNAGS, DOWNED LOGS, AND WETLANDS ARE PRESENT.  NESTING BALD EAGLES, AND GREAT BLUE HERON. WESTERN POND AND PAINTED TURTLES.",4011197.84938256,24211.3418060277,-4011885.38069758
76,915030.0,,13,-1,1,WDFW priority habitat and species    Great blue heron management area,"PHS-EOFORM: 915030 (Biodiversity Areas And Corridor)  CAMP LONG-LONGFELLOW CREEK GREENSPACE - SEATTLE STANDS OF CINIFER, DECIDUOUS, BROADLEAF EVERGREEN, AND MIXED CONIFER-DECIDUOUS.  DIAMETERS RANGE FROM 5 TO 30 INCHES. SNAGS, DOWNED LOGS, SEEPS, AND WETLANDS PRE SENT. ALSO COHO SPAWNING AND RESIDENT COASTAL CUTTHROAT IN LONGFELLOW CREEK.",449624.73166431,3419.77987256507,-449704.657769258
77,915030.0,,13,-1,2,WDFW priority habitat and species    Great blue heron management area,"PHS-EOFORM: 915030 (Biodiversity Areas And Corridor)  CAMP LONG-LONGFELLOW CREEK GREENSPACE - SEATTLE STANDS OF CINIFER, DECIDUOUS, BROADLEAF EVERGREEN, AND MIXED CONIFER-DECIDUOUS.  DIAMETERS RANGE FROM 5 TO 30 INCHES. SNAGS, DOWNED LOGS, SEEPS, AND WETLANDS PRE SENT. ALSO COHO SPAWNING AND RESIDENT COASTAL CUTTHROAT IN LONGFELLOW CREEK.",15643.80635367,605.243474040872,-15563.8738878364
78,915023.0,,14,-1,1,WDFW priority habitat and species    Great blue heron management area,"PHS-EOFORM: 915023 (Biodiversity Areas And Corridor)  WEST DUWAMISH GREENBELT - SEATTLE STANDS OF CONIFER, DECIDUOUS, BROADLEAF EVERGREEN, AND MIXED CONIFER-DECIDUOUS T REES. SNAGS, DOWNED LOGS, SEEPS, WETLANDS, AND SHRUBS PRESENT. NESTING BALD EAGL E ALSO PRESENT.",591666.52039645,5932.22900526792,-591650.901673041
79,915023.0,,14,-1,15,WDFW priority habitat and species    Great blue heron management area,"PHS-EOFORM: 915023 (Biodiversity Areas And Corridor)  WEST DUWAMISH GREENBELT - SEATTLE STANDS OF CONIFER, DECIDUOUS, BROADLEAF EVERGREEN, AND MIXED CONIFER-DECIDUOUS T REES. SNAGS, DOWNED LOGS, SEEPS, WETLANDS, AND SHRUBS PRESENT. NESTING BALD EAGL E ALSO PRESENT.",39993.11161866,799.931173764846,39993.1176725234
80,915014.0,,17,-1,-1,WDFW priority habitat and species,"PHS-EOFORM: 915014 (Cliffs/bluffs)  DISCOVERY PARK - SEATTLE SPARESLY VEGETATED CLIFFS SITUATED ON THE BLUFFS IN DISCOVERY PARK. HEIGHT OF TH E CLIFFS RANGE FROM 20 FEET ON THE NORTH BLUFF TO 240 FEET ON THE SOUTH BLUFF. A LSO CONTAINS SNAGS, DOWNED LOGS, AND SEEPS. BLUFFS ARE MADE UP OF GLACIAL TILL.",417161.26933789,12022.7414694046,-417165.021177819
81,915015.0,,18,-1,-1,WDFW priority habitat and species,"PHS-EOFORM: 915015 (Biodiversity Areas And Corridor)  DISCOVERY PARK - SEATTLE STANDS OF CONIFERS, DECIDUOUS AND MIXED CONIFER AND DECIDUOUS INTERMIXED WITH PA TCHES OF SHRUBLAND, GRASSLAND, CLIFFS, AND WETLANDS UPON MAGNOLIA BLUFF. DIAMETE R OF TREES 5 TO 30 INCHES. NESTING PILEATED WOODPECKERS AND BALD EAGLE PRESENT.",417161.26933789,12022.7414694046,-417165.021177819
82,915015.0,,18,-1,1,WDFW priority habitat and species    Great blue heron management area,"PHS-EOFORM: 915015 (Biodiversity Areas And Corridor)  DISCOVERY PARK - SEATTLE STANDS OF CONIFERS, DECIDUOUS AND MIXED CONIFER AND DECIDUOUS INTERMIXED WITH PA TCHES OF SHRUBLAND, GRASSLAND, CLIFFS, AND WETLANDS UPON MAGNOLIA BLUFF. DIAMETE R OF TREES 5 TO 30 INCHES. NESTING PILEATED WOODPECKERS AND BALD EAGLE PRESENT.",517568.15217066,6673.62484988073,-517358.633636735
83,915015.0,,18,-1,12,WDFW priority habitat and species    Great blue heron management area,"PHS-EOFORM: 915015 (Biodiversity Areas And Corridor)  DISCOVERY PARK - SEATTLE STANDS OF CONIFERS, DECIDUOUS AND MIXED CONIFER AND DECIDUOUS INTERMIXED WITH PA TCHES OF SHRUBLAND, GRASSLAND, CLIFFS, AND WETLANDS UPON MAGNOLIA BLUFF. DIAMETE R OF TREES 5 TO 30 INCHES. NESTING PILEATED WOODPECKERS AND BALD EAGLE PRESENT.",200731.32212584,3141.3129083911,200731.342750706
84,915016.0,,19,-1,1,WDFW priority habitat and species    Great blue heron management area,"PHS-EOFORM: 915016 (Biodiversity Areas And Corridor)  KIWANIS RAVINE - SEATTLE STANDS OF CONIFER AND DECIDUOUS TREES IN STEEP RAVINE. SNAGS, DOWNED LOGS, AND W ETLANDS ARE PRESENT. DIAMETER OF CONIFERS RANGE FROM 20 TO 30 INCHES AND THE DIA METER OF DECIDUOUS RANGE FROM 5 TO 20 INCHES.",36464.64733277,2653.33496700967,36464.6703208122
85,915016.0,,19,-1,12,WDFW priority habitat and species    Great blue heron management area,"PHS-EOFORM: 915016 (Biodiversity Areas And Corridor)  KIWANIS RAVINE - SEATTLE STANDS OF CONIFER AND DECIDUOUS TREES IN STEEP RAVINE. SNAGS, DOWNED LOGS, AND W ETLANDS ARE PRESENT. DIAMETER OF CONIFERS RANGE FROM 20 TO 30 INCHES AND THE DIA METER OF DECIDUOUS RANGE FROM 5 TO 20 INCHES.",691104.67759697,7747.28851336237,691104.722983769
86,904461.0,,29,-1,-1,WDFW priority habitat and species,PHS-EOFORM: 904461 (California Sea Lion)    CALIFORNIA SEA LION    ,10151849.5859114,33833.8314031214,10151849.6603184
87,904754.0,,34,-1,-1,WDFW priority habitat and species,"PHS-EOFORM: 904754 (Esturine Zone)    BAY/ESTUARY-COASTAL ZONE ATLAS CODE 54-MODERATELY PROTECTED MARINE EMBAYMENTS WI TH FREE CONNECTIONS WITH THE OPEN SEA. BLUFFS, REACH SUBSTRATES MARSHES, EELGRAS S BEDS, AND OTHER INTERTIDAL HABITATS ARE ASSOCIATED WITH IT.",10151849.5859114,33833.8314031214,10151849.6603184
88,904461.0,,29,-1,1,WDFW priority habitat and species    Great blue heron management area,PHS-EOFORM: 904461 (California Sea Lion)    CALIFORNIA SEA LION    ,364373.203708,4492.78555163882,364373.186381402
89,904461.0,,29,-1,14,WDFW priority habitat and species    Great blue heron management area,PHS-EOFORM: 904461 (California Sea Lion)    CALIFORNIA SEA LION    ,902.65638661,248.533464384381,902.658310287593
90,918012.0,,1,1,-1,WDFW priority habitat and species    Bald eagle management area,"PHS-EOFORM: 918012 (Waterfowl Concentrations)  UNION BAY - LAKE WASHINGTON THE WETLANDS AT THE MOUTH OF UNIVERSITY SLOUGH, ALONG THE UNION BAY NATURAL AREA , MARSH AND FOSTER ISLANDS AND ASSOCIATED UW ARBORETUM SHORELINE PROVIDE NESTING  AND LOAFING OPPORTUNITIES FOR URBAN DABBLER SPECIES, INCLUDING WOOD DUCKS.",263683.15488051,1982.19971124172,-263388.52041243
91,915021.0,,6,1,-1,WDFW priority habitat and species    Bald eagle management area,"PHS-EOFORM: 915021 (Biodiversity Areas And Corridor)  WASHINGTON ARBORETUM AND ENVIRONS - SEATTLE STANDS OF CINIFER, DECIDUOUS, AND MIXED CONIFER-DECIDUOUS TREES INTERMIXED WITH  LANDSCAPED GRASSLANDS AND FOREST. SNAGS, DOWNED LOGS, AND WETLANDS ARE PRESENT.  NESTING BALD EAGLES, AND GREAT BLUE HERON. WESTERN POND AND PAINTED TURTLES.",263683.15488051,1982.19971124172,-263388.52041243
92,915023.0,,14,1,1,WDFW priority habitat and species    Great blue heron management area    Bald eagle management area,"PHS-EOFORM: 915023 (Biodiversity Areas And Corridor)  WEST DUWAMISH GREENBELT - SEATTLE STANDS OF CONIFER, DECIDUOUS, BROADLEAF EVERGREEN, AND MIXED CONIFER-DECIDUOUS T REES. SNAGS, DOWNED LOGS, SEEPS, WETLANDS, AND SHRUBS PRESENT. NESTING BALD EAGL E ALSO PRESENT.",272593.24488553,2048.44906375145,-272306.862453576
93,915023.0,,14,1,16,WDFW priority habitat and species    Great blue heron management area    Bald eagle management area,"PHS-EOFORM: 915023 (Biodiversity Areas And Corridor)  WEST DUWAMISH GREENBELT - SEATTLE STANDS OF CONIFER, DECIDUOUS, BROADLEAF EVERGREEN, AND MIXED CONIFER-DECIDUOUS T REES. SNAGS, DOWNED LOGS, SEEPS, WETLANDS, AND SHRUBS PRESENT. NESTING BALD EAGL E ALSO PRESENT.",8266.00868882,430.407201987009,8266.01075457873
94,918012.0,,1,2,-1,WDFW priority habitat and species    Bald eagle management area,"PHS-EOFORM: 918012 (Waterfowl Concentrations)  UNION BAY - LAKE WASHINGTON THE WETLANDS AT THE MOUTH OF UNIVERSITY SLOUGH, ALONG THE UNION BAY NATURAL AREA , MARSH AND FOSTER ISLANDS AND ASSOCIATED UW ARBORETUM SHORELINE PROVIDE NESTING  AND LOAFING OPPORTUNITIES FOR URBAN DABBLER SPECIES, INCLUDING WOOD DUCKS.",76599.8115212,1193.99756044915,-76532.0661115341
95,902029.0,,5,2,-1,WDFW priority habitat and species    Bald eagle management area,"PHS-EOFORM: 902029 (Wetlands)  ARBORETUM, FOSTER ISLAND, AND, UNIVERSITY OF WASH UNION BAY WETLANDS. THESE WETLANDS ARE REPORTED TO HOST A DIVERSE WILDLIFE POPUL ATION (145 SPECIES) ARBORETUM/LAKESIDE TRAIL DEIS. 1990.  ",76599.81152125,1193.99756044915,-76532.0661115341
96,918012.0,,1,2,-1,WDFW priority habitat and species    Bald eagle management area,"PHS-EOFORM: 918012 (Waterfowl Concentrations)  UNION BAY - LAKE WASHINGTON THE WETLANDS AT THE MOUTH OF UNIVERSITY SLOUGH, ALONG THE UNION BAY NATURAL AREA , MARSH AND FOSTER ISLANDS AND ASSOCIATED UW ARBORETUM SHORELINE PROVIDE NESTING  AND LOAFING OPPORTUNITIES FOR URBAN DABBLER SPECIES, INCLUDING WOOD DUCKS.",711033.67144751,5889.72514651062,-710642.16605071
97,915021.0,,6,2,-1,WDFW priority habitat and species    Bald eagle management area,"PHS-EOFORM: 915021 (Biodiversity Areas And Corridor)  WASHINGTON ARBORETUM AND ENVIRONS - SEATTLE STANDS OF CINIFER, DECIDUOUS, AND MIXED CONIFER-DECIDUOUS TREES INTERMIXED WITH  LANDSCAPED GRASSLANDS AND FOREST. SNAGS, DOWNED LOGS, AND WETLANDS ARE PRESENT.  NESTING BALD EAGLES, AND GREAT BLUE HERON. WESTERN POND AND PAINTED TURTLES.",711033.67144751,5889.72514651062,-710642.16605071
98,915023.0,,14,2,1,WDFW priority habitat and species    Great blue heron management area    Bald eagle management area,"PHS-EOFORM: 915023 (Biodiversity Areas And Corridor)  WEST DUWAMISH GREENBELT - SEATTLE STANDS OF CONIFER, DECIDUOUS, BROADLEAF EVERGREEN, AND MIXED CONIFER-DECIDUOUS T REES. SNAGS, DOWNED LOGS, SEEPS, WETLANDS, AND SHRUBS PRESENT. NESTING BALD EAGL E ALSO PRESENT.",315361.32176743,5385.25535057935,-315212.659620751
99,915014.0,,17,2,-1,WDFW priority habitat and species    Bald eagle management area,"PHS-EOFORM: 915014 (Cliffs/bluffs)  DISCOVERY PARK - SEATTLE SPARESLY VEGETATED CLIFFS SITUATED ON THE BLUFFS IN DISCOVERY PARK. HEIGHT OF TH E CLIFFS RANGE FROM 20 FEET ON THE NORTH BLUFF TO 240 FEET ON THE SOUTH BLUFF. A LSO CONTAINS SNAGS, DOWNED LOGS, AND SEEPS. BLUFFS ARE MADE UP OF GLACIAL TILL.",3560.5545219,340.387355910912,-3556.81795819551
100,915015.0,,18,2,-1,WDFW priority habitat and species    Bald eagle management area,"PHS-EOFORM: 915015 (Biodiversity Areas And Corridor)  DISCOVERY PARK - SEATTLE STANDS OF CONIFERS, DECIDUOUS AND MIXED CONIFER AND DECIDUOUS INTERMIXED WITH PA TCHES OF SHRUBLAND, GRASSLAND, CLIFFS, AND WETLANDS UPON MAGNOLIA BLUFF. DIAMETE R OF TREES 5 TO 30 INCHES. NESTING PILEATED WOODPECKERS AND BALD EAGLE PRESENT.",3560.5545219,340.387355910912,-3556.81795819551
