"**Please note** 2021 data in columns H, K, R, and U are populated with 2020 data until current data is released.  ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
File Name,File Version,Update Date,Region Code,State Code,Date Type,Date,Population age 18-64*,SSA Disability Beneficiaries  age 18-64*,Percent of Adult Population Receiving SSA Adult Disability Benefits,Eligible Adult Population*,Adult Receipts,Eligible Adult Population Filing Rate,Favorable Adult Determinations,Eligible Adult Population Allowance Rate,All Adult Determinations,Adult Favorable  Determination Rate,Population under age 18*,SSI Disabled Child (DC) Beneficiaries*,Percent of Population under age 18 Receiving SSI DC Benefits,Eligible Child Population*,SSI Disabled Child (DC) Receipts,Eligible Child Population Filing Rate,Favorable SSI Child (DC) Determinations,Eligible Child Population Allowance Rate,All SSI Disabled Child Determinations,SSI Disabled Child Allowance Rate,All Determinations,All Favorable Determinations,Favorable Determination Rate
SSA-SA-FYWL.csv,2,3/13/2023,SFO,AZ ,FY,2003,3389781,154081,4.55,3235700,35924,1.11,15412,0.48,34006,45.32,1478759,15556,1.05,1463203,5453,0.37,2993,0.20,5362,55.82,39368,18405,46.75
SSA-SA-FYWL.csv,2,3/13/2023,SFO,CA ,FY,2003,22137789,955914,4.32,21181875,222045,1.05,92564,0.44,215796,42.89,9410412,92704,0.99,9317708,30680,0.33,17106,0.18,29796,57.41,245592,109670,44.66
SSA-SA-FYWL.csv,2,3/13/2023,DEN,CO ,FY,2003,2961086,94901,3.20,2866185,23704,0.83,5625,0.20,23611,23.82,1145045,6587,0.58,1138458,2765,0.24,1340,0.12,2715,49.36,26326,6965,26.46
SSA-SA-FYWL.csv,2,3/13/2023,BOS,CT ,FY,2003,2154292,93218,4.33,2061074,19699,0.96,7129,0.35,19256,37.02,843395,6293,0.75,837102,2656,0.32,1165,0.14,2600,44.81,21856,8294,37.95
SSA-SA-FYWL.csv,2,3/13/2023,PHL,DC ,FY,2003,392836,20232,5.15,372604,4375,1.17,1974,0.53,4251,46.44,115297,3907,3.39,111390,1031,0.93,723,0.65,1213,59.60,5464,2697,49.36
SSA-SA-FYWL.csv,2,3/13/2023,PHL,DE ,FY,2003,509726,24731,4.85,484995,5485,1.13,2547,0.53,5166,49.30,197847,2977,1.50,194870,1156,0.59,526,0.27,1113,47.26,6279,3073,48.94
SSA-SA-FYWL.csv,2,3/13/2023,ATL,FL ,FY,2003,10228397,532877,5.21,9695520,122938,1.27,41736,0.43,125287,33.31,3817019,77292,2.02,3739727,31382,0.84,14011,0.37,32544,43.05,157831,55747,35.32
SSA-SA-FYWL.csv,2,3/13/2023,ATL,GA ,FY,2003,5582321,281761,5.05,5300560,67459,1.27,18033,0.34,67278,26.80,2312895,30857,1.33,2282038,14503,0.64,5060,0.22,14167,35.72,81445,23093,28.35
SSA-SA-FYWL.csv,2,3/13/2023,SFO,HI ,FY,2003,779307,27896,3.58,751411,7061,0.94,3335,0.44,6467,51.57,290126,1380,0.48,288746,583,0.20,352,0.12,571,61.65,7038,3687,52.39
SSA-SA-FYWL.csv,2,3/13/2023,KCM,IA ,FY,2003,1785424,79722,4.47,1705702,18455,1.08,6165,0.36,18078,34.10,714171,6295,0.88,707876,2900,0.41,1319,0.19,2802,47.07,20880,7484,35.84
SSA-SA-FYWL.csv,2,3/13/2023,SEA,ID ,FY,2003,831354,37175,4.47,794179,8747,1.10,3405,0.43,9120,37.34,376217,3543,0.94,372674,1321,0.35,786,0.21,1398,56.22,10518,4191,39.85
SSA-SA-FYWL.csv,2,3/13/2023,CHI,IL ,FY,2003,7871422,358126,4.55,7513296,79738,1.06,29048,0.39,75812,38.32,3228035,42559,1.32,3185476,19968,0.63,8050,0.25,19201,41.92,95013,37098,39.05
SSA-SA-FYWL.csv,2,3/13/2023,CHI,IN ,FY,2003,3843186,187466,4.88,3655720,47752,1.31,13945,0.38,45525,30.63,1571075,19036,1.21,1552039,9358,0.60,3722,0.24,9078,41.00,54603,17667,32.36
SSA-SA-FYWL.csv,2,3/13/2023,KCM,KS ,FY,2003,1664249,69658,4.19,1594591,18330,1.15,5094,0.32,16565,30.75,703509,6608,0.94,696901,2897,0.42,1265,0.18,2800,45.18,19365,6359,32.84
SSA-SA-FYWL.csv,2,3/13/2023,ATL,KY ,FY,2003,2603004,249909,9.60,2353095,47539,2.02,13585,0.58,45819,29.65,993861,25184,2.53,968677,9481,0.98,4241,0.44,8942,47.43,54761,17826,32.55
SSA-SA-FYWL.csv,2,3/13/2023,DAL,LA ,FY,2003,2771314,197990,7.14,2573324,46715,1.82,13890,0.54,45039,30.84,1178563,29460,2.50,1149103,15631,1.36,5147,0.45,15813,32.55,60852,19037,31.28
SSA-SA-FYWL.csv,2,3/13/2023,BOS,MA ,FY,2003,4093015,226543,5.53,3866472,45279,1.17,19576,0.51,43575,44.92,1490692,16610,1.11,1474082,6982,0.47,3293,0.22,6606,49.85,50181,22869,45.57
SSA-SA-FYWL.csv,2,3/13/2023,PHL,MD ,FY,2003,3492159,130865,3.75,3361294,36228,1.08,10886,0.32,33752,32.25,1376471,14046,1.02,1362425,5715,0.42,2500,0.18,5538,45.14,39290,13386,34.07
SSA-SA-FYWL.csv,2,3/13/2023,BOS,ME ,FY,2003,821076,60342,7.35,760734,10545,1.39,4249,0.56,10308,41.22,293513,3198,1.09,290315,1189,0.41,598,0.21,1154,51.82,11462,4847,42.29
SSA-SA-FYWL.csv,2,3/13/2023,CHI,MI ,FY,2003,6271247,354290,5.65,5916957,80244,1.36,28675,0.48,79745,35.96,2554811,35552,1.39,2519259,16404,0.65,6065,0.24,16472,36.82,96217,34740,36.11
SSA-SA-FYWL.csv,2,3/13/2023,CHI,MN ,FY,2003,3166078,121465,3.84,3044613,26609,0.87,10713,0.35,26084,41.07,1272025,9593,0.75,1262432,4393,0.35,2169,0.17,4241,51.14,30325,12882,42.48
SSA-SA-FYWL.csv,2,3/13/2023,KCM,MO ,FY,2003,3524140,211026,5.99,3313114,50553,1.53,15982,0.48,49073,32.57,1418210,18101,1.28,1400109,8251,0.59,3087,0.22,8125,37.99,57198,19069,33.34
SSA-SA-FYWL.csv,2,3/13/2023,ATL,MS ,FY,2003,1755759,159331,9.07,1596428,36494,2.29,9216,0.58,34503,26.71,761499,21262,2.79,740237,11766,1.59,3190,0.43,10742,29.70,45245,12406,27.42
SSA-SA-FYWL.csv,2,3/13/2023,DEN,MT ,FY,2003,569975,27715,4.86,542260,6001,1.11,1692,0.31,5947,28.45,221646,1805,0.81,219841,756,0.34,354,0.16,768,46.09,6715,2046,30.47
SSA-SA-FYWL.csv,2,3/13/2023,ATL,NC ,FY,2003,5338132,320026,6.00,5018106,72819,1.45,22056,0.44,70164,31.43,2055365,33450,1.63,2021915,14369,0.71,5790,0.29,14204,40.76,84368,27846,33.01
SSA-SA-FYWL.csv,2,3/13/2023,DEN,ND ,FY,2003,390408,14977,3.84,375431,3037,0.81,896,0.24,3052,29.36,148903,935,0.63,147968,438,0.30,173,0.12,443,39.05,3495,1069,30.59
SSA-SA-FYWL.csv,2,3/13/2023,KCM,NE ,FY,2003,1056428,42423,4.02,1014005,11477,1.13,3687,0.36,10830,34.04,444630,3399,0.76,441231,1606,0.36,644,0.15,1592,40.45,12422,4331,34.87
SSA-SA-FYWL.csv,2,3/13/2023,BOS,NH ,FY,2003,817193,36820,4.51,780373,7166,0.92,4027,0.52,6997,57.55,309776,1725,0.56,308051,633,0.21,361,0.12,703,51.35,7700,4388,56.99
SSA-SA-FYWL.csv,2,3/13/2023,NYC,NJ ,FY,2003,5360936,215927,4.03,5145009,38275,0.74,19006,0.37,37939,50.10,2106984,20861,0.99,2086123,7218,0.35,3969,0.19,7692,51.60,45631,22975,50.35
SSA-SA-FYWL.csv,2,3/13/2023,DAL,NM ,FY,2003,1146166,63208,5.51,1082958,14158,1.31,5364,0.50,13958,38.43,496971,6273,1.26,490698,2271,0.46,1187,0.24,2238,53.04,16196,6551,40.45
SSA-SA-FYWL.csv,2,3/13/2023,SFO,NV ,FY,2003,1411042,55450,3.93,1355592,14699,1.08,6236,0.46,12840,48.57,571742,5251,0.92,566491,2052,0.36,1115,0.20,1943,57.39,14783,7351,49.73
SSA-SA-FYWL.csv,2,3/13/2023,NYC,NY ,FY,2003,12121207,675303,5.57,11445904,140054,1.22,51407,0.45,135350,37.98,4614410,67961,1.47,4546449,26623,0.59,10322,0.23,25356,40.71,160706,61729,38.41
SSA-SA-FYWL.csv,2,3/13/2023,CHI,OH ,FY,2003,7076855,379831,5.37,6697024,90996,1.36,25250,0.38,89653,28.16,2832733,41456,1.46,2791277,19156,0.69,6431,0.23,19361,33.22,109014,31681,29.06
SSA-SA-FYWL.csv,2,3/13/2023,DAL,OK ,FY,2003,2151731,121348,5.64,2030383,31052,1.53,9913,0.49,30809,32.18,883098,11602,1.31,871496,5212,0.60,2302,0.26,5210,44.18,36019,12215,33.91
SSA-SA-FYWL.csv,2,3/13/2023,SEA,OR ,FY,2003,2249437,100421,4.46,2149016,24950,1.16,8061,0.38,25587,31.50,849393,7508,0.88,841885,2619,0.31,1518,0.18,2719,55.83,28306,9579,33.84
SSA-SA-FYWL.csv,2,3/13/2023,PHL,PA ,FY,2003,7562801,443417,5.86,7119384,91605,1.29,39031,0.55,90357,43.20,2857267,50888,1.78,2806379,19849,0.71,10523,0.37,19540,53.85,109897,49554,45.09
SSA-SA-FYWL.csv,2,3/13/2023,NYC,PR ,FY,2003,2355849,151320,6.42,2204529,19429,0.88,5924,0.27,20047,29.55,0,0,0.00,0,0,0.00,0,0.00,0,0.00,20047,5924,29.55
SSA-SA-FYWL.csv,2,3/13/2023,BOS,RI ,FY,2003,673602,41236,6.12,632366,4970,0.79,2437,0.39,5498,44.33,247441,3738,1.51,243703,929,0.38,521,0.21,1066,48.87,6564,2958,45.06
SSA-SA-FYWL.csv,2,3/13/2023,ATL,SC ,FY,2003,2609953,174463,6.68,2435490,37298,1.53,10668,0.44,36113,29.54,1021999,17721,1.73,1004278,8176,0.81,2893,0.29,8192,35.31,44305,13561,30.61
SSA-SA-FYWL.csv,2,3/13/2023,DEN,SD ,FY,2003,460454,19759,4.29,440695,4405,1.00,1204,0.27,4297,28.02,196795,1885,0.96,194910,804,0.41,377,0.19,867,43.48,5164,1581,30.62
SSA-SA-FYWL.csv,2,3/13/2023,ATL,TN ,FY,2003,3700075,254138,6.87,3445937,58280,1.69,13241,0.38,54265,24.40,1419162,21907,1.54,1397255,10720,0.77,3340,0.24,9914,33.69,64179,16581,25.84
SSA-SA-FYWL.csv,2,3/13/2023,DAL,TX ,FY,2003,13729595,532779,3.88,13196816,147152,1.12,54156,0.41,149886,36.13,6149494,65288,1.06,6084206,30560,0.50,15771,0.26,30950,50.96,180836,69927,38.67
SSA-SA-FYWL.csv,2,3/13/2023,DEN,UT ,FY,2003,1433317,38518,2.69,1394799,9967,0.71,2396,0.17,9084,26.38,742302,3837,0.52,738465,1385,0.19,775,0.10,1307,59.30,10391,3171,30.52
SSA-SA-FYWL.csv,2,3/13/2023,PHL,VA ,FY,2003,4748019,218012,4.59,4530007,45386,1.00,17913,0.40,47154,37.99,1782168,20351,1.14,1761817,8502,0.48,3621,0.21,8808,41.11,55962,21534,38.48
SSA-SA-FYWL.csv,2,3/13/2023,BOS,VT ,FY,2003,395895,21133,5.34,374762,4119,1.10,1730,0.46,4299,40.24,140977,1487,1.05,139490,533,0.38,338,0.24,536,63.06,4835,2068,42.77
SSA-SA-FYWL.csv,2,3/13/2023,SEA,WA ,FY,2003,3907828,172034,4.40,3735794,40903,1.09,15257,0.41,38668,39.46,1511569,13105,0.87,1498464,4833,0.32,2727,0.18,4769,57.18,43437,17984,41.40
SSA-SA-FYWL.csv,2,3/13/2023,CHI,WI ,FY,2003,3416248,150787,4.41,3265461,33584,1.03,11789,0.36,31433,37.51,1346109,15415,1.15,1330694,7492,0.56,2679,0.20,7145,37.49,38578,14468,37.50
SSA-SA-FYWL.csv,2,3/13/2023,PHL,WV ,FY,2003,1134862,124436,10.96,1010426,22840,2.26,6636,0.66,23292,28.49,390419,8207,2.10,382212,2980,0.78,1335,0.35,3041,43.90,26333,7971,30.27
SSA-SA-FYWL.csv,2,3/13/2023,DEN,WY ,FY,2003,315905,12148,3.85,303757,2944,0.97,817,0.27,2757,29.63,123094,822,0.67,122272,297,0.24,123,0.10,261,47.13,3018,940,31.15
SSA-SA-FYWL.csv,2,3/13/2023,SEA,AK ,FY,2004,432731,14879,3.44,417852,4407,1.05,1668,0.40,4611,36.17,185967,1074,0.58,184893,372,0.20,271,0.15,375,72.27,4986,1939,38.89
SSA-SA-FYWL.csv,2,3/13/2023,ATL,AL ,FY,2004,2803855,242764,8.66,2561091,49115,1.92,13643,0.53,48797,27.96,1106125,27548,2.49,1078577,12881,1.19,3928,0.36,13227,29.70,62024,17571,28.33
SSA-SA-FYWL.csv,2,3/13/2023,DAL,AR ,FY,2004,1679868,140468,8.36,1539400,32872,2.14,12014,0.78,31768,37.82,680054,16313,2.40,663741,8502,1.28,3067,0.46,8161,37.58,39929,15081,37.77
SSA-SA-FYWL.csv,2,3/13/2023,SFO,AZ ,FY,2004,3494465,163678,4.68,3330787,37504,1.13,14907,0.45,32602,45.72,1518654,16337,1.08,1502317,5579,0.37,2937,0.20,5429,54.10,38031,17844,46.92
SSA-SA-FYWL.csv,2,3/13/2023,SFO,CA ,FY,2004,22396509,987247,4.41,21409262,225454,1.05,97457,0.46,217190,44.87,9432170,95006,1.01,9337164,30376,0.33,17070,0.18,29384,58.09,246574,114527,46.45
SSA-SA-FYWL.csv,2,3/13/2023,DEN,CO ,FY,2004,3001297,97361,3.24,2903936,24465,0.84,5430,0.19,20724,26.20,1146130,6591,0.58,1139539,2810,0.25,1321,0.12,2512,52.59,23236,6751,29.05
SSA-SA-FYWL.csv,2,3/13/2023,BOS,CT ,FY,2004,2166546,94924,4.38,2071622,20016,0.97,6998,0.34,19334,36.20,839345,6377,0.76,832968,2897,0.35,1107,0.13,2724,40.64,22058,8105,36.74
SSA-SA-FYWL.csv,2,3/13/2023,PHL,DC ,FY,2004,395129,20819,5.27,374310,5138,1.37,1994,0.53,4304,46.33,115097,4233,3.68,110864,1303,1.18,690,0.62,1097,62.90,5401,2684,49.69
SSA-SA-FYWL.csv,2,3/13/2023,PHL,DE ,FY,2004,517323,26608,5.14,490715,6551,1.33,3051,0.62,5908,51.64,199309,3113,1.56,196196,1302,0.66,597,0.30,1169,51.07,7077,3648,51.55
SSA-SA-FYWL.csv,2,3/13/2023,ATL,FL ,FY,2004,10493881,550309,5.24,9943572,124196,1.25,37712,0.38,119451,31.57,3886220,78640,2.02,3807580,31483,0.83,12302,0.32,30891,39.82,150342,50014,33.27
SSA-SA-FYWL.csv,2,3/13/2023,ATL,GA ,FY,2004,5703094,288788,5.06,5414306,68332,1.26,17328,0.32,68415,25.33,2353777,31538,1.34,2322239,15043,0.65,4953,0.21,15082,32.84,83497,22281,26.68
SSA-SA-FYWL.csv,2,3/13/2023,SFO,HI ,FY,2004,789228,29143,3.69,760085,7341,0.97,3617,0.48,7034,51.42,291228,1437,0.49,289791,612,0.21,341,0.12,532,64.10,7566,3958,52.31
SSA-SA-FYWL.csv,2,3/13/2023,KCM,IA ,FY,2004,1797674,82380,4.58,1715294,18410,1.07,5907,0.34,18489,31.95,711291,6554,0.92,704737,2889,0.41,1338,0.19,2889,46.31,21378,7245,33.89
SSA-SA-FYWL.csv,2,3/13/2023,SEA,ID ,FY,2004,850374,39153,4.60,811221,9565,1.18,3244,0.40,8409,38.58,380677,3747,0.98,376930,1450,0.38,777,0.21,1336,58.16,9745,4021,41.26
SSA-SA-FYWL.csv,2,3/13/2023,CHI,IL ,FY,2004,7930441,365624,4.61,7564817,81832,1.08,28500,0.38,77528,36.76,3217935,43103,1.34,3174832,19870,0.63,7636,0.24,19207,39.76,96735,36136,37.36
SSA-SA-FYWL.csv,2,3/13/2023,CHI,IN ,FY,2004,3869243,194581,5.03,3674662,49353,1.34,14264,0.39,48716,29.28,1571898,19823,1.26,1552075,9775,0.63,3714,0.24,9527,38.98,58243,17978,30.87
SSA-SA-FYWL.csv,2,3/13/2023,KCM,KS ,FY,2004,1677162,72727,4.34,1604435,18502,1.15,5479,0.34,18570,29.50,698842,6806,0.97,692036,2950,0.43,1359,0.20,2956,45.97,21526,6838,31.77
SSA-SA-FYWL.csv,2,3/13/2023,ATL,KY ,FY,2004,2625053,257252,9.80,2367801,49143,2.08,14228,0.60,47796,29.77,991792,25797,2.60,965995,9679,1.00,4469,0.46,9552,46.79,57348,18697,32.60
SSA-SA-FYWL.csv,2,3/13/2023,DAL,LA ,FY,2004,2791839,205159,7.35,2586680,49775,1.92,15697,0.61,47114,33.32,1169815,30889,2.64,1138926,16102,1.41,5302,0.47,15218,34.84,62332,20999,33.69
SSA-SA-FYWL.csv,2,3/13/2023,BOS,MA ,FY,2004,4105893,232985,5.67,3872908,45119,1.16,20171,0.52,45061,44.76,1476371,17108,1.16,1459263,7045,0.48,3355,0.23,6846,49.01,51907,23526,45.32
SSA-SA-FYWL.csv,2,3/13/2023,PHL,MD ,FY,2004,3525951,136792,3.88,3389159,34416,1.02,12075,0.36,37355,32.32,1378682,14304,1.04,1364378,5120,0.38,2478,0.18,5903,41.98,43258,14553,33.64
SSA-SA-FYWL.csv,2,3/13/2023,BOS,ME ,FY,2004,827615,62665,7.57,764950,10672,1.40,4065,0.53,10705,37.97,290642,3278,1.13,287364,1154,0.40,580,0.20,1176,49.32,11881,4645,39.10
SSA-SA-FYWL.csv,2,3/13/2023,CHI,MI ,FY,2004,6306142,365017,5.79,5941125,85160,1.43,28245,0.48,82257,34.34,2536119,36456,1.44,2499663,17008,0.68,6294,0.25,16979,37.07,99236,34539,34.80
SSA-SA-FYWL.csv,2,3/13/2023,CHI,MN ,FY,2004,3197470,126619,3.96,3070851,28387,0.92,11110,0.36,27718,40.08,1266646,9996,0.79,1256650,4429,0.35,2257,0.18,4396,51.34,32114,13367,41.62
SSA-SA-FYWL.csv,2,3/13/2023,KCM,MO ,FY,2004,3559958,219960,6.18,3339998,54627,1.64,15825,0.47,51627,30.65,1416633,18723,1.32,1397910,8562,0.61,3270,0.23,8367,39.08,59994,19095,31.83
SSA-SA-FYWL.csv,2,3/13/2023,ATL,MS ,FY,2004,1768987,163260,9.23,1605727,36532,2.28,9552,0.59,36563,26.12,762807,21869,2.87,740938,12060,1.63,3420,0.46,12115,28.23,48678,12972,26.65
SSA-SA-FYWL.csv,2,3/13/2023,DEN,MT ,FY,2004,578951,28430,4.91,550521,6105,1.11,1762,0.32,5661,31.13,220229,1892,0.86,218337,748,0.34,335,0.15,705,47.52,6366,2097,32.94
SSA-SA-FYWL.csv,2,3/13/2023,ATL,NC ,FY,2004,5414686,331988,6.13,5082698,76543,1.51,22188,0.44,72206,30.73,2076139,34837,1.68,2041302,15266,0.75,5727,0.28,14349,39.91,86555,27915,32.25
SSA-SA-FYWL.csv,2,3/13/2023,DEN,ND ,FY,2004,396031,15251,3.85,380780,3356,0.88,968,0.25,3267,29.63,146926,932,0.63,145994,496,0.34,185,0.13,495,37.37,3762,1153,30.65
SSA-SA-FYWL.csv,2,3/13/2023,KCM,NE ,FY,2004,1064681,44154,4.15,1020527,11235,1.10,3554,0.35,11274,31.52,444604,3341,0.75,441263,1625,0.37,651,0.15,1603,40.61,12877,4205,32.66
SSA-SA-FYWL.csv,2,3/13/2023,BOS,NH ,FY,2004,826723,39209,4.74,787514,7363,0.93,3842,0.49,6408,59.96,307168,1715,0.56,305453,639,0.21,312,0.10,500,62.40,6908,4154,60.13
SSA-SA-FYWL.csv,2,3/13/2023,NYC,NJ ,FY,2004,5391075,221701,4.11,5169374,43340,0.84,19402,0.38,37054,52.36,2107048,21142,1.00,2085906,8220,0.39,3679,0.18,7137,51.55,44191,23081,52.23
SSA-SA-FYWL.csv,2,3/13/2023,DAL,NM ,FY,2004,1163728,66944,5.75,1096784,13481,1.23,5004,0.46,12963,38.60,496444,6628,1.34,489816,2195,0.45,1289,0.26,2425,53.15,15388,6293,40.90
SSA-SA-FYWL.csv,2,3/13/2023,SFO,NV ,FY,2004,1467615,59034,4.02,1408581,14932,1.06,6550,0.47,14552,45.01,595078,5633,0.95,589445,2171,0.37,1184,0.20,2144,55.22,16696,7734,46.32
SSA-SA-FYWL.csv,2,3/13/2023,NYC,NY ,FY,2004,12203069,688378,5.64,11514691,136797,1.19,54671,0.47,130426,41.92,4586373,69177,1.51,4517196,26036,0.58,10937,0.24,25772,42.44,156198,65608,42.00
SSA-SA-FYWL.csv,2,3/13/2023,CHI,OH ,FY,2004,7107319,390524,5.49,6716795,98481,1.47,26517,0.39,91983,28.83,2814094,41426,1.47,2772668,20606,0.74,6279,0.23,19363,32.43,111346,32796,29.45
SSA-SA-FYWL.csv,2,3/13/2023,DAL,OK ,FY,2004,2168688,127925,5.90,2040763,32783,1.61,10148,0.50,30708,33.05,879282,12381,1.41,866901,5558,0.64,2328,0.27,5245,44.39,35953,12476,34.70
SSA-SA-FYWL.csv,2,3/13/2023,SEA,OR ,FY,2004,2270553,104476,4.60,2166077,25625,1.18,7635,0.35,25167,30.34,845750,7872,0.93,837878,2678,0.32,1572,0.19,2659,59.12,27826,9207,33.09
SSA-SA-FYWL.csv,2,3/13/2023,PHL,PA ,FY,2004,7606247,460217,6.05,7146030,98581,1.38,39052,0.55,96442,40.49,2840225,53930,1.90,2786295,21032,0.75,11071,0.40,20938,52.88,117380,50123,42.70
SSA-SA-FYWL.csv,2,3/13/2023,NYC,PR ,FY,2004,2371973,150409,6.34,2221564,17594,0.79,5117,0.23,16289,31.41,0,0,0.00,0,0,0.00,0,0.00,0,0.00,16289,5117,31.41
SSA-SA-FYWL.csv,2,3/13/2023,BOS,RI ,FY,2004,676706,42919,6.34,633787,5732,0.90,2571,0.41,5332,48.22,245152,3894,1.59,241258,1023,0.42,582,0.24,997,58.38,6329,3153,49.82
SSA-SA-FYWL.csv,2,3/13/2023,ATL,SC ,FY,2004,2648695,179811,6.79,2468884,39636,1.61,10354,0.42,36268,28.55,1025946,18071,1.76,1007875,8600,0.85,2612,0.26,7793,33.52,44061,12966,29.43
SSA-SA-FYWL.csv,2,3/13/2023,DEN,SD ,FY,2004,467546,20301,4.34,447245,4508,1.01,1363,0.30,4603,29.61,196154,1819,0.93,194335,808,0.42,358,0.18,794,45.09,5397,1721,31.89
SSA-SA-FYWL.csv,2,3/13/2023,ATL,TN ,FY,2004,3741293,262499,7.02,3478794,59930,1.72,13436,0.39,55566,24.18,1425596,22216,1.56,1403380,10327,0.74,3309,0.24,10031,32.99,65597,16745,25.53
SSA-SA-FYWL.csv,2,3/13/2023,DAL,TX ,FY,2004,13971027,565051,4.04,13405976,159928,1.19,51722,0.39,152374,33.94,6229513,74225,1.19,6155288,36680,0.60,17592,0.29,35294,49.84,187668,69314,36.93
SSA-SA-FYWL.csv,2,3/13/2023,DEN,UT ,FY,2004,1471413,40099,2.73,1431314,10865,0.76,2634,0.18,9654,27.28,757582,3856,0.51,753726,1455,0.19,804,0.11,1313,61.23,10967,3438,31.35
SSA-SA-FYWL.csv,2,3/13/2023,PHL,VA ,FY,2004,4810047,226577,4.71,4583470,46786,1.02,18124,0.40,42489,42.66,1798391,21067,1.17,1777324,8933,0.50,3651,0.21,8322,43.87,50811,21775,42.85
SSA-SA-FYWL.csv,2,3/13/2023,BOS,VT ,FY,2004,398951,21885,5.49,377066,4031,1.07,1760,0.47,4088,43.05,138837,1490,1.07,137347,505,0.37,326,0.24,500,65.20,4588,2086,45.47
SSA-SA-FYWL.csv,2,3/13/2023,SEA,WA ,FY,2004,3961600,180064,4.55,3781536,42344,1.12,15339,0.41,41392,37.06,1514517,13774,0.91,1500743,5199,0.35,2962,0.20,5027,58.92,46419,18301,39.43
SSA-SA-FYWL.csv,2,3/13/2023,CHI,WI ,FY,2004,3453887,157172,4.55,3296715,37512,1.14,13180,0.40,36368,36.24,1338679,15850,1.18,1322829,7904,0.60,3074,0.23,8047,38.20,44415,16254,36.60
SSA-SA-FYWL.csv,2,3/13/2023,PHL,WV ,FY,2004,1136880,128291,11.28,1008589,24595,2.44,6678,0.66,22630,29.51,389606,8275,2.12,381331,3214,0.84,1324,0.35,2966,44.64,25596,8002,31.26
SSA-SA-FYWL.csv,2,3/13/2023,DEN,WY ,FY,2004,319428,12503,3.91,306925,3020,0.98,1040,0.34,2900,35.86,122532,840,0.69,121692,249,0.20,136,0.11,267,50.94,3167,1176,37.13
SSA-SA-FYWL.csv,2,3/13/2023,SEA,AK ,FY,2005,439942,15413,3.50,424529,4141,0.98,1560,0.37,4010,38.90,184605,1124,0.61,183481,422,0.23,299,0.16,402,74.38,4412,1859,42.14
SSA-SA-FYWL.csv,2,3/13/2023,ATL,AL ,FY,2005,2824057,253545,8.98,2570512,47778,1.86,13228,0.51,46690,28.33,1108325,28052,2.53,1080273,11956,1.11,3430,0.32,11868,28.90,58558,16658,28.45
SSA-SA-FYWL.csv,2,3/13/2023,DAL,AR ,FY,2005,1697784,147339,8.68,1550445,31049,2.00,11177,0.72,32325,34.58,686419,18035,2.63,668384,8645,1.29,3331,0.50,8925,37.32,41250,14508,35.17
SSA-SA-FYWL.csv,2,3/13/2023,SFO,AZ ,FY,2005,3623058,171669,4.74,3451389,37042,1.07,15511,0.45,37023,41.90,1573781,17068,1.08,1556713,5683,0.37,2777,0.18,5329,52.11,42352,18288,43.18
SSA-SA-FYWL.csv,2,3/13/2023,SFO,CA ,FY,2005,22604027,1009355,4.47,21594672,220027,1.02,93583,0.43,220903,42.36,9423835,97775,1.04,9326060,30308,0.32,16442,0.18,30163,54.51,251066,110025,43.82
SSA-SA-FYWL.csv,2,3/13/2023,DEN,CO ,FY,2005,3042355,100842,3.31,2941513,24227,0.82,6203,0.21,24249,25.58,1155944,6861,0.59,1149083,2733,0.24,1479,0.13,2778,53.24,27027,7682,28.42
SSA-SA-FYWL.csv,2,3/13/2023,BOS,CT ,FY,2005,2177216,96788,4.45,2080428,20014,0.96,6937,0.33,18629,37.24,832544,6590,0.79,825954,2762,0.33,1112,0.13,2620,42.44,21249,8049,37.88
SSA-SA-FYWL.csv,2,3/13/2023,PHL,DC ,FY,2005,398245,21325,5.35,376920,4931,1.31,1694,0.45,3943,42.96,114229,4337,3.80,109892,1266,1.15,606,0.55,1060,57.17,5003,2300,45.97
SSA-SA-FYWL.csv,2,3/13/2023,PHL,DE ,FY,2005,525112,27843,5.30,497269,5786,1.16,2709,0.54,5630,48.12,201872,3173,1.57,198699,1215,0.61,546,0.27,1229,44.43,6859,3255,47.46
SSA-SA-FYWL.csv,2,3/13/2023,ATL,FL ,FY,2005,10758566,568289,5.28,10190277,118534,1.16,38992,0.38,119218,32.71,3963736,79747,2.01,3883989,29343,0.76,11299,0.29,29713,38.03,148931,50291,33.77
SSA-SA-FYWL.csv,2,3/13/2023,ATL,GA ,FY,2005,5803114,297875,5.13,5505239,67845,1.23,16876,0.31,68127,24.77,2408805,33572,1.39,2375233,14582,0.61,4717,0.20,14786,31.90,82913,21593,26.04
SSA-SA-FYWL.csv,2,3/13/2023,SFO,HI ,FY,2005,800600,30065,3.76,770535,7102,0.92,3240,0.42,6277,51.62,288954,1546,0.54,287408,542,0.19,356,0.12,528,67.42,6805,3596,52.84
