Permit_Number,Effective_Date,Expiration_Date,Permit_Type,Applicant,Street_Address,City,State,ZIP_Code,Permit_Subtype,Permit_Description,Permit_Type_Code,Subtype_Code,ID,OBJECTID
24453,2019/01/01 00:00:00,2024/01/01 00:00:00,APCD Gasoline Dispense Permit,SANJAY PATEL,3901 TAYLOR BLVD,LOUISVILLE,KY,40215,Gas Dispen Facility Stage I,SHOP N GO,GAS,STG1,1012,106
24454,2014/04/01 00:00:00,2019/04/01 00:00:00,APCD Gasoline Dispense Permit,SHAWNEE GOLF COURSE,460 NORTHWESTERN PKY,LOUISVILLE,KY,40212,Gas Dispen Facility Stage I,SHAWNEE GOLF PRO,GAS,STG1,1013,107
24455,2015/11/16 00:00:00,2017/11/16 00:00:00,APCD Gasoline Dispense Permit,"NEWCOMB OIL COMPANY,LLC",4548 TAYLORSVILLE RD,JEFFERSONTOWN,KY,40220,Gas Dispen Facility Stage II,Five Points Food Mart,GAS,STG2,1014,108
24455,2015/11/16 00:00:00,2017/11/16 00:00:00,APCD Gasoline Dispense Permit,Jay Brahmani 2 Inc.,4548 TAYLORSVILLE RD,JEFFERSONTOWN,KY,40220,Gas Dispen Facility Stage II,Five Points Food Mart,GAS,STG2,1015,109
24457,2014/06/16 00:00:00,2016/06/16 00:00:00,APCD Gasoline Dispense Permit,"NEWCOMB OIL COMPANY,LLC",10306 U S HIGHWAY 42,LOUISVILLE,KY,40059,Gas Dispen Facility Stage II,Five Point Food Mart,GAS,STG2,1016,110
24457,2014/06/16 00:00:00,2016/06/16 00:00:00,APCD Gasoline Dispense Permit,Jay Brahmani 1 Inc.,10306 U S HIGHWAY 42,LOUISVILLE,KY,40059,Gas Dispen Facility Stage II,Five Point Food Mart,GAS,STG2,1017,111
24458,2019/01/01 00:00:00,2024/01/01 00:00:00,APCD Gasoline Dispense Permit,C.F.B. INC.,2912 BROWNSBORO RD,LOUISVILLE,KY,40206,Gas Dispen Facility Stage I,Super USA #101,GAS,STG1,1018,112
24458,2019/01/01 00:00:00,2024/01/01 00:00:00,APCD Gasoline Dispense Permit,DHANYA LLC,2912 BROWNSBORO RD,LOUISVILLE,KY,40206,Gas Dispen Facility Stage I,Super USA #101,GAS,STG1,1019,113
24458,2019/01/01 00:00:00,2024/01/01 00:00:00,APCD Gasoline Dispense Permit,DHANYA LLC,2912 BROWNSBORO RD,LOUISVILLE,KY,40206,Gas Dispen Facility Stage I,Super USA #101,GAS,STG1,1020,114
24459,2017/01/01 00:00:00,2022/01/01 00:00:00,APCD Gasoline Dispense Permit,"NEWCOMB OIL COMPANY,LLC",10314 WATTERSON TRL,JEFFERSONTOWN,KY,40299,Gas Dispen Facility Stage I,FIVE STAR FOOD MART #5462,GAS,STG1,1021,115
24460,2019/01/01 00:00:00,2024/01/01 00:00:00,APCD Gasoline Dispense Permit,JYOT LLC,3320 FRANKFORT AVE,LOUISVILLE,KY,40206,Gas Dispen Facility Stage I,SUPER USA - JYOT LLC,GAS,STG1,1022,116
24461,2016/11/01 00:00:00,2022/01/16 00:00:00,APCD Gasoline Dispense Permit,"NEWCOMB OIL COMPANY,LLC",11550 BLUEGRASS PKY,JEFFERSONTOWN,KY,40299,Gas Dispen Facility Stage I,FIVE STAR FOOD MART #5145,GAS,STG1,1023,117
24462,2017/09/01 00:00:00,2022/09/01 00:00:00,APCD Gasoline Dispense Permit,"NEWCOMB OIL COMPANY,LLC",2800 FERN VALLEY RD,LOUISVILLE,KY,40213,Gas Dispen Facility Stage I,FIVE STAR FOOD MART #5295,GAS,STG1,1024,118
24358,2016/11/02 00:00:00,2021/11/02 00:00:00,APCD Gasoline Dispense Permit,PENSKE TRUCK LEASING,2100 STANLEY GAULT PKY,LOUISVILLE,KY,40223,Gas Dispen Facility Stage I,PENSKE TRUCK LEASING STANLEY G,GAS,STG1,1025,119
24359,2018/06/01 00:00:00,2023/06/01 00:00:00,APCD Gasoline Dispense Permit,MAC'S CONVENIENCE STORES LLC,8001 BROWNSBORO RD,BARBOURMEADE,KY,40241,Gas Dispen Facility Stage I,DAIRY MART #3243,GAS,STG1,1026,120
24360,2013/12/15 00:00:00,,APCD Gasoline Dispense Permit,A & A MECHANICAL INC,1111 ULRICH AVE,LOUISVILLE,KY,40219,Gas Dispen Facility Stage I,A & A MECHANICAL INC.,GAS,STG1,1027,121
24361,2014/10/30 00:00:00,2016/10/30 00:00:00,APCD Gasoline Dispense Permit,SINGH PETRO 1,4903 POPLAR LEVEL RD,LOUISVILLE,KY,40219,Gas Dispen Facility Stage II,POPLAR LEVEL FOOD MART,GAS,STG2,1028,122
24361,2014/10/30 00:00:00,2016/10/30 00:00:00,APCD Gasoline Dispense Permit,SHIVANI INC,4903 POPLAR LEVEL RD,LOUISVILLE,KY,40219,Gas Dispen Facility Stage II,POPLAR LEVEL FOOD MART,GAS,STG2,1029,123
24361,2014/10/30 00:00:00,2016/10/30 00:00:00,APCD Gasoline Dispense Permit,SAMEY SAMEY,4903 POPLAR LEVEL RD,LOUISVILLE,KY,40219,Gas Dispen Facility Stage II,POPLAR LEVEL FOOD MART,GAS,STG2,1030,124
24362,2019/04/01 00:00:00,2024/04/01 00:00:00,APCD Gasoline Dispense Permit,METRO PARKS,9300 WHIPPS MILL RD,LYNDON,KY,40242,Gas Dispen Facility Stage I,A B SAWYER PARK-EAST REGION,GAS,STG1,1031,125
24363,2015/04/30 00:00:00,2017/04/30 00:00:00,APCD Gasoline Dispense Permit,MAC'S CONVENIENCE STORES LLC,5001 PRESTON HWY,LYNNVIEW,KY,40213,Gas Dispen Facility Stage II,CIRCLE K #3245,GAS,STG2,1032,126
24364,2012/02/28 00:00:00,2017/02/28 00:00:00,APCD Gasoline Dispense Permit,PORTLAND RECYCLING INC.,1612 PORTLAND AVE,LOUISVILLE,KY,40203,Gas Dispen Facility Stage I,PORTLAND RECYCLING INC,GAS,STG1,1033,127
24365,2015/06/01 00:00:00,2017/06/01 00:00:00,APCD Gasoline Dispense Permit,MACS CONVENIENCE STORES LLC,3400 TAYLOR BLVD,LOUISVILLE,KY,40215,Gas Dispen Facility Stage II,DAIRY MART #3267,GAS,STG2,1034,128
24366,2008/11/01 00:00:00,2013/11/01 00:00:00,APCD Gasoline Dispense Permit,MCCRAY ENTERPRISES,2323 ROCKFORD LN,SHIVELY,KY,40216,Gas Dispen Facility Stage I,ALADDIN FOOD MART,GAS,STG1,1035,129
24367,2018/06/01 00:00:00,2023/06/01 00:00:00,APCD Gasoline Dispense Permit,MAC'S CONVENIENCE STORES LLC,6325 BARDSTOWN RD,LOUISVILLE,KY,40291,Gas Dispen Facility Stage I,CIRCLE K #3317,GAS,STG1,1036,130
24368,2019/01/01 00:00:00,2024/01/01 00:00:00,APCD Gasoline Dispense Permit,PRUITT'S AUTOMOTIVE,3795 LEXINGTON RD,LOUISVILLE,KY,40207,Gas Dispen Facility Stage I,PRUITT'S AUTOMOTIVE,GAS,STG1,1037,131
24369,2018/12/31 00:00:00,2023/12/31 00:00:00,APCD Gasoline Dispense Permit,Allied Ready Mix Co LLC,1561 E WASHINGTON ST,LOUISVILLE,KY,40206,Gas Dispen Facility Stage I,ALLIED READY MIX,GAS,STG1,1038,132
24371,2018/06/01 00:00:00,2023/06/01 00:00:00,APCD Gasoline Dispense Permit,MAC'S CONVENIENCE STORES LLC,9737 3RD STREET RD,LOUISVILLE,KY,40272,Gas Dispen Facility Stage I,DAIRY MART #3276,GAS,STG1,1039,133
24372,2015/12/01 00:00:00,2017/12/01 00:00:00,APCD Gasoline Dispense Permit,QUICK FOOD MART,7031 GLOBAL DR,LOUISVILLE,KY,40258,Gas Dispen Facility Stage II,QUICK FOOD MART,GAS,STG2,1040,134
24373,2011/01/01 00:00:00,2016/01/01 00:00:00,APCD Gasoline Dispense Permit,"KEYSTOPS INC, DBA KEY OIL CO",610 N ENGLISH STATION RD,MIDDLETOWN,KY,40223,Gas Dispen Facility Stage I,AMCON (WHAYNE SUPPLY ENGL STA),GAS,STG1,1041,135
24374,2011/02/01 00:00:00,2016/02/01 00:00:00,APCD Gasoline Dispense Permit,MAC'S CONVENIENCE STORES LLC,2728 W MARKET ST,LOUISVILLE,KY,40212,Gas Dispen Facility Stage II,DAIRY MART #3282,GAS,STG2,1042,136
24375,2011/12/15 00:00:00,2016/12/16 00:00:00,APCD Gasoline Dispense Permit,QUICK FUEL,3700 BISHOP LN,LOUISVILLE,KY,40218,Gas Dispen Facility Stage II,QUICK FUEL,GAS,STG2,1043,137
24376,2019/03/01 00:00:00,2024/03/01 00:00:00,APCD Gasoline Dispense Permit,SOUTHERN PETROLEUM,4610 ROOFING RD,LOUISVILLE,KY,40218,Gas Dispen Facility Stage I,AMERICAN ROOFING INC.,GAS,STG1,1044,138
24377,2011/12/15 00:00:00,2016/12/15 00:00:00,APCD Gasoline Dispense Permit,MAC'S CONVENIENCE STORES LLC,4100 DIXIE HWY,SHIVELY,KY,40216,Gas Dispen Facility Stage II,CIRCLE K #0076,GAS,STG2,1045,139
24379,2011/12/18 00:00:00,2016/12/18 00:00:00,APCD Gasoline Dispense Permit,AMI FOOD MART,1779 BARDSTOWN RD,LOUISVILLE,KY,40205,Gas Dispen Facility Stage II,AMI FOOD MART,GAS,STG2,1046,140
24380,2016/11/01 00:00:00,2021/11/01 00:00:00,APCD Gasoline Dispense Permit,"DANE SHEET METALS, INC.",2710 OUTER LOOP,LOUISVILLE,KY,40219,Gas Dispen Facility Stage I,DANE SHEET METAL,GAS,STG1,1047,141
24382,2018/10/01 00:00:00,2023/10/01 00:00:00,APCD Gasoline Dispense Permit,"KEYSTOPS, LLC",10921 PLANTSIDE DR,JEFFERSONTOWN,KY,40299,Gas Dispen Facility Stage I,East End Fuel Center,GAS,STG1,1048,142
24383,2018/12/01 00:00:00,2023/12/01 00:00:00,APCD Gasoline Dispense Permit,JEFFERSON COUNTY PUBLIC SCHOOL,3440 PRESTON HWY,LOUISVILLE,KY,40213,Gas Dispen Facility Stage I,DAWSON GARAGE,GAS,STG1,1049,143
24384,2012/02/28 00:00:00,2017/02/28 00:00:00,APCD Gasoline Dispense Permit,JAY GAJANAND LLC,8506 SHEPHERDSVILLE RD,LOUISVILLE,KY,40219,Gas Dispen Facility Stage II,KWICK STOP FOOD MART,GAS,STG2,1050,144
24386,2016/05/01 00:00:00,2021/05/01 00:00:00,APCD Gasoline Dispense Permit,ANHEUSER-BUSCH INCORPORATED,4400 PRODUCE RD,WATTERSON PARK,KY,40218,Gas Dispen Facility Stage I,Standard Sales,GAS,STG1,1051,145
24386,2016/05/01 00:00:00,2021/05/01 00:00:00,APCD Gasoline Dispense Permit,Standard Sales,4400 PRODUCE RD,WATTERSON PARK,KY,40218,Gas Dispen Facility Stage I,Standard Sales,GAS,STG1,1052,146
24387,2019/03/01 00:00:00,2024/03/01 00:00:00,APCD Gasoline Dispense Permit,REGIONAL AIRPORT AUTHORITY,3345 ROGER E SCHUPP ST,LOUISVILLE,KY,40205,Gas Dispen Facility Stage I,BOWMAN FIELD MAINT. (RAA),GAS,STG1,1053,147
24388,2009/07/01 00:00:00,2014/07/01 00:00:00,APCD Gasoline Dispense Permit,DS GOLF CENTERS LLC,500 MARLOWS FORD RD,LOUISVILLE,KY,40245,Gas Dispen Facility Stage I,DIFFERENT STROKES ENGLISH STA.,GAS,STG1,1054,148
24389,2011/11/15 00:00:00,2015/11/15 00:00:00,APCD Gasoline Dispense Permit,ASHLEY'S CHEVRON SVC,5924 BARDSTOWN RD,LOUISVILLE,KY,40291,Gas Dispen Facility Stage II,ASHLEY'S CHEVRON,GAS,STG2,1055,149
24390,2019/03/01 00:00:00,2024/03/01 00:00:00,APCD Gasoline Dispense Permit,RENAISSANCE FUN PARK,201 PARK PLACE DR,MIDDLETOWN,KY,40223,Gas Dispen Facility Stage I,RENAISSANCE FUN PARK,GAS,STG1,1056,150
24393,2019/05/01 00:00:00,2024/05/01 00:00:00,APCD Gasoline Dispense Permit,DINO'S FOOD MART #2,2601 W BROADWAY,LOUISVILLE,KY,40211,Gas Dispen Facility Stage I,DINO'S FOOD MART,GAS,STG1,1057,151
24393,2019/05/01 00:00:00,2024/05/01 00:00:00,APCD Gasoline Dispense Permit,RAY JUMAH DINO'S LLC,2601 W BROADWAY,LOUISVILLE,KY,40211,Gas Dispen Facility Stage I,DINO'S FOOD MART,GAS,STG1,1058,152
24397,2016/02/20 00:00:00,2021/02/20 00:00:00,APCD Gasoline Dispense Permit,ALBERT OIL CO.,4400 BARDSTOWN RD,LOUISVILLE,KY,40218,Gas Dispen Facility Stage I,RESTHAVEN MEMORIAL PARK,GAS,STG1,1059,153
24398,2018/12/01 00:00:00,2023/12/01 00:00:00,APCD Gasoline Dispense Permit,AUDUBON COUNTRY CLUB INC,3265 ROBIN RD,LOUISVILLE,KY,40213,Gas Dispen Facility Stage I,AUDUBON COUNTRY CLUB,GAS,STG1,1060,154
24399,2014/07/18 00:00:00,2019/07/18 00:00:00,APCD Gasoline Dispense Permit,AVIS RENT-A-CAR INC,4401 PARK BLVD,LOUISVILLE,KY,40209,Gas Dispen Facility Stage I,AVIS RENT A CAR,GAS,STG1,1061,155
24399,2014/07/18 00:00:00,2019/07/18 00:00:00,APCD Gasoline Dispense Permit,"AVIS RENT-A-CAR SYSTEM, LLC",4401 PARK BLVD,LOUISVILLE,KY,40209,Gas Dispen Facility Stage I,AVIS RENT A CAR,GAS,STG1,1062,156
GO-14-1011,2017/07/01 09:51:00,2022/07/01 00:00:00,APCD Gasoline Dispense Permit,THORNTONS LLC,9400 WESTPORT RD,ROLLING HILLS,KY,40241,Gas Dispen Facility Stage I,Thornton Oil #162,GAS,STG1,1063,157
GO-16-1009,2017/07/01 00:00:00,2022/07/01 00:00:00,APCD Gasoline Dispense Permit,SPEEDWAY LLC,2400 TERRA CROSSING BLVD,LOUISVILLE,KY,40245,Gas Dispen Facility Stage I,SPEEDWAY #9451,GAS,STG1,1064,158
GO-14-1013,2014/12/12 00:00:00,2016/12/12 00:00:00,APCD Gasoline Dispense Permit,Mapco Express,3415 FERN VALLEY RD,LOUISVILLE,KY,40213,Gas Dispen Facility Stage II,MAPCO Express #7522,GAS,STG2,1065,159
GO-15-1009,2015/05/15 00:00:00,2017/05/15 00:00:00,APCD Gasoline Dispense Permit,ROHIT PATEL,7519 MOUNT WASHINGTON RD,LOUISVILLE,KY,40229,Gas Dispen Facility Stage II,Cedar Creek Corner Store,GAS,STG2,1066,160
GO-15-1000,2017/07/01 00:00:00,2022/07/01 00:00:00,APCD Gasoline Dispense Permit,SPEEDWAY LLC,8015 SHELBYVILLE RD,LYNDON,KY,40222,Gas Dispen Facility Stage I,SPEEDWAY #9392,GAS,STG1,1067,161
GO-19-1000,2019/03/01 00:00:00,2024/03/01 00:00:00,APCD Gasoline Dispense Permit,PLATINUM FOOD MART 1 LLC,1025 W BROADWAY,LOUISVILLE,KY,40203,Gas Dispen Facility Stage I,Platinum Foodmart,GAS,STG1,1068,162
GO-16-1010,2017/07/01 00:00:00,2022/07/01 00:00:00,APCD Gasoline Dispense Permit,SPEEDWAY LLC,10009 BROWNSBORO RD,LOUISVILLE,KY,40241,Gas Dispen Facility Stage I,SPEEDWAY #9606,GAS,STG1,1069,163
GO-16-1001,2017/07/01 10:12:00,2022/07/01 00:00:00,APCD Gasoline Dispense Permit,THORNTONS LLC,3255 BARDSTOWN RD,LOUISVILLE,KY,40205,Gas Dispen Facility Stage I,THORNTONS INC  #163,GAS,STG1,1070,164
GO-17-1000,2017/11/01 00:00:00,2022/11/01 00:00:00,APCD Gasoline Dispense Permit,ENERGY ESTEPP,4950 BROWNSBORO RD,LOUISVILLE,KY,40222,Gas Dispen Facility Stage I,ESTEPP FRIENDLY SHELL,GAS,STG1,1071,165
GO-16-1000,2016/02/22 00:00:00,2021/02/22 00:00:00,APCD Gasoline Dispense Permit,UNITED RENTALS,4019 PRODUCE RD,LOUISVILLE,KY,40218,Gas Dispen Facility Stage I,UNITED RENTALS INC,GAS,STG1,1072,166
GO-16-1007,2017/08/01 00:00:00,2022/08/01 00:00:00,APCD Gasoline Dispense Permit,Costco Wholesale Corporation,3408 BARDSTOWN RD,LOUISVILLE,KY,40218,Gas Dispen Facility Stage I,Costco Gasoline  (Loc. No. 1238),GAS,STG1,1073,167
GO-14-1008,2017/07/01 09:35:00,2022/07/01 00:00:00,APCD Gasoline Dispense Permit,THORNTON OIL CORPORATION,7515 SHELBYVILLE RD,NORWOOD,KY,40222,Gas Dispen Facility Stage I,THORNTON'S  #161,GAS,STG1,1074,168
GO-14-1009,2015/05/02 00:00:00,2017/05/02 00:00:00,APCD Gasoline Dispense Permit,MURPHY OIL USA INC,7000 RAGGARD RD,LOUISVILLE,KY,40216,Gas Dispen Facility Stage II,Murphy Oil USA #7533,GAS,STG2,1075,169
GO-14-1004,2017/07/01 00:00:00,2022/07/01 00:00:00,APCD Gasoline Dispense Permit,SPEEDWAY,2210 ARTHUR ST,LOUISVILLE,KY,40208,Gas Dispen Facility Stage I,SPEEDWAY #9391,GAS,STG1,1076,170
GO-14-1005,2014/05/19 00:00:00,2016/05/19 00:00:00,APCD Gasoline Dispense Permit,Mapco Express,5301 BARDSTOWN RD,LOUISVILLE,KY,40291,Gas Dispen Facility Stage II,MAPCO Express #7520,GAS,STG2,1077,171
GO-13-1003,2017/10/01 00:00:00,2022/10/01 00:00:00,APCD Gasoline Dispense Permit,Houchens Industries Inc.,14010 SHELBYVILLE RD,LOUISVILLE,KY,40245,Gas Dispen Facility Stage I,Crossroads IGA # 782,GAS,STG1,1078,172
GO-13-1004,2018/12/01 00:00:00,2023/12/01 00:00:00,APCD Gasoline Dispense Permit,Art's Rental Equipment Inc.,590 N ENGLISH STATION RD,MIDDLETOWN,KY,40223,Gas Dispen Facility Stage I,"Art's Rental Equipment , Inc.",GAS,STG1,1079,173
GO-16-1003,2016/04/01 00:00:00,2021/04/01 00:00:00,APCD Gasoline Dispense Permit,Nature's Mulch & Landscape Supply,1234 OLD FERN VALLEY RD,LOUISVILLE,KY,40219,Gas Dispen Facility Stage I,Nature's Mulch & Landscape Supply,GAS,STG1,1080,174
GO-14-1007,2014/06/26 00:00:00,2016/06/26 00:00:00,APCD Gasoline Dispense Permit,Mapco Express,10642 DIXIE HWY,LOUISVILLE,KY,40272,Gas Dispen Facility Stage II,MAPCO EXPRESS #7529,GAS,STG2,1081,175
GO-14-1012,2017/11/01 00:00:00,2022/11/01 00:00:00,APCD Gasoline Dispense Permit,KROGER LIMITED PARTNERSHIP I,4946 BROWNSBORO RD,LOUISVILLE,KY,40222,Gas Dispen Facility Stage I,Kroger Fuel L-186,GAS,STG1,1082,176
GO-19-1001,2019/04/01 00:00:00,2024/04/01 00:00:00,APCD Gasoline Dispense Permit,UNITED RENTALS,11109 DECIMAL DR,JEFFERSONTOWN,KY,40299,Gas Dispen Facility Stage I,UNITED RENTALS,GAS,STG1,1083,177
GO-14-1000,2018/06/01 16:28:00,2023/06/01 00:00:00,APCD Gasoline Dispense Permit,KROGER LIMITED PARTNERSHIP,6501 FOREST COVE LN,LOUISVILLE,KY,40059,Gas Dispen Facility Stage I,KROGER FUEL L-389,GAS,STG1,1084,178
GO-14-1006,2019/05/01 00:00:00,2024/05/01 00:00:00,APCD Gasoline Dispense Permit,AXIS INVESTMENTS,1500 MELLWOOD AVE,LOUISVILLE,KY,40206,Gas Dispen Facility Stage I,Singh Petro Convenience Mart,GAS,STG1,1085,179
30882,2013/02/01 00:00:00,2018/02/01 00:00:00,APCD Gasoline Dispense Permit,LOUISVILLE FIRE DEPARTMENT,501 W ASHLAND AVE,LOUISVILLE,KY,40214,Gas Dispen Facility Stage I,LOUISVILLE FIRE DEPT,GAS,STG1,1086,180
GO-13-1001,2017/10/01 00:00:00,2022/10/01 00:00:00,APCD Gasoline Dispense Permit,ROBERTO NAYER,4527 BARDSTOWN RD,LOUISVILLE,KY,40218,Gas Dispen Facility Stage I,Lucky Star Valero,GAS,STG1,1087,181
35294,2014/07/21 00:00:00,2016/07/21 00:00:00,APCD Gasoline Dispense Permit,Mac's Convenience Stores,9110 BLUE LICK RD,LOUISVILLE,KY,40219,Gas Dispen Facility Stage II,CIRCLE K #3330,GAS,STG2,1088,182
36204,2018/06/01 00:00:00,2023/06/01 00:00:00,APCD Gasoline Dispense Permit,LIMITED PARTNERSHIP I   KROGER,296 N HUBBARDS LN,ST MATTHEWS,KY,40207,Gas Dispen Facility Stage I,KROGER L-387,GAS,STG1,1089,183
37145,2019/03/01 00:00:00,2024/03/01 00:00:00,APCD Gasoline Dispense Permit,ART'S RENTAL EQUIPMENT,2438 CRITTENDEN DR,LOUISVILLE,KY,40217,Gas Dispen Facility Stage I,ART'S RENTAL EQUIPMENT INC.,GAS,STG1,1090,184
34753,2018/06/01 00:00:00,2023/06/01 00:00:00,APCD Gasoline Dispense Permit,KROGER FUEL DEPT,13003 FACTORY LN,LOUISVILLE,KY,40245,Gas Dispen Facility Stage I,KROGER FUEL L-739,GAS,STG1,1091,185
36349,2019/03/01 00:00:00,2024/03/01 00:00:00,APCD Gasoline Dispense Permit,FIRST TRANSIT INC,830 S 13TH ST,LOUISVILLE,KY,40210,Gas Dispen Facility Stage I,FIRST TRANSIT INC. #55434,GAS,STG1,1092,186
34824,2018/01/01 00:00:00,2023/01/01 00:00:00,APCD Gasoline Dispense Permit,KROGER LIMITED PARTNERSHIP I,5533 NEW CUT RD,LOUISVILLE,KY,40214,Gas Dispen Facility Stage I,KROGER FUEL L-350,GAS,STG1,1093,187
GO-13-1000,,,APCD Gasoline Dispense Permit,,1800 W BROADWAY,LOUISVILLE,KY,40203,Gas Dispen Facility Stage II,DELETED,GAS,STG2,1094,188
32193,2011/06/30 00:00:00,2016/06/30 00:00:00,APCD Gasoline Dispense Permit,WEDAD LLC,9502 TAYLORSVILLE RD,JEFFERSONTOWN,KY,40299,Gas Dispen Facility Stage II,DAIRYMART 3313,GAS,STG2,1095,189
33541,2016/01/28 00:00:00,2018/01/28 00:00:00,APCD Gasoline Dispense Permit,MAC'S CONVENIENCE STORES LLC,7951 BARDSTOWN RD,LOUISVILLE,KY,40291,Gas Dispen Facility Stage II,CIRCLE K #3226,GAS,STG2,1096,190
33553,2016/04/01 00:00:00,2021/04/01 00:00:00,APCD Gasoline Dispense Permit,SCHNELL CONTRACTORS INC,1343 TILE FACTORY LN,LOUISVILLE,KY,40213,Gas Dispen Facility Stage I,SCHNELL CONTRACTORS INC.,GAS,STG1,1097,191
31752,2019/03/01 00:00:00,2024/03/01 00:00:00,APCD Gasoline Dispense Permit,METRO PARKS,6614 ASHBY LN,LOUISVILLE,KY,40272,Gas Dispen Facility Stage I,SUN VALLEY GOLF COURSE,GAS,STG1,1098,192
27447,2019/06/01 00:00:00,2024/06/01 00:00:00,APCD Gasoline Dispense Permit,UNITED LLC,601 E BROADWAY,LOUISVILLE,KY,40202,Gas Dispen Facility Stage I,BOONE'S BP,GAS,STG1,1099,193
26681,2017/07/01 08:48:00,2022/07/01 00:00:00,APCD Gasoline Dispense Permit,THORNTON INC,1335 S HURSTBOURNE PKY,JEFFERSONTOWN,KY,40222,Gas Dispen Facility Stage I,THORNTON  #157,GAS,STG1,1100,194
26859,2017/11/01 00:00:00,2022/11/01 00:00:00,APCD Gasoline Dispense Permit,KROGER LIMITED PARTNERSHIP I,4013 POPLAR LEVEL RD,LOUISVILLE,KY,40213,Gas Dispen Facility Stage I,KROGER STORE L-400,GAS,STG1,1101,195
27120,2014/12/15 00:00:00,2016/12/15 00:00:00,APCD Gasoline Dispense Permit,ABU ISALM,3700 BARDSTOWN RD,LOUISVILLE,KY,40218,Gas Dispen Facility Stage II,USA SPEEDWAY INC,GAS,STG2,1102,196
27120,2014/12/15 00:00:00,2016/12/15 00:00:00,APCD Gasoline Dispense Permit,MR HILAL   AMIRIEH,3700 BARDSTOWN RD,LOUISVILLE,KY,40218,Gas Dispen Facility Stage II,USA SPEEDWAY INC,GAS,STG2,1103,197
27120,2014/12/15 00:00:00,2016/12/15 00:00:00,APCD Gasoline Dispense Permit,CIRCLE N FOOD MART,3700 BARDSTOWN RD,LOUISVILLE,KY,40218,Gas Dispen Facility Stage II,USA SPEEDWAY INC,GAS,STG2,1104,198
27201,2015/04/15 00:00:00,2020/04/15 00:00:00,APCD Gasoline Dispense Permit,CHURCHILL DOWNS,4520 POPLAR LEVEL RD,LOUISVILLE,KY,40213,Gas Dispen Facility Stage I,TRACKSIDE TRAINING CENTER,GAS,STG1,1105,199
27585,2017/11/01 00:00:00,2022/11/01 00:00:00,APCD Gasoline Dispense Permit,KROGER LIMITED PARTNERSHIP I,1247 GOSS AVE,LOUISVILLE,KY,40217,Gas Dispen Facility Stage I,KROGER L753,GAS,STG1,1106,200
34259,2018/01/01 00:00:00,2023/01/01 00:00:00,APCD Gasoline Dispense Permit,KROGER LIMITED PARTNERSHIP I,2318 BROWNSBORO RD,LOUISVILLE,KY,40206,Gas Dispen Facility Stage I,KROGER L-224,GAS,STG1,1107,201
31981,2015/11/09 00:00:00,2017/11/09 00:00:00,APCD Gasoline Dispense Permit,MACS CONVENIENCE STORES LLC,12415 TAYLORSVILLE RD,LOUISVILLE,KY,40299,Gas Dispen Facility Stage II,Circle K #3363,GAS,STG2,1108,202
31981,2015/11/09 00:00:00,2017/11/09 00:00:00,APCD Gasoline Dispense Permit,SHELL FOOD MART,12415 TAYLORSVILLE RD,LOUISVILLE,KY,40299,Gas Dispen Facility Stage II,Circle K #3363,GAS,STG2,1109,203
33248,2017/07/01 09:27:00,2022/07/01 00:00:00,APCD Gasoline Dispense Permit,THORNTON OIL CORPORATION,9200 PRESTON HWY,LOUISVILLE,KY,40229,Gas Dispen Facility Stage I,THORNTONS INC. #160,GAS,STG1,1110,204
26663,2018/11/01 00:00:00,2023/11/01 00:00:00,APCD Gasoline Dispense Permit,Algonquin Valero,3300 ALGONQUIN PKY,LOUISVILLE,KY,40211,Gas Dispen Facility Stage I,ALGONGUIN VALERO,GAS,STG1,1111,205
29936,2015/10/30 00:00:00,2017/10/30 00:00:00,APCD Gasoline Dispense Permit,Mac's Convenience Stores,2911 BARDSTOWN RD,LOUISVILLE,KY,40205,Gas Dispen Facility Stage II,CIRCLE K #3311,GAS,STG2,1112,206
29938,2017/07/01 00:00:00,2022/07/01 00:00:00,APCD Gasoline Dispense Permit,SPEEDWAY LLC,2300 BROWNSBORO RD,LOUISVILLE,KY,40206,Gas Dispen Facility Stage I,SPEEDWAY #8132,GAS,STG1,1113,207
24620,2015/11/15 00:00:00,2020/11/15 00:00:00,APCD Gasoline Dispense Permit,"LAKE FOREST COUNTRY CLUB, INC",14700 LANDMARK DR,LOUISVILLE,KY,40245,Gas Dispen Facility Stage I,LAKE FOREST COUNTRY CLUB,GAS,STG1,1114,208
24621,2011/01/31 00:00:00,2016/01/31 00:00:00,APCD Gasoline Dispense Permit,CONTAINERPORT GROUP,1803 SOUTH PARK RD,LOUISVILLE,KY,40219,Gas Dispen Facility Stage I,CONTAINERPORT GROUP,GAS,STG1,1115,209
24622,2019/01/01 00:00:00,2024/01/01 00:00:00,APCD Gasoline Dispense Permit,"DURAMART, INC.",1480 S 7TH ST,LOUISVILLE,KY,40208,Gas Dispen Facility Stage I,DURA MART,GAS,STG1,1116,210
24623,2014/07/01 00:00:00,2019/07/01 00:00:00,APCD Gasoline Dispense Permit,Larry Helm Seeding & Sodding Co. Inc.,4305 OLD HEADY RD,LOUISVILLE,KY,40299,Gas Dispen Facility Stage I,Larry Helm Seeding & Sodding Co. Inc.,GAS,STG1,1117,211
