ENROLLMENT ID - BUYER,ENROLLMENT STATE - BUYER,PROVIDER TYPE CODE - BUYER,PROVIDER TYPE TEXT - BUYER,NPI - BUYER,MULTIPLE NPI FLAG - BUYER,CCN - BUYER,ASSOCIATE ID - BUYER,ORGANIZATION NAME - BUYER,DOING BUSINESS AS NAME - BUYER,CHOW TYPE CODE,CHOW TYPE TEXT,EFFECTIVE DATE,ENROLLMENT ID - SELLER,ENROLLMENT STATE - SELLER,PROVIDER TYPE CODE - SELLER,PROVIDER TYPE TEXT - SELLER,NPI - SELLER,MULTIPLE NPI FLAG - SELLER,CCN - SELLER,ASSOCIATE ID - SELLER,ORGANIZATION NAME - SELLER,DOING BUSINESS AS NAME - SELLER
O20160506000106,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1396102943,N,055899,941509392,ROYAL PALMS POST ACUTE LLC,ROYAL PALMS POST ACUTE,CH,CHANGE OF OWNERSHIP,01/01/2016,O20100824001134,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1801884481.0,N,055899,7113041393.0,"ROYAL PALMS CONVALESCENT HOSPITAL, INC",ROYAL PALMS CONVALESCENT HOSPITAL
O20160506000153,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1932566189,N,555330,5496054850,RIVERSIDE POSTACUTE CARE LLC,RIVERSIDE POSTACUTE CARE,CH,CHANGE OF OWNERSHIP,02/01/2016,O20080228000222,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1710166558.0,N,555330,2567546674.0,"LIFEHOUSE RIVERSIDE OPERATIONS, LLC",RIVERSIDE HEALTHCARE CENTER
O20160506000864,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1598122038,N,055541,5890094270,ROYAL TERRACE HEALTHCARE LLC,ROYAL TERRACE HEALTHCARE,CH,CHANGE OF OWNERSHIP,01/01/2016,O20091222000380,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1437147022.0,N,055541,1254471378.0,ROYAL TERRACE LLC,ROYAL TERRACE HEALTH CARE
O20160506001352,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1093172645,N,056489,3678872074,SERRANO POST ACUTE LLC,HOLLYWOOD PREMIER HEALTHCARE CENTER,CH,CHANGE OF OWNERSHIP,01/01/2016,O20050526000165,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1134156698.0,N,056489,1052353315.0,"NORTH STAR HEALTHCARE, LLC",SERRANO NORTH CONVALESCENT HOSPITAL
O20160506001916,IL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1356729123,N,146143,8527367838,SYMPHONY HANOVER PARK LLC,SYMPHONY HANOVER PARK,CH,CHANGE OF OWNERSHIP,05/01/2016,O20101201000361,IL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1649588260.0,N,146143,1850587999.0,"CHURCH STREET STATION SKILLED NURSING AND LIVING CENTER, LLC",CLAREMONT - HANOVER PARK
O20160510001202,KY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1578924270,N,185320,8123317450,LA CENTER OPERATIONS LLC,LIFE CARE CENTER OF LA CENTER,CH,CHANGE OF OWNERSHIP,06/01/2016,O20070714000223,KY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1336188408.0,N,185320,6608783543.0,"LIFE CARE CENTERS OF AMERICA, INC.",LIFE CARE CENTER OF LA CENTER
O20160510001847,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1073970620,N,055259,244529592,MONROVIA POST ACUTE LLC,MONROVIA POST ACUTE,CH,CHANGE OF OWNERSHIP,01/01/2016,O20091223000010,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1255329843.0,N,055259,6608786702.0,"MONROVIA HEALTH CARE, INC.",MONROVIA CONVALESCENT HOSPITAL
O20160512000567,NJ,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1598125635,N,315329,1052600129,SPRINGPOINT AT DENVILLE INC,THE OAKS AT DENVILLE,CH,CHANGE OF OWNERSHIP,05/06/2016,O20080828000175,NJ,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1356481196.0,N,315329,1658446174.0,ST. FRANCIS LIFE CARE CORPORATION,FRANCISCAN OAKS
O20160516000209,NY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1326492380,N,335110,9133418148,ECRNC LLC,EVERGREEN COMMONS REHABILITATION AND NURSING CENTER,CH,CHANGE OF OWNERSHIP,04/28/2016,O20040528000329,NY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1831207257.0,N,335110,244211894.0,RENSSELAER PLANNING LLC,EVERGREEN COMMONS
O20160516001473,GA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1023476595,N,115040,5395034243,PARKSIDE OPERATION LLC,THE CENTER FOR ADVANCED REHAB AT PARKSIDE,CH,CHANGE OF OWNERSHIP,04/21/2016,O20080131000447,GA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1285602714.0,N,115040,4981679172.0,HUTCHESON MEDICAL CENTER INC,PARKSIDE AT HUTCHESON MEDICAL CENTER
O20160520000915,MN,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1679934350,N,245395A,3375832934,CROSSROADS WORTHINGTON OPERATIONS LLC,CROSSROADS CARE CENTER,CH,CHANGE OF OWNERSHIP,04/01/2016,O20080902000543,MN,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1215961768.0,N,245395A,7416858238.0,ATCHISON ENTERPRISES INCORPORATED,CROSSROADS CARE CENTER
O20160520002024,MN,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1548616014,N,245483B,8426347014,THE NORTH SHORE ESTATES LLC,,CH,CHANGE OF OWNERSHIP,07/14/2016,O20100709000854,MN,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1093775991.0,N,245483B,8325083355.0,BENEDICTINE CARE CENTERS,ST ELIGIUS HEALTH CENTER
O20160523000236,VA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1669834032,N,495267,3375832983,WARRENTON OPERATIONS LLC,BROOKSIDE REHAB AND NURSING CENTER,CH,CHANGE OF OWNERSHIP,03/17/2016,O20120207000735,VA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1336149871.0,N,495267,5698830883.0,OAK SPRINGS NURSING HOME LLC,OAK SPRINGS OF WARRENTON
O20160525002695,TX,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1477910636,N,675968,5395722904,BEXAR COUNTY HOSPITAL DISTRICT,STONE OAK CARE CENTER,CH,CHANGE OF OWNERSHIP,03/01/2016,O20080604000306,TX,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1477728863.0,N,675968,345310231.0,"MADISON OAK MANAGEMENT, INC.",STONE OAK CARE CENTER
O20160527000314,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1639530595,N,106025,5991095291,SARASOTA SNF OPERATIONS LLC,LIFE CARE CENTER OF SARASOTA,CH,CHANGE OF OWNERSHIP,07/01/2016,O20070714000251,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1356367700.0,N,106025,6608783543.0,"LIFE CARE CENTERS OF AMERICA, INC.",LIFE CARE CENTER OF SARASOTA
O20160614000016,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1154787141,N,105292,8729379235,BLUE RIDGE BY THE LAKE LLC,EAGLE LAKE NURSING AND REHAB CARE CENTER,CH,CHANGE OF OWNERSHIP,04/07/2016,O20120730000425,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1174898605.0,N,105292,5395901748.0,EAGLE LAKE REHAB & NURSING LLC,EAGLE LAKE REHAB & CARE CENTER
O20160614002350,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1114387446,N,055213,2466743943,RIALTO HEALTHCARE LLC,RIALTO POST ACUTE CARE,CH,CHANGE OF OWNERSHIP,02/01/2016,O20090701000104,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1700025863.0,N,055213,3678624756.0,"VISTA COVE CARE CENTER AT RIALTO, INC.",VISTA COVE CARE CENTER AT RIALTO
O20160615000220,NY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1770939936,N,335159,5395036784,ROSS ACQUISITION LLC,ROSS CENTER FOR HEALTH AND REHABILITATION,CH,CHANGE OF OWNERSHIP,06/01/2016,O20120301000086,NY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1346317484.0,N,335159,3779741236.0,"ROSS HEALTH CARE CENTER, INC.",
O20160615000693,NY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1316393564,N,335187,2062703473,HUDSON POINTE ACQUISITION LLC,HUDSON POINTE AT RIVERDALE CENTER FOR NURSING AND REHABILITATION,CH,CHANGE OF OWNERSHIP,06/01/2016,O20060821000058,NY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1578623179.0,Y,335187,2567465180.0,"RIVERDALE CENTER FOR NURSING AND REHABILITATION, LLC",
O20160617000379,LA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1902250129,N,195349,7113218470,TANGI PINES SENIOR CARE LLC,TANGI PINES NURSING CENTER,CH,CHANGE OF OWNERSHIP,03/01/2016,O20040616001349,LA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1740277003.0,N,195349,8921082926.0,TANGI PINES NURSING CENTER LLC,TANGI PINES NURSING CENTER
O20160622001545,NY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1477909638,N,335555,5890086888,COLD SPRING ACQUISITION LLC,COLD SPRING HILLS CENTER FOR NURSING AND REHABILITATION,CH,CHANGE OF OWNERSHIP,06/01/2016,O20040816000030,NY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1881762128.0,N,335555,1456324896.0,UPR CARE CORP,COLD SPRING HILLS CENTER FOR NURSING AND REHABILITATION
O20160622001892,OH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1063957645,N,365906,4880985886,MONARCH MEADOWS NURSING AND REHABILITATION LLC,MONARCH MEADOWS NURSING AND REHABILITATION,CH,CHANGE OF OWNERSHIP,11/10/2016,O20120530000300,OH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1346302452.0,N,365906,1850554932.0,"HILLSIDE NURSING AND REHABILITATION, INC.",HILLSIDE SKILLED NURSING AND REHABILITATION
O20160701001530,AZ,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1649627423,N,035116,8729370267,19TH AVENUE OPERATIONS LLC,THE REHABILITATION CENTER AT THE PALAZZO,CH,CHANGE OF OWNERSHIP,05/01/2016,O20101109000202,AZ,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1356656193.0,N,035116,5991869497.0,"EMERICARE, INC.",BROOKDALE CHRISTOWN
O20160705000275,OH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1508228602,N,365817,6901198464,AHF OHIO INC,SAMARITAN CARE CENTER AND VILLA,CH,CHANGE OF OWNERSHIP,05/01/2016,O20120620000239,OH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1689668063.0,N,365817,9335303510.0,SAMARITAN CARE CENTER INC,
O20160705000704,OH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1659733723,N,366170,6901198464,AHF OHIO INC,THE SANCTUARY AT TUTTLE CROSSING,CH,CHANGE OF OWNERSHIP,05/01/2016,O20120430000415,OH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1740274125.0,N,366170,6507028016.0,SANCTUARY AT TUTTLE CROSSING INC,SANCTUARY AT TUTTLE CROSSING INC
O20160705001395,OH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1578917670,N,365789,6901198464,AHF OHIO INC,SANCTUARY AT WILMINGTON PLACE,CH,CHANGE OF OWNERSHIP,05/01/2016,O20061204000324,OH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1730173113.0,N,365789,5193724037.0,SANCTUARY AT WHISPERING MEADOWS INC,SANCTUARY AT WILMINGTON PLACE
O20160705002037,OH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1114389798,N,365791,6901198464,AHF OHIO INC,SANCTUARY AT OHIO VALLEY,CH,CHANGE OF OWNERSHIP,05/01/2016,O20120430000256,OH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1336133719.0,N,365791,1153583653.0,BRYANT HEATLH CENTER INC,THE SANCTUARY AT OHIO VALLEY
O20160712000211,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1619339306,N,055719,9537451661,VENTURA POST ACUTE LLC,VENTURA POST ACUTE,CH,CHANGE OF OWNERSHIP,03/01/2016,O20100310000903,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1972516540.0,N,055719,2961547286.0,"ROGER SHEA, INC.",VENTURA CONVALESCENT HOSPITAL
O20160714001276,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1366802696,N,555723,9133411978,VISTA POST ACUTE CENTER LLC,ASTOR HEALTHCARE CENTER,CH,CHANGE OF OWNERSHIP,02/10/2016,O20080228000146,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1912189812.0,N,555723,9537243639.0,BHC VISTA OPERATIONS LLC,VISTA HEALTHCARE CENTER
O20160716000008,MA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1952765851,N,225770,3375835028,BANE BRIGHTON HOUSE LLC,BRIGHTON HOUSE REHABILITATION AND NURSING CENTER,CH,CHANGE OF OWNERSHIP,07/01/2016,O20060306000023,MA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1053436154.0,N,225770,1052325271.0,"BEACON REHABILITATION & NURSING, LLC",BRIGHTON HOUSE REHABILITATION & NURSING CENTER
O20160718001494,TX,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1063876118,N,675893,1052604741,CHG SENIOR LIVING PRESTON HOLLOW LLC,CRYSTAL CREEK AT PRESTON HOLLOW,CH,CHANGE OF OWNERSHIP,04/04/2016,O20071002000884,TX,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1699972539.0,N,675893,8729015193.0,"DALLAS HOME FOR JEWISH AGED, INC.",THE LEGACY AT PRESTON HOLLOW
O20160721000512,NY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1629420187,N,335003,4880987395,WEST LEDGE OP LLC,THE EMERALD PEEK REHABILITATION AND NURSING CENTER,CH,CHANGE OF OWNERSHIP,04/01/2016,O20080206000498,NY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1184709305.0,N,335003,9830272319.0,WLOP LLC,WEST LEDGE REHABILITATION AND NURSING CENTER
O20160727001667,OH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1588010300,N,365155,941593057,CARDINAL AVON INC,AVON PLACE,CH,CHANGE OF OWNERSHIP,06/01/2016,O20141211001283,OH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1891102760.0,N,365155,8426370974.0,DIVERSICARE OF AVON LLC,AVON PLACE
O20160801002463,WA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1144210162,N,505372A,5597058362,MBB KENNEWICK LLC,REGENCY CANYON LAKES REHABILITATION AND NURSING CENTER,CH,CHANGE OF OWNERSHIP,06/01/2016,O20120307000533,WA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1144210162.0,N,505372A,5991964181.0,"F.I.G., INC.",
O20160808000557,GA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1386099679,N,115633,244524692,SB TYBEE LLC,SAVANNAH BEACH HEALTH AND REHAB,CH,CHANGE OF OWNERSHIP,07/13/2016,O20130827000514,GA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1235579814.0,N,115633,2264675099.0,SAVANNAH BEACH HEALTHCARE & REHAB LLC,SAVANNAH BEACH HEALTH & REHAB
O20160808000595,OH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1528416856,N,365163,1052605409,NORTHCREST ACRES NURSING & REHABILITATION CENTER LLC,NORTHCREST REHAB AND NURSING CENTER,CH,CHANGE OF OWNERSHIP,06/01/2016,O20150130001732,OH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1265842025.0,N,365163,2961726526.0,NCOP LLC,ORCHARDS OF NORTHCREST LIVING AND REHAB CENTER
O20160812002164,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1659737906,N,055523,6103110135,LAC VERDUGO OPERATIONS LLC,GLENDALE POST ACUTE CENTER,CH,CHANGE OF OWNERSHIP,01/01/2016,O20100825000595,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1982692570.0,N,055523,244354488.0,ROYAL OAKS CONVALESCENT HOSPITAL INC.,ROYAL OAKS CONVALESCENT HOSPITAL
O20160816000093,RI,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1801247093,N,415004,1850685785,ROYAL WESTERLY LLC,,CH,CHANGE OF OWNERSHIP,07/01/2016,O20071205000667,RI,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1669464699.0,N,415004,5496844953.0,"WESTERLY NURSING HOME, INC.",WESTERLY NURSING HOME
O20160816002182,OH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1720449788,N,365799,9537453428,WEST PARK CARE CENTER LLC,,CH,CHANGE OF OWNERSHIP,06/01/2016,O20110930000396,OH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1124018429.0,N,365799,4385816016.0,COLUMBUS WEST HEALTH CARE COMPANY,COLUMBUS WEST PARK NURSING AND REHABILITATION CENTER
O20160817003464,NY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1003295411,N,335267,3072808872,185 OLD MILITARY ROAD OPERATING COMPANY LLC,ELDERWOOD OF UIHLEIN AT LAKE PLACID,CH,CHANGE OF OWNERSHIP,10/04/2016,O20061005000356,NY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1538179809.0,N,335267,9638081284.0,ADIRONDACK MEDICAL CENTER,UIHLEIN LIVING CENTER
O20160819000037,NY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1639623929,N,335659,2365737038,TERRACE ACQUISITION II LLC,FORDHAM NURSING AND REHABILITATION CENTER,CH,CHANGE OF OWNERSHIP,08/01/2016,O20091027000249,NY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1780681874.0,N,335659,2860539798.0,"TERRACE HEALTHCARE CENTER, INC.",
O20160822001296,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1760840284,N,055489,9133414725,BRENTWOOD POST ACUTE LLC,BRENTWOOD POST ACUTE,CH,CHANGE OF OWNERSHIP,09/23/2016,O20040714000596,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1861493504.0,N,055489,7214916378.0,"BRENTWOOD SKILLED NURSING CENTER, INC.",BRENTWOOD SKILLED NURSING & REHABILITATION CENTER
O20160823002353,VT,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1306222989,N,475019B,9234424755,1248 HOSPITAL DRIVE OPERATIONS LLC,ST JOHNSBURY HEALTH AND REHABILITATION CENTER,CH,CHANGE OF OWNERSHIP,09/01/2016,O20110906000303,VT,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1992793491.0,N,475019B,4082884879.0,ST. JOHNSBURY HEALTH AND REHABILITATION CENTER LLC,ST. JOHNSBURY HEALTH AND REHABILITATION CENTER
O20160823003149,VT,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1831574052,N,475027B,6406141944,2 BLACKBERRY LANE OPERATIONS LLC,BENNINGTON HEALTH AND REHABILITATION CENTER,CH,CHANGE OF OWNERSHIP,09/01/2016,O20110902000261,VT,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1063409043.0,N,475027B,9739097478.0,BENNINGTON HEALTH AND REHABILITATION CENTER LLC,BENNINGTON HEALTH AND REHABILITATION CENTER
O20160825000161,VT,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1598132730,N,475025B,7911292248,105 CHESTER ROAD OPERATIONS LLC,SPRINGFIELD NURSING AND REHABILITATION CENTER,CH,CHANGE OF OWNERSHIP,09/01/2016,O20110906000245,VT,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1730177239.0,N,475025B,1850561648.0,SPRINGFIELD HEALTH AND REHABILITATION CENTER LLC,SPRINGFIELD HEALTH AND REHABILITATION CENTER
O20160825002873,VT,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1942686738,N,475014B,1951696178,300 PEARL STREET OPERATIONS LLC,BURLINGTON HEALTH AND REHABILITATION CENTER,CH,CHANGE OF OWNERSHIP,09/01/2016,O20110906000070,VT,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1942297940.0,N,475014B,345410114.0,BURLINGTON HEALTH AND REHABILITATION CENTER LLC,BURLINGTON HEALTH AND REHABILITATION CENTER
O20160826000111,NC,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1629425491,N,345197,143515379,WILLOW RIDGE HEALTHCARE LLC,WILLOW RIDGE OF NC,CH,CHANGE OF OWNERSHIP,06/01/2016,O20101005000482,NC,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1609886159.0,N,345197,3971795253.0,"WILLOW RIDGE OF NC, LLC",WILLOW RIDGE OF NORTH CAROLINA
O20160826000263,NC,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1922456664,N,345415,648565879,PINEVILLE HEALTHCARE LLC,PINEVILLE REHABILITATION AND LIVING CENTER,CH,CHANGE OF OWNERSHIP,06/01/2016,O20041210000185,NC,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1225019409.0,N,345415,7517924640.0,PINEVILLE REHABILITATION AND LIVING,PINEVILLE REHABILITATION AND LIVING CENTER LLC
O20160826002202,NC,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1306293170,N,345228,5597050799,RIDGEWOOD HEALTHCARE LLC,RIDGEWOOD LIVING AND REHABILITATION CENTER,CH,CHANGE OF OWNERSHIP,06/01/2016,O20100506000143,NC,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1851474274.0,N,345228,8628106077.0,RIDGEWOOD RLC LLC,RIDGEWOOD MANOR
O20160826002378,NC,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1669821336,N,345434,8527353721,CARVER HEALTHCARE LLC,CARVER LIVING CENTER,CH,CHANGE OF OWNERSHIP,06/01/2016,O20040122001033,NC,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1851336754.0,N,345434,8527960368.0,DURHAM LIMITED PARTNERSHIP III,CARVER LIVING CENTER
O20160829000971,GA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1821449380,N,115329,1850686908,HARBORVIEW THOMASTON LLC,HARBORVIEW HEALTH SYSTEMS THOMASTON,CH,CHANGE OF OWNERSHIP,07/01/2016,O20070314000566,GA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1518913078.0,N,115329,7315854098.0,"BEVERLY HEALTH AND REHABILITIATION SERVICES, INC",GOLDEN LIVINGCENTER - THOMASTON
O20160829003319,VT,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1841667086,N,475020B,3678868692,98 HOSPITALITY DRIVE OPERATIONS LLC,BERLIN HEALTH AND REHABILITATION CENTER,CH,CHANGE OF OWNERSHIP,09/01/2016,O20110906000029,VT,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1962493262.0,N,475020B,9739359506.0,BERLIN HEALTH AND REHABILITATION CENTER LLC,BERLIN HEALTH AND REHABILITATION CENTER
O20160831000812,TN,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1255791588,N,445380,8527354562,NORTH RIVER VALLEY OPERATIONS LLC,LIFE CARE CENTER OF HIXSON,CH,CHANGE OF OWNERSHIP,09/01/2016,O20070718000615,TN,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1629009667.0,N,445380,6608783543.0,"LIFE CARE CENTERS OF AMERICA, INC.",LIFE CARE CENTER OF HIXSON
O20160831001958,GA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1720439292,N,115414,7618263682,HARBORVIEW JESUP LLC,HARBORVIEW HEALTH SYSTEMS JESUP,CH,CHANGE OF OWNERSHIP,07/01/2016,O20070314000604,GA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1588610935.0,N,115414,7315854098.0,"BEVERLY HEALTH AND REHABILITIATION SERVICES, INC",GOLDEN LIVINGCENTER - JESUP
O20160902000400,SC,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1851379481,N,425093,5991091779,"CARLYLE SENIOR CARE OF FORK, LLC",CARLYLE SENIOR CARE OF FORK,CH,CHANGE OF OWNERSHIP,07/01/2016,O20070117000392,SC,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1851379481.0,N,425093,5597766584.0,"COOKE ASSOCIATES OF FORK, INC",SUNNY ACRES NURSING HOME
O20160902000610,SC,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1417961715,N,425168,5294021077,"CARLYLE SENIOR CARE OF FOUNTAIN INN, LLC",CARLYLE SENIOR CARE OF FOUNTAIN INN,CH,CHANGE OF OWNERSHIP,07/01/2016,O20060206000076,SC,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1417961715.0,N,425168,4183638679.0,"A&R ENTERPRISES,INC",FOUNTAIN INN CONVALESCENT CENTER
O20160902001497,SC,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1083692602,N,425174,2264728070,"CARLYLE SENIOR CARE OF BISHOPVILLE, LLC",MCCOY MEMORIAL NURSING CENTER,CH,CHANGE OF OWNERSHIP,07/01/2016,O20091231000179,SC,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1083692602.0,N,425174,7517008378.0,"COOKE ASSOCIATES OF BISHOPVILLE,LLC",MCCOY MEMORIAL NURSING CENTER
O20160902001660,SC,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1760496053,N,425117,4587950308,"CARLYLE SENIOR CARE OF KINGSTREE, LLC",CARLYLE SENIOR CARE OF KINGSTREE,CH,CHANGE OF OWNERSHIP,07/01/2016,O20100601000676,SC,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1760496053.0,N,425117,4284641143.0,"KINGSTREE NURSING FACILITY, INC",
O20160902001707,SC,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1225330624,N,425014,1658667472,"CARLYLE SENIOR CARE OF AIKEN, LLC",CARLYLE SENIOR CARE OF AIKEN,CH,CHANGE OF OWNERSHIP,07/01/2016,O20131206000538,SC,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1225330624.0,N,425014,5991932568.0,AZALEAWOODS OPERATING LLC,AZALEAWOODS REHAB & NURSING CENTER
O20160907000108,SC,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1386622918,N,425163,3779879556,"CARLYLE SENIOR CARE OF FLORENCE, LLC",CARLYLE SENIOR CARE OF FLORENCE,CH,CHANGE OF OWNERSHIP,07/01/2016,O20131206001531,SC,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1386622918.0,N,425163,9830326321.0,"FLORENCE OPERATING, LLC",FLORENCE REHAB & NURSING CENTER
O20160909000072,NY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1154774271,N,335312,3577859040,PORT CHESTER OPERATING LLC,THE ENCLAVE AT PORT CHESTER REHABILITATION AND NURSING CENTER,CH,CHANGE OF OWNERSHIP,07/01/2016,O20070228000161,NY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1588666796.0,N,335312,7719089366.0,RWB CORPORATION,PORT CHESTER NURSING & REHABILITATION CENTRE
