OBJECTID,name,reportdt,confirmed,recovered,deaths,active,GlobalID,tested,Negative,Pending,MaleCases,FemaleCases,Cases0to19,Cases20to29,Cases30to39,Cases40to49,Cases50to59,Cases60to69,Cases70to79,Cases80plus,NewCases,MaleDeaths,FemaleDeaths,Deaths0to19,Deaths20to29,Deaths30to39,Deaths40to49,Deaths50to59,Deaths60to69,Deaths70to79,Deaths80plus,AsianCases,BlackCases,HispanicCases,NativeAmCases,OtherCases,WhiteCases,CurrentlyHospitalizedCases,PercAsianCases,PercBlackCases,PercHispanicCases,PercNativeAmCases,PercOtherCases,PercWhiteCases,PercPopAsianCases,PercPopBlackCases,PercPopHispanicCases,PercPopNativeAmCases,PercPopOtherCases,PercPopWhiteCases,NewDailyDeaths,NewDailyTested,DailyPercentPositive,TotalPercentPositive,NewDailyNegative,ThreeDayAvg,SevenDayAvg,Cases0to9,Cases10to19,Deaths0to9,Deaths10to19,TotalDoses,TotalRecipients,MalesVaccinated,FemalesVaccinated,Vaccinated0to9,Vaccinated10to19,Vaccinated20to29,Vaccinated30to39,Vaccinated40to49,Vaccinated50to59,Vaccinated60to69,Vaccinated70to79,Vaccinated80plus,NewDailyDoses,NewDailyRecipients,Total1DoseRecipients,Total2DoseRecipients,TotalJJDoses,TotalJJRecipients,TotalVaccinated,Pfizer3DoseRecipients,Moderna3DoseRecipients,Total3DoseRecipients,PartialVaccinated
180,South Dakota,2020/09/12 17:14:00+00,16437,13739,183,2515,4db4ced9-3abf-4345-9433-ee741129a17b,162609,146172.0,0,8082.0,8355.0,,4190.0,2900.0,2232.0,2203.0,1412.0,666.0,540.0,320,93.0,90.0,,2.0,7.0,7.0,20.0,31.0,30.0,86.0,769.0,1195.0,1455.0,2039.0,1567.0,9412.0,109.0,4.67846930705116,7.27018312344102,8.85198028837379,12.4049400742228,9.53336983634483,57.2610573705664,6.07424960505529,7.35792131026415,4.54758556024379,2.70672100463289,5.22420403400567,1.28920557432109,6.0,1646.0,19.4410692588092,10.1082965887497,1326.0,288.66,221.3,537.0,1757.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
181,South Dakota,2020/09/13 17:11:00+00,16638,13993,184,2461,da4886b6-23cf-4f30-9bdc-00bf9105a83b,163956,147318.0,0,8176.0,8462.0,,4246.0,2924.0,2255.0,2227.0,1434.0,683.0,548.0,201,94.0,90.0,,2.0,7.0,7.0,20.0,31.0,30.0,87.0,769.0,1198.0,1459.0,2064.0,1582.0,9566.0,110.0,4.62194975357615,7.20038466161798,8.76908282245462,12.4053371799495,9.50835436951557,57.4948912128862,6.07424960505529,7.37639307924389,4.56008751367401,2.73990787325271,5.27421236872812,1.31029967317844,1.0,1347.0,14.9220489977728,10.1478445436581,1146.0,288.7,221.3,539.0,1782.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
182,South Dakota,2020/09/14 16:55:00+00,16801,14118,184,2499,db7be1e5-d010-4c17-8d90-83143826de32,165139,148338.0,0,8258.0,8543.0,,4277.0,2945.0,2280.0,2249.0,1452.0,695.0,550.0,163,94.0,90.0,,2.0,7.0,7.0,20.0,31.0,30.0,87.0,769.0,1202.0,1463.0,2081.0,1620.0,9666.0,110.0,4.5771085054461,7.15433605142551,8.70781501101125,12.3861674900304,9.64228319742872,57.5322897446581,6.07424960505529,7.40102210455021,4.57258946710424,2.76247494391419,5.400900150025,1.32399713996893,0.0,1183.0,13.7785291631445,10.173853541562,1020.0,228.0,214.571,544.0,1811.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
183,South Dakota,2020/09/15 16:37:00+00,16994,14424,184,2386,c5807f07-dedf-4435-8dd7-8a63da21ae5f,166096,149102.0,0,8338.0,8656.0,,4325.0,2980.0,2302.0,2266.0,1470.0,708.0,563.0,193,94.0,90.0,,2.0,7.0,7.0,20.0,31.0,30.0,87.0,769.0,1205.0,1467.0,2089.0,1634.0,9830.0,133.0,4.52512651524067,7.09073790749676,8.63245851476992,12.292573849594,9.61515829116159,57.8439449217371,6.07424960505529,7.41949387352995,4.58509142053446,2.77309474187254,5.44757459576596,1.34646098550534,0.0,957.0,20.1671891327064,10.2314324246219,764.0,185.7,227.4,550.0,1830.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
184,South Dakota,2020/09/16 16:51:00+00,17291,14657,192,2442,430be384-030a-4020-80d8-c3f242b8b12b,169655,152364.0,0,8477.0,8814.0,,4379.0,3023.0,2348.0,2304.0,1499.0,731.0,579.0,297,99.0,93.0,,2.0,7.0,9.0,20.0,31.0,31.0,92.0,770.0,1211.0,1474.0,2119.0,1672.0,10045.0,139.0,4.45318373720433,7.0036435139668,8.52466601121971,12.2549303105662,9.66977040078654,58.0938060262564,6.08214849921011,7.45643741148944,4.60696983903735,2.81291898421633,5.57426237706284,1.3759105391049,8.0,3559.0,8.3450407417814,10.1918599510772,3262.0,217.667,245.714,558.0,1870.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
185,South Dakota,2020/09/17 16:58:00+00,17686,14878,193,2615,37d475b1-a0a2-4e43-8c53-bfff257a3a8d,171523,153837.0,0,8621.0,9065.0,,4444.0,3099.0,2417.0,2361.0,1536.0,756.0,592.0,395,99.0,94.0,,2.0,7.0,9.0,20.0,32.0,31.0,92.0,775.0,1217.0,1483.0,2179.0,1713.0,10319.0,138.0,4.38199705982133,6.88114893135814,8.38516340608391,12.3204794752912,9.68562704964379,58.3455840778016,6.1216429699842,7.49338094944893,4.63509923425535,2.8925674689039,5.71095182530422,1.41344159811085,1.0,1868.0,21.1456102783726,10.3111536062219,1473.0,295.0,264.571,567.0,1914.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
186,South Dakota,2020/09/18 17:11:00+00,18075,15068,198,2809,e0b92373-4a1e-417f-8b6e-8ac01bebe5fa,173704,155629.0,0,8802.0,9273.0,,4508.0,3153.0,2478.0,2403.0,1571.0,786.0,620.0,389,103.0,95.0,,2.0,7.0,10.0,20.0,32.0,32.0,95.0,777.0,1221.0,1490.0,2215.0,1789.0,10583.0,144.0,4.29875518672199,6.7551867219917,8.24343015214384,12.2544951590595,9.89764868603043,58.5504840940526,6.13744075829384,7.51800997475525,4.65697765275824,2.94035655971645,5.96432738789798,1.44960291043774,2.0,2181.0,17.8358551123338,10.4056325703496,1792.0,360.3,279.7,577.0,1969.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
187,South Dakota,2020/09/19 05:03:00+00,18444,15298,200,2946,2786db7d-51e8-438a-8798-38e79dd4ee91,175221,156777.0,0,8971.0,9473.0,,4564.0,3229.0,2517.0,2457.0,1629.0,807.0,642.0,369,104.0,96.0,,2.0,7.0,10.0,20.0,32.0,34.0,95.0,779.0,1226.0,1488.0,2251.0,1834.0,10866.0,153.0,4.22359574929516,6.64714812405118,8.06766428106701,12.2045109520711,9.94361309911082,58.9134677944047,6.15323854660348,7.54879625638815,4.65072667604313,2.988145650529,6.11435239206534,1.48836674145484,2.0,1517.0,24.3243243243243,10.5261355659424,1148.0,384.333,286.714,587.0,2012.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
188,South Dakota,2020/09/20 16:39:00+00,18696,15651,202,2843,e11cf137-1619-42e0-a29d-adf4b30bbfb8,176353,157657.0,0,9094.0,9602.0,,4611.0,3262.0,2554.0,2498.0,1658.0,824.0,653.0,252,106.0,96.0,,2.0,7.0,10.0,20.0,32.0,35.0,96.0,780.0,1236.0,1491.0,2270.0,1859.0,11060.0,170.0,4.17201540436457,6.61103979460847,7.97496790757381,12.1416345742405,9.94330338040223,59.1570389388104,6.16113744075829,7.61036881965396,4.6601031411158,3.01336767068007,6.19769961660277,1.51493982702839,2.0,1132.0,22.2614840989399,10.6014641089179,880.0,336.667,294.0,589.0,2047.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
189,South Dakota,2020/09/21 16:37:00+00,18869,15777,202,2890,d07cd39c-25c1-4aa5-a6f5-b76e9123965e,177023,158154.0,0,9173.0,9696.0,,4637.0,3286.0,2571.0,2520.0,1675.0,843.0,656.0,173,106.0,96.0,,2.0,7.0,10.0,20.0,32.0,35.0,96.0,781.0,1240.0,1495.0,2283.0,1860.0,11210.0,161.0,4.13906407334782,6.57162541735121,7.92304838624198,12.0992103450103,9.85743812602682,59.4096136520218,6.16903633491311,7.63499784496029,4.67260509454602,3.03062484236237,6.20103350558426,1.53548602721413,0.0,670.0,25.8208955223881,10.6590669009112,497.0,264.667,295.429,601.0,2080.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
190,South Dakota,2020/09/22 05:06:00+00,19189,16170,202,2817,9a3b89f4-f416-47f6-aa09-eff54dd4ce31,178346,159157.0,0,9321.0,9868.0,,4686.0,3335.0,2618.0,2560.0,1714.0,866.0,677.0,320,106.0,96.0,,2.0,7.0,10.0,20.0,32.0,35.0,96.0,782.0,1246.0,1499.0,2303.0,1885.0,11474.0,178.0,4.07525144614102,6.49330345510449,7.81176715826776,12.0016676220751,9.82333628641409,59.7946740319975,6.17693522906793,7.67194138291977,4.68510704797625,3.05717433725823,6.28438073012169,1.57164733954103,0.0,1323.0,24.1874527588813,10.7594226952104,1003.0,248.333,313.571,610.0,2123.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
191,South Dakota,2020/09/23 16:53:00+00,19634,16324,202,3108,7a35a317-2ea7-4ed3-9030-2895ce9924de,180132,160498.0,0,9522.0,10112.0,,4758.0,3407.0,2687.0,2619.0,1773.0,896.0,693.0,445,106.0,96.0,,2.0,7.0,10.0,20.0,32.0,35.0,96.0,783.0,1253.0,1506.0,2353.0,1948.0,11791.0,192.0,3.9879800346338,6.38178669654681,7.67036772944892,11.984312926556,9.92156463277987,60.0539879800346,6.18483412322275,7.71504217720584,4.70698546647914,3.12354807449788,6.49441573595599,1.61506830926688,0.0,1786.0,24.9160134378499,10.8997846024027,1341.0,312.667,334.714,624.0,2177.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
192,South Dakota,2020/09/24 17:03:00+00,20097,16596,210,3291,373170ac-4265-4eab-a4ed-25387cc83d49,181661,161564.0,0,9740.0,10357.0,,4828.0,3490.0,2752.0,2694.0,1828.0,938.0,704.0,463,111.0,99.0,,2.0,7.0,10.0,20.0,32.0,36.0,103.0,787.0,1259.0,1515.0,2400.0,2027.0,12109.0,194.0,3.91600736428323,6.2646166094442,7.53843857292133,11.9420809075981,10.0860824998756,60.2527740458775,6.21642969984202,7.75198571516532,4.73511486169714,3.18593938750315,6.75779296549425,1.65862625366065,8.0,1529.0,30.2812295618051,11.0629138890571,1066.0,409.33,344.43,630.0,2233.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
193,South Dakota,2020/09/25 16:51:00+00,20554,16831,216,3507,43165209-854e-4724-8e4c-5766d4292745,183947,163393.0,0,9965.0,10589.0,,4921.0,3564.0,2801.0,2756.0,1887.0,960.0,724.0,457,111.0,99.0,,2.0,7.0,10.0,20.0,32.0,36.0,103.0,790.0,1264.0,1520.0,2465.0,2087.0,12428.0,194.0,3.84353410528364,6.14965456845383,7.39515422788752,11.9927994550939,10.1537413642113,60.4651162790698,6.24012638230648,7.78277199679823,4.75074230348492,3.2722252459147,6.95782630438406,1.70232117272232,6.0,2286.0,19.9912510936133,11.173870734505,1829.0,455.0,354.143,646.0,2295.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
194,South Dakota,2020/09/26 05:56:00+00,21133,17173,218,3742,6b56395d-5ba6-4b1a-af93-77aeaacc1ab6,186134,165001.0,0,10195.0,10938.0,,5042.0,3672.0,2870.0,2828.0,1959.0,995.0,739.0,579,118.0,100.0,,2.0,7.0,10.0,22.0,32.0,38.0,107.0,796.0,1272.0,1536.0,2562.0,2145.0,12822.0,213.0,3.76662092462026,6.0190223820565,7.26825344248332,12.1232196091421,10.1500023659679,60.6728812757299,6.28751974723539,7.83203004741087,4.80075011720581,3.40099029615962,7.15119186531089,1.75628919187685,2.0,2187.0,26.4746227709191,11.3536484468179,1608.0,499.667,384.143,667.0,2361.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
195,South Dakota,2020/09/27 18:08:00+00,21541,17533,218,3790,a4da5291-dc92-4a1c-ac1d-eea4e4056b33,187504,165963.0,0,10390.0,11151.0,,5100.0,3733.0,2923.0,2892.0,2020.0,1022.0,757.0,408,118.0,100.0,,2.0,7.0,10.0,22.0,32.0,38.0,107.0,801.0,1277.0,1542.0,2603.0,2208.0,13110.0,216.0,3.71849032078362,5.92822988719187,7.15844204075948,12.0839329650434,10.2502205097256,60.860684276496,6.32701421800948,7.86281632904378,4.81950304735115,3.45541676069613,7.36122687114519,1.79573789623347,0.0,1370.0,29.7810218978102,11.4882882498507,962.0,481.333,406.429,677.0,2417.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
196,South Dakota,2020/09/28 17:01:00+00,21738,17692,218,3828,59c0eb2d-cf85-43d0-9dc9-90c73d3e15ec,188344,166606.0,0,10475.0,11263.0,,5140.0,3768.0,2950.0,2919.0,2044.0,1032.0,766.0,198,118.0,100.0,,2.0,7.0,10.0,22.0,32.0,38.0,107.0,808.0,1285.0,1547.0,2620.0,2213.0,13265.0,209.0,3.71699328365075,5.91130738798418,7.11657006164321,12.0526267365903,10.1803293771276,61.022173153004,6.38230647709321,7.91207437965643,4.83513048913893,3.47798383135761,7.37789631605267,1.81696896975873,0.0,841.0,23.5434007134364,11.5416471987427,643.0,395.0,410.0,684.0,2435.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
197,South Dakota,2020/09/29 16:47:00+00,21997,18090,223,3684,5bf43c9e-9bb3-4cf1-8704-e0a42f1c8bc5,189146,167149.0,0,10584.0,11413.0,,5173.0,3811.0,2992.0,2970.0,2078.0,1049.0,778.0,259,122.0,101.0,,2.0,7.0,10.0,22.0,32.0,40.0,110.0,808.0,1290.0,1553.0,2640.0,2223.0,13483.0,211.0,3.67322816747738,5.86443605946265,7.06005364367868,12.0016365868073,10.1059235350275,61.2947220075465,6.38230647709321,7.94286066128933,4.85388341928426,3.50453332625347,7.41123520586764,1.846829447362,5.0,802.0,32.2942643391521,11.6296405950959,543.0,288.333,401.286,688.0,2458.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
198,South Dakota,2020/09/30 16:55:00+00,22389,18508,223,3658,fa7acf4e-68c3-46eb-94b6-06acda7623c0,190769,168380.0,0,10768.0,11621.0,,5224.0,3881.0,3040.0,3038.0,2128.0,1073.0,799.0,392,122.0,101.0,,2.0,7.0,10.0,22.0,32.0,40.0,110.0,807.0,1284.0,1557.0,2682.0,2280.0,13779.0,212.0,3.60444861315825,5.73495913171647,6.9543079190674,11.9790968779311,10.1835722899638,61.5436151681629,6.37440758293839,7.90591712332984,4.86638537271449,3.56028726553477,7.60126687781297,1.88737394906186,0.0,1623.0,24.1528034504005,11.7361835518349,1231.0,283.0,393.714,703.0,2503.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
199,South Dakota,2020/10/01 20:36:00+00,23136,19068,236,3832,d62a5c69-d2ee-413e-a8ae-1b0b72cf6b50,195003,171867.0,0,11111.0,12025.0,,5349.0,3990.0,3135.0,3151.0,2232.0,1123.0,836.0,747,130.0,106.0,,2.0,7.0,10.0,22.0,35.0,45.0,115.0,814.0,1303.0,1574.0,2764.0,2378.0,14303.0,214.0,3.51832641770401,5.63191562932227,6.80325034578147,11.9467496542185,10.2783540802213,61.8214038727524,6.42969984202212,8.02290499353488,4.91951867479294,3.6691401946078,7.92798799799967,1.95914867504404,13.0,4234.0,17.6428908833255,11.8644328548792,3487.0,466.0,434.286,726.0,2594.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
200,South Dakota,2020/10/02 16:52:00+00,23522,19298,237,3987,7faec2f1-f14d-4f5c-9400-bca79d583103,196261,172739.0,0,11263.0,12259.0,,5430.0,4061.0,3191.0,3192.0,2277.0,1146.0,848.0,386,130.0,107.0,,2.0,7.0,10.0,22.0,35.0,45.0,116.0,812.0,1302.0,1581.0,2827.0,2447.0,14553.0,220.0,3.45208740753337,5.53524360173455,6.72136723067766,12.0185358387892,10.4030269534903,61.8697389677748,6.41390205371248,8.0167477372083,4.94139709329583,3.75277110352976,8.15802633772295,1.99339234202027,1.0,1258.0,30.6836248012719,11.9850607099729,872.0,508.333,424.143,739.0,2638.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
201,South Dakota,2020/10/03 17:31:00+00,23986,19626,248,4112,6d360468-be53-4159-8e02-a7f2090d93fb,198019,174033.0,0,11489.0,12497.0,,5508.0,4135.0,3261.0,3258.0,2336.0,1173.0,870.0,464,138.0,110.0,,2.0,7.0,10.0,22.0,38.0,48.0,121.0,811.0,1302.0,1594.0,2889.0,2500.0,14890.0,215.0,3.38113899774869,5.42816643041774,6.64554323355291,12.0445259734845,10.4227466021846,62.0778787626115,6.40600315955766,8.0167477372083,4.98202844194405,3.83507453770692,8.33472245374229,2.03955280510422,11.0,1758.0,26.3936291240046,12.1129790575652,1294.0,532.333,407.714,753.0,2692.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
202,South Dakota,2020/10/04 05:06:00+00,24418,19902,248,4268,17892b83-d0df-4232-9802-f32266d5ce9e,199775,175357.0,0,11676.0,12742.0,,5568.0,4194.0,3330.0,3316.0,2400.0,1205.0,894.0,434,138.0,110.0,,2.0,7.0,10.0,22.0,38.0,48.0,121.0,812.0,1305.0,1605.0,2923.0,2551.0,15222.0,232.0,3.32541567695962,5.34441805225653,6.57301990334999,11.9706773691539,10.447211073798,62.3392579244819,6.41390205371248,8.03521950618804,5.01640881387717,3.88020867902988,8.50475079179863,2.08502839484866,0.0,1758.0,24.6871444823663,12.2227505944187,1324.0,428.0,411.429,766.0,2745.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
203,South Dakota,2020/10/05 05:15:00+00,24598,20076,248,4274,1efcecba-0154-4c13-9ee5-59e49a9def7e,200443,175845.0,0,11754.0,12844.0,,5601.0,4214.0,3347.0,3349.0,2427.0,1214.0,906.0,180,138.0,110.0,,2.0,7.0,10.0,22.0,38.0,48.0,121.0,812.0,1307.0,1611.0,2938.0,2557.0,15373.0,241.0,3.30108138873079,5.31344011708269,6.54931295227254,11.944060492723,10.3951540775673,62.4969509716237,6.41390205371248,8.0475340188412,5.0351617440225,3.90012080020178,8.52475412568761,2.1057115697023,0.0,668.0,26.9461077844311,12.2718179232999,488.0,359.333,408.857,775.0,2765.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
204,South Dakota,2020/10/06 16:29:00+00,24876,20449,248,4179,730a6fa9-9374-4511-9397-6abe5d384ff1,201477,176601.0,0,11877.0,12999.0,,5636.0,4264.0,3381.0,3394.0,2467.0,1234.0,917.0,278,138.0,110.0,,2.0,7.0,10.0,22.0,38.0,48.0,121.0,813.0,1303.0,1619.0,2969.0,2567.0,15605.0,250.0,3.26419038430616,5.2540601382859,6.47612156295224,11.8105804791767,10.2789837594469,61.7985206624859,6.41390205371248,8.0475340188412,5.0351617440225,3.90012080020178,8.52475412568761,2.1057115697023,0.0,1034.0,26.8858800773694,12.3468187435787,756.0,297.3,411.6,793.0,2790.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
205,South Dakota,2020/10/07 17:53:00+00,25906,21137,258,4511,ed87ff79-e8b0-4a2a-8a3a-03aebc76ac36,208780,182874.0,0,12327.0,13579.0,,5799.0,4424.0,3541.0,3536.0,2595.0,1313.0,961.0,609,145.0,113.0,,2.0,7.0,10.0,22.0,41.0,52.0,124.0,817.0,1299.0,1645.0,3138.0,2665.0,16342.0,273.0,3.15370956535166,5.01428240562032,6.34988033660156,12.1130240098819,10.2871921562572,63.0819115262874,6.45339652448657,7.99827596822856,5.1414283481794,4.16561574916037,8.88481413568928,2.23844002290216,10.0,6882.0,8.84917175239756,12.408276654852,6273.0,355.667,442.571,819.0,2918.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
206,South Dakota,2020/10/08 05:05:00+00,26441,21496,272,4673,276d31b7-4821-41c4-b031-cb374353637a,211291,184850.0,0,12584.0,13857.0,,5885.0,4509.0,3624.0,3613.0,2664.0,1353.0,986.0,535,151.0,121.0,,2.0,7.0,10.0,22.0,43.0,52.0,136.0,821.0,1302.0,1652.0,3210.0,2738.0,16718.0,284.0,3.10502628493627,4.9241707953557,6.24787262206422,12.1402367535267,10.3551302900798,63.2275632540373,6.48499210110584,8.0167477372083,5.16330676668229,4.26119393078547,9.12818803133856,2.28994249803441,14.0,2511.0,21.3062524890482,12.5140209474138,1976.0,474.0,412.286,833.0,2974.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
207,South Dakota,2020/10/09 16:48:00+00,27215,21750,277,5188,accef943-fe93-4552-82a5-9e2a6da3e4cf,214153,186938.0,0,12940.0,14275.0,,6014.0,4629.0,3730.0,3722.0,2756.0,1413.0,1026.0,772,154.0,123.0,,2.0,7.0,10.0,22.0,44.0,53.0,139.0,824.0,1301.0,1661.0,3295.0,2840.0,17294.0,267.0,19.0630167187213,4.78045195664156,6.10325188315267,12.107293771817,10.4354216424766,63.5458386918978,40.9794628751975,8.01059048088172,5.1914361619003,4.37402928409287,9.46824470745124,2.36883990674765,5.0,2860.0,26.993006993007,12.7082039476449,2088.0,638.7,467.4,851.0,3074.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
208,South Dakota,2020/10/10 05:01:00+00,27947,22128,286,5533,e0485f41-a098-4fd6-8452-de49299fb7fc,216485,188538.0,0,13280.0,14667.0,,6140.0,4741.0,3818.0,3848.0,2842.0,1472.0,1050.0,732,157.0,129.0,,2.0,7.0,10.0,22.0,45.0,53.0,147.0,822.0,1307.0,1670.0,3377.0,2915.0,17856.0,267.0,2.94128171181164,4.67670948581243,5.97559666511611,12.0835867892797,10.4304576519841,63.892367695996,6.49289099526066,8.0475340188412,5.2195655571183,4.48288221316589,9.71828638106351,2.44581967011021,9.0,2332.0,31.3893653516295,12.9094394530799,1600.0,679.667,505.714,876.0,3160.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
209,South Dakota,2020/10/11 16:56:00+00,28564,22413,286,5865,f7443621-573e-429d-a310-333d1a75db9c,218111,189547.0,0,13551.0,15013.0,,6252.0,4831.0,3895.0,3942.0,2934.0,1518.0,1082.0,617,157.0,129.0,,2.0,7.0,10.0,22.0,45.0,53.0,147.0,823.0,1305.0,1676.0,3428.0,2999.0,18333.0,266.0,2.88124912477244,4.5686878588433,5.86752555664473,12.0011202912757,10.4992297997479,64.1821873687159,6.50078988941548,8.03521950618804,5.23831848726364,4.55058342515034,9.99833305550925,2.51115658670086,0.0,1626.0,37.9458794587946,13.0960841039654,1009.0,707.0,531.9,892.0,3218.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
210,South Dakota,2020/10/12 17:09:00+00,28925,22575,288,6062,313351fe-adce-4e92-81cf-cf0c2f81aa8b,219244,190319.0,0,13713.0,15212.0,,6318.0,4884.0,3938.0,3997.0,2973.0,1539.0,1106.0,359,157.0,131.0,,2.0,7.0,10.0,23.0,45.0,53.0,148.0,825.0,1307.0,1685.0,3475.0,3049.0,18584.0,278.0,2.85220397579948,4.51858254105445,5.82541054451167,12.0138288677615,10.5410544511668,64.2489196197061,6.51658767772512,8.0475340188412,5.26644788248164,4.61297473815561,10.1650275045841,2.54553722834499,2.0,1131.0,31.7418213969938,13.1930634361716,772.0,569.333,557.429,905.0,3265.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
211,South Dakota,2020/10/13 05:19:00+00,29339,23007,288,6044,aad49570-8e68-495a-a459-9f55385275f9,220402,191063.0,0,13905.0,15434.0,,6383.0,4937.0,3985.0,4063.0,3028.0,1584.0,1145.0,414,157.0,131.0,,2.0,7.0,10.0,23.0,45.0,53.0,148.0,825.0,1313.0,1690.0,3495.0,3082.0,18934.0,302.0,2.81195678107638,4.47527182248884,5.7602508606292,11.9124714543781,10.504788847609,64.5352602338185,6.51658767772512,8.08447755680069,5.28207532426942,4.63952423305147,10.2750458409735,2.59347836211171,0.0,1158.0,35.7512953367876,13.3115851943267,744.0,463.333,576.857,918.0,3296.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
212,South Dakota,2020/10/14 17:08:00+00,30215,23320,291,6604,d1d45582-720c-4184-a686-713b078ebecf,222321,192106.0,0,14306.0,15909.0,,6521.0,5063.0,4116.0,4182.0,3165.0,1635.0,1200.0,876,159.0,132.0,,2.0,7.0,10.0,23.0,45.0,54.0,150.0,821.0,1316.0,1709.0,3584.0,3216.0,19569.0,303.0,2.71719344696343,4.35545258977329,5.65613106073143,11.8616581168294,10.6437200066192,64.7658447790832,6.48499210110584,8.10294932578043,5.34145960306298,4.75766948533804,10.7217869644941,2.68045727623133,3.0,1919.0,45.6487754038562,13.5907089298807,1043.0,549.7,615.0,944.0,3389.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
213,South Dakota,2020/10/15 17:04:00+00,31012,23576,304,7132,a29ddbb5-ae80-4d90-a49b-ec0ec735373c,224239,193227.0,0,14663.0,16349.0,,6654.0,5192.0,4224.0,4320.0,3263.0,1679.0,1239.0,797,167.0,137.0,,2.0,7.0,11.0,23.0,46.0,57.0,158.0,824.0,1325.0,1714.0,3707.0,3349.0,20093.0,304.0,2.65703598606991,4.2725396620663,5.52689281568425,11.9534373790791,10.7990455307623,64.7910486263382,6.5086887835703,8.15836463271966,5.35708704485076,4.92094887894758,11.1651941990332,2.75223200221351,13.0,1918.0,41.5537017726799,13.8298868617859,1121.0,695.667,652.429,965.0,3476.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
214,South Dakota,2020/10/16 18:12:00+00,31805,24186,307,7312,ea179fec-1ab7-4d2f-97ef-b369b4c20fb2,226990,195185.0,0,15049.0,16756.0,,6801.0,5330.0,4341.0,4412.0,3363.0,1733.0,1273.0,793,168.0,139.0,,2.0,7.0,11.0,23.0,46.0,57.0,161.0,827.0,1326.0,1729.0,3812.0,3434.0,20677.0,299.0,2.60022009118063,4.16915579311429,5.43625216160981,11.9855368652728,10.7970444898601,65.0117905989624,6.53238546603476,8.16452188904624,5.4039693702141,5.06033372715084,11.4485747624604,2.83222520826998,3.0,2751.0,28.8258814976372,14.0116304683026,1958.0,822.0,655.429,992.0,3560.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
