OBJECTID,CYCLE,ID_305b,Water_Name,LOCATION_DESCRIPTION,WATER_SIZE,SIZE_UNIT,WATER_TYPE,HUC_8,HU_8_Name,CLASS_ID,CLASS_NAME,Aquatic_Life_Attainment_Code,Aquatic_Life_Attainment,Recreation_Attainment_Code,Recreation_Attainment,Fish_Consumptin_Attainment_Code,Fish_Consumption_Attainment,Drinking_Water_Attainment_Code,Drinking_Water_Attainment,Impaired,Shape__Length
170,2018,CT6914-06_01,Lily Brook (Wolcott)-01,"Mouth at confluence with Mad River DS of Woodtick Road crossing, US to confluence with unnamed tributary US of Todd Road crossing, parallel to Frisbie Circle, Wolcott.",0.74,Miles,RIVER,1100005,"Housatonic. Connecticut, Massachusetts, New York.",48,Inland Surface Waters Class A,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,3886.51787162213
174,2018,CT3004-00_01,Oxoboxo Brook-01,"From mouth at head of tide (inlet to Gay Cemetery Pond, Horton Cove, Thames River), US to Wheeler Pond outlet dam, Montville. (Segment includes Rockland Pond)",2.62,Miles,RIVER,1100003,Thames,49,Inland Surface Waters Class B,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,13818.660687939
178,2018,CT3006-00_01,Hunts Brook (Waterford)-01,"Saltwater limit DS side Old Norwich Road crossing, just south Quaker Hill Elementary school, US to Miller Pond OUTLET (near power line cut crossing) parallel Old Colchester Road, Waterford.",1.38,Miles,RIVER,1100003,Thames,48,Inland Surface Waters Class A,N,NOT SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,7288.80093894908
183,2018,CT3100-00_03,Willimantic River (Willington/Tolland)-03,"Inlet to Eagleville Pond (west of Route 32 and RailRoad tracks near Ravine Road intersection), Mansfield, US to I84 crossing (includes under highway crossing area), Willington/Tolland.",9.59,Miles,RIVER,1100002,"Shetucket. Connecticut, Massachusetts.",49,Inland Surface Waters Class B,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,50614.0924085632
185,2018,CT3100-00_05,Willimantic River (Tolland/Willington/Ellington/Stafford)-05,"From confluence with Bonemill Brook (just DS of Route 32 crossing), Willington/Tolland, US to Stafford POTW (east of Route 32 (River Road)), Stafford.",1.65,Miles,RIVER,1100002,"Shetucket. Connecticut, Massachusetts.",49,Inland Surface Waters Class B,N,NOT SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,8719.42834811487
186,2018,CT3100-00_06,Willimantic River-06,"From Stafford POTW (east of Route 32 (River Road)), US to headwaters at confluence of Middle River and Furnace Brook.",0.4,Miles,RIVER,1100002,"Shetucket. Connecticut, Massachusetts.",49,Inland Surface Waters Class B,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,2107.3077632344
191,2018,CT3100-17_03,Cedar Swamp Brook (Mansfield)-03,"From Hunting Lodge Road crossing, US to Swamp Brook Pond outlet dam (just US of Route 44 crossing), Mansfield.",0.61,Miles,RIVER,1100002,"Shetucket. Connecticut, Massachusetts.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,3217.19671264482
194,2018,CT3100-19_02,Eagleville Brook (Mansfield)-02,"Confluence Kings Brook (east side of North Eagleville Road), US to HW near UConn campus (just crossing Stadium Road), Mansfield.",1.67,Miles,RIVER,1100002,"Shetucket. Connecticut, Massachusetts.",48,Inland Surface Waters Class A,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,8823.81202164723
199,2018,CT3102-00_01,Middle River (Stafford)-01,"From mouth at confluence with Furnace Brook (above Willimantic River), US to 800Ft US of Route 32 crossing, Stafford Springs center.",0.23,Miles,RIVER,1100002,"Shetucket. Connecticut, Massachusetts.",49,Inland Surface Waters Class B,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,1190.97455940923
200,2018,CT3102-00_02,Middle River (Stafford)-02,"800 feet US Route 32 crossing, Stafford Springs center, US to Orcutts Pond dam OUTLET (US Orcuttville Road (Route319) crossing), Stafford.",3.92,Miles,RIVER,1100002,"Shetucket. Connecticut, Massachusetts.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,20687.9515242355
203,2018,CT3103-00_01,Furnace Brook (Stafford)-01,"From mouth at confluence with Middle River, US through concrete channel, stopping at US end of conrete channel (passes under RailRoad tracks and Route 14), Stafford.",0.18,Miles,RIVER,1100002,"Shetucket. Connecticut, Massachusetts.",49,Inland Surface Waters Class B,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,934.601168820129
204,2018,CT3103-00_02,Furnace Brook(Stafford)-02,"From US end of conrete channel (just US of Route 14 crossing), US to Staffordville Reservoir oulet dam (just US of Upper Road crossing), Stafford.",4.93,Miles,RIVER,1100002,"Shetucket. Connecticut, Massachusetts.",49,Inland Surface Waters Class B,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,26008.1922219998
209,2018,CT3104-00-2-L8_outlet_01,Ruby Lake outlet stream-01,"From mouth at Roaring Brook, Wilington, US to wetland adjacent to truck stop, SouthWest of Exit 71 off I84.",0.12,Miles,RIVER,1100002,"Shetucket. Connecticut, Massachusetts.",48,Inland Surface Waters Class A,N,NOT SUPPORTING,X,UNASSESSED,X,UNASSESSED,,Water Not Classified For Drinking Supply,Yes,641.047388180975
214,2018,CT3106-00_01b,Skungamaug River-01b,"From INLET to Summer Lake (lake in seg-01) above Anderson Road, US to headwaters (US of Old Tolland Road crossing), Tolland.",6.29,Miles,RIVER,1100002,"Shetucket. Connecticut, Massachusetts.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,33215.3751059667
217,2018,CT3110-00_01,Tenmile River (Willimantic)-01,"From mouth at confluence with Willimantic River (south of Route 66), Willimantic, US to Stiles Pond outlet dam, Lebanon.",8.67,Miles,RIVER,1100002,"Shetucket. Connecticut, Massachusetts.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,45757.9252493945
219,2018,CT3200-00_02,Natchaug River (Eastford)-02,"Mansfield Hollow Reservoir inlet at Basset Bridge Road crossing (name changes to Station Road between North Windham Road and Route 6), Windham, US to HW (confluence Bigalow Brook and Still River), Eastford.",11.03,Miles,RIVER,1100002,"Shetucket. Connecticut, Massachusetts.",50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,X,UNASSESSED,Yes,58239.2720839276
235,2018,CT3206-00_02,Mount Hope River (Ashford/Union)-02,"From first Route 89 (Mansfield Road) crossing, Ashford, US to headwaters at Morey Pond outlet dam, on Union/Ashford border.",9.99,Miles,RIVER,1100002,"Shetucket. Connecticut, Massachusetts.",50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,X,UNASSESSED,Yes,52734.692682934
245,2018,CT3207-12_01,Roberts Brook (Mansfield)-01,"Mouth at confluence with Fenton River DS Gurleyville Road crossing, US to HW US of Route 195 crossing at UCONN Mirror Lake outlet. ",1.7,Miles,RIVER,1100002,"Shetucket. Connecticut, Massachusetts.",50,Inland Surface Waters Class AA,N,NOT SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,X,UNASSESSED,Yes,8914.22609977498
246,2018,CT3208-00_01,Sawmill Brook (Mansfield)-01,"From mouth at confluence with Natchaug River (DS of Route 6 and Route 195 intersection crossing), Windham, US to Conantville Road crossing, Mansfield.",1.11,Miles,RIVER,1100002,"Shetucket. Connecticut, Massachusetts.",48,Inland Surface Waters Class A,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,5845.66035387325
248,2018,CT3208-02_01,Conantville Brook (Mansfield)-01,"Mouth at confluence Sawmill Brook, just DS of Conantville Road crossing (parallel to Frontage Road on north side), US to HW at outlet small unnamed pond along south side of Stearns Road (on farm, pond looks enriched), Mansfield.",3.2,Miles,RIVER,1100002,"Shetucket. Connecticut, Massachusetts.",48,Inland Surface Waters Class A,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,16871.5785013915
258,2018,CT3300-10_01,Quinatissett Brook (Thompson)-01,"Mouth at Mechanicville Pond section of French River just DS of Route 12 crossing, US to Reams Pond outlet dam, US Route 21 crossing, Thompson.",1.97,Miles,RIVER,1100001,Quinebaug,48,Inland Surface Waters Class A,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,10409.8556347415
272,2018,CT3500-00_03,Moosup River-03,"From Brunswick Mill Dam #1 (first impoundment in Almyville, parallel to Route 14), Plainfield, US to Rhode Island border.",7.36,Miles,RIVER,1100001,Quinebaug,49,Inland Surface Waters Class B,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,38843.8145445834
285,2018,CT3700-00_01,Quinebaug River (Lisbon/Griswold)-01,"Mouth confluence Shetucket River, Lisbon/Norwich town border, US to Aspinook Pond outlet dam (US of River Road (Route 12) crossing), Lisbon/Griswold border.",7.46,Miles,RIVER,1100001,Quinebaug,49,Inland Surface Waters Class B,N,NOT SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,39405.3170209556
288,2018,CT3700-00_04,Quinebaug River (Putnam)-04,"Confluence Moosup River (river forms town boundary for Canterbury and Plainfield), US to Putnum POTW (parallel to Kennedy Drive near I-395), Putnam.",17.61,Miles,RIVER,1100001,Quinebaug,49,Inland Surface Waters Class B,N,NOT SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,93004.199878807
289,2018,CT3700-00_05,Quinebaug River (Putnam/Thompson)-05,"Just US of Putnam POTW (just DS of Railroad crossing), Putnam, US to confluence French River, Thompson.",3.32,Miles,RIVER,1100001,Quinebaug,49,Inland Surface Waters Class B,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,17506.6397491321
293,2018,CT3700-17_01,Durkee Brook (Pomfret)-01,"Mouth at confluence with Quinebaug River DS of River Road crossing, US to confluence with Bark Meadow Brook, just US of Holmes Road crossing, Pomfret",1.72,Miles,RIVER,1100001,Quinebaug,48,Inland Surface Waters Class A,I,INSUFFICIENT INFORMATION,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,9092.03250456333
300,2018,CT3708-00_01,Little River (Putnam/Woodstock)-01,"Mouth Quinebaug River (just DS of Route 44 crossing), Putnam, US to drinking water watershed boundary (outlet of marsh, parallel to Peake Brook Road, DS of Shepherds Pond), Woodstock (southeast corner).",2.64,Miles,RIVER,1100001,Quinebaug,49,Inland Surface Waters Class B,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,13938.2937328458
302,2018,CT3708-01_01,Muddy Brook (Woodstock)-01,"From mouth at inlet to Roseland Lake, US to Route 197 crossing, Woodstock.",5.44,Miles,RIVER,1100001,Quinebaug,50,Inland Surface Waters Class AA,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,X,UNASSESSED,Yes,28718.2142258785
306,2018,CT3708-08_01,Peckham Brook (Woodstock)-01,"Mouth at confluence with Muddy Brook just DS of Dugg Hill Road crossing, US to confluence with Coman Brook, just US of Morses Pond outlet stream and parallel to Paine District Road, Woodstock.",0.89,Miles,RIVER,1100001,Quinebaug,50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,X,UNASSESSED,Yes,4679.07377291828
310,2018,CT3708-18_01,Wheatons Brook (Putnam/Thompson)-01,"Mouth Little River DS Wicker St crossing, Putnam, US to HW parallel to Ravenelle Rd, Thompson.",3.27,Miles,RIVER,1100001,Quinebaug,48,Inland Surface Waters Class A,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,17248.0504442692
311,2018,CT3709-00_01,Wappaquoia Brook-01,"From mouth at confluence with Mashamoquet Brook (east of Route 169), US to Hollow Pond outlet dam (just US of Brayman Hollow Road (Route 244) crossing), Pomfret.",3.23,Miles,RIVER,1100001,Quinebaug,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,17029.3945242314
312,2018,CT3709-02_01,Day Brook (Pomfret)-01,"Mouth at confluence with Mashamoquet Brook, east side of Route 169 (accross field to wooded area) about .23 miles south of Day Road intersection, US to confluence with unnamed tributary (near power line cut through), just south of Grosvenor Road, Pomfret.",1.57,Miles,RIVER,1100001,Quinebaug,48,Inland Surface Waters Class A,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,8293.05982884181
315,2018,CT3710-11_01,Abington Brook (Pomfret)-01,"Mouth at confluence with Mashamoquet Brook, between Route 97 and Mashamoquet Brook crossing of Covell Road, US to confluence with unnamed tributary, just US of 2nd Route 44 crossing (DS of Abington Pond), Pomfret.",1.75,Miles,RIVER,1100001,Quinebaug,48,Inland Surface Waters Class A,I,INSUFFICIENT INFORMATION,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,9231.22683562671
317,2018,CT3710-13_01,Sap Tree Run (Pomfret)-01,"Mouth at confluence with Mashamoquet Brook, just US of Wolf Den Road crossing, US past Route 44 crossing to HW in wooded area east of Blossom Drive, Pomfret.",1.09,Miles,RIVER,1100001,Quinebaug,48,Inland Surface Waters Class A,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,5760.72469442877
318,2018,CT3710-18_01,White Brook (Pomfret/Brooklyn)-01,"Mouth at confluence with Mashamoquet Brook just DS of Route 101 crossing (close to confluence with Quinebaug River), Pomfret, US to confluence with unnamed tributary just US of Darby Road crossing, Brooklyn.",3.07,Miles,RIVER,1100001,Quinebaug,48,Inland Surface Waters Class A,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,16197.1769013178
328,2018,CT3716-00_01,Broad Brook (Preston)-01,"Mouth at confluence Quinnebaug River (DS of Old Jewett City Road crossing), at the Preston/Lisbon/Griswold borders, US to Lewis Pond outlet dam (north side of Route 165, near intersection with Lewis Road), Preston.",4.73,Miles,RIVER,1100001,Quinebaug,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,24990.8920995136
330,2018,CT3800-00_01,Shetucket River (Norwich)-01,"Route 2 crossing, US to Greenville dam, Norwich (tidal affected waters).",1.56,Miles,RIVER,1100002,"Shetucket. Connecticut, Massachusetts.",49,Inland Surface Waters Class B,I,INSUFFICIENT INFORMATION,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,8220.28852355273
335,2018,CT3800-02_01,Obwebetuck Brook (Windham)-01,"Mouth at confluence with Shetucket River just DS of Route 32 and RailRoad crossing, US to confluence with Jordan Brook, US of Windham Road crossing and parallel to Bush Hill Road, Windham.",0.55,Miles,RIVER,1100002,"Shetucket. Connecticut, Massachusetts.",48,Inland Surface Waters Class A,I,INSUFFICIENT INFORMATION,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,2895.74403948861
342,2018,CT3805-00_02,Little River (Sprague)-02,"Inlet Versailles Pond (northwest corner of pond), US to Papermill Pond outlet dam, Sprague.",0.89,Miles,RIVER,1100002,"Shetucket. Connecticut, Massachusetts.",49,Inland Surface Waters Class B,N,NOT SUPPORTING,F,FULLY SUPPORTING,N,NOT SUPPORTING,,Water Not Classified For Drinking Supply,Yes,4707.24568821119
350,2018,CT3900-00_trib_01,"Unnamed Trib, Yantic River (Norwich Landfill)-01","From mouth at confluence with Yantic River, just DS of RailRoad crossing (100m US of I395 crossing of Yantic River), US to Browning Pond outlet dam, Norwich (influenced by Landfill).",0.57,Miles,RIVER,1100003,Thames,48,Inland Surface Waters Class A,N,NOT SUPPORTING,I,INSUFFICIENT INFORMATION,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,2987.41267745731
351,2018,CT3900-07_01,Kahn Brook (Bozrah)-01,"Mouth confluence Yantic River (just DS of Fitchville Road crossing), US to chicken farm road crossing, Bozrah.",0.61,Miles,RIVER,1100003,Thames,48,Inland Surface Waters Class A,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,3211.93075215177
355,2018,CT3902-00_02,Bartlett Brook (Lebanon)-02,"INLET to Savin Lake (between Roger Foot Road and Geer Road just above Savin Lake) US to confluence with Exeter Brook (1 mile US of Taylor Bridge Road crossing), Lebanon.",1.14,Miles,RIVER,1100003,Thames,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,6003.96361329341
357,2018,CT3905-00_01a,Pease Brook (Bozrah/Franklin/Lebanon)-01a,"From mouth at confluence with Yantic River, Bozrah, US to the US side of Goshen Hill Road crossing (near Smith Road intersection), Lebanon",4.4,Miles,RIVER,1100003,Thames,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,23248.7211328806
360,2018,CT3907-00_01,Susquetonscut Brook-01,"From mouth at confluence with Yantic River, bozrah/Norwich town border (just DS of RailRoad crossing), US to headwaters (just US of Bender Road crossing, along south side of Beaumont Highway and Rafferty Road intersection, Lebanon.",13.55,Miles,RIVER,1100003,Thames,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,71554.6823789372
361,2018,CT4000-00_01,Connecticut River-01,"From head of estuary at Chapman Pond outlet, East Haddam, US to northern most boundary of Hurd State Park, East Hampton.",10.27,Miles,RIVER,1080205,Lower Connecticut,49,Inland Surface Waters Class B,X,UNASSESSED,N,NOT SUPPORTING,N,NOT SUPPORTING,,Water Not Classified For Drinking Supply,Yes,54206.5610869656
362,2018,CT4000-00_02,Connecticut River-02,"From northern most boundary of Hurd State Park, East Hampton, US to confluence with Reservoir Brook (adjacent to Gildersleeve Island), Portland.",10.49,Miles,RIVER,1080205,Lower Connecticut,49,Inland Surface Waters Class B,I,INSUFFICIENT INFORMATION,N,NOT SUPPORTING,N,NOT SUPPORTING,,Water Not Classified For Drinking Supply,Yes,55365.5909591941
363,2018,CT4000-00_03,Connecticut River (Portland/Suffield)-03,"Reservoir Brook confluence (adjacent to Gildersleeve Island), Portland, US to Suffield, MA border.",35.26,Miles,RIVER,1080205,Lower Connecticut,49,Inland Surface Waters Class B,I,INSUFFICIENT INFORMATION,N,NOT SUPPORTING,N,NOT SUPPORTING,,Water Not Classified For Drinking Supply,Yes,186196.306230861
392,2018,CT4013-00_02,Sumner Brook (Middletown)-02,"Confluence with Long Hill Brook, parallel with Mill Street, US to Russells Pond OUTLET, DS of Russell Street crossing, Middletown.",0.52,Miles,RIVER,1080205,Lower Connecticut,49,Inland Surface Waters Class B,N,NOT SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,2755.31608826007
407,2018,CT4100-00_01,Stony Brook (Suffield)-01,"Mouth at OUTLET on canal parallel to Connecticut River, US to confluence with Muddy Brook at railroad crossing, Suffield.",3.47,Miles,RIVER,1080205,Lower Connecticut,48,Inland Surface Waters Class A,N,NOT SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,18307.8396280679
409,2018,CT4100-00_03,Stony Brook (Suffield)-03,"From confluence with DeGrayes Brook (just northwest of airport), US to headwaters (the confluence of Rocky Gutter Brook and Rattlesnake Brook), Suffield.",4.27,Miles,RIVER,1080205,Lower Connecticut,48,Inland Surface Waters Class A,N,NOT SUPPORTING,I,INSUFFICIENT INFORMATION,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,22523.7559056614
413,2018,CT4101-00_01,Muddy Brook (Suffield)-01,"From mouth at Stony Brook, Suffield, US to confluence with Philo Brook.",2.23,Miles,RIVER,1080205,Lower Connecticut,48,Inland Surface Waters Class A,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,11779.0472984765
417,2018,CT4204-00_01,Abbey Brook (Somers)-01,"Mouth at INLET to Somersville Pond 1 mile DS of Billings Road crossing, near Harness Road, US to confluence with unnamed tributary .5 miles US of Billings Road crossing, Somers.",1.63,Miles,RIVER,1080205,Lower Connecticut,50,Inland Surface Waters Class AA,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,X,UNASSESSED,Yes,8616.69427314706
418,2018,CT4205-00_01,Buckhorn Brook (Enfield)-01,"From mouth at confluence with Scantic River, US to marsh (US of Town Farm Road crossing) near inlet from Tobacco Pond No 2, Enfield.",2.02,Miles,RIVER,1080205,Lower Connecticut,48,Inland Surface Waters Class A,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,10680.384536939
419,2018,CT4206-00_01,Broad Brook (East Windsor)-01,"Mouth Scantic River, US to Broad Brook Mill Pond outlet dam just US Main Street (Route 191) crossing, East Windsor.",1.01,Miles,RIVER,1080205,Lower Connecticut,48,Inland Surface Waters Class A,N,NOT SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,5323.01487063735
421,2018,CT4300-00_01,Farmington River (Windsor)-01,"Mouth Connecticut River (DS Route 159 crossing), US to outlet Rainbow Reservoir dam, Windsor.",8.59,Miles,RIVER,1080207,Farmington,49,Inland Surface Waters Class B,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,45356.1111301922
422,2018,CT4300-00_02,Farmington River (Bloomfield/Farmington)-02,"INLET to Rainbow Reservoir (at Route 187 crossing), Bloomfield, US (south) to confluence Pequabuck River (US Route 4 crossing), Farmington.",19.38,Miles,RIVER,1080207,Farmington,49,Inland Surface Waters Class B,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,102347.685675398
433,2018,CT4300-39_01,Owens Brook (Simsbury)-01,"Mouth on Farmington River, DS of Route 10 (202) road crossing, US to HW parallel to Owens Brook Blvd, between Musket Trail and Winterset Lane intersections with Owens Brook Blvd, Simsbury.",1.05,Miles,RIVER,1080207,Farmington,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,5553.07838806443
436,2018,CT4300-50_01,Rainbow Brook-01,"From mouth at Farmington River (just DS of Island below Rainbow Reservoir Dam), Windsor, US to headwaters, southwest portion of Bradley International Airport, Windsor Locks.",1.74,Miles,RIVER,1080207,Farmington,48,Inland Surface Waters Class A,N,NOT SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,9198.9751116671
437,2018,CT4300-51_01,Seymour Hollow Brook-01,"From mouth at Farmington River, Windsor (formerly tributary to Rainbow Brook, now channelized to Farmington, Gazetteer # based upon Rainbow Brook), US to headwaters, southest portion of Bradley International Airport, Windsor Locks.",1.36,Miles,RIVER,1080207,Farmington,48,Inland Surface Waters Class A,N,NOT SUPPORTING,I,INSUFFICIENT INFORMATION,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,7191.91739627014
438,2018,CT4300-54_01,Phelps Brook (Windsor)-01,"Mouth Farmington River, near Apple Tree Lane, US to Route 75 crossing, windsor.",0.39,Miles,RIVER,1080207,Farmington,48,Inland Surface Waters Class A,I,INSUFFICIENT INFORMATION,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,2074.44577302069
440,2018,CT4302-00_01,Mad River (Winchester)-01,"Mouth at Still River, US to Mad River Dam outlet, Winchester.",2.24,Miles,RIVER,1080207,Farmington,49,Inland Surface Waters Class B,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,11833.2860809194
441,2018,CT4302-00_02a,Mad River (Winchester)-02a,"From Mad River Dam outlet, Wincheter, US to outlet from Rugg Brook Reservoir.",1.77,Miles,RIVER,1080207,Farmington,48,Inland Surface Waters Class A,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,9359.92736804801
442,2018,CT4302-00_02b,Mad River (Winchester)-02b,"From confluence with  Rugg Brook Reservoir outlet, US to diversion entrance for Rugg Brook Reservoir.",0.63,Miles,RIVER,1080207,Farmington,48,Inland Surface Waters Class A,N,NOT SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,3339.15225236394
443,2018,CT4302-00_03,Mad River (Winchester)-03,"From diversion entrance for Rugg Brook Reservoir (boundary of drinking water watershed), US to headwaters at Spaulding Pond outlet dam, Norfolk.",5.17,Miles,RIVER,1080207,Farmington,50,Inland Surface Waters Class AA,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,X,UNASSESSED,Yes,27294.1661885697
449,2018,CT4303-00_02,Still River (Colebrook)-02,"From confluence with Sandy Brook, Colebrook, US to Winchester (Winsted) POTW (east side of Route 8), Winsted.",2.67,Miles,RIVER,1080207,Farmington,49,Inland Surface Waters Class B,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,14119.5811178917
450,2018,CT4303-00_03,Still River (Winsted)-03,"From Winchester (Winsted) POTW, US to confuence with Mad River (just US of Route 44/183 crossing).",1.67,Miles,RIVER,1080207,Farmington,49,Inland Surface Waters Class B,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,8825.1782821657
451,2018,CT4303-00_04,Still River (Winsted/Torrington)-04,"From confuence with Mad River (just US of Route 44/183 crossing), US to headwaters (on west side of Route 8, paralell with Exit 45 offramp), Torrington.",7.56,Miles,RIVER,1080207,Farmington,48,Inland Surface Waters Class A,I,INSUFFICIENT INFORMATION,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,39898.1498957826
