ObjectId,IntakeType,IntakeSubtype,Number_of_Animals,YEAR,MONTH
652,QUARANTINE,STRAY,1,2008,9
653,CONFISCATE,,3,2008,6
654,QUARANTINE,STRAY,5,2007,10
655,RETURN,OTC,15,2008,9
656,CONFISCATE,ABANDONED,1,2008,6
657,RETURN,FIELD,1,2007,10
658,STRAY,FIELD,541,2008,9
659,CONFISCATE,BITE,2,2008,6
660,RETURN,OTC,4,2007,10
661,STRAY,OTC,429,2008,9
662,CONFISCATE,DANGER DOG,1,2008,6
663,STRAY,,4,2007,10
664,TRANSFER,AN CONTROL,1,2008,9
665,CONFISCATE,NEGLECT,34,2008,6
666,STRAY,FIELD,415,2007,10
667,CONFISCATE,ABANDONED,9,2008,10
668,CONFISCATE,POLICE,1,2008,6
669,STRAY,OTC,336,2007,10
670,CONFISCATE,BITE,2,2008,10
671,CONFISCATE,POTDANGER,1,2008,6
672,CONFISCATE,ABANDONED,1,2007,11
673,CONFISCATE,CHAINING,8,2008,10
674,CONFISCATE,UNPERMITED,5,2008,6
675,CONFISCATE,BITE,6,2007,11
676,CONFISCATE,CRUELTY,1,2008,10
677,EUTH REQ,FIELD OWN,11,2008,6
678,EUTH REQ,OTC OWNED,71,2008,6
679,INVESTIGAT,POTDANGER,1,2008,6
680,OUTSURGERY,,73,2008,6
681,OWNER SUR,,2,2008,6
682,OWNER SUR,FIELD,66,2008,6
683,CONFISCATE,DANGER DOG,1,2008,10
684,CONFISCATE,NEGLECT,33,2008,10
685,CONFISCATE,POTDANGER,2,2008,10
686,CONFISCATE,UNPERMITED,22,2008,10
687,EUTH REQ,,2,2008,10
688,EUTH REQ,FIELD OWN,11,2008,10
689,EUTH REQ,OTC OWNED,46,2008,10
690,INVESTIGAT,,1,2008,10
691,OUTSURGERY,,93,2008,10
692,CONFISCATE,CRUELTY,1,2007,11
693,CONFISCATE,NEGLECT,31,2007,11
694,CONFISCATE,POTDANGER,2,2007,11
695,CONFISCATE,UNPERMITED,12,2007,11
696,EUTH REQ,,2,2007,11
697,EUTH REQ,FIELD OWN,3,2007,11
698,EUTH REQ,OTC OWNED,45,2007,11
699,INVESTIGAT,DANGER DOG,1,2007,11
700,OUTSURGERY,,102,2007,11
701,OWNER SUR,OTC,302,2008,6
702,QUARANTINE,MAS,21,2008,6
703,QUARANTINE,OWNER,4,2008,6
704,QUARANTINE,STRAY,2,2008,6
705,RETURN,FIELD,6,2008,6
706,RETURN,OTC,12,2008,6
707,STRAY,,8,2008,6
708,STRAY,FIELD,521,2008,6
709,STRAY,OTC,453,2008,6
710,CONFISCATE,,2,2008,7
711,CONFISCATE,BITE,1,2008,7
712,CONFISCATE,CRUELTY,4,2008,7
713,CONFISCATE,FIELD,4,2008,7
714,CONFISCATE,NEGLECT,18,2008,7
715,CONFISCATE,POTDANGER,4,2008,7
716,CONFISCATE,UNPERMITED,20,2008,7
717,EUTH REQ,FIELD,1,2008,7
718,EUTH REQ,FIELD OWN,1,2008,7
719,EUTH REQ,MAS,1,2008,7
720,EUTH REQ,OTC,18,2008,7
721,EUTH REQ,OTC OWNED,33,2008,7
722,EUTH REQ,OWNER,1,2008,7
723,EUTH REQ,OWNER SUR,1,2008,7
724,OUTSURGERY,,65,2008,7
725,OWNER SUR,,1,2008,7
726,OWNER SUR,FIELD,59,2008,7
727,OWNER SUR,FIELD OWN,1,2008,7
728,OWNER SUR,NEGLECT,2,2008,7
729,OWNER SUR,OTC,405,2008,7
730,OWNER SUR,OWNER SUR,2,2008,7
731,OWNER SUR,STRAY,2,2008,7
732,QUARANTINE,FIELD,4,2008,7
733,QUARANTINE,MAS,18,2008,7
734,QUARANTINE,OTC,1,2008,7
735,QUARANTINE,OWNER,3,2008,7
736,QUARANTINE,STRAY,4,2008,7
737,RETURN,,2,2008,7
738,RETURN,FIELD,2,2008,7
739,RETURN,OTC,17,2008,7
740,STRAY,FIELD,456,2008,7
741,STRAY,OTC,446,2008,7
742,STRAY,STRAY,14,2008,7
743,TRANSFER,FIELD,1,2008,7
744,CONFISCATE,ABANDONED,4,2008,8
745,CONFISCATE,BITE,1,2008,8
746,CONFISCATE,CHAINING,7,2008,8
747,CONFISCATE,DANGER DOG,1,2008,8
748,CONFISCATE,FIELD,1,2008,8
749,CONFISCATE,NEGLECT,38,2008,8
750,CONFISCATE,POTDANGER,1,2008,8
751,QUARANTINE,STRAY,11,2007,6
752,RETURN,OTC,7,2007,6
753,STRAY,FIELD,436,2007,6
754,STRAY,OTC,412,2007,6
755,TRANSFER,,1,2007,6
756,TRANSFER,AN CONTROL,1,2007,6
757,CONFISCATE,,2,2007,7
758,CONFISCATE,CRUELTY,10,2007,7
759,CONFISCATE,NEGLECT,26,2007,7
760,CONFISCATE,POLICE,2,2007,7
761,CONFISCATE,POTDANGER,5,2007,7
762,CONFISCATE,UNPERMITED,2,2007,7
763,EUTH REQ,FIELD OWN,12,2007,7
764,EUTH REQ,OTC OWNED,76,2007,7
765,INVESTIGAT,,1,2007,7
766,INVESTIGAT,POTDANGER,5,2007,7
767,OUTSURGERY,,108,2007,7
768,OWNER SUR,FIELD,60,2007,7
769,OWNER SUR,OTC,308,2007,7
770,QUARANTINE,MAS,2,2007,7
771,QUARANTINE,OWNER,5,2007,7
772,QUARANTINE,STRAY,11,2007,7
773,RETURN,FIELD,3,2007,7
774,RETURN,OTC,6,2007,7
775,STRAY,,1,2007,7
776,STRAY,FIELD,481,2007,7
777,STRAY,OTC,449,2007,7
778,CONFISCATE,,1,2007,8
779,CONFISCATE,ABANDONED,1,2007,8
780,CONFISCATE,DANGER DOG,1,2007,8
781,CONFISCATE,NEGLECT,20,2007,8
782,CONFISCATE,POLICE,3,2007,8
783,CONFISCATE,UNPERMITED,12,2007,8
784,EUTH REQ,FIELD OWN,15,2007,8
785,EUTH REQ,OTC OWNED,75,2007,8
786,INVESTIGAT,POTDANGER,2,2007,8
787,OUTSURGERY,,96,2007,8
788,OWNER SUR,,2,2007,8
789,OWNER SUR,FIELD,60,2007,8
790,OWNER SUR,OTC,335,2007,8
791,QUARANTINE,MAS,6,2007,8
792,QUARANTINE,OWNER,5,2007,8
793,QUARANTINE,STRAY,6,2007,8
794,RETURN,FIELD,1,2007,8
795,RETURN,OTC,9,2007,8
796,STRAY,FIELD,457,2007,8
797,STRAY,OTC,328,2007,8
798,CONFISCATE,,5,2007,9
799,CONFISCATE,BITE,1,2007,9
800,CONFISCATE,EVICTION,2,2007,9
801,STRAY,FIELD,419,2009,10
802,STRAY,OTC,464,2009,10
803,CONFISCATE,,1,2009,11
804,CONFISCATE,BITE,1,2009,11
805,CONFISCATE,CHAINING,5,2009,11
806,CONFISCATE,CRUELTY,1,2009,11
807,CONFISCATE,NEGLECT,15,2009,11
808,CONFISCATE,POLICE,1,2009,11
809,EUTH REQ,FIELD OWN,8,2009,11
810,EUTH REQ,OTC OWNED,46,2009,11
811,OUTSURGERY,,42,2009,11
812,OWNER SUR,,1,2009,11
813,OWNER SUR,FIELD,31,2009,11
814,OWNER SUR,OTC,184,2009,11
815,QUARANTINE,MAS,8,2009,11
816,QUARANTINE,STRAY,4,2009,11
817,RETURN,FIELD,1,2009,11
818,RETURN,OTC,33,2009,11
819,STRAY,FIELD,339,2009,11
820,STRAY,OTC,313,2009,11
821,CONFISCATE,ABANDONED,1,2009,12
822,CONFISCATE,CHAINING,8,2009,12
823,CONFISCATE,NEGLECT,4,2009,12
824,CONFISCATE,POLICE,1,2009,12
825,CONFISCATE,UNPERMITED,4,2009,8
826,CONFISCATE,RESTRAINT,1,2009,12
827,EUTH REQ,FIELD OWN,3,2009,12
828,EUTH REQ,OTC OWNED,49,2009,12
829,EUTH REQ,FIELD OWN,8,2009,8
830,OUTSURGERY,,47,2009,12
831,CONFISCATE,CRUELTY,3,2010,6
832,EUTH REQ,OTC OWNED,58,2009,8
833,OUTSURGERY,NEUTER,1,2009,12
834,CONFISCATE,EVICTION,3,2010,6
835,RETURN,OTC,31,2010,3
836,OUTSURGERY,,20,2009,8
837,OWNER SUR,,2,2009,12
838,CONFISCATE,NEGLECT,124,2010,6
839,STRAY,FIELD,377,2010,3
840,OWNER SUR,FIELD,37,2009,8
841,OWNER SUR,FIELD,36,2009,12
842,CONFISCATE,POTDANGER,1,2010,6
843,STRAY,OTC,275,2010,3
844,OWNER SUR,OTC,260,2009,8
845,OWNER SUR,OTC,199,2009,12
846,CONFISCATE,RESTRAINT,3,2010,6
847,TRANSFER,AN CONTROL,1,2010,3
848,QUARANTINE,MAS,13,2009,8
849,QUARANTINE,MAS,3,2009,12
850,EUTH REQ,,1,2010,6
851,CONFISCATE,ABANDONED,1,2010,4
852,QUARANTINE,OWNER,1,2009,8
853,QUARANTINE,OWNER,1,2009,12
854,EUTH REQ,FIELD OWN,7,2010,6
855,CONFISCATE,BITE,1,2010,4
856,RETURN,FIELD,2,2009,8
857,RETURN,,1,2009,12
858,EUTH REQ,OTC OWNED,53,2010,6
859,CONFISCATE,CHAINING,4,2010,4
860,RETURN,OTC,19,2009,8
861,RETURN,FIELD,1,2009,12
862,INVESTIGAT,DANGER DOG,1,2010,6
863,CONFISCATE,CRUELTY,1,2010,4
864,STRAY,FIELD,496,2009,8
865,RETURN,FOSTER,1,2009,12
866,KHS,,1,2010,6
867,CONFISCATE,DANGER DOG,1,2010,4
868,STRAY,OTC,419,2009,8
869,RETURN,OTC,11,2009,12
870,OUTSURGERY,,47,2010,6
871,CONFISCATE,NEGLECT,10,2010,4
872,CONFISCATE,BITE,2,2009,9
873,RETURN,OTC,35,2009,3
874,STRAY,FIELD,253,2009,12
875,OUTSURGERY,NEUTER,7,2010,6
876,CONFISCATE,RESTRAINT,8,2010,4
877,CONFISCATE,CHAINING,20,2009,9
878,STRAY,OTC,267,2009,12
879,STRAY,FIELD,346,2009,3
880,OWNER SUR,,6,2010,6
881,EUTH REQ,,1,2010,4
882,CONFISCATE,CRUELTY,2,2009,9
883,CONFISCATE,,2,2010,1
884,STRAY,OTC,262,2009,3
885,OWNER SUR,FIELD,49,2010,6
886,EUTH REQ,FIELD OWN,7,2010,4
887,CONFISCATE,EVICTION,1,2009,9
888,CONFISCATE,ABANDONED,3,2010,1
889,CONFISCATE,,2,2009,4
890,OWNER SUR,OTC,239,2010,6
891,EUTH REQ,OTC OWNED,45,2010,4
892,CONFISCATE,NEGLECT,19,2009,9
893,CONFISCATE,CHAINING,3,2010,1
894,CONFISCATE,ABANDONED,3,2009,4
895,QUARANTINE,MAS,4,2010,6
896,OUTSURGERY,,53,2010,4
897,CONFISCATE,POLICE,1,2009,9
898,CONFISCATE,CRUELTY,1,2010,1
899,CONFISCATE,CHAINING,50,2009,4
900,QUARANTINE,OWNER,4,2010,6
901,OWNER SUR,,3,2010,4
902,OWNER SUR,FIELD,93,2010,4
903,OWNER SUR,OTC,163,2010,4
904,QUARANTINE,MAS,4,2010,4
905,RETURN,ADOPTION,2,2010,4
906,RETURN,OTC,18,2010,4
907,STRAY,,2,2010,4
908,STRAY,FIELD,444,2010,4
909,STRAY,OTC,330,2010,4
910,CONFISCATE,ABANDONED,5,2010,5
911,CONFISCATE,BITE,3,2010,5
912,CONFISCATE,CHAINING,5,2010,5
913,CONFISCATE,NEGLECT,28,2010,5
914,CONFISCATE,POTDANGER,2,2010,5
915,CONFISCATE,RESTRAINT,5,2010,5
916,CONFISCATE,UNPERMITED,6,2010,5
917,EUTH REQ,,3,2010,5
918,EUTH REQ,FIELD OWN,7,2010,5
919,EUTH REQ,OTC OWNED,43,2010,5
920,INVESTIGAT,POTDANGER,1,2010,5
921,OUTSURGERY,,51,2010,5
922,OWNER SUR,,7,2010,5
923,OWNER SUR,FIELD,45,2010,5
924,OWNER SUR,OTC,179,2010,5
925,QUARANTINE,MAS,4,2010,5
926,QUARANTINE,OWNER,3,2010,5
927,QUARANTINE,STRAY,2,2010,5
928,RETURN,FIELD,2,2010,5
929,RETURN,OTC,23,2010,5
930,STRAY,,44,2010,5
931,STRAY,FIELD,463,2010,5
932,STRAY,OTC,338,2010,5
933,CONFISCATE,ABANDONED,4,2010,6
934,CONFISCATE,BITE,2,2010,6
935,CONFISCATE,CHAINING,5,2010,6
936,INVESTIGAT,POTDANGER,1,2009,1
937,CONFISCATE,POTDANGER,2,2009,9
938,QUARANTINE,STRAY,1,2010,6
939,CONFISCATE,RESTRAINT,10,2009,9
940,RETURN,FIELD,1,2010,6
941,CONFISCATE,UNPERMITED,2,2009,9
942,RETURN,OTC,21,2010,6
943,EUTH REQ,FIELD OWN,7,2009,9
944,STRAY,FIELD,494,2010,6
945,EUTH REQ,OTC OWNED,42,2009,9
946,CONFISCATE,DANGER DOG,2,2009,4
947,STRAY,OTC,488,2010,6
948,OUTSURGERY,,40,2009,9
949,CONFISCATE,EVICTION,1,2009,4
950,CONFISCATE,DANGER DOG,1,2010,1
951,CONFISCATE,CHAINING,3,2010,7
952,OWNER SUR,FIELD,52,2009,9
953,CONFISCATE,NEGLECT,14,2009,4
954,CONFISCATE,NEGLECT,8,2010,1
955,CONFISCATE,CRUELTY,15,2010,7
956,OWNER SUR,OTC,285,2009,9
957,CONFISCATE,POTDANGER,3,2009,4
958,CONFISCATE,POLICE,1,2010,1
959,CONFISCATE,DANGER DOG,1,2010,7
960,QUARANTINE,MAS,9,2009,9
961,CONFISCATE,RESTRAINT,2,2009,4
962,CONFISCATE,POTDANGER,2,2010,1
963,CONFISCATE,EVICTION,5,2010,7
964,QUARANTINE,OWNER,1,2009,9
965,CONFISCATE,UNPERMITED,29,2009,4
966,CONFISCATE,RESTRAINT,1,2010,1
967,CONFISCATE,NEGLECT,18,2010,7
968,QUARANTINE,STRAY,2,2009,9
969,EUTH REQ,FIELD OWN,4,2009,4
970,EUTH REQ,,1,2010,1
971,CONFISCATE,RESTRAINT,6,2010,7
972,RETURN,FIELD,1,2009,9
973,EUTH REQ,OTC OWNED,56,2009,4
974,EUTH REQ,,5,2010,7
975,RETURN,OTC,17,2009,9
976,OUTSURGERY,,82,2009,4
977,EUTH REQ,FIELD OWN,11,2010,7
978,STRAY,FIELD,426,2009,9
979,OWNER SUR,FIELD,53,2009,4
980,EUTH REQ,OTC OWNED,48,2010,7
981,STRAY,OTC,487,2009,9
982,OWNER SUR,OTC,165,2009,4
983,OUTSURGERY,,42,2010,7
984,CONFISCATE,CHAINING,8,2009,10
985,QUARANTINE,MAS,13,2009,4
986,OUTSURGERY,NEUTER,5,2010,7
987,CONFISCATE,DANGER DOG,2,2009,10
988,QUARANTINE,STRAY,1,2009,4
989,OWNER SUR,FIELD,98,2010,7
990,CONFISCATE,NEGLECT,74,2009,10
991,RETURN,,2,2009,4
992,OWNER SUR,OTC,279,2010,7
993,CONFISCATE,RESTRAINT,4,2009,10
994,RETURN,OTC,25,2009,4
995,QUARANTINE,MAS,4,2010,7
996,CONFISCATE,UNPERMITED,3,2009,10
997,STRAY,FIELD,387,2009,4
998,QUARANTINE,STRAY,4,2010,7
999,EUTH REQ,FIELD OWN,3,2009,10
1000,STRAY,OTC,316,2009,4
1001,RETURN,FIELD,4,2010,7
1002,EUTH REQ,OTC OWNED,48,2009,10
1003,TRANSFER,AN CONTROL,1,2009,4
1004,OUTSURGERY,,63,2009,10
1005,CONFISCATE,,5,2009,5
1006,OWNER SUR,,3,2009,10
1007,CONFISCATE,ABANDONED,2,2009,5
1008,OWNER SUR,FIELD,25,2009,10
1009,RETURN,OTC,17,2010,7
1010,CONFISCATE,CHAINING,17,2009,5
1011,CONFISCATE,NEGLECT,32,2009,5
1012,CONFISCATE,POTDANGER,3,2009,5
1013,CONFISCATE,RESTRAINT,10,2009,5
1014,CONFISCATE,UNPERMITED,16,2009,5
1015,EUTH REQ,FIELD OWN,6,2009,5
1016,EUTH REQ,OTC OWNED,72,2009,5
1017,INVESTIGAT,POTDANGER,1,2009,5
1018,OUTSURGERY,,62,2009,5
1019,OWNER SUR,,1,2009,5
1020,OWNER SUR,FIELD,48,2009,5
1021,OWNER SUR,OTC,245,2009,5
1022,QUARANTINE,MAS,20,2009,5
1023,QUARANTINE,STRAY,3,2009,5
1024,RETURN,FIELD,1,2009,5
1025,RETURN,OTC,24,2009,5
1026,STRAY,FIELD,429,2009,5
1027,STRAY,OTC,471,2009,5
1028,CONFISCATE,,8,2009,6
1029,CONFISCATE,CHAINING,13,2009,6
1030,CONFISCATE,CRUELTY,3,2009,6
1031,CONFISCATE,NEGLECT,58,2009,6
1032,CONFISCATE,POLICE,2,2009,6
1033,CONFISCATE,POTDANGER,1,2009,6
1034,OUTSURGERY,,84,2009,1
1035,EUTH REQ,FIELD OWN,8,2010,1
1036,STRAY,FIELD,565,2010,7
1037,OWNER SUR,OTC,265,2009,10
1038,STRAY,OTC,505,2010,7
1039,QUARANTINE,MAS,13,2009,10
1040,CONFISCATE,ABANDONED,2,2010,8
1041,QUARANTINE,STRAY,1,2009,10
1042,CONFISCATE,BITE,2,2010,8
1043,RETURN,,1,2009,10
1044,CONFISCATE,CHAINING,5,2010,8
1045,RETURN,FIELD,1,2009,10
1046,CONFISCATE,CRUELTY,1,2010,8
1047,RETURN,OTC,21,2009,10
1048,CONFISCATE,NEGLECT,13,2010,8
1049,STRAY,,5,2009,10
1050,CONFISCATE,POTDANGER,1,2010,8
1051,CONFISCATE,RESTRAINT,3,2010,8
1052,EUTH REQ,,7,2010,8
1053,EUTH REQ,FIELD OWN,31,2010,8
1054,EUTH REQ,OTC OWNED,40,2010,1
1055,INVESTIGAT,POTDANGER,1,2010,1
1056,KHS,,1,2010,1
1057,OUTSURGERY,,29,2010,1
1058,OWNER SUR,FIELD,63,2010,1
1059,OWNER SUR,OTC,144,2010,1
1060,RETURN,FIELD,2,2010,1
1061,RETURN,OTC,21,2010,1
1062,STRAY,FIELD,270,2010,1
1063,STRAY,OTC,208,2010,1
1064,TRANSFER,AN CONTROL,1,2010,1
1065,CONFISCATE,BITE,1,2010,2
1066,CONFISCATE,CHAINING,1,2010,2
1067,CONFISCATE,DANGER DOG,2,2010,2
1068,CONFISCATE,NEGLECT,19,2010,2
1069,CONFISCATE,POLICE,1,2010,2
1070,CONFISCATE,POTDANGER,1,2010,2
1071,CONFISCATE,RESTRAINT,4,2010,2
1072,EUTH REQ,FIELD OWN,2,2010,2
1073,EUTH REQ,OTC OWNED,29,2010,2
1074,KHS,STRAY,3,2010,2
1075,OUTSURGERY,,49,2010,2
1076,OWNER SUR,,1,2010,2
1077,OWNER SUR,FIELD,37,2010,2
1078,OWNER SUR,OTC,169,2010,2
1079,QUARANTINE,MAS,5,2010,2
1080,QUARANTINE,OWNER,1,2010,2
1081,QUARANTINE,STRAY,4,2010,2
1082,RETURN,FIELD,5,2010,2
1083,RETURN,OTC,14,2010,2
1084,STRAY,FIELD,258,2010,2
1085,STRAY,OTC,199,2010,2
1086,TRANSFER,AN CONTROL,1,2010,2
1087,CONFISCATE,ABANDONED,5,2010,3
1088,CONFISCATE,CHAINING,7,2010,3
1089,CONFISCATE,CRUELTY,2,2010,3
1090,CONFISCATE,NEGLECT,8,2010,3
1091,CONFISCATE,OWNER DIED,1,2010,3
1092,CONFISCATE,POLICE,1,2010,3
1093,CONFISCATE,POTDANGER,2,2010,3
1094,EUTH REQ,FIELD OWN,11,2010,3
1095,EUTH REQ,OTC OWNED,52,2010,3
1096,FOSTER,RETURN,1,2010,3
1097,OUTSURGERY,,49,2010,3
1098,OUTSURGERY,NEUTER,4,2010,3
1099,OWNER SUR,FIELD,63,2010,3
1100,OWNER SUR,OTC,169,2010,3
1101,QUARANTINE,MAS,7,2010,3
1102,QUARANTINE,OWNER,2,2010,3
1103,OWNER SUR,FIELD,55,2009,1
1104,OWNER SUR,OTC,179,2009,1
1105,QUARANTINE,MAS,3,2009,1
1106,QUARANTINE,OWNER,2,2009,1
1107,QUARANTINE,STRAY,4,2009,1
1108,RETURN,,1,2009,1
1109,RETURN,FIELD,2,2009,1
1110,RETURN,OTC,31,2009,1
1111,STRAY,FIELD,293,2009,1
1112,STRAY,OTC,217,2009,1
1113,CONFISCATE,ABANDONED,5,2009,2
1114,CONFISCATE,BITE,1,2009,2
1115,CONFISCATE,CHAINING,11,2009,2
1116,CONFISCATE,CRUELTY,2,2009,2
1117,CONFISCATE,EVICTION,1,2009,2
1118,CONFISCATE,NEGLECT,17,2009,2
1119,CONFISCATE,UNPERMITED,46,2009,2
1120,EUTH REQ,FIELD OWN,13,2009,2
1121,EUTH REQ,OTC OWNED,36,2009,2
1122,OUTSURGERY,,103,2009,2
1123,OWNER SUR,,1,2009,2
1124,OWNER SUR,FIELD,44,2009,2
1125,OWNER SUR,OTC,157,2009,2
1126,QUARANTINE,MAS,2,2009,2
1127,QUARANTINE,OWNER,1,2009,2
1128,QUARANTINE,STRAY,1,2009,2
1129,RETURN,FIELD,2,2009,2
1130,RETURN,OTC,12,2009,2
1131,STRAY,FIELD,314,2009,2
1132,STRAY,OTC,194,2009,2
1133,CONFISCATE,,1,2009,3
1134,CONFISCATE,ABANDONED,3,2009,3
1135,CONFISCATE,BITE,1,2009,3
1136,CONFISCATE,CHAINING,15,2009,3
1137,CONFISCATE,NEGLECT,15,2009,3
1138,CONFISCATE,OWNER DIED,1,2009,3
1139,CONFISCATE,POLICE,3,2009,3
1140,CONFISCATE,POTDANGER,10,2009,3
1141,CONFISCATE,UNPERMITED,28,2009,3
1142,EUTH REQ,FIELD OWN,7,2009,3
1143,EUTH REQ,OTC OWNED,46,2009,3
1144,OUTSURGERY,,93,2009,3
1145,OWNER SUR,FIELD,64,2009,3
1146,OWNER SUR,OTC,133,2009,3
1147,QUARANTINE,MAS,10,2009,3
1148,QUARANTINE,OWNER,6,2009,3
1149,QUARANTINE,STRAY,2,2009,3
1150,RETURN,,1,2009,3
1151,CONFISCATE,RESTRAINT,5,2009,6
1152,CONFISCATE,UNPERMITED,13,2009,6
1153,EUTH REQ,,1,2009,6
1154,EUTH REQ,FIELD OWN,10,2009,6
1155,EUTH REQ,OTC OWNED,76,2009,6
1156,INVESTIGAT,POTDANGER,1,2009,6
1157,MED OBSERV,,1,2009,6
1158,OUTSURGERY,,91,2009,6
1159,OUTSURGERY,STRAY,1,2009,6
1160,OWNER SUR,,2,2009,6
1161,OWNER SUR,FIELD,40,2009,6
1162,OWNER SUR,OTC,287,2009,6
1163,QUARANTINE,,2,2009,6
1164,QUARANTINE,MAS,14,2009,6
1165,QUARANTINE,STRAY,1,2009,6
1166,RETURN,FIELD,2,2009,6
1167,RETURN,OTC,27,2009,6
1168,STRAY,FIELD,563,2009,6
1169,STRAY,OTC,503,2009,6
1170,CONFISCATE,,6,2009,7
1171,CONFISCATE,BITE,1,2009,7
1172,CONFISCATE,CHAINING,6,2009,7
1173,CONFISCATE,DANGER DOG,1,2009,7
1174,CONFISCATE,EVICTION,1,2009,7
1175,CONFISCATE,NEGLECT,86,2009,7
1176,CONFISCATE,RESTRAINT,30,2009,7
1177,CONFISCATE,UNPERMITED,8,2009,7
1178,EUTH REQ,,1,2009,7
1179,EUTH REQ,FIELD OWN,8,2009,7
1180,EUTH REQ,OTC OWNED,78,2009,7
1181,INVESTIGAT,POTDANGER,1,2009,7
1182,KHS,STRAY,1,2009,7
1183,OUTSURGERY,,50,2009,7
1184,OWNER SUR,,1,2009,7
1185,OWNER SUR,FIELD,37,2009,7
1186,OWNER SUR,OTC,220,2009,7
1187,QUARANTINE,,1,2009,7
1188,QUARANTINE,MAS,35,2009,7
1189,QUARANTINE,STRAY,4,2009,7
1190,RETURN,FIELD,2,2009,7
1191,RETURN,OTC,19,2009,7
1192,STRAY,,1,2009,7
1193,STRAY,FIELD,537,2009,7
1194,STRAY,OTC,547,2009,7
1195,CONFISCATE,,7,2009,8
1196,CONFISCATE,CHAINING,11,2009,8
1197,CONFISCATE,NEGLECT,15,2009,8
1198,CONFISCATE,POLICE,2,2009,8
1199,CONFISCATE,POTDANGER,1,2009,8
1200,CONFISCATE,RESTRAINT,5,2009,8
1201,CONFISCATE,BITE,2,2011,11
1202,CONFISCATE,CHAINING,2,2011,11
1203,CONFISCATE,DANGER DOG,1,2011,11
1204,CONFISCATE,NEGLECT,5,2011,11
1205,CONFISCATE,POLICE,1,2011,11
1206,CONFISCATE,RESTRAINT,6,2011,11
1207,FOSTER,RETURN,11,2011,11
1208,OWNER SUR,,3,2011,11
1209,OWNER SUR,EUTH REQ,71,2011,11
1210,OWNER SUR,FIELD,46,2011,11
1211,OWNER SUR,OTC,159,2011,11
1212,CONFISCATE,CRUELTY,2,2011,1
1213,RETURN,ADOPTION,31,2011,11
1214,STRAY,FIELD,295,2011,11
1215,STRAY,OTC,155,2011,11
1216,CONFISCATE,CHAINING,1,2012,2
1217,EUTH REQ,OTC OWNED,49,2011,3
1218,CONFISCATE,NEGLECT,10,2011,1
1219,CONFISCATE,,1,2011,12
1220,OWNER SUR,OTC,275,2011,5
1221,QUARANTINE,STRAY,2,2010,10
1222,CONFISCATE,NEGLECT,7,2012,2
1223,INVESTIGAT,NUISANCE,1,2011,3
1224,CONFISCATE,OWNER DIED,4,2011,1
1225,CONFISCATE,ABANDONED,3,2011,12
1226,RETURN,ADOPTION,18,2011,5
1227,CONFISCATE,ABANDONED,1,2011,8
1228,RETURN,ADOPTION,1,2010,10
1229,CONFISCATE,POLICE,1,2012,2
1230,OUTSURGERY,,46,2011,3
1231,CONFISCATE,POLICE,1,2011,1
1232,CONFISCATE,BITE,2,2011,12
1233,RETURN,K HUMANE S,3,2011,5
1234,CONFISCATE,BITE,3,2011,8
1235,OUTSURGERY,NEUTER,6,2011,3
1236,RETURN,FIELD,2,2010,10
1237,OWNER SUR,,4,2011,3
1238,CONFISCATE,RESTRAINT,9,2011,1
1239,CONFISCATE,CRUELTY,1,2011,8
1240,STRAY,,4,2011,5
1241,RETURN,OTC,16,2010,10
1242,OWNER SUR,EUTH REQ,2,2011,3
1243,EUTH REQ,FIELD OWN,5,2011,1
1244,CONFISCATE,RESTRAINT,2,2012,2
1245,CONFISCATE,CHAINING,1,2011,12
1246,DISPOSAL,OTHER,2,2012,2
1247,EUTH REQ,OTC OWNED,35,2011,1
1248,STRAY,EUTH REQ,3,2011,5
1249,CONFISCATE,NEGLECT,9,2011,8
1250,CONFISCATE,CRUELTY,2,2011,12
1251,STRAY,,1,2010,10
1252,OWNER SUR,FIELD,39,2011,3
1253,DISPOSAL,OWNER,2,2012,2
1254,FOSTER,RETURN,1,2011,1
1255,STRAY,FIELD,460,2011,5
1256,CONFISCATE,POLICE,1,2011,8
1257,CONFISCATE,DANGER DOG,2,2011,12
1258,STRAY,FIELD,421,2010,10
1259,OWNER SUR,OTC,192,2011,3
1260,ET REQUEST,OLD,8,2012,2
1261,OUTSURGERY,,21,2011,1
1262,STRAY,OTC,292,2011,5
1263,CONFISCATE,RESTRAINT,4,2011,8
1264,CONFISCATE,HOSPITAL,1,2011,12
1265,STRAY,OTC,367,2010,10
1266,QUARANTINE,MAS,1,2011,3
1267,ET REQUEST,SICK,9,2012,2
1268,OUTSURGERY,NEUTER,7,2011,1
1269,CONFISCATE,ABANDONED,1,2011,6
1270,FOSTER,,12,2011,8
1271,CONFISCATE,NEGLECT,5,2011,12
1272,CONFISCATE,BITE,2,2010,11
1273,QUARANTINE,OWNER,2,2011,3
1274,FOSTER,,7,2012,2
1275,OWNER SUR,FIELD,52,2011,1
1276,CONFISCATE,BITE,1,2011,6
1277,FOSTER,RETURN,6,2011,8
1278,CONFISCATE,POTDANGER,1,2011,12
1279,CONFISCATE,CHAINING,4,2010,11
1280,RETURN,,3,2011,3
1281,FOSTER,RETURN,63,2012,2
1282,OWNER SUR,OTC,162,2011,1
1283,CONFISCATE,CHAINING,2,2011,6
1284,OWNER SUR,EUTH REQ,64,2011,8
1285,FOSTER,RETURN,20,2011,12
