OBJECTID,COMPKEY,COMPTYPE,UNITID,UNITID2,UNITIDSORT,UNITDESC,STNAME_ORD,ONSTREET,XSTRLO,XSTRHI,ARTCLASS,ARTDESCRIP,OWNER,BLOCKNBR,SPEEDLIMIT,SEGDIR,ONEWAY,ONEWAYDIR,FLOW,SEGLENGTH,SURFACEWID,SURFACED_1,INTRLO,DIRLO,INTKEYLO,INTRHI,DIRHI,INTKEYHI,GIS_MID_X,GIS_MID_Y,SGNDBKROUT,NGHBRHDGRN,NATIONHWYS,STREETTYPE,MJTRK_STR_,PVMTCONDIN,PVMTCOND_1,TRANCLASS,TRANDESCRI,FREIGHTCLASS,SHAPE_Length
331,2095,68,00555,1400,005551400,15TH AVE NE BETWEEN NE 140TH ST AND NE 143RD ST,15TH AVE NE,15TH AVE NE,NE 140TH ST,NE 143RD ST,1, , ,14000,35,N,N, , ,666.0,0,,15TH AVE NE AND NE 140TH ST,N,35859,15TH AVE NE AND NE 143RD ST,S,35855,1276373.25682381,270222.96557677, , , ,Regional, ,0,0,2, ,2,666.051528090438
332,2094,68,00555,1370,005551370,15TH AVE NE BETWEEN NE 137TH ST AND NE 140TH ST,15TH AVE NE,15TH AVE NE,NE 137TH ST,NE 140TH ST,1, , ,13700,35,N,N, , ,666.0,0,,15TH AVE NE AND NE 137TH ST,N,35860,15TH AVE NE AND NE 140TH ST,S,35859,1276366.4793518,269556.94445609, , , ,Regional, ,0,0,2, ,2,666.059729741813
333,2092,68,00555,1320,005551320,15TH AVE NE BETWEEN XW NE130 PL AND NE 135TH ST,15TH AVE NE,15TH AVE NE,XW NE130 PL,NE 135TH ST,1, , ,13200,30,N,N, , ,489.0,0,,15TH AVE NE AND XW NE130 PL,N,35874,15TH AVE NE AND NE 135TH ST,S,35866,1276350.97234379,268313.50688681, , , ,Regional, ,0,0,2, ,2,488.924411704153
334,12226,68,09165,1120,091651120,PINEHURST WAY NE BETWEEN ROOSEVELT S WAY NE AND ROOSEVELT N WAY NE,PINEHURST WAY NE,PINEHURST WAY NE,ROOSEVELT S WAY NE,ROOSEVELT N WAY NE,1, , ,11200,30,N,N, , ,186.0,0,,PINEHURST WAY NE AND ROOSEVELT S WAY NE,N,36498,PINEHURST WAY NE AND ROOSEVELT N WAY NE,S,36538,1274973.40690237,262524.70163289, , , ,Mixed, ,0,0,3, ,2,185.508787161346
335,2086,68,00555,1230,005551230,15TH AVE NE BETWEEN NE 123RD ST AND NE 125TH ST,15TH AVE NE,15TH AVE NE,NE 123RD ST,NE 125TH ST,1, , ,12300,30,N,N, , ,661.0,0,,15TH AVE NE AND NE 123RD ST,N,36438,15TH AVE NE AND NE 125TH ST,S,36427,1276299.87371972,265589.24038802, , , ,Mixed, ,0,0,2, ,2,661.079496764938
336,2084,68,00555,1171,005551171,15TH AVE NE BETWEEN PINEHURST WAY NE AND NE 120TH ST,15TH AVE NE,15TH AVE NE,PINEHURST WAY NE,NE 120TH ST,1, , ,11700,30,N,N, , ,481.0,0,,15TH AVE NE AND PINEHURST WAY NE,N,36459,15TH AVE NE AND NE 120TH ST,S,36449,1276304.35723974,264357.11731476, , , ,Mixed, ,0,0,2, ,2,481.061914699493
337,11148,68,08015,0820,080150820,LAKE CITY WAY NE BETWEEN NE 82ND ST AND 17TH AVE NE,LAKE CITY WAY NE,LAKE CITY WAY NE,NE 82ND ST,17TH AVE NE,1, , ,8200,35,NE,N, , ,251.0,0,,LAKE CITY WAY NE AND NE 82ND ST,NE,24755,17TH AVE NE AND LAKE CITY WAY NE,SW,24712,1276643.42648809,254726.0968249, , , ,Regional, ,0,0,2, ,1,250.986290762074
338,11154,68,08015,0890,080150890,LAKE CITY WAY NE BETWEEN NE 89TH ST AND NE 90TH ST,LAKE CITY WAY NE,LAKE CITY WAY NE,NE 89TH ST,NE 90TH ST,1, , ,8900,35,N,N, , ,332.0,0,,LAKE CITY WAY NE AND NE 89TH ST,N,37757,LAKE CITY WAY NE AND NE 90TH ST,S,37751,1277890.08127336,256426.49221863, , , ,Regional, ,0,0,2, ,1,332.294874948627
339,11183,68,08015,1250,080151250,LAKE CITY WAY NE BETWEEN NE 125TH ST AND NE 127TH ST,LAKE CITY WAY NE,LAKE CITY WAY NE,NE 125TH ST,NE 127TH ST,1, , ,12500,30,NE,N, , ,712.0,0,,LAKE CITY WAY NE AND NE 125TH ST,NE,36601,LAKE CITY WAY NE AND NE 127TH ST,SW,36067,1280729.43340427,266116.41050056, , , ,Main, ,0,0,2, ,1,711.928638079175
340,11150,68,08015,0840,080150840,LAKE CITY WAY NE BETWEEN 18TH AVE NE AND NE 85TH ST,LAKE CITY WAY NE,LAKE CITY WAY NE,18TH AVE NE,NE 85TH ST,1, , ,8400,35,NE,N, , ,291.0,0,,18TH AVE NE AND LAKE CITY WAY NE,NE,24711,LAKE CITY WAY NE AND NE 85TH ST,SW,37776,1277101.71295255,255182.40914536, , , ,Regional, ,0,0,2, ,1,291.47343810043
341,11153,68,08015,0880,080150880,LAKE CITY WAY NE BETWEEN NE 88TH ST AND NE 89TH ST,LAKE CITY WAY NE,LAKE CITY WAY NE,NE 88TH ST,NE 89TH ST,1, , ,8800,35,N,N, , ,345.0,0,,LAKE CITY WAY NE AND NE 88TH ST,N,37763,LAKE CITY WAY NE AND NE 89TH ST,S,37757,1277851.46738532,256091.3173063, , , ,Regional, ,0,0,2, ,1,345.405999284211
342,11176,68,08015,1150,080151150,LAKE CITY WAY NE BETWEEN NE 115TH ST AND 27TH AVE NE,LAKE CITY WAY NE,LAKE CITY WAY NE,NE 115TH ST,27TH AVE NE,1, , ,11500,35,NE,N, , ,371.0,0,,LAKE CITY WAY NE AND NE 115TH ST,NE,36655,27TH AVE NE AND LAKE CITY WAY NE,SW,36638,1279559.98399507,263341.12992172, , , ,Regional, ,0,0,2, ,1,371.425936392659
343,11188,68,08015,1370,080151370,LAKE CITY WAY NE BETWEEN NE 137TH ST AND NE 140TH ST,LAKE CITY WAY NE,LAKE CITY WAY NE,NE 137TH ST,NE 140TH ST,1, , ,13700,35,N,N, , ,666.0,0,,NE 137TH ST AND LAKE CITY WAY NE,N,36017,LAKE CITY WAY NE AND NE 140TH ST,S,36007,1281386.38937293,269393.28621592, , , ,Regional, ,0,0,2, ,1,666.114690183836
344,1414,68,00230,0560,002300560,11TH AVE NE BETWEEN NE 56TH ST AND NE RAVENNA EB BV,11TH AVE NE,11TH AVE NE,NE 56TH ST,NE RAVENNA EB BV,1, , ,5600,30,N,Y,N,F,850.0,0,,11TH AVE NE AND NE 56TH ST,N,25746,11TH AVE NE AND NE RAVENNA EB BV,S,25728,1275067.53855047,248126.99339414, , , ,Regional, ,0,0,2, ,2,849.711736867112
345,12593,68,09485,0404,094850404,ROOSEVELT WAY NE BETWEEN NE 40TH ALLEY ST AND NE 41ST ST,ROOSEVELT WAY NE,ROOSEVELT WAY NE,NE 40TH ALLEY ST,NE 41ST ST,1, , ,4000,30,N,Y,S,T,214.0,0,,ROOSEVELT WAY NE AND NE 40TH ALLEY ST,N,27130,ROOSEVELT WAY NE AND NE 41ST ST,S,27100,1274589.77720597,243034.39006092, , , ,Regional, ,0,0,2, ,2,214.316423492339
346,12613,68,09485,0630,094850630,ROOSEVELT WAY NE BETWEEN NE 63RD ST AND NE 64TH ST,ROOSEVELT WAY NE,ROOSEVELT WAY NE,NE 63RD ST,NE 64TH ST,1, , ,6300,30,N,Y,S,T,300.0,0,,ROOSEVELT WAY NE AND NE 63RD ST,N,25710,ROOSEVELT WAY NE AND NE 64TH ST,S,25698,1274830.37125422,249586.73016363, , , ,Main, ,0,0,2, ,2,300.03602166545
347,12614,68,09485,0640,094850640,ROOSEVELT WAY NE BETWEEN NE 64TH ST AND NE 65TH ST,ROOSEVELT WAY NE,ROOSEVELT WAY NE,NE 64TH ST,NE 65TH ST,1, , ,6400,30,N,Y,S,T,310.0,0,,ROOSEVELT WAY NE AND NE 64TH ST,N,25698,ROOSEVELT WAY NE AND NE 65TH ST,S,24498,1274836.26623023,249891.70872395, , , ,Main, ,0,0,2, ,2,310.035042732236
348,12622,68,09485,0720,094850720,ROOSEVELT WAY NE BETWEEN NE 72ND ST AND NE 73RD ST,ROOSEVELT WAY NE,ROOSEVELT WAY NE,NE 72ND ST,NE 73RD ST,1, , ,7200,30,N,Y,S,T,252.0,0,,ROOSEVELT WAY NE AND NE 72ND ST,N,24452,ROOSEVELT WAY NE AND NE 73RD ST,S,24446,1274855.77323826,252008.85010211, , , ,Mixed, ,0,0,3, ,2,252.093753462428
349,1591,68,00330,0760,003300760,12TH AVE NE BETWEEN NE 77TH ST AND LAKE CITY WAY NE,12TH AVE NE,12TH AVE NE,NE 77TH ST,LAKE CITY WAY NE,1, , ,7600,30,N,Y,N,F,178.0,0,,12TH AVE NE AND NE 77TH ST,N,24413,12TH AVE NE AND LAKE CITY WAY NE,S,24409,1275461.19199087,253427.51544757, , , ,Regional, ,0,0,0, ,2,178.144328597382
350,1585,68,00330,0700,003300700,12TH AVE NE BETWEEN NE 70TH ST AND NE 71ST ST,12TH AVE NE,12TH AVE NE,NE 70TH ST,NE 71ST ST,1, , ,7000,30,N,Y,N,F,256.0,0,,12TH AVE NE AND NE 70TH ST,N,24473,12TH AVE NE AND NE 71ST ST,S,24466,1275290.52882269,251487.68619758, , , ,Regional, ,0,0,3, ,2,256.11660615714
351,12596,68,09485,0420,094850420,ROOSEVELT WAY NE BETWEEN NE 42ND N ST AND NE 43RD S ST,ROOSEVELT WAY NE,ROOSEVELT WAY NE,NE 42ND N ST,NE 43RD S ST,1, , ,4200,30,N,Y,S,T,396.0,0,,ROOSEVELT WAY NE AND NE 42ND N ST,N,27086,ROOSEVELT WAY NE AND NE 43RD S ST,S,27079,1274621.04018201,243879.12119779, , , ,Regional, ,0,0,2, ,2,396.436543721661
352,12598,68,09485,0430,094850430,ROOSEVELT WAY NE BETWEEN NE 43RD N ST AND NE 45TH ST,ROOSEVELT WAY NE,ROOSEVELT WAY NE,NE 43RD N ST,NE 45TH ST,1, , ,4300,30,N,Y,S,T,532.0,0,,ROOSEVELT WAY NE AND NE 43RD N ST,N,27073,ROOSEVELT WAY NE AND NE 45TH ST,S,27066,1274643.36248603,244485.12638241, , , ,Regional, ,0,0,2, ,2,531.597457289392
353,1582,68,00330,0670,003300670,12TH AVE NE BETWEEN NE 67TH ST AND NE 68TH ST,12TH AVE NE,12TH AVE NE,NE 67TH ST,NE 68TH ST,1, , ,6700,30,N,Y,N,F,264.0,0,,12TH AVE NE AND NE 67TH ST,N,24487,12TH AVE NE AND NE 68TH ST,S,24484,1275265.17560667,250708.82309277, , , ,Regional, ,0,0,3, ,2,263.90776102619
354,12612,68,09485,0620,094850620,ROOSEVELT WAY NE BETWEEN NE 62ND ST AND NE 63RD ST,ROOSEVELT WAY NE,ROOSEVELT WAY NE,NE 62ND ST,NE 63RD ST,1, , ,6200,30,N,Y,S,T,300.0,0,,ROOSEVELT WAY NE AND NE 62ND ST,N,25716,ROOSEVELT WAY NE AND NE 63RD ST,S,25710,1274824.55992621,249286.84037133, , , ,Mixed, ,0,0,2, ,2,299.856222586956
355,12608,68,09485,0590,094850590,ROOSEVELT WAY NE BETWEEN NE 59TH ST AND NE RAVENNA EB BV,ROOSEVELT WAY NE,ROOSEVELT WAY NE,NE 59TH ST,NE RAVENNA EB BV,1, , ,5900,30,N,Y,S,T,196.0,0,,ROOSEVELT WAY NE AND NE 59TH ST,N,25729,ROOSEVELT WAY NE AND NE RAVENNA EB BV,S,25730,1274810.4584222,248557.75825858, , , ,Mixed, ,0,0,2, ,2,195.691245367354
356,12609,68,09485,0599,094850599,ROOSEVELT WAY NE BETWEEN NE RAVENNA EB BV AND NE RAVENNA WB BV,ROOSEVELT WAY NE,ROOSEVELT WAY NE,NE RAVENNA EB BV,NE RAVENNA WB BV,1, , ,5900,30,N,Y,S,T,93.0,0,,ROOSEVELT WAY NE AND NE RAVENNA EB BV,N,25730,ROOSEVELT WAY NE AND NE RAVENNA WB BV,S,25756,1274813.25855021,248701.91736272, , , ,Mixed, ,0,0,2, ,2,92.6814562128502
357,12601,68,09485,0500,094850500,ROOSEVELT WAY NE BETWEEN NE 50TH ST AND NE 52ND ST,ROOSEVELT WAY NE,ROOSEVELT WAY NE,NE 50TH ST,NE 52ND ST,1, , ,5000,30,N,Y,S,T,547.0,0,,ROOSEVELT WAY NE AND NE 50TH ST,N,25789,ROOSEVELT WAY NE AND NE 52ND ST,S,25780,1274759.93419816,246347.92350431, , , ,Mixed, ,0,0,2, ,2,546.831274586031
358,1412,68,00230,0520,002300520,11TH AVE NE BETWEEN NE 52ND ST AND NE 55TH ST,11TH AVE NE,11TH AVE NE,NE 52ND ST,NE 55TH ST,1, , ,5200,30,N,Y,N,F,777.0,0,,11TH AVE NE AND NE 52ND ST,N,25781,11TH AVE NE AND NE 55TH ST,S,25763,1275042.45778245,247005.93336099, , , ,Regional, ,0,0,2, ,2,776.73585967676
359,12618,68,09485,0680,094850680,ROOSEVELT WAY NE BETWEEN NE 68TH ST AND NE 69TH ST,ROOSEVELT WAY NE,ROOSEVELT WAY NE,NE 68TH ST,NE 69TH ST,1, , ,6800,30,N,Y,S,T,266.0,0,,ROOSEVELT WAY NE AND NE 68TH ST,N,24483,ROOSEVELT WAY NE AND NE 69TH ST,S,24475,1274848.51563825,250975.94386105, , , ,Mixed, ,0,0,3, ,2,265.879494868342
360,1409,68,00230,0450,002300450,11TH AVE NE BETWEEN NE 45TH ST AND NE 47TH ST,11TH AVE NE,11TH AVE NE,NE 45TH ST,NE 47TH ST,1, , ,4500,30,N,Y,N,F,668.0,0,,11TH AVE NE AND NE 45TH ST,N,27065,11TH AVE NE AND NE 47TH ST,S,25801,1274950.17189434,245075.37547101, , , ,Mixed, ,0,0,2, ,2,668.200188742344
361,1577,68,00330,0620,003300620,12TH AVE NE BETWEEN NE 62ND ST AND NE 63RD ST,12TH AVE NE,12TH AVE NE,NE 62ND ST,NE 63RD ST,1, , ,6200,30,N,Y,N,F,300.0,0,,12TH AVE NE AND NE 62ND ST,N,25715,12TH AVE NE AND NE 63RD ST,S,25711,1275244.67576665,249278.66846731, , , ,Regional, ,0,0,2, ,2,300.094391136303
362,1589,68,00330,0730,003300730,12TH AVE NE BETWEEN NE 73RD ST AND NE 75TH ST,12TH AVE NE,12TH AVE NE,NE 73RD ST,NE 75TH ST,1, , ,7300,30,N,Y,N,F,568.0,0,,12TH AVE NE AND NE 73RD ST,N,24449,12TH AVE NE AND NE 75TH ST,S,24429,1275385.3627428,252400.21509451, , , ,Regional, ,0,0,3, ,2,567.577182176151
363,10186,68,06515,0403,065150403,EASTLAKE AVE NE BETWEEN ROOSEVELT WAY NE AND NE 41ST ST,EASTLAKE AVE NE,EASTLAKE AVE NE,ROOSEVELT WAY NE,NE 41ST ST,1, , ,4000,30,NE,Y,NE,F,357.0,0,,EASTLAKE AVE NE AND ROOSEVELT WAY NE,NE,27111,EASTLAKE AVE NE AND NE 41ST ST,SW,27101,1274653.06533404,242986.42609288, , , ,Regional, ,0,0,2, ,2,357.074784454818
364,1590,68,00330,0750,003300750,12TH AVE NE BETWEEN NE 75TH ST AND NE 77TH ST,12TH AVE NE,12TH AVE NE,NE 75TH ST,NE 77TH ST,1, , ,7500,30,N,Y,N,F,662.0,0,,12TH AVE NE AND NE 75TH ST,N,24429,12TH AVE NE AND NE 77TH ST,S,24413,1275406.46987881,253012.54655114, , , ,Regional, ,0,0,0, ,2,661.51562434681
365,11141,68,08015,0741,080150741,LAKE CITY WAY NE BETWEEN ROOSEVELT TURN RD NE AND NE 75TH ST,LAKE CITY WAY NE,LAKE CITY WAY NE,ROOSEVELT TURN RD NE,NE 75TH ST,1, , ,7400,30,NE,Y,SW,T,180.0,0,,LAKE CITY WAY NE AND ROOSEVELT TURN RD NE,NE,24512,LAKE CITY WAY NE AND NE 75TH ST,SW,24509,1274944.13227834,252620.15954274, , , ,Mixed, ,0,0,0, ,2,180.370369441315
366,11140,68,08015,0740,080150740,LAKE CITY WAY NE BETWEEN ROOSEVELT WAY NE AND ROOSEVELT TURN RD NE,LAKE CITY WAY NE,LAKE CITY WAY NE,ROOSEVELT WAY NE,ROOSEVELT TURN RD NE,1, , ,7400,30,N,Y,SW,T,164.0,0,,LAKE CITY WAY NE AND ROOSEVELT WAY NE,N,24445,LAKE CITY WAY NE AND ROOSEVELT TURN RD NE,S,24512,1274872.66840626,252463.48363859, , , ,Mixed, ,0,0,0, ,2,164.406646218386
367,12730,68,09555,0900,095550900,SAND POINT WAY NE BETWEEN NE 90TH PL AND MATTHEWS S AVE NE,SAND POINT WAY NE,SAND POINT WAY NE,NE 90TH PL,MATTHEWS S AVE NE,2, , ,9000,30,NW,N, , ,416.0,0,,SAND POINT WAY NE AND NE 90TH PL,NW,37828,MATTHEWS AVE NE AND SAND POINT S WAY NE,SE,37824,1285701.80480136,256376.08306658, , , ,Commercial, ,0,0,2, ,2,415.689067255289
368,12712,68,09555,0546,095550546,SAND POINT WAY NE BETWEEN 50TH AVE NE AND NE 55TH ST,SAND POINT WAY NE,SAND POINT WAY NE,50TH AVE NE,NE 55TH ST,1, , ,5400,40,E,N, , ,195.0,0,,50TH AVE NE AND SAND POINT WAY NE,E,26144,SAND POINT WAY NE AND NE 55TH ST,W,26143,1285532.96998519,247128.55966511, , , ,Mixed, ,0,0,3, ,2,195.237032248805
369,16504,68,12975,0350,129750350,NE 125TH ST BETWEEN 35TH AVE NE AND 36TH AVE NE,NE 125TH ST,NE 125TH ST,35TH AVE NE,36TH AVE NE,2, , ,3500,30,E,N, , ,356.0,0,,35TH AVE NE AND NE 125TH ST,E,36192,36TH AVE NE AND NE 125TH ST,W,36193,1281863.90937343,265752.80397219, , , ,Commercial, ,0,0,2, ,2,356.079296419795
370,12744,68,09555,1150,095551150,SAND POINT WAY NE BETWEEN NE 115TH ST AND NE 120TH ST,SAND POINT WAY NE,SAND POINT WAY NE,NE 115TH ST,NE 120TH ST,2, , ,11500,30,N,N, , ,1367.0,0,,SAND POINT WAY NE AND NE 115TH ST,N,36820,SAND POINT WAY NE AND NE 120TH ST,S,36806,1283694.3893753,263881.32973027, , , ,Commercial, ,0,0,2, ,2,1367.18858524427
371,12740,68,09555,1060,095551060,SAND POINT WAY NE BETWEEN NE 106TH ST AND NE 107TH ST,SAND POINT WAY NE,SAND POINT WAY NE,NE 106TH ST,NE 107TH ST,2, , ,10600,30,N,N, , ,750.0,0,,SAND POINT WAY NE AND NE 106TH ST,N,36792,SAND POINT WAY NE AND NE 107TH ST,S,36788,1284541.04345617,260887.04646321, , , ,Commercial, ,0,0,2, ,2,749.666181474865
372,336351,68,08015,1205,080151205,LAKE CITY WAY NE BETWEEN 30TH S AVE NE AND NE 123RD ST,LAKE CITY WAY NE,LAKE CITY WAY NE,30TH S AVE NE,NE 123RD ST,1, , ,12000,30,NE,N, , ,208.0,0,,30TH AVE NE AND LAKE CITY S WAY NE,NE,336349,LAKE CITY WAY NE AND NE 123RD ST,SW,36612,1280265.39961179,265015.16627543, , , ,Regional, ,0,0,2, ,1,208.155097204982
373,11149,68,08015,0830,080150830,LAKE CITY WAY NE BETWEEN 17TH AVE NE AND 18TH AVE NE,LAKE CITY WAY NE,LAKE CITY WAY NE,17TH AVE NE,18TH AVE NE,1, , ,8300,35,NE,N, , ,375.0,0,,17TH AVE NE AND LAKE CITY WAY NE,NE,24712,18TH AVE NE AND LAKE CITY WAY NE,SW,24711,1276865.40268031,254947.10552912, , , ,Regional, ,0,0,2, ,1,375.490842519644
374,11158,68,08015,0922,080150922,LAKE CITY WAY NE BETWEEN RAVENNA WR AVE NE AND NE 95TH ST,LAKE CITY WAY NE,LAKE CITY WAY NE,RAVENNA WR AVE NE,NE 95TH ST,1, , ,9200,35,N,N, , ,495.0,0,,LAKE CITY WAY NE AND RAVENNA WR AVE NE,N,37781,LAKE CITY WAY NE AND NE 95TH ST,S,37733,1277862.14712933,257678.67097192, , , ,Mixed, ,0,0,2, ,1,495.362444547436
375,11159,68,08015,0950,080150950,LAKE CITY WAY NE BETWEEN NE 95TH ST AND NE 98TH ST,LAKE CITY WAY NE,LAKE CITY WAY NE,NE 95TH ST,NE 98TH ST,1, , ,9500,35,NE,N, , ,1121.0,0,,LAKE CITY WAY NE AND NE 95TH ST,NE,37733,LAKE CITY WAY NE AND NE 98TH ST,SW,37713,1278181.22156166,258414.87423667, , , ,Regional, ,0,0,2, ,1,1120.63296415492
376,11177,68,08015,1154,080151154,LAKE CITY WAY NE BETWEEN 27TH AVE NE AND NE 117TH ST,LAKE CITY WAY NE,LAKE CITY WAY NE,27TH AVE NE,NE 117TH ST,1, , ,11500,35,NE,N, , ,480.0,0,,27TH AVE NE AND LAKE CITY WAY NE,NE,36638,LAKE CITY WAY NE AND NE 117TH ST,SW,36635,1279725.31673123,263733.48806612, , , ,Regional, ,0,0,2, ,1,480.11333527482
377,11187,68,08015,1350,080151350,LAKE CITY WAY NE BETWEEN NE 135TH ST AND NE 137TH ST,LAKE CITY WAY NE,LAKE CITY WAY NE,NE 135TH ST,NE 137TH ST,1, , ,13500,35,N,N, , ,662.0,0,,LAKE CITY WAY NE AND NE 135TH ST,N,36031,NE 137TH ST AND LAKE CITY WAY NE,S,36017,1281387.28543694,268729.55834323, , , ,Regional, ,0,0,2, ,1,661.515273373068
378,11190,68,08015,1430,080151430,LAKE CITY WAY NE BETWEEN NE 143RD ST AND NE 145TH ST,LAKE CITY WAY NE,LAKE CITY WAY NE,NE 143RD ST,NE 145TH ST,1, , ,14300,35,N,N, , ,660.0,0,,LAKE CITY WAY NE AND NE 143RD ST,N,36001,LAKE CITY WAY NE AND NE 145TH ST,S,35987,1281381.51289293,270723.83520928, , , ,Regional, ,0,0,2, ,1,660.353835404418
379,11151,68,08015,0850,080150850,LAKE CITY WAY NE BETWEEN NE 85TH ST AND 20TH AVE NE,LAKE CITY WAY NE,LAKE CITY WAY NE,NE 85TH ST,20TH AVE NE,1, , ,8500,35,NE,N, , ,468.0,0,,LAKE CITY WAY NE AND NE 85TH ST,NE,37776,20TH AVE NE AND LAKE CITY WAY NE,SW,37769,1277370.84767282,255450.52178563, , , ,Regional, ,0,0,2, ,1,468.310102372576
380,11161,68,08015,1000,080151000,LAKE CITY WAY NE BETWEEN NE 100TH ST AND FISCHER PL NE,LAKE CITY WAY NE,LAKE CITY WAY NE,NE 100TH ST,FISCHER PL NE,1, , ,10000,35,NE,N, , ,365.0,0,,LAKE CITY WAY NE AND NE 100TH ST,NE,37706,FISCHER PL NE AND LAKE CITY WAY NE,SW,37617,1278754.92005824,259377.06361365, , , ,Regional, ,0,0,2, ,1,365.203898841617
381,11164,68,08015,1070,080151070,LAKE CITY WAY NE BETWEEN NE 107TH ST AND NE 110TH ST,LAKE CITY WAY NE,LAKE CITY WAY NE,NE 107TH ST,NE 110TH ST,1, , ,10700,35,N,N, , ,633.0,0,,LAKE CITY WAY NE AND NE 107TH ST,N,36671,LAKE CITY WAY NE AND NE 110TH ST,S,36665,1278956.07493845,261546.78931189, , , ,Regional, ,0,0,2, ,1,633.439788921524
382,11184,68,08015,1270,080151270,LAKE CITY WAY NE BETWEEN NE 127TH ST AND NE 130TH ST,LAKE CITY WAY NE,LAKE CITY WAY NE,NE 127TH ST,NE 130TH ST,1, , ,12700,30,N,N, , ,701.0,0,,LAKE CITY WAY NE AND NE 127TH ST,N,36067,LAKE CITY WAY NE AND NE 130TH ST,S,36052,1281001.51154855,266768.50125323, , , ,Regional, ,0,0,2, ,1,701.334950532007
383,11179,68,08015,1200,080151200,LAKE CITY WAY NE BETWEEN NE 120TH ST AND 30TH S AVE NE,LAKE CITY WAY NE,LAKE CITY WAY NE,NE 120TH ST,30TH S AVE NE,1, , ,12000,30,NE,N, , ,496.0,0,,LAKE CITY WAY NE AND NE 120TH ST,NE,36622,30TH AVE NE AND LAKE CITY S WAY NE,SW,336349,1280128.63289165,264690.6199711, , , ,Regional, ,0,0,2, ,1,496.218067122799
384,11182,68,08015,1236,080151236,LAKE CITY WAY NE BETWEEN 31ST AVE NE AND NE 125TH ST,LAKE CITY WAY NE,LAKE CITY WAY NE,31ST AVE NE,NE 125TH ST,1, , ,12300,30,NE,N, , ,154.0,0,,31ST AVE NE AND LAKE CITY WAY NE,NE,36644,LAKE CITY WAY NE AND NE 125TH ST,SW,36601,1280561.2312281,265717.24115615, , , ,Main, ,0,0,2, ,1,154.392640311214
385,11166,68,08015,1130,080151130,LAKE CITY WAY NE BETWEEN NE NORTHGATE WAY AND NE 115TH ST,LAKE CITY WAY NE,LAKE CITY WAY NE,NE NORTHGATE WAY,NE 115TH ST,1, , ,11300,35,NE,N, , ,638.0,0,,LAKE CITY WAY NE AND NE NORTHGATE WAY,NE,36659,LAKE CITY WAY NE AND NE 115TH ST,SW,36655,1279364.00562687,262876.05254524, , , ,Regional, ,0,0,2, ,1,637.939380114678
386,11186,68,08015,1330,080151330,LAKE CITY WAY NE BETWEEN NE 133RD ST AND NE 135TH ST,LAKE CITY WAY NE,LAKE CITY WAY NE,NE 133RD ST,NE 135TH ST,1, , ,13300,35,N,N, , ,651.0,0,,LAKE CITY WAY NE AND NE 133RD ST,N,36043,LAKE CITY WAY NE AND NE 135TH ST,S,36031,1281337.26905289,268075.54989457, , , ,Regional, ,0,0,2, ,1,650.932835230464
387,11160,68,08015,0980,080150980,LAKE CITY WAY NE BETWEEN NE 98TH ST AND NE 100TH ST,LAKE CITY WAY NE,LAKE CITY WAY NE,NE 98TH ST,NE 100TH ST,1, , ,9800,35,NE,N, , ,379.0,0,,LAKE CITY WAY NE AND NE 98TH ST,NE,37713,LAKE CITY WAY NE AND NE 100TH ST,SW,37706,1278566.43436205,259056.65951733, , , ,Regional, ,0,0,2, ,1,378.694962578252
388,11146,68,08015,0805,080150805,LAKE CITY WAY NE BETWEEN 15TH AVE NE AND 16TH AVE NE,LAKE CITY WAY NE,LAKE CITY WAY NE,15TH AVE NE,16TH AVE NE,1, , ,8000,35,NE,N, , ,376.0,0,,15TH AVE NE AND LAKE CITY WAY NE,NE,24387,16TH AVE NE AND LAKE CITY WAY NE,SW,24754,1276332.85951176,254416.93605658, , , ,Mixed, ,0,0,2, ,1,375.858398138874
389,11178,68,08015,1170,080151170,LAKE CITY WAY NE BETWEEN NE 117TH ST AND NE 120TH ST,LAKE CITY WAY NE,LAKE CITY WAY NE,NE 117TH ST,NE 120TH ST,1, , ,11700,30,NE,N, , ,550.0,0,,LAKE CITY WAY NE AND NE 117TH ST,NE,36635,LAKE CITY WAY NE AND NE 120TH ST,SW,36622,1279925.41055544,264208.34413061, , , ,Regional, ,0,0,2, ,1,550.470618145879
390,11145,68,08015,0800,080150800,LAKE CITY WAY NE BETWEEN NE 80TH ST AND 15TH AVE NE,LAKE CITY WAY NE,LAKE CITY WAY NE,NE 80TH ST,15TH AVE NE,1, , ,8000,35,NE,N, , ,420.0,0,,LAKE CITY WAY NE AND NE 80TH ST,NE,24398,15TH AVE NE AND LAKE CITY WAY NE,SW,24387,1276050.90904747,254136.27557629, , , ,Regional, ,0,0,2, ,1,419.795680170735
391,11162,68,08015,1020,080151020,LAKE CITY WAY NE BETWEEN FISCHER PL NE AND NE 104TH WAY,LAKE CITY WAY NE,LAKE CITY WAY NE,FISCHER PL NE,NE 104TH WAY,1, , ,10200,35,N,N, , ,784.0,0,,FISCHER PL NE AND LAKE CITY WAY NE,N,37617,LAKE CITY WAY NE AND NE 104TH WAY,S,615985,1278908.9863624,259929.42182222, , , ,Regional, ,0,0,2, ,1,784.073090829391
