OBJECTID,UNIT_ID,UNIT_NAME,Polygon_ID,Polygon_ID_Alt_C,Mtrx_Conservation_Score,Mtrx_Consump_Use_Score,Mtrx_Signal,RAC_Hydro_Final_Rating,RAC_Veg_Category,RAC_Calc_Adjac,RAC_Model_Recommend,RAC_Edge_Desig,No_Action_Recommend,Alternative_B_Recommend,Mtrx_Recommnd,Poly_DESG,Polygon_ID_Alt_A,Polygon_ID_Alt_B,Polygon_ID_Alt_D,Contig_WSA,VRM_CLASS,OWNER_TYPE,FEDERAL_STATUS,JURIS_NAME,JURIS_SOURCE,SMA_ID,HOLD_ID,BLM_ORG_CD,DIST_NAME,RA_NAME,AUTH_NAME,ISLAND_NAME,Property_Status_1,GIS_Acres_VRM_Class,AltA_VRM,AltB_VRM,AltC_VRM,AltD_VRM,P_ALT_VRM,SHAPE_Length,SHAPE_Area
6662,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,39.8203266756852,IV,IV,IV,IV,IV,1605.73374945184,161147.144749563
6663,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,210.709547731911,IV,IV,IV,IV,IV,5081.98684838403,852711.286499885
6664,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,621.646537173861,IV,IV,IV,IV,IV,6240.64309775764,2515714.28142476
6665,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,214.187293992309,IV,IV,IV,IV,IV,4272.5393773061,866785.226289252
6666,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,647.683796477819,IV,IV,IV,IV,IV,6476.07303905483,2621083.33146068
6667,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,649.67192688066,IV,IV,IV,IV,IV,6387.56099584997,2629129.00974998
6668,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,1361.76129016028,IV,IV,IV,IV,IV,9462.7059636492,5510852.42286083
6669,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,561.932838126777,IV,IV,IV,IV,IV,6447.31617520255,2274061.51493081
6670,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,648.45351729613,IV,IV,IV,IV,IV,6442.70813618349,2624198.28109771
6671,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,645.836359653277,IV,IV,IV,IV,IV,6476.63604554833,2613607.0198823
6672,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,637.633928921484,IV,IV,IV,IV,IV,6425.48188032174,2580412.96039605
6673,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,653.120463810687,IV,IV,IV,IV,IV,6502.79502376256,2643084.74357314
6674,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,638.854569078831,IV,IV,IV,IV,IV,6431.86160828357,2585352.71585625
6675,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,571.514614380785,IV,IV,IV,IV,IV,8130.95959282128,2312837.58770234
6676,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,649.784699224363,IV,IV,IV,IV,IV,6486.53337036511,2629585.38323337
6677,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,824.832550889331,IV,IV,IV,IV,IV,7367.80125865094,3337978.90597106
6678,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,103.895269273444,IV,IV,IV,IV,IV,3821.94189183324,420449.237716214
6679,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,367.639129267168,IV,IV,IV,IV,IV,5241.6914335823,1487782.77140038
6680,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,322.684799565463,IV,IV,IV,IV,IV,4846.22956285134,1305859.05353235
6681,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,1056.02328956066,IV,IV,IV,IV,IV,8519.47461352506,4273574.63156252
6682,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,761.592479989336,IV,IV,IV,IV,IV,9245.13112003871,3082055.41889639
6683,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,357.919377308255,IV,IV,IV,IV,IV,5616.32359301895,1448448.33076132
6684,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,620.091970573402,IV,IV,IV,IV,IV,6194.93997114953,2509423.17359364
6685,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,513.288669204002,IV,IV,IV,IV,IV,6280.01237795687,2077205.54751336
6686,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,159.208799093731,IV,IV,IV,IV,IV,4376.12448819127,644295.151115057
6687,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,385.09881623024,IV,IV,IV,IV,IV,5994.83903967653,1558439.61771998
6688,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,562.872531024819,IV,IV,IV,IV,IV,6019.51615455037,2277864.31717033
6689,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,327.716784207319,IV,IV,IV,IV,IV,4803.76253181342,1326222.77289766
6690,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,79.9625601195226,IV,IV,IV,IV,IV,2413.97285373818,323596.999971236
6691,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,647.769830804922,IV,IV,IV,IV,IV,6476.77660445185,2621431.50002986
6692,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,0.753768035609156,IV,IV,IV,IV,IV,438.416812355139,3050.39101590474
6693,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,113.885686888339,IV,IV,IV,IV,IV,3086.50009228252,460879.023403509
6694,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,393.246460297041,IV,IV,IV,IV,IV,6362.37197223993,1591411.96343915
6695,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,44.449781081995,IV,IV,IV,IV,IV,2016.27289049487,179881.882045946
6696,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,139.668183039084,IV,IV,IV,IV,IV,3813.47474226987,565217.083536655
6697,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,650.353424069238,IV,IV,IV,IV,IV,6487.99322671144,2631886.93102443
6698,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,652.048997932617,IV,IV,IV,IV,IV,6498.91642634938,2638748.67500309
6699,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,660.823392653167,IV,IV,IV,IV,IV,6541.79403645091,2674257.39063063
6700,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,76.8061487945003,IV,IV,IV,IV,IV,3107.95089804279,310823.456528833
6701,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,637.112073621015,IV,IV,IV,IV,IV,6422.87820988452,2578301.08692179
6702,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,385.812480501982,IV,IV,IV,IV,IV,5113.4150222648,1561327.71456152
6703,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,438.610593431275,IV,IV,IV,IV,IV,5622.30664332068,1774994.09696003
6704,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,560.959967947527,IV,IV,IV,IV,IV,6442.91468984529,2270124.44899775
6705,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,644.775680105422,IV,IV,IV,IV,IV,6462.1685894745,2609314.60204196
6706,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,0.513336415057332,IV,IV,IV,IV,IV,246.616352895027,2077.39876812656
6707,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,651.132537500777,IV,IV,IV,IV,IV,6422.83946980957,2635039.89121863
6708,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,641.61208175592,IV,IV,IV,IV,IV,6445.54516472112,2596511.97374338
6709,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,0.792748819853065,IV,IV,IV,IV,IV,352.469002569258,3208.1406529724
6710,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,600.2029094465,IV,IV,IV,IV,IV,7243.60551152005,2428934.99883673
6711,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,640.914207851157,IV,IV,IV,IV,IV,6443.4221842334,2593687.77824986
6712,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,658.309562820527,IV,IV,IV,IV,IV,6529.67948272925,2664084.28222759
6713,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,441.93664201986,IV,IV,IV,IV,IV,5645.87593292428,1788454.13805196
6714,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,643.872816725951,IV,IV,IV,IV,IV,6457.74770615745,2605660.84357619
6715,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,666.815463727,IV,IV,IV,IV,IV,6573.3126216706,2698506.44193924
6716,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,76.2418721937365,IV,IV,IV,IV,IV,3666.64430130304,308539.910143023
6717,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,561.001358035379,IV,IV,IV,IV,IV,6445.06639651765,2270291.9487406
6718,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,2.44602303141279,IV,IV,IV,IV,IV,509.853531994476,9898.70401401117
6719,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,652.82297693295,IV,IV,IV,IV,IV,6501.83262735448,2641880.8568914
6720,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,644.826390305627,IV,IV,IV,IV,IV,6461.40393205542,2609519.81894134
6721,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,366.961855448361,IV,IV,IV,IV,IV,5080.52872141792,1485041.94149702
6722,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,641.369966047528,IV,IV,IV,IV,IV,6442.36146644185,2595532.16623391
6723,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,642.8913945628,IV,IV,IV,IV,IV,6318.94241392206,2601689.16899216
6724,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,634.811945019563,IV,IV,IV,IV,IV,6412.1174721639,2568992.79671866
6725,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,648.069176163429,IV,IV,IV,IV,IV,6476.56170166096,2622642.90771645
6726,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,297.921322417269,IV,IV,IV,IV,IV,4939.87992798662,1205644.81699422
6727,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,633.077475960434,IV,IV,IV,IV,IV,6621.87596700149,2561973.64946726
6728,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,649.707766963223,IV,IV,IV,IV,IV,6486.24346838927,2629274.04941828
6729,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,7.16590809679783,IV,IV,IV,IV,IV,1314.74272929384,28999.4012038544
6730,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,473.188503515799,IV,IV,IV,IV,IV,5828.89700014543,1914925.93445876
6731,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,332.152536018706,IV,IV,IV,IV,IV,4907.57686507605,1344173.62360375
6732,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,639.006094071425,IV,IV,IV,IV,IV,6431.6335056663,2585965.91574569
6733,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,433.926895084712,IV,IV,IV,IV,IV,5495.24354074803,1756039.84222566
6734,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,557.483353189622,IV,IV,IV,IV,IV,7227.01910632195,2256055.08823651
6735,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,643.973727631131,IV,IV,IV,IV,IV,6456.20873280675,2606069.21552091
6736,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,646.446018722225,IV,IV,IV,IV,IV,6468.8576261444,2616074.22260095
6737,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,1046.28095883132,IV,IV,IV,IV,IV,8486.58156710423,4234148.81788136
6738,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,143.81871080808,IV,IV,IV,IV,IV,3996.0868756442,582013.673494967
6739,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,640.539104168558,IV,IV,IV,IV,IV,6440.06660704134,2592169.78750287
6740,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,645.104122993196,IV,IV,IV,IV,IV,6463.02284769985,2610643.76325174
6741,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,640.714435037122,IV,IV,IV,IV,IV,6440.76718724519,2592879.32635436
6742,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,56.9499353286788,IV,IV,IV,IV,IV,2796.51201156773,230468.211540128
6743,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,650.391949303087,IV,IV,IV,IV,IV,6490.04380886306,2632042.83711445
6744,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,324.56385009889,IV,IV,IV,IV,IV,4702.60170531733,1313463.30125157
6745,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,186.3329568675,IV,IV,IV,IV,IV,4341.80946645042,754062.723204023
6746,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,425.277324037603,IV,IV,IV,IV,IV,5696.75556525162,1721036.27008266
6747,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,483.42761241676,IV,IV,IV,IV,IV,6338.80868086515,1956362.13807426
6748,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,787.968181659308,IV,IV,IV,IV,IV,7385.05824242311,3188794.09659482
6749,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,7.57537898215748,IV,IV,IV,IV,IV,742.252716101333,30656.471086058
6750,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,649.082475782699,IV,IV,IV,IV,IV,6482.94032519449,2626743.58578851
6751,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,577.137177009378,IV,IV,IV,IV,IV,6899.40354069662,2335591.29138621
6752,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,46.9382034751888,IV,IV,IV,IV,IV,2942.59036487433,189952.170189486
6753,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,642.38758763757,IV,IV,IV,IV,IV,6447.2509391831,2599650.33470114
6754,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,639.623371722553,IV,IV,IV,IV,IV,6435.61618287591,2588463.94977256
6755,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,292.652676189781,IV,IV,IV,IV,IV,4737.06312065585,1184323.36217116
6756,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,41.0994903935386,IV,IV,IV,IV,IV,1631.4915983161,166323.736656459
6757,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,676.01440350525,IV,IV,IV,IV,IV,6620.04286406008,2735733.23046013
6758,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,657.735814721773,IV,IV,IV,IV,IV,6526.43382561355,2661762.4060493
6759,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,646.300713249179,IV,IV,IV,IV,IV,6474.33207622635,2615486.19221414
6760,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,585.42169747611,IV,IV,IV,IV,IV,6144.04827298641,2369117.5562435
6761,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,549.103364056311,IV,IV,IV,IV,IV,6046.43199399187,2222142.47539273
6762,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,643.405247130109,IV,IV,IV,IV,IV,6411.70783255458,2603768.65655434
6763,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,239.510875389236,IV,IV,IV,IV,IV,4730.95147942444,969266.124303576
6764,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,409.398801371034,IV,IV,IV,IV,IV,6450.86225811483,1656778.16865123
6765,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,580.726618663421,IV,IV,IV,IV,IV,6215.70702474888,2350117.2463967
6766,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,178.436530768244,IV,IV,IV,IV,IV,3891.41246920119,722107.020530243
6767,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,660.321629847774,IV,IV,IV,IV,IV,6540.14538282747,2672226.8285991
6768,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,40.4556908885057,IV,IV,IV,IV,IV,1928.70503290255,163718.372494779
6769,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,827.247004427347,IV,IV,IV,IV,IV,7378.09890203311,3347749.85277797
6770,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,409.081054520294,IV,IV,IV,IV,IV,4992.80467560093,1655492.29276762
6771,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,482.623639701699,IV,IV,IV,IV,IV,5648.87284467751,1953108.57592889
6772,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,629.926951108353,IV,IV,IV,IV,IV,6268.66257909653,2549223.92773569
6773,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,647.798281197394,IV,IV,IV,IV,IV,6476.64928165254,2621546.63468335
6774,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,619.423137584141,IV,IV,IV,IV,IV,6515.00081494305,2506716.50251554
6775,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,411.743081396089,IV,IV,IV,IV,IV,7905.34612485358,1666265.13332653
6776,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,647.538430654441,IV,IV,IV,IV,IV,6475.23274711871,2620495.05684474
6777,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,787.452986617,IV,IV,IV,IV,IV,7378.68851647447,3186709.17622907
6778,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,438.233091396147,IV,IV,IV,IV,IV,5519.97163671619,1773466.4004247
6779,,,,,0.0,0.0,,,,,,,,,,,,,,,IV,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,200.19813077046,IV,IV,IV,IV,IV,4831.79252421756,810173.091260909
