OBJECTID,ID,acres,perim_mi,edge_area,PSI,Perimeter,vastmisqmi,sq_mi,value,biophysreg,pct_coreA,pct_coreB,cons_pct,corebcstmn,ELU_Group,ELU_Gr_Sum,ELU_avg_ac,ac_ELUavg,ELUpctlnds,ELUpctINV,ac_ELUwght,vt_eos_den,core500cst,strm_wght,pct_coreB2,theo2020,bldg_dens,avg_parcsz,pop_chg,threatF1,threatF2,threatF3,threatF4,threat,combo,ThreatF5,ELU_rank,F1rcl,F1raw,F2rcl,F2raw,F3rcl,F3raw,F4rcl,F4raw,F5rcl,F5raw,F6rcl,F6raw,F7rcl,F7raw,F8rcl,F8raw,F9rcl,F9raw,F10rcl,F10raw,F11rcl,F11raw,Fwght,Fwghtrcl,threatrcl,PRIORITY,COMPONENT,COMPDESC,GDB_ANRANR_ADMINACT174_Vermont_Conservation_Design_Layers_Highest_Priority_Interior_Forest_BlocksArea,ShapeSTArea,ShapeSTLength
38,683,6031.89573025,45.50237047,4.82792117,4.18217572,73229.1133638,0.0,9.42483708,683,Northeastern Highlands,72.65358183,54.97105302,15.4158749,2.0134201,4,upper elev acidic steep hills/mtns,9684,0.6228751,0.4924,0.5076,0.3161714,11.29409981,0.75732702,3.83478247,54.57732606,5.56382,7.53120995,21.38509941,-0.42710099,7,6,10,6,7.0,0.88571429,6,23,10,2.0134201,4,0.3161714,5,14,7,54.57732606,7,6031.89573025,6,0.26577648,10,13.72025375,5,2.5176032,1,0.54255903,6,3.83478247,0,0,6.2,8,7,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,24410313.6164,24410313.4770277,73229.1171826304
39,689,2958.83430069,22.01164903,4.76115049,2.88860012,35424.386138,0.4714917,4.62317859,689,Champlain Hills,76.75687346,64.29946076,0.0,26.72940063,5,mid elev acidic steep hills/mtns,1859,1.59163389,0.0886,0.9114,1.45061512,0.60687798,0.29328701,2.33581718,64.29946076,4.60454011,5.54070997,31.52899933,23.93449974,9,8,2,1,5.4,1.0462963,7,19,8,26.72940063,6,1.45061512,0,0,8,64.29946076,6,2958.83430069,7,0.188312,7,0.43208908,5,2.50262747,5,1.74351001,4,2.33581718,0,0,5.65,7,5,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,11974025.4886,11974025.4922347,35424.3891542625
40,695,31776.196265,115.466273,2.32559033,4.62380341,185825.325308,0.35650377,49.65030666,695,Northern Green Mountains,86.78405329,78.61380227,17.94573571,0.74096102,4,upper elev acidic steep hills/mtns,9684,3.28132351,0.4924,0.5076,1.66559982,0.45353201,0.23513301,3.63002793,78.54614219,5.30282998,2.95180988,54.51269913,7.63206005,10,10,6,6,7.6,0.875,6,16,10,0.74096102,6,1.66559982,2,2,9,78.54614219,9,31776.196265,6,0.30121868,6,0.29707583,4,1.22520328,6,2.01380992,5,3.63002793,0,0,6.65,8,8,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,128594218.311,128594218.117514,185825.334147772
41,710,4076.18523666,17.71542165,2.78149034,1.98070458,28510.2645566,0.0,6.36903943,710,Northern Vermont Piedmont,82.01349806,69.27388811,30.27868039,0.842915,4,upper elev acidic steep hills/mtns,9684,0.42092145,0.4924,0.5076,0.21365973,82.49259949,0.29262599,2.90527327,69.27388811,5.9425,4.4362998,32.12590027,0.950697,10,8,9,8,7.4,0.80405405,2,27,10,0.842915,3,0.21365973,7,33,8,69.27388811,6,4076.18523666,2,0.85430465,9,2.11123379,4,1.43438771,5,1.63336003,5,2.90527327,0,0,5.95,7,8,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,16495802.387,16495802.3375929,28510.2651234567
42,711,4176.52099988,32.28546382,4.94734657,3.56611105,51958.5214023,0.0,6.52581406,711,Champlain Hills,72.99658735,57.2212734,1.11240671,3.85092998,5,mid elev acidic steep hills/mtns,1859,2.24665922,0.0886,0.9114,2.04760521,0.0,1.18929994,2.11273258,51.94830817,4.72636008,3.7316699,36.69400024,12.85879993,10,9,4,2,6.0,0.90833333,5,23,10,3.85092998,6,2.04760521,0,0,7,51.94830817,6,4176.52099988,5,0.34712911,9,1.65622057,5,2.66386306,0,0.0007983,4,2.11273258,0,0,5.45,7,6,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,16901848.439,16901848.4511881,51958.5233145164
43,717,6427.09167807,50.58771224,5.03744733,4.50435861,81413.1939935,0.46909221,10.04233075,717,Champlain Hills,73.23017215,57.91057739,6.17824235,1.80816996,5,mid elev acidic steep hills/mtns,1859,3.45729969,0.0886,0.9114,3.15098294,0.00124649,0.58566201,3.16657565,57.91057739,5.07658005,4.28530979,39.15950012,11.69120026,10,9,4,4,6.6,0.91666667,6,13,10,1.80816996,7,3.15098294,1,1,7,57.91057739,7,6427.09167807,6,0.25261068,8,0.6500483,4,1.78912027,4,1.30598998,5,3.16657565,0,0,6.05,7,7,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,26009621.2731,26009621.1064677,81413.1983831095
44,723,2254.06346169,12.78038908,3.6287572,1.92156984,20568.0836276,0.0,3.52197416,723,Champlain Hills,80.20245795,66.44810696,0.0,18.84009933,8,acidic low elevation steep hills with sed flats,675,3.33936806,0.0613,0.9387,3.13466479,0.0,0.182715,2.64715173,66.44810696,4.92456007,6.00884008,35.20589828,13.74530029,8,9,3,1,6.0,1.0,9,7,9,18.84009933,7,3.13466479,0,0,8,66.44810696,5,2254.06346169,9,0.01374229,9,2.61119977,7,5.16661585,2,0.81097102,4,2.64715173,0,0,6.0,7,6,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,9121907.68405,9121907.60485248,20568.0838544893
45,739,9593.84909029,38.26798213,2.55283446,2.78890864,61586.4706104,0.46097999,14.9903892,739,Northern Vermont Piedmont,84.20600141,73.35742343,56.67364005,1.46071005,6,calc/mod calc mid-upper elev steep hills/mtns,1433,6.69496968,0.1724,0.8276,5.54075691,65.0358963,0.63302702,2.9832114,72.24282595,6.32432401,4.19857979,37.20650101,5.13238001,10,9,7,9,7.6,0.90131579,3,3,10,1.46071005,7,5.54075691,7,50,9,72.24282595,7,9593.84909029,3,0.74384993,10,18.2015548,6,3.76410549,4,1.27020001,5,2.9832114,0,0,6.85,9,8,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,38825085.1067,38825084.9109048,61586.4728010672
46,766,1033.1305569,13.29037489,8.23307361,2.95158161,21388.8278595,0.0,1.6142665,766,Champlain Valley,58.38632842,39.12425175,0.0,129.56700134,9,coarse sediment flats,162,6.37737734,0.0187,0.9813,6.25812039,37.26639938,48.92720032,0.62443221,39.12425175,4.18348002,29.11650085,8.80990028,42.55899811,2,2,1,1,3.2,1.703125,10,7,3,129.56700134,8,6.25812039,3,4,5,39.12425175,5,1033.1305569,10,0.0,7,0.43962498,10,75.98503352,9,3.0,2,0.62443221,0,0,5.45,7,3,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,4180947.75313,4180947.70911329,21388.8292599853
47,770,1092.47985105,19.60144073,11.48297798,4.23327462,31545.5241284,0.0,1.70699977,770,Champlain Valley,45.26398354,23.14280668,0.0,193.77600098,7,calc/mod calc low elev steep hills with sed flats,579,1.88683912,0.0422,0.9578,1.80721451,47.33150101,34.76649857,4.5705923,23.14280668,4.64293003,12.08230019,8.80990028,42.55899811,5,2,1,1,3.2,1.515625,7,23,2,193.77600098,6,1.80721451,3,3,4,23.14280668,5,1092.47985105,7,0.18974812,10,9.56812154,7,7.41043415,9,3.0,6,4.5705923,0,0,4.85,6,3,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,4421126.78606,4421126.71119415,31545.5246080855
48,778,29682.7783505,126.13780703,2.71969812,5.22622579,202999.528923,0.35538079,46.37934117,778,Northern Green Mountains,84.98220989,74.86767761,13.40968003,0.92476702,4,upper elev acidic steep hills/mtns,9684,3.0651497,0.4924,0.5076,1.55586999,0.43094599,0.306595,3.45802023,74.2969022,5.26131999,2.75768995,45.35680008,5.55543995,10,10,7,6,7.6,0.91447368,5,13,10,0.92476702,6,1.55586999,5,8,9,74.2969022,9,29682.7783505,5,0.41238188,8,0.64629631,6,3.35853702,4,1.40936005,5,3.45802023,0,0,6.95,9,8,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,120122422.692,120122422.050686,202999.540281253
49,782,28236.6249825,96.66721788,2.19102033,4.10646375,155571.118232,0.43639017,44.11972654,782,Northern Green Mountains,87.55221566,79.42802341,26.10465806,0.63606101,4,upper elev acidic steep hills/mtns,9684,2.91581474,0.4924,0.5076,1.48006756,2.20763993,0.191424,4.96282768,79.31788737,5.49375999,3.34562993,47.97169876,6.73607016,10,10,6,7,7.8,0.88461538,6,14,10,0.63606101,6,1.48006756,4,6,9,79.31788737,9,28236.6249825,6,0.2622659,7,0.39037527,5,2.46671832,4,1.33537996,6,4.96282768,0,0,6.9,9,8,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,114270024.237,114270023.743647,155571.127599039
50,786,10319.99586,47.48291775,2.94467825,3.33651286,76416.5016205,1.26240732,16.12499353,786,Northern Green Mountains,82.71478415,72.60457854,5.85214505,0.92895901,5,mid elev acidic steep hills/mtns,1859,5.55139405,0.0886,0.9114,5.05954053,0.28987199,0.269963,2.70737473,72.60457854,4.73117995,5.23261976,33.39110184,13.8203001,9,8,3,4,6.0,1.04166667,6,10,10,0.92895901,7,5.05954053,0,0,9,72.60457854,8,10319.99586,6,0.28500477,7,0.46850891,4,1.5087913,3,1.09786999,4,2.70737473,0,0,6.25,8,6,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,41763708.5799,41763708.4712931,76416.504760555
51,820,1135.10495347,16.18430097,9.12510564,3.42902857,26046.1597446,0.0,1.77360149,820,Champlain Valley,51.01755553,27.36206014,0.0,46.02610016,9,coarse sediment flats,162,7.00685171,0.0187,0.9813,6.87582358,41.84109879,22.94179916,15.4617033,25.56995273,6.04032302,37.20349884,10.72749996,34.84600067,2,2,1,1,2.6,2.25,7,3,6,46.02610016,8,6.87582358,4,7,4,25.56995273,5,1135.10495347,7,0.14129442,10,60.15483396,6,3.82433359,9,3.0,9,15.4617033,0,0,5.85,7,2,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,4593625.14553,4593625.14167474,26046.1592608784
52,838,1175.33763346,9.38149785,5.10845433,1.95337682,15098.0874718,0.26066267,1.83646505,838,Northern Vermont Piedmont,72.7193766,56.63381152,28.71146898,16.68619919,1,calc/mod calc gentle hills,452,2.6003045,0.0534,0.9466,2.46144824,3.68888998,0.224555,6.26665886,56.63381152,5.58854997,3.79456997,41.30659866,8.24580002,10,10,5,8,8.0,0.68125,7,11,9,16.68619919,6,2.46144824,2,2,7,56.63381152,5,1175.33763346,7,0.16771351,2,0.03621087,7,5.0579849,0,0.0,7,6.26665886,0,0,5.45,7,8,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,4756441.67622,4756441.6665247,15098.0877893881
53,850,4769.69480689,41.79491536,5.60806234,4.3198963,67262.5307973,0.0,7.45264814,850,Champlain Hills,71.4077428,55.6170134,0.62292455,1.65530002,5,mid elev acidic steep hills/mtns,1859,2.56574283,0.0886,0.9114,2.33841801,24.31220055,0.48532701,5.87277156,55.14408797,4.57536006,17.18919945,14.23550034,34.5951004,3,3,1,2,3.0,2.23333333,6,5,10,1.65530002,6,2.33841801,6,19,7,55.14408797,6,4769.69480689,6,0.22240417,8,1.19136344,5,2.17026255,9,3.0,7,5.87277156,0,0,6.7,8,3,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,19302347.2714,19302347.1501514,67262.5341481995
54,855,4714.95051016,38.67737579,5.25000643,4.02081043,62245.3271597,0.50474113,7.36711017,855,Northern Vermont Piedmont,69.81198621,50.05255506,6.78343069,6.5,6,calc/mod calc mid-upper elev steep hills/mtns,1433,3.2902801,0.1724,0.8276,2.72303581,7.48994017,2.30980992,2.57543318,43.82746108,4.78597999,5.0908699,34.37889862,7.91952991,9,8,6,4,6.0,0.89166667,3,24,10,6.5,7,2.72303581,2,2,6,43.82746108,6,4714.95051016,3,0.60381885,9,1.67383729,4,1.87100373,0,0.0,4,2.57543318,0,0,5.35,7,6,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,19080804.0765,19080803.9644554,62245.3335651812
55,897,4137.29895819,35.12923228,5.43415134,3.89857034,56535.1322608,0.28062242,6.46452962,897,Northern Vermont Piedmont,69.18021465,50.7499729,0.0321925,1.59599996,6,calc/mod calc mid-upper elev steep hills/mtns,1433,2.88717186,0.1724,0.8276,2.38942343,9.14618969,0.42736599,2.48847185,50.7499729,4.86414003,4.9539299,35.02970123,8.14964962,9,9,6,2,6.0,0.94166667,4,19,10,1.59599996,6,2.38942343,4,5,7,50.7499729,6,4137.29895819,4,0.45950752,8,0.73936161,4,1.3045927,0,0.0,4,2.48847185,0,0,5.65,7,6,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,16743121.8327,16743121.7740001,56535.1346444791
56,898,11038.095921,55.45627634,3.21541116,3.76789499,89248.4040857,0.15235024,17.24702488,898,Northern Vermont Piedmont,80.89471286,67.99480774,0.0,1.54036999,6,calc/mod calc mid-upper elev steep hills/mtns,1433,7.70282259,0.1724,0.8276,6.37485598,10.78499985,0.49057099,3.22959469,66.15173715,5.05709004,3.56317997,35.52529907,6.88396978,10,9,6,1,5.8,1.04310345,3,12,10,1.54036999,8,6.37485598,5,8,8,66.15173715,8,11038.095921,3,0.61348552,3,0.06531652,3,0.53013582,0,0.0,5,3.22959469,0,0,6.05,7,6,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,44669768.048,44669768.0112998,89248.409522377
57,922,1189.356525,19.24818452,10.35756548,3.98408789,30977.0122154,0.0,1.85836957,922,Champlain Valley,54.37228337,32.6156112,53.26634921,189.33000183,10,fine sediment flats,162,7.34170694,0.0351,0.9649,7.08401303,131.16799927,18.51530075,9.40076736,32.6156112,5.98044002,23.04879951,8.64577007,43.25189972,2,2,1,9,4.0,1.425,6,8,2,189.33000183,8,7.08401303,7,32,5,32.6156112,5,1189.356525,6,0.26383342,9,1.28493851,10,36.22136768,9,3.0,8,9.40076736,0,0,5.7,7,4,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,4813174.3444,4813174.35875634,30977.0160907066
58,938,21583.1009305,87.25379616,2.58732189,4.23957749,140421.654176,0.59121252,33.7235952,938,Northern Green Mountains,85.35273851,75.72761649,36.38249261,0.80020201,4,upper elev acidic steep hills/mtns,9684,2.22874808,0.4924,0.5076,1.13131253,0.15335201,0.241742,3.75744043,75.72761649,5.63378,4.5483098,33.86289978,16.16449928,9,8,3,8,6.4,1.0390625,4,16,10,0.80020201,5,1.13131253,4,6,9,75.72761649,9,21583.1009305,4,0.44797715,10,4.19201996,7,5.81961973,0,0.0,6,3.75744043,0,0,6.65,8,6,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,87344059.9919,87344059.5053489,140421.664465007
59,939,9636.01258881,47.57096991,3.15954556,3.45930213,76558.208121,0.0,15.05626967,939,Northern Vermont Piedmont,81.59428527,69.21435644,16.56373718,0.68426502,1,calc/mod calc gentle hills,452,21.31861192,0.0534,0.9466,20.18019805,14.46590042,0.175716,2.57610954,69.21435644,5.24661005,3.5508399,26.5821991,4.64479017,10,7,7,6,6.8,0.97058824,4,2,10,0.68426502,9,20.18019805,6,15,8,69.21435644,7,9636.01258881,4,0.53379092,9,1.81484196,6,4.32208651,0,0.0,4,2.57610954,0,0,6.6,8,7,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,38995715.4141,38995715.1379101,76558.2118183643
60,953,4519.39065142,36.18437076,5.12414152,3.84216711,58233.2164387,0.85815083,7.06154789,953,Northern Vermont Piedmont,71.19791468,50.46540952,17.58799275,2.68622994,1,calc/mod calc gentle hills,452,9.99865188,0.0534,0.9466,9.46472387,3.19098997,0.92192698,3.49920448,48.68898641,5.09125996,5.77709007,41.31620026,7.93731022,9,10,6,6,6.6,0.81060606,2,12,10,2.68622994,8,9.46472387,2,2,6,48.68898641,6,4519.39065142,2,1.05365001,7,0.43710317,5,2.95339594,0,0.0,5,3.49920448,0,0,5.35,7,7,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,18289398.2406,18289398.0508832,58233.2209993052
61,955,181.99564201,4.81226884,16.92266925,2.54632922,7744.6114661,0.0,0.28436819,955,Champlain Valley,26.90053424,0.0,0.0,30.78849983,10,fine sediment flats,162,1.12342989,0.0351,0.9649,1.0839975,3.86666989,16.02809906,7.18469951,0.0,4.20631003,27.19319916,8.80990028,42.55899811,2,2,1,1,3.2,1.46875,10,24,7,30.78849983,5,1.0839975,1,1,0,0.0,2,181.99564201,10,0.0,9,2.46725688,10,44.95893368,9,3.0,7,7.18469951,0,0,4.7,6,3,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,736513.178765,736513.153519555,7744.61166375162
62,976,5329.28218892,43.64968533,5.24194397,4.26817213,70247.49969,0.46722483,8.32700342,976,Champlain Hills,72.82625994,54.38112671,8.32780071,1.88258004,5,mid elev acidic steep hills/mtns,1859,2.86675943,0.0886,0.9114,2.61276454,2.42663002,0.63764101,2.42580662,53.29742917,4.61365008,20.93569946,16.20849991,31.80680084,3,4,1,4,3.4,1.88235294,5,8,10,1.88258004,7,2.61276454,2,2,7,53.29742917,7,5329.28218892,5,0.40793787,9,1.54097676,6,4.61795963,9,3.0,4,2.42580662,0,0,6.4,8,3,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,21566926.1206,21566925.9994372,70247.5035272804
63,987,7323.70326376,27.1525517,2.37279317,2.26485523,43697.8835555,0.31339635,11.44328635,987,Northeastern Highlands,86.14909661,76.58011389,4.3177828,0.505512,8,acidic low elevation steep hills with sed flats,675,10.84997878,0.0613,0.9387,10.18487508,2.72245002,0.122513,1.95777675,76.58011389,5.05644,1.62178004,60.59199905,-1.00620997,10,10,10,3,7.4,0.89864865,4,2,10,0.505512,8,10.18487508,4,7,9,76.58011389,7,7323.70326376,4,0.45425762,8,0.92348772,8,12.14269295,4,1.22043002,3,1.95777675,0,0,6.65,8,8,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,29638094.1409,29638094.1831974,43697.8855541594
64,995,4649.93430747,36.28463123,4.99408431,3.79834555,58394.5703484,0.70452985,7.26552236,995,Northern Green Mountains,72.41107244,55.69762342,1.91238401,3.57055998,8,acidic low elevation steep hills with sed flats,675,6.88882206,0.0613,0.9387,6.46653726,0.0,1.17658997,3.2497457,53.20578607,4.52003002,7.12203979,22.33709908,20.78960037,7,6,2,3,4.6,1.33695652,5,5,10,3.57055998,8,6.46653726,3,3,7,53.20578607,6,4649.93430747,5,0.33565377,9,1.68628404,6,4.24249649,2,0.68156999,5,3.2497457,0,0,6.15,8,4,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,18817691.7866,18817691.7959269,58394.5723859373
65,998,1139.17883826,12.54085986,7.04555776,2.65232371,20182.5979278,0.0,1.77996693,998,Northern Vermont Piedmont,60.7874617,40.27498445,0.0,18.82449913,6,calc/mod calc mid-upper elev steep hills/mtns,1433,0.79496433,0.1724,0.8276,0.65791248,0.98245603,6.91226006,2.82538956,40.27498445,5.39956999,4.30713987,22.0298996,6.49542999,10,6,6,1,6.4,0.859375,9,21,9,18.82449913,5,0.65791248,0,0,6,40.27498445,5,1139.17883826,9,0.00359557,10,15.24952836,7,7.08492796,0,0.0,5,2.82538956,0,0,5.5,7,6,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,4610111.63829,4610111.61568354,20182.5981889463
66,1001,116845.381918,188.40448091,1.03195236,3.93441909,303208.227344,0.49845234,182.57090925,1001,Northeastern Highlands,93.70405197,88.69064648,57.83662717,0.26999101,4,upper elev acidic steep hills/mtns,9684,12.06587144,0.4924,0.5076,6.12463634,4.65107012,0.0822356,3.7832243,88.63385416,6.29748398,1.34794998,206.78700256,0.27019501,10,10,10,9,8.4,0.96428571,3,2,10,0.26999101,8,6.12463634,9,212,10,88.63385416,10,116845.381918,3,0.76532565,8,0.95055729,7,7.62995889,5,1.65249002,6,3.7832243,6,80,8.1,10,9,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,472858375.673,472858375.138987,303208.248282444
67,1031,1224.43054598,17.72940548,9.26701767,3.61678141,28532.7694032,0.0,1.91317273,1031,Champlain Hills,56.58835467,34.03556873,0.0,20.92550087,3,acidic gentle hills,465,2.63319562,0.0403,0.9597,2.52707784,5.7797699,8.03351974,4.82575351,25.98895471,4.39447999,9.66012955,14.03180027,58.06880188,6,3,1,1,4.0,1.4125,9,11,8,20.92550087,6,2.52707784,0,0,4,25.98895471,5,1224.43054598,9,0.00287481,9,1.30864916,8,11.54449311,9,3.0,6,4.82575351,0,0,5.65,7,4,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,4955114.43923,4955114.41018906,28532.7712243222
68,1043,19584.1678362,92.18700653,3.01262145,4.7023215,148360.902562,0.18676555,30.60026224,1043,Northern Vermont Piedmont,81.12774223,67.14522828,12.92441232,1.13918996,6,calc/mod calc mid-upper elev steep hills/mtns,1433,13.66661166,0.1724,0.8276,11.31048781,12.26270008,0.37271199,3.34440925,66.32379996,5.21719003,3.46743011,43.96879959,5.88530016,10,10,7,5,7.0,0.98571429,3,2,10,1.13918996,8,11.31048781,6,17,8,66.32379996,8,19584.1678362,3,0.72501339,8,0.70181129,5,2.85349934,0,0.0,5,3.34440925,8,93,6.9,9,7,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,79254632.4036,79254631.8012756,148360.911671669
69,1057,2269.47835288,20.76165724,5.85485233,3.1109581,33412.7153299,0.60588104,3.54605993,1057,Champlain Hills,71.07660216,53.91641645,0.0,17.75300026,8,acidic low elevation steep hills with sed flats,675,3.36220503,0.0613,0.9387,3.15610186,0.36116001,0.27575701,3.27992201,53.91641645,4.03010011,8.46146965,19.57320023,44.61859894,7,5,1,1,4.4,1.59090909,8,1,9,17.75300026,7,3.15610186,3,3,7,53.91641645,5,2269.47835288,8,0.07724066,9,2.1935966,8,9.0808533,9,3.0,5,3.27992201,10,99,7.0,9,4,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,9184289.78495,9184289.78083564,33412.7178942853
70,1082,1067.19519396,14.00269343,8.39745517,3.05974207,22535.1957233,0.0,1.66749249,1082,Champlain Valley,58.0049089,38.35229978,13.64296811,233.35499573,10,fine sediment flats,162,6.58762465,0.0351,0.9649,6.35639903,313.23699951,114.07800293,1.35388916,38.35229978,4.72033,110.6230011,3.90229988,63.27640152,1,1,1,6,2.0,2.275,1,27,2,233.35499573,8,6.35639903,6,23,5,38.35229978,5,1067.19519396,1,1.64516483,4,0.14512809,9,23.3486996,9,3.0,3,1.35388916,0,0,4.55,5,2,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,4318802.99981,4318802.97651768,22535.1975708876
71,1088,3710.54464769,33.56533124,5.78939591,3.9333924,54018.272476,0.03842869,5.79772601,1088,Champlain Hills,72.17427505,56.14538829,30.70994984,2.25865006,7,calc/mod calc low elev steep hills with sed flats,579,6.40853998,0.0422,0.9578,6.13809959,45.16790009,0.80486101,2.11605377,54.57478059,5.36966002,21.73180008,4.21257019,86.93979645,3,1,1,8,4.0,1.725,7,5,10,2.25865006,8,6.13809959,5,10,7,54.57478059,6,3710.54464769,7,0.11468289,10,7.84012666,6,3.87081719,9,3.0,4,2.11605377,0,0,6.9,9,4,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,15016101.5024,15016101.4079698,54018.2745524909
72,1092,9294.43090271,62.79545019,4.32399665,4.64956094,101059.683103,0.0,14.52254829,1092,Northern Green Mountains,74.90065904,58.73569837,6.35807944,2.62074995,4,upper elev acidic steep hills/mtns,9684,0.95977613,0.4924,0.5076,0.48718236,1.46969998,0.83921897,2.82009047,57.22594482,5.21384001,4.05136013,26.05690002,12.01130009,10,7,4,4,6.2,0.98387097,6,24,10,2.62074995,4,0.48718236,4,7,7,57.22594482,7,9294.43090271,6,0.23957228,9,1.3071193,6,3.90332452,2,0.640683,5,2.82009047,0,0,6.1,8,6,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,37613377.8445,37613377.6255451,101059.688539591
73,1101,906.75847167,13.16521841,9.29215446,3.12088255,21187.4076241,1.76113153,1.41681011,1101,Champlain Valley,53.66064009,29.79406407,0.0,65.65029907,7,calc/mod calc low elev steep hills with sed flats,579,1.56607681,0.0422,0.9578,1.49998837,247.91299438,31.15500069,11.70015647,0.0,3.70334005,76.55609894,3.90759993,71.43379974,1,1,1,1,1.2,3.5,2,35,5,65.65029907,6,1.49998837,6,16,0,0.0,4,906.75847167,2,1.00846259,4,0.11976728,8,9.2360648,9,3.0,8,11.70015647,0,0,4.2,5,1,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,3669536.02278,3669535.99750233,21187.4092993922
74,1102,10102.7402458,86.8417165,5.50134886,6.16742636,139758.474914,0.0,15.78553163,1102,Champlain Hills,71.14154502,55.01831053,0.10200401,4.96035004,5,mid elev acidic steep hills/mtns,1859,5.4345266,0.0886,0.9114,4.95302755,2.73752999,1.61538005,1.63283066,53.29262724,4.45589995,9.91409969,24.78680038,8.03489971,6,6,6,2,5.0,1.17,5,16,10,4.96035004,7,4.95302755,1,1,7,53.29262724,8,10102.7402458,5,0.34529721,6,0.28809609,4,1.18775894,3,1.03419006,3,1.63283066,0,0,5.85,7,5,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,40884502.7852,40884502.5762153,139758.481691373
75,1116,12305.6096847,100.18441698,5.21047136,6.44679373,161231.512818,0.17462398,19.22751513,1116,Champlain Hills,72.65105289,56.64526081,4.81586216,2.00434995,8,acidic low elevation steep hills with sed flats,675,18.23061355,0.0613,0.9387,17.11307694,1.72720003,0.67449403,2.27058461,56.43904754,4.67537999,12.16209984,21.56259918,33.84830093,5,6,1,4,4.0,1.75,4,1,10,2.00434995,9,17.11307694,3,3,7,56.43904754,8,12305.6096847,4,0.44413955,7,0.55640234,5,2.52899213,7,2.13630009,4,2.27058461,10,99,7.0,9,4,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,49799234.781,49799234.4576552,161231.520228719
