OBJECTID,PROP_TYPE,PROP_NAME,LINK,ACCESS,Shape__Area,Shape__Length
161,Public Access,Peck Lake Fishing Access, ,Open,880245.52734375,4369.9461505563
162,Ecological Reserve,Peytonia Slough Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Peytonia-Slough-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,1010977.44921875,5563.97411855284
163,Public Access,Pine Creek Reservoir Public Access, ,Open,107123.40234375,1307.13921052205
164,Public Access,Point Benicia Fishing Pier, ,Open,729.9453125,191.783443250377
165,Wildlife Area,Point Edith Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Point-Edith-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,4753354.37109375,11062.2420053998
166,Public Access,Putah Creek Fishing Access, ,Open,622000.77734375,16037.352962526
167,Ecological Reserve,Quail Hollow Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Quail-Hollow-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,428425.109375,5378.72397037577
168,Public Access,Red Bluff River Park Fishing Access, ,Open,4103.30859375,302.905652425587
169,Wildlife Area,Sacramento Bypass Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Sacramento-Bypass-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,2567224.265625,8831.3323425745
170,Wildlife Area,San Luis Reservoir Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/San-Luis-Reservoir-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,7002674.6328125,18249.5363582663
171,Public Access,San Mateo Fishing Pier, ,Open,25309.28515625,3157.47028889134
172,Public Access,Seal Beach Fishing Pier, ,Open,21257.359375,1436.40349006811
173,Public Access,Sharp Park, ,Open,21094.4453125,2177.73080184235
174,Public Access,Shasta River Fishing Access, ,Open,12480.23828125,640.413748694941
175,Wildlife Area,Smithneck Creek Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Smithneck-Creek-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,16447977.7617188,44183.6016561613
176,Public Access,South Kibesillah Gulch Fishing Access, ,Open,28185.54296875,794.807411069727
177,Public Access,Trinity River Fishing Access, ,Open,45287.8671875,1635.53712088645
178,Wildlife Area,Volta Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Volta-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,24123397.75,28070.1815078969
179,Fish Hatchery,Warm Springs Fish Hatchery,http://www.wildlife.ca.gov/Fishing/Hatcheries/Warm-Springs,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,97575.8828125,1301.49596555286
180,Wildlife Area,Warner Valley Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Warner-Valley-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,4909708.70703125,18652.6118109895
181,Ecological Reserve,West Mojave Desert Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/West-Mojave-Desert-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,133683225.265625,340937.960267296
182,Public Access,White House Pool Public Access, ,Open,73727.32421875,1636.3861198177
183,Public Access,Bend Bridge Public Access, ,Open,17752.90234375,567.508492425401
184,Public Access,Woodson Bridge - Vina Fishing Access, ,Open,978.96484375,156.753031124152
185,Public Access,Sacramento River -- Prospect Ave. Fishing Access, ,Open,15391.81640625,931.545076546203
186,Wildlife Area,Lower Sherman Island Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Lower-Sherman-Island-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,20626898.5585938,21297.139697692
187,Ecological Reserve,Loch Lomond Vernal Pool Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Loch-Lomond-Vernal-Pool-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,79171.734375,1377.69402928349
188,Public Access,Monte Rio Fishing Access, ,Open,50757.58203125,1113.92501562272
189,Wildlife Area,Sacramento River Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Sacramento-River-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,26796083.4453125,126646.709031805
190,Public Access,Eel River -- Rio Dell Fishing Access, ,Open,22626.8515625,962.857682828947
191,Ecological Reserve,Fremont Valley Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Fremont-Valley-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,39243523.3984375,104533.318467547
192,Public Access,Mojave River Public Access, ,Open,4787095.41015625,11233.6291195273
193,Wildlife Area,Hill Slough Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Hill-Slough-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,10440824.5195313,31706.7139831861
194,Ecological Reserve,Carrizo Canyon Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Carrizo-Canyon-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,9689925.03515625,29387.2127793761
195,Ecological Reserve,Panoche Hills Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Panoche-Hills-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,3689699.74609375,9914.40860503641
196,Wildlife Area,Hope Valley Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Hope-Valley-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,19684920.2578125,41068.3612623547
197,Ecological Reserve,Carrizo Plains Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Carrizo-Plains-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,244171194.132813,229780.270627831
198,Wildlife Area,Elk River Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Elk-River-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,703008.1015625,5641.00585584976
199,Wildlife Area,Mad River Slough Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Mad-River-Slough-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,4088012.53515625,16697.3319672704
200,Wildlife Area,Pickel Meadow Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Pickel-Meadow-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,6382880.43359375,26058.9840948974
201,Public Access,Battle Creek Public Access, ,Open,19555.08203125,658.124407939892
202,Public Access,Cache Creek Public Access, ,Open,1171961.78125,4684.9665156935
203,Ecological Reserve,San Joaquin River Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/San-Joaquin-River-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,5671382.078125,29843.7074717606
204,Ecological Reserve,Mattole River Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Mattole-River-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,9874699.06640625,25880.3165284077
205,Wildlife Area,Hallelujah Junction Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Hallelujah-Junction-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,92537153.7773438,93154.0421657278
206,Ecological Reserve,Blue Sky Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Blue-Sky-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,3529242.1328125,13522.5242400893
207,Wildlife Area,Willow Creek Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Willow-Creek-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,19328971.5195313,27407.281208372
208,Ecological Reserve,Bonny Doon Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Bonny-Doon-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,3472525.8671875,14155.3455799505
209,Wildlife Area,Daugherty Hill Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Daugherty-Hill-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,47917354.875,91317.6946553904
210,Ecological Reserve,Fall River Mills Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Fall-Rivers-Mills-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,8606.890625,374.526462861145
211,Wildlife Area,Knoxville Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Knoxville-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,138275747.328125,145913.267882946
212,Ecological Reserve,McGinty Mountain Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/McGinty-Mountain-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,1640138.33203125,10316.8295111838
213,Ecological Reserve,San Bruno Mountain Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/San-Bruno-Mountain-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,590416.57421875,5633.11357192772
214,Wildlife Area,West Walker River Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/West-Walker-River-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,4980747.30078125,28407.8962098815
215,Wildlife Area,Buttermilk Country Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Buttermilk-Country-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,2083402.37109375,10797.5551371014
216,Ecological Reserve,Calhoun Cut Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Calhoun-Cut-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,6380547.88671875,10760.9147691957
217,Wildlife Area,North Grasslands Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/North-Grasslands-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,48579381.0429688,88338.358364588
218,Wildlife Area,Crocker Meadows Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Crocker-Meadows-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,20539972.4296875,52546.8502531623
219,Public Access,Tomales Bay Fishing Access, ,Open,371403.6015625,8559.70877115405
220,Ecological Reserve,Butler Slough Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Butler-Slough-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,374728.68359375,3560.54346307185
221,Wildlife Area,Shasta Valley Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Shasta-Valley-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,33908345.9023438,37339.9140447237
222,Ecological Reserve,Buttonwillow Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Buttonwillow-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,8903857.24609375,23207.9625920605
223,Wildlife Area,Silver Creek Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Silver-Creek-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,14343811.859375,17137.3161269072
224,Ecological Reserve,Santa Rosa Plateau Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Santa-Rosa-Plateau-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,31385434.734375,38797.5011418669
225,Ecological Reserve,San Felipe Creek Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/San-Felipe-Creek-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,11539717.1445313,23518.9246989669
226,Wildlife Area,Upper Butte Basin Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Upper-Butte-Basin-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,66243340.8789063,93715.4578284684
227,Ecological Reserve,Coal Canyon Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Coal-Canyon-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,5451265.375,12752.5950631435
228,Wildlife Area,Dutch Flat Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Dutch-Flat-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,1124726.28515625,7031.31135832436
229,Ecological Reserve,Pleasant Valley Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Pleasant-Valley-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,7667872.10546875,24685.6602515322
230,Wildlife Area,Monache Meadows Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Monache-Meadows-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,1455932.109375,5864.05056088646
231,Ecological Reserve,Boggs Lake Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Boggs-Lake-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,334048.48828125,5456.18320569089
232,Wildlife Area,Yolo Bypass Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Yolo-Bypass-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,109852473.660156,96683.900936591
233,Ecological Reserve,Laguna Laurel Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Laguna-Laurel-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,462827.109375,3702.53772709998
234,Public Access,Deer Creek Fishing Access, ,Open,13607.48828125,923.673094612453
235,Wildlife Area,Morro Bay Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Morro-Bay-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,7987362.98046875,15008.0444909547
236,Ecological Reserve,Sycuan Peak Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Sycuan-Peak-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,15690435.3554688,32989.5020100182
237,Ecological Reserve,Marin Islands Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Marin-Islands-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,2191088.65234375,12117.6047126627
238,Ecological Reserve,Stone Corral Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Stone-Corral-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,6067111.8125,25389.7397787161
239,Ecological Reserve,Big Table Mountain Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Big-Table-Mountain-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,4851640.47265625,15438.5014032424
240,Ecological Reserve,Lokern Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Lokern-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,20625764.9453125,194296.372855333
241,Wildlife Area,West Hilmar Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/West-Hilmar-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,2008630.87890625,8229.21819597702
242,Ecological Reserve,Indian Joe Springs Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Indian-Joe-Springs-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,3395505.6953125,11230.9359089715
243,Wildlife Area,Round Valley Wildlife Area,http://wildlife.ca.gov/Lands/Places-to-Visit/Round-Valley-Wildlife-Area,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,2426768.53515625,12124.1200598113
244,Ecological Reserve,Dales Lake Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Dales-Lake-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,2628686.1015625,9655.263712536
245,Wildlife Area,Laguna Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Laguna-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,3559194.5625,38807.4681836709
246,Wildlife Area,Colusa Bypass Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Colusa-Bypass-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,9171403.42578125,15370.8986508635
247,Public Access,Steelhead Beach Fishing Access, ,Open,326516.80078125,3276.46255021253
248,Ecological Reserve,Semitropic Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Semitropic-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,103185471.839844,383647.486632083
249,Ecological Reserve,North Table Mountain Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/North-Table-Mountain-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,22716415.3007813,28563.1282388013
250,Ecological Reserve,Canebrake Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Canebrake-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,46513820.5820313,118733.921801569
251,Wildlife Area,Green Creek Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Green-Creek-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,18059111.5898438,44537.5732139852
252,Ecological Reserve,Atascadero Creek Marsh Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Atascadero-Creek-Marsh-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,263225.38671875,4984.11738221491
253,Public Access,Lake Siskiyou Fishing Access, ,Open,867.8515625,174.649886735919
254,Wildlife Area,East Walker River Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/East-Walker-River-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,8886357.01953125,54037.6042132556
255,Wildlife Area,Pine Creek Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Pine-Creek-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,14489458.5429688,40332.3445395883
256,Wildlife Area,San Felipe Valley Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/San-Felipe-Valley-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,102690189.675781,151666.882109418
257,Ecological Reserve,Carlsbad Highlands Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Carlsbad-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,2745739.6328125,8468.74836226324
258,Wildlife Area,Cedar Roughs Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Cedar-Roughs-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,3414413.3046875,15715.8330118722
259,Ecological Reserve,Otay Mountain Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Otay-Mountain-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,7104010.92578125,21247.4156435973
260,Ecological Reserve,Rancho Jamul Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Rancho-Jamul-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,33044779.3203125,64847.4208894709
261,Wildlife Area,Rector Reservoir Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Rector-Reservoir-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,2862583.87890625,14045.1739944482
262,Ecological Reserve,Eden Landing Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Eden-Landing-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,37426248.359375,60714.8881886452
263,Ecological Reserve,Boden Canyon Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Boden-Canyon-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,7005580.25,21536.6869559394
264,Ecological Reserve,Crestridge Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Crestridge-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,15838743.9882813,36418.7415507917
265,Public Access,Eckley Fishing Pier, ,Open,910.61328125,237.167264170867
266,Wildlife Area,Clear Lake Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Clear-Lake-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,742148.82421875,7139.61582658893
267,Ecological Reserve,Burton Mesa Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Burton-Mesa-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,31227646.5625,85366.8140971562
268,Wildlife Area,Hollenbeck Canyon Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Hollenbeck-Canyon-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,39230702.5039063,62559.628623084
269,Public Access,Hamilton Branch Fishing Access, ,Open,23520.26171875,697.405957412332
270,Ecological Reserve,Peninsular Ranges Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Peninsular-Ranges-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,19514669.2226563,30677.982212549
271,Public Access,Horseshoe Lake Fishing Access, ,Open,342.26953125,201.614841449816
272,Public Access,Ferry Point Pier, ,Open,9619.18359375,898.231673659278
273,Ecological Reserve,Canada de Los Osos Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Canada-de-los-Osos-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,35609147.3007813,44736.2115063394
274,Ecological Reserve,Agua Hedionda Lagoon Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Agua-Hedionda-Lagoon-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,1129862.4453125,7193.98321365804
275,Public Access,Big Break Fishing Pier, ,Open,27734.9921875,1188.67632525785
276,Ecological Reserve,Headwaters Forest Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Headwaters-Forest-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,53382468.1523438,65667.7526655133
277,Ecological Reserve,Pilgrim Creek Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Pilgrim-Creek-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,994448.91015625,5303.4566456958
278,Ecological Reserve,Meadowbrook Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Meadowbrook-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,877691.7890625,6263.27393478876
279,Public Access,Tauhindauli Public Access, ,Open,103738.55078125,3606.46374337639
280,Wildlife Area,Fitzhugh Creek Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Fitzhugh-Creek-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,15355011.53125,27138.6935162034
281,Public Access,Eureka C Street Fishing Access, ,Open,3492.609375,352.70218907353
282,Wildlife Area,French Valley Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/French-Valley-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,3921647.328125,10057.7452182759
283,Wildlife Area,Cartago Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Cartago-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,1449836.73046875,7059.15669117284
284,Public Access,Quarry Lakes Fishing Access, ,Open,10517.3515625,572.129776740788
285,Public Access,Turtle Bay Boat Ramp, ,Open,16950.828125,866.925106748758
286,Fish Hatchery,Trinity River Fish Hatchery,http://www.wildlife.ca.gov/Fishing/Hatcheries/Trinity-River,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,138210.20703125,2093.75633285039
287,Fish Hatchery,Mokelumne River Fish Hatchery,http://www.wildlife.ca.gov/Fishing/Hatcheries/Mokelumne-River,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,200082.0859375,2275.90206822812
288,Wildlife Area,South Spit Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/South-Spit-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,6723132.45703125,31372.2627677385
289,Ecological Reserve,Palo Verde Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Palo-Verde-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,12174560.2148438,38992.7997777982
290,Ecological Reserve,Sky Valley Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Sky-Valley-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,10464100.90625,15202.836725373
291,Fish Hatchery,Irongate Fish Hatchery,http://www.wildlife.ca.gov/Fishing/Hatcheries/Iron-Gate,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,75761.671875,1539.31611406619
292,Fish Hatchery,American River Fish Hatchery,http://www.wildlife.ca.gov/Fishing/Hatcheries/American-River,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,50887.17578125,931.341705376377
293,Ecological Reserve,Buena Vista Creek Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Buena-Vista-Creek-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,843801.796875,6385.52332242684
294,Wildlife Area,Burcham & Wheeler Flats Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Burcham-and-Wheeler-Flats-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,8896140.46875,45487.5848515616
295,Ecological Reserve,Liberty Island Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Liberty-Island-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,28396705.984375,27363.6079111465
296,Ecological Reserve,Tecopa Ecological Reserve,http://wildlife.ca.gov/Lands/Places-to-Visit/Tecopa-Ecological-Reserve,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,502547.37109375,6984.96710042191
297,Undesignated,Cedar Creek, ,Closed,131799.6640625,1695.02125830202
298,Fish Hatchery,Merced River Fish Hatchery,http://www.wildlife.ca.gov/Fishing/Hatcheries/Merced-River,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,67843.40234375,1072.4251837195
