ETC_ID,Q1A_Qual_of_services_in_city,Q1B_Appearance_of_city,Q1C_Image_of_city,Q1D_Planning_for_growth,Q1E_Quality_of_life,Q1F_Feeling_of_safety,Q1G_Efforts_to_promote_diversity,Q1H_Promotion_of_inclusiveness,Q1I_Direction_of_city,Q1J_Leadership_of_officials,Q1K_Public_involvement,Q1L_Ethical_conduct_of_employees,Q1M_Sustainability_programs,Q1N_Informed_about_budget,Q1O_Opport_to_express_ideas,Q2_Usage_of_city_services_facilities,Q2_2nd,Q2_3rd,Q2_4th,Q2_5th,Q2_6th,Q2_7th,Q2_8th,Q2_9th,Q2_10th,Q2_11th,Q2_12th,Q3A_Condition_of_streets,Q3B_Condition_of_sidewalks,Q3C_Maint_of_private_property,Q3D_Condition_of_alley,Q3E_Feeling_of_safety,Q3F_Quality_of_neigh_park,Q3G_Adequacy_of_lighting,Q4_Services_should_emphasize,Q4_2nd,Q5_Overall_neighborhood,Q6_Most_important_public_safety_concern,Q7A_Qual_of_large_parks,Q7B_Qual_of_city_rec_centers,Q7C_Qual_of_city_swim_pools,Q7D_Qual_of_athletic_fields,Q7E_Qual_of_youth_rec,Q7F_Qual_of_adult_rec,Q7G_Qual_of_golf_courses,Q7H_Qual_of_arts_cultural,Q7I_Library_programs,Q8_Programs_emphasize_most,Q8_2nd,Q9A_Library_services,Q9B_Condition_of_streets,Q9C_Clarity_of_street_signs,Q9D_Local_transit,Q9E_Mgmt_of_traffic_flow,Q9F_Walk_bike_paths,Q9G_Info_about_programs_events,Q9H_Enforce_prop_maint_codes,Q9I_Landscape_maintenance,Q9J_Appearance_of_resid_prop,Q9K_Appearance_of_comm_prop,Q9L_Cleanliness_of_streets,Q9M_Resid_trash_collection,Q9N_Recycling_services,Q9O_Bulky_item_pickup,Q9P_Water_service,Q9Q_Local_police_services,Q9R_Enforcement_of_traffic_laws,Q9S_Qual_of_local_fire_services,Q9T_Efforts_to_prevent_crime,Q9U_Qual_of_parks_rec,Q9V_Maint_of_city_parks,Q10_Services_emphasize_most,Q10_2nd,Q10_3rd,Q11_Social_human_services_used,Q11_2nd,Q11_3rd,Q11_4th,Q11_5th,Q11_6th,Q11_7th,Q11_8th,Q11_9th,Q12_Social_human_emphasize_most,Q12_2nd,Q12_3rd,Q13_How_get_info_about_Tempe,Q13_2nd,Q13_3rd,Q13_4th,Q13_5th,Q13_6th,Q13_7th,Q13_8th,Q13_9th,Q13_10th,Q13a_Prefer_to_get_info,Q13a_2nd,Q13a_3rd,Q14A_Contacted_Tempe_in_past_year,Q14B_Easy_to_contact,Q14C_Way_you_were_treated,Q14D_Accuracy_of_info_given,Q14E_How_quickly_staff_responded,Q14F_How_well_issue_handled,Q15_Overall_priorities,Q15_2nd,Q15_3rd,Q15_4th,Q16_One_improvement_in_neighborhood,Q17_One_problem_to_work_on,Q18A_How_long_in_Tempe,Q18B_Age,Q18C_Gender,Q18D_Used_public_transit,Q18E_Full_time_student,Q18F_Own_or_rent,Q18G_Have_an_alley,Q18H_Highest_level_of_educ,Q18I_Have_cable_television,Q18J_Internet_access,Q18K_Visited_downtown_Tempe,Q18L_Race_ethnicity,Q18L_2nd,Q18L__3rd,Q18L__4th,Q18L__Other,Q20_Zip,OBJECTID
184,5,5,5,5,5,5,4,5,5,5,5,5,5,3,5,1,12.0,,,,,,,,,,,4,5.0,5,5,5,5,5,Z,,4,,5,5,5,5,5,5,5,5,5,Z,,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Z,,,2,,,,,,,,,99,,,7.0,,,,,,,,,,2,5.0,,2,,,,,,1,3.0,,,MAINTENANCE OF THE STREET,,4,6,2,1,2,2,2,5,2,1,1,2,,,,,85282,183
185,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,,,,,,,,,,,,4,4.0,4,4,2,3,4,E,F,3,GANG ACTIVITY,4,9,9,4,9,9,9,9,9,Z,,9,4,4,9,3,4,9,4,4,4,4,4,4,2,2,3,5,4,5,4,3,3,N,O,,99,,,,,,,,,99,,,7.0,9.0,10.0,,,,,,,,99,,,2,,,,,,11,,,,ECONOMIC/BUSINESS DEVELOPMENT,GANG ACTIVITY,5,5,1,2,2,2,2,3,2,1,1,2,,,,,85281,184
186,3,2,4,9,3,3,9,9,9,9,9,9,4,9,4,1,,,,,,,,,,,,4,4.0,2,9,4,9,3,Z,,3,,5,3,3,4,9,9,9,9,5,Z,,5,4,4,9,4,9,4,2,3,2,2,2,9,4,9,4,3,4,9,9,9,9,J,H,K,99,,,,,,,,,99,,,99.0,,,,,,,,,,99,,,2,,,,,,2,6.0,,,POLICE CRACKDOWN ON DRUGS,HELP STOP ILLEGAL DRUGS,2,5,1,2,2,1,2,4,1,2,2,4,,,,,85283,185
187,4,5,5,4,4,2,4,4,4,4,4,2,4,4,4,1,2.0,3.0,4.0,5.0,7.0,8.0,9.0,10.0,11.0,12.0,,4,4.0,2,2,2,2,2,G,D,3,CRIME;TRAFFIC & PARKING,4,4,4,4,4,4,3,4,4,B,A,4,2,2,4,4,4,4,2,2,2,4,1,4,4,2,4,5,5,5,4,2,2,B,J,U,99,,,,,,,,,99,,,2.0,4.0,8.0,9.0,,,,,,,2,4.0,8.0,1,4.0,4.0,4.0,4.0,4.0,7,9.0,,,TRAFFIC/PARKING FROM 4PEAKS,SPAY/NEUTER FERAL CATS,3,3,2,1,2,2,1,2,1,2,1,2,,,,,85281,186
188,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,1,2.0,3.0,4.0,6.0,7.0,8.0,10.0,11.0,,,,4,5.0,4,9,4,5,4,E,A,5,BREAK-INS,5,5,5,9,5,5,9,9,5,E,I,5,4,4,9,4,5,4,9,5,4,5,5,5,5,5,5,5,5,5,9,5,5,T,B,C,99,,,,,,,,,3,9.0,7.0,2.0,4.0,5.0,6.0,7.0,,,,,,4,5.0,2.0,1,5.0,5.0,5.0,5.0,5.0,4,10.0,,,,,4,7,2,2,2,1,2,2,1,1,2,2,,,,,85283,187
189,4,4,3,9,3,3,3,3,9,3,9,9,9,9,9,2,3.0,,,,,,,,,,,3,2.0,3,9,3,4,4,B,A,3,TRAFFIC CONTROL,4,9,9,4,9,9,9,9,4,H,I,4,3,4,9,2,3,9,9,4,3,3,3,3,4,9,3,3,2,3,9,4,4,E,R,B,99,,,,,,,,,6,7.0,3.0,8.0,9.0,,,,,,,,,9,8.0,10.0,2,,,,,,3,7.0,,,,TRAFFIC FLOW,4,6,1,2,2,2,2,4,1,1,2,2,,,,,85283,188
190,5,5,5,5,5,5,5,9,5,5,5,9,5,5,5,1,2.0,3.0,5.0,,,,,,,,,5,5.0,5,9,5,5,5,E,G,5,CAR VANDALISM,5,9,9,9,9,9,9,9,5,I,A,5,5,5,9,5,5,5,9,5,5,5,5,5,5,5,5,5,5,9,5,5,5,A,T,F,99,,,,,,,,,99,,,5.0,6.0,8.0,9.0,,,,,,,5,6.0,9.0,2,,,,,,1,8.0,,,,,5,5,2,1,2,1,2,5,1,1,1,2,,,,,85283,189
191,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2.0,3.0,4.0,5.0,6.0,8.0,10.0,11.0,12.0,,,5,5.0,5,5,5,5,5,D,F,5,LIGHTING ALONG PATH,5,5,5,5,5,5,5,5,5,H,G,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,H,I,J,1,6.0,,,,,,,,99,,,2.0,5.0,6.0,9.0,,,,,,,6,5.0,,1,5.0,5.0,5.0,5.0,5.0,4,10.0,,,INCREASE ORBIT ROUTES,REDUCE JAYWALKING FINES,5,3,2,1,2,1,1,5,1,1,1,2,,,,,85283,190
192,4,4,3,3,3,3,3,3,3,2,3,3,3,3,2,2,,,,,,,,,,,,2,2.0,4,3,1,4,3,Z,,3,DRIVERS & BIKES,2,9,9,9,9,9,9,9,9,Z,,9,2,3,2,2,1,9,9,2,3,3,3,4,4,3,4,1,1,3,1,4,4,Z,,,99,,,,,,,,,99,,,99.0,,,,,,,,,,99,,,2,,,,,,7,8.0,,,BIKE LANES,CYCLIST SAFETY,2,2,1,1,2,2,1,4,2,1,1,2,,,,,85281,191
193,4,4,4,4,4,4,4,4,3,3,3,3,4,3,3,1,2.0,3.0,4.0,5.0,9.0,11.0,,,,,,4,4.0,4,4,4,4,4,E,D,4,ALLEY SAFETY,4,4,3,4,4,4,4,4,4,E,F,4,4,4,3,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,D,G,K,99,,,,,,,,,99,,,4.0,5.0,,,,,,,,,5,3.0,,1,4.0,4.0,4.0,4.0,4.0,4,6.0,,,COMMUNITY GARDEN SPACE,LET ORBIT RUN SOUTH OF THE 60,4,3,2,1,2,1,1,5,2,1,1,2,,,,,85283,192
194,4,4,3,9,4,4,9,9,9,9,9,9,9,9,9,11,,,,,,,,,,,,4,4.0,4,9,4,9,4,Z,,5,,9,9,9,9,9,9,9,9,9,Z,,9,4,4,9,4,4,9,9,4,4,4,4,4,4,4,4,9,9,9,9,9,9,D,,,99,,,,,,,,,99,,,1.0,5.0,7.0,9.0,,,,,,,1,9.0,5.0,2,,,,,,99,,,,,,1,6,1,2,2,1,2,5,1,1,1,2,,,,,85283,193
195,4,4,4,1,4,4,9,9,3,3,3,3,1,3,3,1,2.0,4.0,5.0,6.0,12.0,,,,,,,4,4.0,4,9,4,4,4,E,,4,,4,9,9,4,9,4,4,9,9,G,F,3,4,4,3,4,4,3,3,1,4,4,4,4,4,4,4,4,4,3,3,4,2,V,I,,99,,,,,,,,,99,,,2.0,5.0,7.0,9.0,10.0,,,,,,5,2.0,9.0,2,,,,,,9,11.0,,,,WATER CONSERVATION ENHANCED,4,5,1,1,2,1,2,5,1,1,1,1,,,,,85284,194
196,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2.0,5.0,9.0,11.0,,,,,,,,5,5.0,4,5,5,5,5,Z,,5,,5,5,9,9,9,9,9,9,5,I,E,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,D,J,T,99,,,,,,,,,99,,,99.0,,,,,,,,,,99,,,2,,,,,,99,,,,,,9,9,1,9,9,2,9,9,9,2,9,4,,,,,85283,195
197,3,4,3,3,5,5,5,5,3,2,2,2,3,2,3,3,,,,,,,,,,,,4,4.0,4,9,4,4,4,E,G,4,ILLEGAL ALIENS,9,9,9,9,9,9,9,9,9,F,I,9,4,5,9,3,5,4,4,4,4,4,4,5,4,5,5,5,3,4,2,5,5,F,E,T,99,,,,,,,,,99,,,7.0,9.0,,,,,,,,,9,7.0,,1,4.0,4.0,4.0,4.0,4.0,8,11.0,,,VAGRANTS ON MILL AVE/ILLEGALS,SAFETY,4,3,1,2,2,1,2,4,1,1,1,5,,,,,85284,196
198,5,4,4,3,5,4,4,4,4,4,4,9,9,4,4,1,2.0,3.0,5.0,11.0,,,,,,,,5,5.0,2,9,4,4,4,C,E,4,SPEEDING ON RURAL RD,5,9,9,9,4,4,5,5,5,A,B,5,5,5,4,4,4,4,2,4,2,4,4,5,5,5,5,5,5,5,9,5,5,T,J,H,99,,,,,,,,,9,7.0,3.0,2.0,5.0,9.0,,,,,,,,6,3.0,9.0,1,5.0,5.0,5.0,5.0,5.0,2,11.0,,,SOUND WALL ON RURAL RD,MORE POLICE TO CURB VIOLENCE,5,5,2,1,2,1,2,5,2,1,1,2,,,,,85283,197
199,4,2,4,9,5,5,9,9,9,9,9,9,9,3,3,5,,,,,,,,,,,,4,3.0,5,9,5,4,2,G,B,5,MORE LIGHTS AT NIGHT,4,9,3,9,9,9,9,9,9,D,A,9,4,4,5,5,9,9,9,3,4,4,4,9,9,9,4,4,4,9,9,3,3,I,K,T,1,2.0,5.0,,,,,,,2,9.0,6.0,7.0,9.0,,,,,,,,,7,9.0,1.0,2,,,,,,2,3.0,,,GATED,APPEARANCE OF PARTS OF CITY,4,2,2,1,1,2,2,4,1,1,1,2,,,,,85284,198
200,4,4,3,3,4,5,4,4,4,4,9,4,9,2,2,2,5.0,8.0,12.0,,,,,,,,,1,4.0,4,4,3,4,4,A,E,4,OBSTACLES IMPEDE TRAFFIC,4,3,2,3,9,9,9,9,9,A,,9,2,2,3,1,9,2,3,1,3,2,4,4,4,4,4,4,2,4,4,3,4,E,I,K,99,,,,,,,,,99,,,4.0,5.0,,,,,,,,,5,,,1,5.0,5.0,5.0,5.0,5.0,3,11.0,,,REMOVE TRAFFIC SLOWING DEVICES,CLEAN UP APACHE BLVD,5,7,1,2,2,1,1,1,2,2,1,5,,,,,85281,199
201,4,4,4,3,3,2,9,9,9,2,3,3,3,4,3,1,2.0,3.0,4.0,5.0,7.0,8.0,10.0,,,,,4,4.0,3,4,2,4,2,E,G,3,,4,4,4,4,4,9,9,4,4,I,,4,4,4,4,3,4,4,1,3,2,2,3,4,4,9,3,1,3,3,1,3,3,T,Q,H,9,,,,,,,,,9,,,2.0,5.0,7.0,9.0,,,,,,,99,,,1,3.0,3.0,2.0,1.0,1.0,8,11.0,,,BETTER POLICE SERVICES,FIX DOWNTOWN TEMPE,4,3,1,1,2,1,1,5,2,1,1,2,,,,,85283,200
202,4,4,4,9,4,4,5,4,4,4,4,5,4,4,4,1,2.0,3.0,8.0,,,,,,,,,3,3.0,2,3,4,4,4,B,A,4,SECURITY,4,4,4,4,9,9,9,9,3,I,,3,4,4,4,4,4,4,2,4,3,3,4,4,4,4,4,4,4,4,4,4,4,A,H,J,99,,,,,,,,,3,2.0,6.0,5.0,7.0,8.0,9.0,10.0,,,,,,99,,,1,4.0,4.0,3.0,3.0,3.0,4,,,,,,2,5,1,2,2,1,9,3,2,1,1,2,,,,,85282,201
203,4,4,4,4,4,4,4,4,4,4,4,9,9,4,4,1,2.0,5.0,8.0,9.0,10.0,12.0,,,,,,5,5.0,5,5,5,5,5,E,G,4,SPEEDING CARS,4,4,9,9,9,4,9,4,5,F,I,5,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,R,E,U,2,,,,,,,,,3,7.0,4.0,2.0,5.0,7.0,9.0,10.0,,,,,,5,7.0,9.0,1,4.0,4.0,4.0,4.0,4.0,1,4.0,,,ENFORCEMENT OF TRAFFIC LAWS,TRAFFIC FLOW,4,6,2,1,2,1,2,5,1,2,1,2,,,,,85282,202
204,5,4,5,5,5,5,5,5,9,9,4,5,5,5,5,1,2.0,3.0,11.0,12.0,,,,,,,,5,5.0,2,5,5,5,2,G,C,4,TRANSIENTS,5,5,5,5,5,5,9,5,5,I,C,4,4,3,5,5,5,5,4,4,4,4,5,5,5,9,5,5,5,5,5,5,5,B,D,H,3,,,,,,,,,6,1.0,2.0,1.0,5.0,,,,,,,,,5,2.0,6.0,2,,,,,,8,12.0,,,BETTER STREET LIGHTING,HOMELESS,5,5,2,2,2,1,1,3,1,1,1,2,,,,,85281,203
205,3,4,3,3,3,4,3,2,3,3,3,3,2,2,2,1,2.0,4.0,5.0,,,,,,,,,5,5.0,5,3,4,4,3,F,C,5,INADEQUATE TRAFFIC LIGHTS,4,3,3,5,4,3,3,3,3,A,E,4,4,3,3,2,2,3,2,3,2,2,4,4,3,4,4,4,4,4,4,2,3,Z,,,99,,,,,,,,,99,,,7.0,8.0,9.0,,,,,,,,8,6.0,2.0,1,5.0,5.0,5.0,5.0,4.0,7,11.0,,,TRAFFIC LIGHT/RURAL & LAKESHOR,NO NICE NEIGHBORHOOD PARKS,2,3,2,1,2,2,2,5,2,1,1,2,,,,,85283,204
206,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,11,,,,,,,,,,,,3,3.0,3,5,3,9,3,A,E,3,WHEELCHAIRS ON STREETS,9,9,9,9,9,9,9,9,9,Z,,9,3,4,9,4,9,4,3,4,3,2,3,5,5,5,4,3,3,5,3,9,9,Q,H,K,99,,,,,,,,,99,,,5.0,9.0,,,,,,,,,5,9.0,1.0,1,3.0,2.0,1.0,1.0,1.0,5,8.0,,,WHEELCHAIR RAMPS,HOMES FREE OF FRONT YARD JUNK,5,7,1,2,2,1,1,2,1,2,2,2,,,,,85281,205
207,4,4,4,3,4,4,3,3,2,3,3,4,3,2,3,1,2.0,3.0,5.0,8.0,9.0,11.0,12.0,,,,,1,4.0,3,4,4,4,3,A,C,3,SPEEDING,4,4,9,3,3,3,3,4,4,I,B,3,2,4,4,3,4,3,2,3,3,3,4,4,4,4,3,4,2,5,3,4,3,B,H,R,2,,,,,,,,,3,9.0,6.0,1.0,2.0,5.0,6.0,8.0,,,,,,5,1.0,2.0,2,,,,,,3,6.0,,,RESIDENTIAL GRANTS/HOMEOWNERS,NEIGHBORHOOD STREET PAVING,3,3,1,1,2,1,1,3,1,1,1,2,5.0,,,,85282,206
208,4,4,5,9,4,4,9,9,4,4,9,9,9,9,9,99,,,,,,,,,,,,3,4.0,3,2,4,4,4,E,D,4,SPEEDING,4,9,9,9,9,9,9,9,9,E,D,9,4,3,9,9,9,4,9,4,3,3,3,5,5,4,4,5,4,5,4,4,4,T,,,99,,,,,,,,,6,9.0,3.0,5.0,7.0,9.0,,,,,,,,99,,,1,4.0,4.0,4.0,5.0,4.0,99,,,,KEEP UP THE GOOD WORK,LIMIT TO 45 MPH ESP MCCLINTOCK,5,6,2,2,2,1,1,2,1,1,2,2,,,,,85283,207
209,5,5,5,5,5,4,4,4,4,4,4,4,5,5,5,1,2.0,3.0,5.0,7.0,8.0,11.0,12.0,,,,,4,5.0,5,4,4,5,4,E,F,5,DRIVERS,4,4,4,3,3,3,4,4,4,I,B,4,4,4,5,5,4,5,4,4,5,4,4,5,5,5,5,4,4,4,4,4,4,V,B,A,99,,,,,,,,,99,,,2.0,5.0,6.0,7.0,10.0,,,,,,5,,,2,,,,,,4,9.0,,,,,5,5,2,1,2,1,1,5,1,1,1,2,,,,,85282,208
210,1,3,1,3,1,1,3,3,3,2,2,2,3,3,2,99,,,,,,,,,,,,3,3.0,3,2,1,3,2,E,G,3,BAD POLICING,4,3,9,3,9,9,4,4,4,F,C,4,2,2,4,2,3,3,2,4,2,3,3,4,4,3,4,1,1,4,1,3,4,Q,T,R,99,,,,,,,,,3,,,3.0,9.0,,,,,,,,,9,,,1,4.0,4.0,3.0,3.0,3.0,8,10.0,,,IMPROVE INVESTIGATIVE POLICE,FIX POLICE FROM TOP DOWN,5,3,2,2,2,1,9,3,1,2,1,2,,,,,85282,209
211,4,4,4,3,4,4,3,9,9,9,9,9,9,3,9,1,3.0,5.0,11.0,,,,,,,,,4,5.0,4,4,4,4,4,A,E,4,BURGLARY,4,9,9,4,9,9,9,9,4,I,F,4,4,4,2,2,4,2,3,3,4,4,4,5,5,5,5,3,2,3,2,4,4,E,T,R,99,,,,,,,,,99,,,5.0,7.0,9.0,10.0,,,,,,,99,,,1,4.0,4.0,4.0,5.0,5.0,4,11.0,,,MORE POLICE TO STOP BURGLARIES,DECREASE RESIDENTIAL BURGLARY,5,5,1,1,2,1,1,3,2,1,1,2,,,,,85282,210
212,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,,,,,,,,,,,,9,9.0,9,9,9,9,9,Z,,9,,9,9,9,9,9,9,9,9,9,Z,,9,4,4,9,2,9,9,9,9,3,3,4,5,4,9,5,4,4,9,9,5,5,Q,S,E,99,,,,,,,,,99,,,5.0,,,,,,,,,,5,,,2,,,,,,9,12.0,,,REMOVE SPEED HUMPS,REDUCE SPENDING,5,5,1,2,2,2,9,5,2,1,2,4,,,,,85282,211
213,5,5,5,5,5,5,5,4,4,5,4,5,5,5,5,11,,,,,,,,,,,,4,4.0,4,2,5,4,4,E,D,4,FIRE RESPONSE,4,4,4,4,4,4,4,4,4,A,G,4,4,4,3,4,4,5,5,4,4,4,4,4,4,4,4,5,4,5,5,4,4,S,Q,R,2,6.0,8.0,,,,,,,2,6.0,8.0,1.0,5.0,8.0,,,,,,,,8,1.0,5.0,1,5.0,5.0,5.0,5.0,5.0,8,12.0,,,FIRE RESPONSES,VOLUNTEERS & EMER MANAGEMENT,4,5,1,2,2,2,1,3,1,1,1,2,,,,,85284,212
214,4,2,3,1,4,3,4,3,2,3,3,3,3,2,4,1,2.0,4.0,5.0,11.0,12.0,,,,,,,4,4.0,4,3,3,4,2,E,G,4,PROPERTY PROTECTION,4,4,9,3,9,9,9,9,4,I,D,4,3,3,5,2,3,4,4,3,3,1,4,3,2,4,3,3,3,3,9,4,4,K,E,N,99,,,,,,,,,4,6.0,1.0,5.0,8.0,,,,,,,,,8,5.0,6.0,1,4.0,4.0,3.0,4.0,3.0,10,11.0,,,USE EMPTY BUSINESS PROPERTIES,LOOK PAST DOWNTOWN FOR DEVELOP,4,3,2,1,2,1,1,3,2,1,2,2,,,,,85282,213
215,4,4,4,4,4,4,3,3,4,4,3,3,3,3,3,2,3.0,,,,,,,,,,,4,4.0,3,2,4,4,4,D,B,4,TRANSIENTS,4,3,3,3,3,3,3,4,4,G,D,4,4,4,3,4,4,4,3,3,4,3,4,4,4,3,4,4,3,4,4,4,4,I,R,H,99,,,,,,,,,3,7.0,9.0,4.0,7.0,,,,,,,,,9,7.0,10.0,2,,,,,,1,6.0,,,PAVE ALLEYS,KEEP ILLEGALS OUT OF TEMPE,3,3,1,2,2,2,1,5,2,1,1,2,,,,,85283,214
216,4,5,5,5,5,4,3,9,4,9,4,9,4,9,2,1,2.0,3.0,5.0,,,,,,,,,5,4.0,4,4,4,4,4,F,E,4,AWARENESS,4,9,9,9,9,9,9,9,2,I,E,2,4,2,4,2,9,3,2,2,2,2,4,2,1,9,5,9,4,9,9,2,2,N,V,U,99,,,,,,,,,1,6.0,9.0,2.0,7.0,10.0,,,,,,,,2,7.0,6.0,2,,,,,,4,7.0,,,,,4,2,2,1,2,1,1,3,1,1,1,4,,,,,85281,215
217,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2.0,3.0,4.0,,,,,,,,,4,4.0,3,3,3,3,3,C,D,4,,4,3,3,4,3,3,3,3,4,Z,,4,4,4,3,2,2,2,3,2,3,3,4,5,5,5,4,4,4,4,4,4,4,F,E,I,99,,,,,,,,,7,9.0,1.0,7.0,10.0,,,,,,,,,10,7.0,,1,3.0,3.0,3.0,3.0,3.0,5,6.0,,,STREETS,TRAFFIC,4,3,2,2,2,1,2,3,1,1,1,2,,,,,85283,216
218,4,4,4,3,4,3,4,4,4,3,3,3,4,3,3,2,3.0,6.0,7.0,12.0,,,,,,,,4,4.0,4,3,4,4,3,A,E,4,,4,3,4,3,4,4,4,4,4,I,D,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,Q,E,T,1,,,,,,,,,1,5.0,7.0,1.0,4.0,5.0,7.0,9.0,,,,,,1,5.0,7.0,1,4.0,4.0,4.0,3.0,4.0,1,8.0,10.0,,LOCAL POLICE; TRANSPORTATION,QUALITY OF POLICE SERVICES,4,5,1,1,2,1,2,3,1,1,1,2,9.0,,,EURO-AMERICAN,85282,217
219,5,5,5,4,5,5,4,4,5,5,4,4,4,4,4,1,2.0,,,,,,,,,,,4,4.0,4,4,5,4,4,F,C,5,PATROL,4,4,9,4,9,9,3,3,4,H,G,5,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,B,H,J,99,,,,,,,,,1,9.0,3.0,7.0,,,,,,,,,,5,7.0,9.0,2,,,,,,1,11.0,,,MORE POLICE PATROLS,BUDGET,3,3,1,2,2,1,2,3,1,1,1,2,,,,,85284,218
220,4,4,4,4,4,4,3,3,3,3,4,3,4,4,4,1,2.0,3.0,7.0,9.0,12.0,,,,,,,4,4.0,4,4,4,4,4,F,D,3,,4,4,4,4,4,4,3,4,4,A,I,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,3,4,4,4,4,U,A,N,99,,,,,,,,,2,3.0,7.0,5.0,8.0,,,,,,,,,5,8.0,4.0,2,,,,,,1,7.0,,,KEEP IMPROVING PAPAGO PARK,SOCIAL/HUMAN SERVICES,5,5,1,1,2,1,1,3,1,2,1,2,,,,,85281,219
221,3,3,3,2,2,3,1,2,2,3,2,9,1,1,1,1,5.0,9.0,11.0,12.0,,,,,,,,3,2.0,3,2,3,2,2,B,G,3,AMOUNT OF CRIME,3,3,9,3,3,2,3,1,3,H,I,3,3,4,1,1,1,2,3,4,3,3,3,4,1,3,3,2,4,9,1,3,3,N,D,T,99,,,,,,,,,7,3.0,6.0,2.0,7.0,8.0,10.0,,,,,,,99,,,2,,,,,,4,10.0,,,MORE CONVENIENT RECYCLING,TRAFFIC CONGESTION,3,2,2,1,2,2,2,3,1,1,1,4,,,,MIXED,85281,220
222,4,5,5,4,5,4,9,9,4,4,3,3,3,3,3,2,3.0,4.0,5.0,,,,,,,,,3,4.0,4,9,4,4,4,E,A,4,,4,9,9,4,9,9,9,9,9,A,D,9,3,4,4,3,4,4,3,4,4,4,4,4,3,3,4,4,4,4,4,4,4,Q,S,B,99,,,,,,,,,99,,,5.0,7.0,9.0,10.0,,,,,,,7,9.0,5.0,2,,,,,,8,11.0,,,GET E 5TH ST PAVED,ECONOMIC DEVEL; NEW BUSINESS,2,3,1,1,2,1,2,5,1,1,1,4,,,,,85281,221
223,5,5,5,9,5,5,9,9,5,5,9,9,9,9,9,1,2.0,5.0,6.0,,,,,,,,,5,5.0,5,5,5,5,5,A,B,5,,5,9,9,5,9,9,5,9,5,G,I,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,5,5,5,9,5,5,5,A,,,99,,,,,,,,,99,,,8.0,9.0,10.0,,,,,,,,8,9.0,10.0,1,5.0,5.0,5.0,5.0,5.0,4,7.0,,,,,4,5,1,1,2,2,2,3,1,1,1,2,,,,,85281,222
224,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2.0,3.0,5.0,9.0,10.0,11.0,12.0,,,,,4,4.0,4,4,4,4,4,F,C,3,YOUTH VANDALISM,4,4,2,4,3,3,3,4,4,C,E,4,4,5,4,4,4,4,9,4,3,4,4,4,4,4,4,5,4,4,4,4,4,H,T,,9,,,,,,,,,9,2.0,7.0,2.0,3.0,5.0,,,,,,,,3,6.0,2.0,2,,,,,,6,9.0,,,A METHOD TO TACKLE VANDALISM,UPGRADE UTILITIES; PIPING,2,3,2,1,2,2,9,3,1,1,1,2,,,,,85281,223
225,5,4,3,4,5,3,4,4,3,3,3,3,4,3,3,1,2.0,5.0,9.0,12.0,,,,,,,,4,4.0,4,3,4,5,4,F,C,4,PED SAFETY; MUGGINGS,4,9,9,4,9,9,9,5,4,A,H,5,4,4,4,3,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,N,D,U,2,,,,,,,,,7,2.0,1.0,4.0,5.0,8.0,9.0,,,,,,,8,9.0,4.0,1,4.0,4.0,4.0,3.0,4.0,4,6.0,,,INC ORBIT ROUTES/FREQUENCY,AFFORDABLE RETAIL/COMM SPACE,3,2,1,1,2,1,1,3,2,1,1,2,,,,,85281,224
226,4,4,4,3,4,3,5,5,4,4,3,9,9,3,9,11,,,,,,,,,,,,2,9.0,4,4,3,4,4,A,B,4,SPEEDING CARS,4,9,9,3,9,9,9,9,3,I,A,9,2,3,3,2,3,4,3,3,4,4,4,5,5,5,5,5,4,5,9,4,4,B,E,F,99,,,,,,,,,3,2.0,9.0,5.0,7.0,9.0,,,,,,,,99,,,2,,,,,,1,3.0,,,SIDEWALKS IN OLDER AREAS,TRAFFIC ON MILL DOWNTOWN,5,7,2,2,2,1,1,3,1,1,2,2,,,,,85281,225
