Is_Head_of_Household_,Age,Race,Gender,Ethnicity,Disability,Educational_Level,Employment_Status,Household_Type,ZIP_Code,Service_Id,Date,Program,Housing_Type,City,State,Total_Benefit,Council_District,Monthly_Income,ObjectId
0,13.0,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40299,1247238.0,2021/08/10 12:30:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,183.35,20.0,7200.0,667
1,58.0,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,"Unemployed(Long - Term, more than 6 months)",Single Person,40210,1485805.0,2022/01/12 16:07:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,595.61,4.0,0.0,668
1,44.0,White,Female,Non-Hispanic,Not Disabled,2 or 4 years College,Employed Full-Time,Single Parent Female,40218,1467337.0,2021/12/29 15:33:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,819.07,2.0,0.0,669
0,7.0,White,Male,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Single Parent Female,40218,1467337.0,2021/12/29 15:33:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,819.07,2.0,0.0,670
1,48.0,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,Employed Full-Time,Single Parent Female,40219,1241563.0,2021/08/06 10:44:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,304.27,2.0,7200.0,671
0,31.0,African American,Male,Non-Hispanic,Not Disabled,Grades 9-12,"Unemployed(Long - Term, more than 6 months)",Single Parent Female,40219,1241563.0,2021/08/06 10:44:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,304.27,2.0,7200.0,672
1,47.0,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,Unemployed(Not in Labor Force),Single Parent Female,40211,1253440.0,2021/08/12 15:43:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000.0,1.0,0.0,673
0,43.0,White,Female,Non-Hispanic,Not Disabled,Grades 9-12,Employed Full-Time,Two Parent Household,40215,1330349.0,2021/10/11 10:53:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,197.14,3.0,32400.0,674
1,44.0,White,Male,Non-Hispanic,Not Disabled,2 or 4 years College,Employed Full-Time,Two Parent Household,40215,1330349.0,2021/10/11 10:53:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,197.14,3.0,32400.0,675
0,13.0,White,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Two Parent Household,40215,1330349.0,2021/10/11 10:53:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,197.14,3.0,32400.0,676
1,38.0,African American,Female,Non-Hispanic,Disabled,High School Graduate,Unemployed(Not in Labor Force),Single Parent Female,40258,1304805.0,2021/09/20 11:51:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,175.39,12.0,12492.0,677
0,15.0,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40211,1253440.0,2021/08/12 15:43:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000.0,1.0,0.0,678
0,14.0,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40258,1304805.0,2021/09/20 11:51:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,175.39,12.0,12492.0,679
0,18.0,African American,Male,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Parent Female,40211,1253440.0,2021/08/12 15:43:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000.0,1.0,0.0,680
0,11.0,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40258,1304805.0,2021/09/20 11:51:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,175.39,12.0,12492.0,681
0,18.0,African American,Male,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Parent Female,40211,1253440.0,2021/08/12 15:43:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000.0,1.0,0.0,682
1,41.0,White,Female,Non-Hispanic,Not Disabled,High School Graduate,Unemployed(Not in Labor Force),Two Parent Household,40215,1314196.0,2021/09/27 15:59:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,662.72,21.0,16800.0,683
0,14.0,White,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Two Parent Household,40215,1314196.0,2021/09/27 15:59:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,662.72,21.0,16800.0,684
0,52.0,White,Male,Non-Hispanic,Not Disabled,Equivalency Diploma (GED),Unemployed(Not in Labor Force),Two Parent Household,40215,1314196.0,2021/09/27 15:59:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,662.72,21.0,16800.0,685
0,22.0,White,Male,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Two Parent Household,40215,1314196.0,2021/09/27 15:59:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,662.72,21.0,16800.0,686
0,13.0,White,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Two Parent Household,40215,1314196.0,2021/09/27 15:59:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,662.72,21.0,16800.0,687
0,15.0,White,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Two Parent Household,40215,1314196.0,2021/09/27 15:59:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,662.72,21.0,16800.0,688
0,65.0,White,Male,Non-Hispanic,Disabled,High School Graduate,Unemployed(Not in Labor Force),Two Parent Household,40291,1339908.0,2021/10/15 13:28:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000.0,14.0,13716.0,689
1,52.0,White,Female,Non-Hispanic,Not Disabled,High School Graduate,Unemployed(Not in Labor Force),Two Parent Household,40291,1339908.0,2021/10/15 13:28:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000.0,14.0,13716.0,690
1,56.0,African American,Female,Non-Hispanic,Not Disabled,Grades 9-12,Employed Part-Time,Single Parent Female,40216,1299043.0,2021/09/15 08:58:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,899.69,12.0,0.0,691
0,9.0,Mixed Race,Female,Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40215,1307294.0,2021/09/22 09:18:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,282.96,3.0,0.0,692
0,17.0,Mixed Race,Male,Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40215,1307294.0,2021/09/22 09:18:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,282.96,3.0,0.0,693
0,12.0,Mixed Race,Male,Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40215,1307294.0,2021/09/22 09:18:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,282.96,3.0,0.0,694
1,29.0,African American,Female,Non-Hispanic,Not Disabled,12 grade + Some Post-Secondary,"Unemployed(Long - Term, more than 6 months)",Single Parent Female,40202,1357032.0,2021/10/26 09:19:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,217.95,5.0,0.0,695
0,9.0,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40202,1357032.0,2021/10/26 09:19:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,217.95,5.0,0.0,696
0,18.0,African American,Female,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Person,40211,1314195.0,2021/09/27 15:57:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,583.4,1.0,0.0,697
1,31.0,African American,Female,Non-Hispanic,Not Disabled,12 grade + Some Post-Secondary,Unemployed(Not in Labor Force),Single Parent Female,40299,1458991.0,2021/12/16 16:31:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,679.4,26.0,0.0,698
0,5.0,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40202,1357032.0,2021/10/26 09:19:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,217.95,5.0,0.0,699
0,14.0,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40299,1458991.0,2021/12/16 16:31:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,679.4,26.0,0.0,700
0,15.0,African American,Female,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Parent Female,40299,1458991.0,2021/12/16 16:31:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,679.4,26.0,0.0,701
0,5.0,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40202,1357032.0,2021/10/26 09:19:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,217.95,5.0,0.0,702
1,57.0,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,Employed Part-Time,Single Parent Female,40216,1230953.0,2021/08/02 13:02:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,375.22,3.0,52800.0,703
1,34.0,African American,Female,Non-Hispanic,Not Disabled,12 grade + Some Post-Secondary,"Unemployed(Short - Term, 6 months or less)",Single Parent Female,40203,1462383.0,2021/12/21 11:09:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,360.09,6.0,0.0,704
1,43.0,White,Female,Non-Hispanic,Not Disabled,2 or 4 years College,"Unemployed(Short - Term, 6 months or less)",Single Parent Female,40272,1311178.0,2021/09/24 09:15:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000.0,13.0,20340.0,705
0,8.0,Mixed Race,Female,Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40272,1311178.0,2021/09/24 09:15:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000.0,13.0,20340.0,706
1,57.0,White,Female,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Multigenerational Household,40272,1236474.0,2021/08/04 11:30:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,865.01,14.0,0.0,707
0,28.0,White,Male,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Multigenerational Household,40272,1236474.0,2021/08/04 11:30:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,865.01,14.0,0.0,708
0,18.0,White,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Multigenerational Household,40272,1236474.0,2021/08/04 11:30:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,865.01,14.0,0.0,709
1,29.0,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,"Unemployed(Long - Term, more than 6 months)",Single Parent Female,40203,1485552.0,2022/01/12 15:30:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,260.73,4.0,0.0,710
0,8.0,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40203,1485552.0,2022/01/12 15:30:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,260.73,4.0,0.0,711
1,31.0,African American,Female,Non-Hispanic,Not Disabled,Equivalency Diploma (GED),Unemployed(Not in Labor Force),Multigenerational Household,40272,1430375.0,2021/12/01 15:40:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,527.68,12.0,48000.0,712
0,7.0,African American,Male,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Multigenerational Household,40272,1430375.0,2021/12/01 15:40:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,527.68,12.0,48000.0,713
1,45.0,African American,Female,Non-Hispanic,Not Disabled,2 or 4 years College,Employed Full-Time,Single Parent Female,40203,1248505.0,2021/08/10 17:24:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,329.22,5.0,34268.04,714
0,5.0,African American,Male,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Single Parent Female,40203,1248505.0,2021/08/10 17:24:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,329.22,5.0,34268.04,715
0,18.0,African American,Female,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Parent Female,40203,1248505.0,2021/08/10 17:24:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,329.22,5.0,34268.04,716
0,7.0,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40203,1248505.0,2021/08/10 17:24:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,329.22,5.0,34268.04,717
0,14.0,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40203,1248505.0,2021/08/10 17:24:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,329.22,5.0,34268.04,718
1,33.0,African American,Female,Non-Hispanic,Not Disabled,Grades 9-12,Employed Part-Time,Single Parent Female,40258,1233088.0,2021/08/03 10:24:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,375.42,14.0,28194.0,719
0,14.0,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40258,1233088.0,2021/08/03 10:24:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,375.42,14.0,28194.0,720
1,36.0,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,Unemployed(Not in Labor Force),Single Parent Female,40202,1462550.0,2021/12/21 11:58:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,914.25,15.0,0.0,721
1,33.0,African American,Female,Non-Hispanic,Disabled,12 grade + Some Post-Secondary,Unemployed(Not in Labor Force),Single Parent Female,40210,1322534.0,2021/10/04 15:46:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,306.25,6.0,0.0,722
0,6.0,African American,Male,Non-Hispanic,Not Disabled,Pre-School,Unemployed(Not in Labor Force),Single Parent Female,40210,1322534.0,2021/10/04 15:46:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,306.25,6.0,0.0,723
0,7.0,African American,Female,Non-Hispanic,Not Disabled,Pre-School,Unemployed(Not in Labor Force),Single Parent Female,40210,1322534.0,2021/10/04 15:46:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,306.25,6.0,0.0,724
1,38.0,African American,Female,Non-Hispanic,Not Disabled,12 grade + Some Post-Secondary,Employed Full-Time,Single Parent Female,40243,1392653.0,2021/11/10 14:09:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,249.46,17.0,13200.0,725
0,18.0,African American,Male,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Parent Female,40243,1392653.0,2021/11/10 14:09:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,249.46,17.0,13200.0,726
1,38.0,African American,Female,Non-Hispanic,Not Disabled,Advanced/Post-Secondary Degree,Unemployed(Not in Labor Force),Single Parent Female,40229,1268019.0,2021/08/23 08:24:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,418.93,24.0,0.0,727
0,10.0,African American,Male,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Single Parent Female,40229,1268019.0,2021/08/23 08:24:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,418.93,24.0,0.0,728
0,18.0,African American,Female,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Single Parent Female,40229,1268019.0,2021/08/23 08:24:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,418.93,24.0,0.0,729
0,15.0,African American,Female,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Single Parent Female,40229,1268019.0,2021/08/23 08:24:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,418.93,24.0,0.0,730
1,46.0,White,Female,Non-Hispanic,Not Disabled,Grades 9-12,"Unemployed(Long - Term, more than 6 months)",Single Parent Female,40258,1462227.0,2021/12/21 10:29:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,468.57,12.0,16200.0,731
0,16.0,White,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40258,1462227.0,2021/12/21 10:29:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,468.57,12.0,16200.0,732
0,20.0,White,Male,Non-Hispanic,Not Disabled,High School Graduate,Employed Part-Time,Single Parent Female,40258,1462227.0,2021/12/21 10:29:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,468.57,12.0,16200.0,733
0,10.0,White,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40258,1462227.0,2021/12/21 10:29:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,468.57,12.0,16200.0,734
1,35.0,White,Female,Non-Hispanic,Not Disabled,High School Graduate,Unemployed(Not in Labor Force),Single Parent Female,40203,1477414.0,2022/01/11 10:04:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,565.41,4.0,0.0,735
0,12.0,White,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40203,1477414.0,2022/01/11 10:04:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,565.41,4.0,0.0,736
0,7.0,White,Female,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Single Parent Female,40203,1477414.0,2022/01/11 10:04:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,565.41,4.0,0.0,737
0,10.0,White,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40203,1477414.0,2022/01/11 10:04:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,565.41,4.0,0.0,738
1,33.0,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,"Unemployed(Short - Term, 6 months or less)",Single Parent Female,40215,1463126.0,2021/12/21 16:19:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,925.9,15.0,0.0,739
0,4.0,African American,Female,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Single Parent Female,40215,1463126.0,2021/12/21 16:19:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,925.9,15.0,0.0,740
0,13.0,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40215,1463126.0,2021/12/21 16:19:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,925.9,15.0,0.0,741
1,27.0,African American,Male,Non-Hispanic,Not Disabled,High School Graduate,"Unemployed(Long - Term, more than 6 months)",Single Parent Male,40216,1311947.0,2021/09/24 12:14:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,881.94,0.0,0.0,742
0,8.0,White,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Multigenerational Household,40272,1236474.0,2021/08/04 11:30:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,865.01,14.0,0.0,743
0,14.0,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40215,1461028.0,2021/12/20 11:35:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,513.33,3.0,9528.0,744
1,58.0,White,Female,Non-Hispanic,Not Disabled,High School Graduate,Unemployed(Not in Labor Force),Single Person,40203,1416534.0,2021/11/22 16:36:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,340.81,0.0,0.0,745
1,44.0,African American,Female,Non-Hispanic,Disabled,High School Graduate,Unemployed(Not in Labor Force),Single Person,40214,1304941.0,2021/09/20 12:31:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000.0,10.0,11208.0,746
1,43.0,African American,Female,Non-Hispanic,Not Disabled,Advanced/Post-Secondary Degree,Unemployed(Not in Labor Force),Single Person,40212,1215281.0,2021/07/26 10:30:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,214.25,5.0,12588.0,747
1,49.0,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,Employed Full-Time,Single Parent Female,40213,1290870.0,2021/09/08 12:34:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,862.93,2.0,7308.0,748
0,18.0,African American,Male,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Parent Female,40213,1290870.0,2021/09/08 12:34:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,862.93,2.0,7308.0,749
0,16.0,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40213,1290870.0,2021/09/08 12:34:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,862.93,2.0,7308.0,750
1,32.0,African American,Female,Non-Hispanic,Disabled,High School Graduate,Unemployed(Not in Labor Force),Single Parent Female,40241,1673414.0,2022/04/13 09:22:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,624.75,16.0,26400.0,751
0,17.0,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40241,1673414.0,2022/04/13 09:22:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,624.75,16.0,26400.0,752
0,5.0,African American,Male,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Single Parent Female,40241,1673414.0,2022/04/13 09:22:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,624.75,16.0,26400.0,753
1,68.0,African American,Male,Non-Hispanic,Disabled,Advanced/Post-Secondary Degree,Unemployed(Not in Labor Force),Single Person,40211,1288874.0,2021/09/07 12:47:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,283.15,5.0,22824.0,754
0,15.0,African American,Male,Non-Hispanic,Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40241,1673414.0,2022/04/13 09:22:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,624.75,16.0,26400.0,755
1,57.0,African American,Female,Non-Hispanic,Disabled,12 grade + Some Post-Secondary,Unemployed(Not in Labor Force),Two Adults No Children,40212,1291484.0,2021/09/08 15:08:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,888.34,5.0,20880.0,756
0,84.0,African American,Female,Non-Hispanic,Not Disabled,Grades 9-12,Retired,Two Adults No Children,40212,1291484.0,2021/09/08 15:08:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,888.34,5.0,20880.0,757
1,47.0,White,Female,Non-Hispanic,Disabled,High School Graduate,Unemployed(Not in Labor Force),Other,40216,1423896.0,2021/11/29 13:05:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,102.33,1.0,18768.0,758
0,36.0,White,Female,Non-Hispanic,Disabled,High School Graduate,"Unemployed(Long - Term, more than 6 months)",Other,40216,1423896.0,2021/11/29 13:05:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,102.33,1.0,18768.0,759
1,76.0,White,Female,Non-Hispanic,Disabled,High School Graduate,Unemployed(Not in Labor Force),Multigenerational Household,40203,1523068.0,2022/01/26 16:13:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000.0,5.0,10236.0,760
0,56.0,White,Female,Non-Hispanic,Disabled,12 grade + Some Post-Secondary,Unemployed(Not in Labor Force),Multigenerational Household,40203,1523068.0,2022/01/26 16:13:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000.0,5.0,10236.0,761
0,56.0,White,Female,Non-Hispanic,Not Disabled,High School Graduate,Unemployed(Not in Labor Force),Multigenerational Household,40203,1523068.0,2022/01/26 16:13:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000.0,5.0,10236.0,762
1,28.0,African American,Female,Non-Hispanic,Disabled,12 grade + Some Post-Secondary,"Unemployed(Long - Term, more than 6 months)",Single Person,40212,1451535.0,2021/12/10 14:18:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,624.39,5.0,9528.0,763
1,32.0,African American,Female,Non-Hispanic,Disabled,High School Graduate,Unemployed(Not in Labor Force),Single Parent Female,40203,1256573.0,2021/08/16 11:01:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,425.89,1.0,8568.0,764
0,9.0,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40203,1256573.0,2021/08/16 11:01:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,425.89,1.0,8568.0,765
0,8.0,African American,Male,Non-Hispanic,Disabled,Pre-School,Unemployed(Not in Labor Force),Single Parent Female,40203,1256573.0,2021/08/16 11:01:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,425.89,1.0,8568.0,766
0,7.0,African American,Male,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Single Parent Female,40203,1256573.0,2021/08/16 11:01:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,425.89,1.0,8568.0,767
1,63.0,White,Male,Non-Hispanic,Disabled,High School Graduate,Retired,Single Person,40216,1247415.0,2021/08/10 13:11:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,985.81,1.0,9528.0,768
1,43.0,White,Female,Non-Hispanic,Not Disabled,High School Graduate,Employed Part-Time,Single Parent Female,40210,1465591.0,2021/12/28 09:52:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,163.68,1.0,0.0,769
1,46.0,African American,Female,Non-Hispanic,Disabled,12 grade + Some Post-Secondary,Unemployed(Not in Labor Force),Single Person,40272,1292512.0,2021/09/09 11:28:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,512.48,25.0,9336.0,770
1,67.0,African American,Female,Non-Hispanic,Disabled,High School Graduate,Retired,Single Person,40258,1440635.0,2021/12/07 13:24:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,209.64,14.0,9912.0,771
