ObjectId,INCIDENT_NUMBER,DATE_REPORTED,DATE_OCCURED,CRIME_TYPE,UOR_DESC,LEOKA_APPLIES,OFFICER_KILLED,TYPE_OF_ASSIGNMENT,TYPE_OF_ACTIVITY,NIBRS_CODE,UCR_HIERARCHY,ATT_COMP,LMPD_DIVISION,LMPD_BEAT,PREMISE_TYPE,BLOCK_ADDRESS,OFFENSE_CITY,OFFENSE_ZIP
1120,80-18-093071,2018/11/29 03:29:00+00,2018/11/29 03:29:00+00,ASSAULT,MURDER - POLICE OFFICER ATTEMPTED,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)           ,DOMESTIC DISTURBANCE                                   ,13A,PART I,COMPLETED,7TH DIVISION,711,RESIDENCE / HOME                             ,9900 BLOCK MARY DELL LN                                     ,LOUISVILLE,40291
1121,80-19-029004,2019/04/24 18:04:59+00,2019/04/24 18:03:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)              ,TRAFFIC PURSUIT OR STOPS                               ,13A,PART I,COMPLETED,2ND DIVISION,212,HIGHWAY / ROAD / ALLEY                       ,DUMESNIL ST AT I264                                         ,LOUISVILLE,40211
1122,80-18-096358,2018/12/10 22:18:00+00,2018/12/10 21:00:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER)                    ,RESPONDING TO DISTURBANCE CALLS                        ,13A,PART I,COMPLETED,4TH DIVISION,411,HIGHWAY / ROAD / ALLEY                       ,700 BLOCK S 1ST ST                                          ,LOUISVILLE,40202
1123,80-19-063441,2019/08/28 06:30:59+00,2019/08/28 06:30:59+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)           ,RESPONDING TO DISTURBANCE CALLS                        ,13A,PART I,COMPLETED,7TH DIVISION,736,OTHER RESIDENCE (APARTMENT/CONDO)            ,8200 BLOCK MINOR LN                                         ,LOUISVILLE,40219
1124,80-20-024830,2020/04/25 10:30:00+00,2020/04/25 05:06:59+00,ASSAULT,MURDER - POLICE OFFICER ATTEMPTED,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)              ,TRAFFIC PURSUIT OR STOPS                               ,13A,PART I,COMPLETED,3RD DIVISION,331,HIGHWAY / ROAD / ALLEY                       ,DIXIE HWY / GREENWOOD RD                                    ,LOUISVILLE,40258
1125,80-19-013914,2019/02/24 08:19:00+00,2019/02/24 08:19:00+00,ASSAULT,MURDER - POLICE OFFICER ATTEMPTED,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)              ,DOMESTIC DISTURBANCE                                   ,13A,PART I,COMPLETED,7TH DIVISION,724,HIGHWAY / ROAD / ALLEY                       ,9400 BLOCK MOONRIDGE PL                                     ,LOUISVILLE,40229
1126,80-19-014326,2019/02/26 08:00:00+00,2019/02/26 07:50:00+00,ASSAULT,MURDER - POLICE OFFICER ATTEMPTED,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)              ,TRAFFIC PURSUIT OR STOPS                               ,13A,PART I,COMPLETED,6TH DIVISION,624,CONVENIENCE STORE                            ,4600 BLOCK WATTBOURNE LN                                    ,LOUISVILLE,40299
1127,80-19-065337,2019/09/04 13:53:00+00,2019/09/04 13:53:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER)                    ,RESPONDING TO DISTURBANCE CALLS                        ,13A,PART I,COMPLETED,5TH DIVISION,514,HIGHWAY / ROAD / ALLEY                       ,3400 BLOCK DUTCHMANS LN                                     ,LOUISVILLE,40205
1128,80-19-068194,2019/09/15 02:23:59+00,2019/09/15 02:19:59+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER)                    ,TRAFFIC PURSUIT OR STOPS                               ,13A,PART I,COMPLETED,1ST DIVISION,123,HIGHWAY / ROAD / ALLEY                       ,S 8TH ST / W LIBERTY ST                                     ,LOUISVILLE,40203
1129,80-19-082698,2019/11/07 23:05:00+00,2019/11/07 23:05:00+00,ASSAULT,MURDER - POLICE OFFICER ATTEMPTED,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER)                    ,"CIVIL DISORDER (RIOT, MASS DISOBEDIENCE, ETC.)         ",13A,PART I,COMPLETED,1ST DIVISION,111,GROCERY / SUPERMARKET                        ,500 BLOCK N 35TH ST                                         ,LOUISVILLE,40212
1130,80-19-079685,2019/10/28 03:10:00+00,2019/10/28 03:08:59+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER)                    ,RESPONDING TO DISTURBANCE CALLS                        ,13A,PART I,COMPLETED,6TH DIVISION,625,GROCERY / SUPERMARKET                        ,3000 BLOCK BRECKENRIDGE LN                                  ,LOUISVILLE,40220
1131,80-18-065538,2018/08/23 23:26:59+00,2018/08/23 23:26:59+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER)                    ,RESPONDING TO DISTURBANCE CALLS                        ,13A,PART I,COMPLETED,7TH DIVISION,735,HIGHWAY / ROAD / ALLEY                       ,OUTER LOOP / SHEPHERDSVILLE RD                              ,LOUISVILLE,40219
1132,80-19-086089,2019/11/21 04:09:59+00,2019/11/21 03:59:59+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)           ,TRAFFIC PURSUIT OR STOPS                               ,13A,PART I,COMPLETED,4TH DIVISION,411,HIGHWAY / ROAD / ALLEY                       ,1000 BLOCK S 1ST ST                                         ,LOUISVILLE,40203
1133,80-18-088261,2018/11/10 06:03:00+00,2018/11/10 06:03:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)           ,TRAFFIC PURSUIT OR STOPS                               ,13A,PART I,COMPLETED,2ND DIVISION,211,HIGHWAY / ROAD / ALLEY                       ,S 41ST ST / W MARKET ST                                     ,LOUISVILLE,40212
1134,80-20-017048,2020/03/13 06:11:59+00,2020/03/13 04:43:00+00,ASSAULT,MURDER - POLICE OFFICER ATTEMPTED,YES,NO,DETECTIVE OR SPECIAL ASSIGNMENT ASSISTED               ,ALL OTHER                                              ,13A,PART I,COMPLETED,3RD DIVISION,322,RESIDENCE / HOME                             ,3000 BLOCK SPRINGFIELD DR                                   ,LOUISVILLE,40214
1135,80-17-030761,2017/04/18 22:25:00+00,2017/04/18 22:25:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER)                    ,RESPONDING TO DISTURBANCE CALLS                        ,13A,PART I,COMPLETED,4TH DIVISION,411,HIGHWAY / ROAD / ALLEY                       ,134.6 I65N                                                  ,LOUISVILLE,40203
1136,80-18-068645,2018/09/04 01:56:00+00,2018/09/04 01:56:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,NO,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)              ,ALL OTHER                                              ,13A,PART I,COMPLETED,4TH DIVISION,423,SERVICE / GAS STATION                        ,MANSLICK CT / MANSLICK RD                                   ,LOUISVILLE,40215
1137,80-19-016494,2019/03/07 01:20:00+00,2019/03/07 01:12:59+00,ASSAULT,ASSAULT 3RD - PEACE OFFICER - NON COMMUNICABLE BODILY FLUID,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)           ,ALL OTHER                                              ,13A,PART I,COMPLETED,1ST DIVISION,112,RESIDENCE / HOME                             ,2600 BLOCK W CHESTNUT ST                                    ,LOUISVILLE,40211
1138,80-18-068645,2018/09/04 01:56:00+00,2018/09/04 01:56:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,NO,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)              ,ALL OTHER                                              ,13A,PART I,COMPLETED,4TH DIVISION,423,SERVICE / GAS STATION                        ,MANSLICK CT / MANSLICK RD                                   ,LOUISVILLE,40215
1139,80-17-082544,2017/10/09 19:28:59+00,2017/10/09 19:28:59+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER)                    ,ATTEMPTING OTHER ARREST                                ,13A,PART I,COMPLETED,2ND DIVISION,223,RESIDENCE / HOME                             ,3200 BLOCK HALE AVE                                         ,LOUISVILLE,40211
1140,80-17-082544,2017/10/09 19:28:59+00,2017/10/09 19:28:59+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER)                    ,ATTEMPTING OTHER ARREST                                ,13A,PART I,COMPLETED,2ND DIVISION,223,RESIDENCE / HOME                             ,3200 BLOCK HALE AVE                                         ,LOUISVILLE,40211
1141,80-16-033593,2016/04/22 02:00:00+00,2016/04/22 01:30:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER)                    ,ALL OTHER                                              ,13A,PART I,COMPLETED,1ST DIVISION,134,PARKING LOT / GARAGE                         ,100 BLOCK E MARKET ST                                       ,LOUISVILLE,40202
1142,80-19-015176,2019/02/28 06:04:59+00,2019/02/28 06:04:59+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)              ,INVESTIGATING SUSPICIOUS PERSONS OR CIRCUMSTANCE       ,13A,PART I,COMPLETED,2ND DIVISION,223,HIGHWAY / ROAD / ALLEY                       ,DIXIE HWY / W OAK ST                                        ,LOUISVILLE,40210
1143,80-18-023661,2018/03/31 04:34:59+00,2018/03/31 04:34:59+00,ASSAULT,MURDER - POLICE OFFICER ATTEMPTED,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)           ,INVESTIGATING SUSPICIOUS PERSONS OR CIRCUMSTANCE       ,13A,PART I,COMPLETED,6TH DIVISION,625,PARKING LOT / GARAGE                         ,100 BLOCK BRECKINRIDGE SQ                                   ,MEDE,40220
1144,80-19-051394,2019/07/12 23:45:59+00,2019/07/12 23:45:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER)                    ,RESPONDING TO DISTURBANCE CALLS                        ,13A,PART I,COMPLETED,2ND DIVISION,223,HIGHWAY / ROAD / ALLEY                       ,1400 BLOCK HEMLOCK ST                                       ,LOUISVILLE,40211
1145,80-19-022059,2019/03/28 16:34:00+00,2019/03/28 16:34:00+00,ASSAULT,MURDER - POLICE OFFICER ATTEMPTED,YES,NO,DETECTIVE OR SPECIAL ASSIGNMENT ASSISTED               ,ATTEMPTING OTHER ARREST                                ,13A,PART I,COMPLETED,4TH DIVISION,423,RESIDENCE / HOME                             ,1400 BLOCK WEYLER AVE                                       ,LOUISVILLE,40215
1146,80-19-060260,2019/08/16 18:16:00+00,2019/08/16 18:14:59+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER)                    ,RESPONDING TO DISTURBANCE CALLS                        ,13A,PART I,COMPLETED,2ND DIVISION,234,OTHER / UNKNOWN                              ,1500 BLOCK HEMLOCK ST                                       ,LOUISVILLE,40211
1147,80-17-004209,2017/01/14 20:55:00+00,2017/01/14 20:55:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER)                    ,RESPONDING TO DISTURBANCE CALLS                        ,13A,PART I,COMPLETED,4TH DIVISION,423,RESIDENCE / HOME                             ,1500 BLOCK LONGFIELD AVE                                    ,LOUISVILLE,40215
1148,80-19-079510,2019/10/27 10:50:00+00,2019/10/27 10:44:59+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER)                    ,DOMESTIC DISTURBANCE                                   ,13A,PART I,COMPLETED,3RD DIVISION,331,HIGHWAY / ROAD / ALLEY                       ,5100 BLOCK STEWART DR                                       ,LOUISVILLE,40216
1149,80-17-008030,2017/01/27 21:20:59+00,2017/01/27 21:20:59+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)           ,TRAFFIC PURSUIT OR STOPS                               ,13A,PART I,COMPLETED,3RD DIVISION,322,HIGHWAY / ROAD / ALLEY                       ,NEW CUT RD / TAYLOR BLVD                                    ,LOUISVILLE,40214
1150,80-19-071338,2019/09/26 05:55:00+00,2019/09/26 05:52:59+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER)                    ,TRAFFIC PURSUIT OR STOPS                               ,13A,PART I,COMPLETED,7TH DIVISION,724,HIGHWAY / ROAD / ALLEY                       ,6500 BLOCK PRICE LANE RD                                    ,LOUISVILLE,40229
1151,80-19-027693,2019/04/18 17:44:00+00,2019/04/18 17:31:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER)                    ,ATTEMPTING OTHER ARREST                                ,13A,PART I,COMPLETED,3RD DIVISION,331,HIGHWAY / ROAD / ALLEY                       ,2500 BLOCK PENNACOOK RD                                     ,LOUISVILLE,40214
1152,80-18-023673,2018/03/31 06:45:00+00,2018/03/31 06:42:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)              ,DOMESTIC DISTURBANCE                                   ,13A,PART I,COMPLETED,4TH DIVISION,424,HIGHWAY / ROAD / ALLEY                       ,700 BLOCK COMPTON ST                                        ,LOUISVILLE,40208
1153,80-18-023962,2018/04/01 18:40:00+00,2018/04/01 18:40:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)              ,RESPONDING TO DISTURBANCE CALLS                        ,13A,PART I,COMPLETED,2ND DIVISION,223,RESIDENCE / HOME                             ,3300 BLOCK GRAND AVE                                        ,LOUISVILLE,40211
1154,80-18-064399,2018/08/20 17:06:00+00,2018/08/20 17:06:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER)                    ,ATTEMPTING OTHER ARREST                                ,13A,PART I,COMPLETED,4TH DIVISION,424,RESIDENCE / HOME                             ,300 BLOCK W WHITNEY AVE                                     ,LOUISVILLE,40214
1155,80-18-076563,2018/10/01 02:34:00+00,2018/10/01 02:16:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)           ,TRAFFIC PURSUIT OR STOPS                               ,13A,PART I,COMPLETED,METRO LOUISVILLE,AUD,HIGHWAY / ROAD / ALLEY                       ,PERENNIAL DR / PRESTON HWY                                  ,LOUISVILLE,40217
1156,80-17-103483,2017/12/21 21:42:00+00,2017/12/21 21:40:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER)                    ,RESPONDING TO DISTURBANCE CALLS                        ,13A,PART I,COMPLETED,2ND DIVISION,223,HIGHWAY / ROAD / ALLEY                       ,1700 BLOCK W KENTUCKY ST                                    ,LOUISVILLE,40210
1157,80-19-013420,2019/02/22 06:04:59+00,2019/02/22 05:52:59+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER)                    ,RESPONDING TO DISTURBANCE CALLS                        ,13A,PART I,COMPLETED,7TH DIVISION,735,PARKING LOT / GARAGE                         ,4300 BLOCK OUTER LOOP                                       ,LOUISVILLE,40219
1158,80-19-089532,2019/11/30 03:30:00+00,2019/11/30 03:14:59+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER)                    ,TRAFFIC PURSUIT OR STOPS                               ,13A,PART I,COMPLETED,8TH DIVISION,815,HIGHWAY / ROAD / ALLEY                       ,S HURSTBOURNE PKY / LINN STATION RD                         ,JEFFERSONTOWN,40222
1159,80-17-090948,2017/11/08 08:02:00+00,2017/11/08 08:02:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)              ,RESPONDING TO DISTURBANCE CALLS                        ,13A,PART I,COMPLETED,1ST DIVISION,112,RESIDENCE / HOME                             ,1900 BLOCK W CHESTNUT ST                                    ,LOUISVILLE,40203
1160,80-19-077383,2019/10/30 18:43:59+00,2019/10/19 03:26:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER)                    ,ALL OTHER                                              ,13A,PART I,COMPLETED,2ND DIVISION,211,HIGHWAY / ROAD / ALLEY                       ,600 BLOCK S 43RD ST                                         ,LOUISVILLE,40211
1161,80-18-043523,2018/06/08 20:55:59+00,2018/06/08 20:55:59+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER)                    ,TRAFFIC PURSUIT OR STOPS                               ,13A,PART I,COMPLETED,2ND DIVISION,223,HIGHWAY / ROAD / ALLEY                       ,S 32ND ST / W KENTUCKY ST                                   ,LOUISVILLE,40211
1162,80-18-068645,2018/09/04 01:56:00+00,2018/09/04 01:56:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,NO,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)              ,ALL OTHER                                              ,13A,PART I,COMPLETED,4TH DIVISION,423,SERVICE / GAS STATION                        ,MANSLICK CT / MANSLICK RD                                   ,LOUISVILLE,40215
1163,80-19-059529,2019/08/14 01:36:00+00,2019/08/14 01:36:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)           ,DOMESTIC DISTURBANCE                                   ,13A,PART I,COMPLETED,2ND DIVISION,223,RESIDENCE / HOME                             ,2600 BLOCK GREENWOOD AVE                                    ,LOUISVILLE,40211
1164,80-19-077383,2019/10/30 18:43:59+00,2019/10/19 03:26:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)           ,ALL OTHER                                              ,13A,PART I,COMPLETED,2ND DIVISION,211,HIGHWAY / ROAD / ALLEY                       ,600 BLOCK S 43RD ST                                         ,LOUISVILLE,40211
1165,80-18-020158,2018/09/21 14:16:59+00,2018/03/18 01:30:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)           ,ALL OTHER                                              ,13A,PART I,COMPLETED,3RD DIVISION,331,HIGHWAY / ROAD / ALLEY                       ,FEYHURST DR / GREENWOOD RD                                  ,LOUISVILLE,40258
1166,80-18-013001,2018/02/19 22:21:00+00,2018/02/19 22:21:00+00,ASSAULT,DISARMING A PEACE OFFICER,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)           ,RESPONDING TO DISTURBANCE CALLS                        ,13A,PART I,COMPLETED,6TH DIVISION,611,HIGHWAY / ROAD / ALLEY                       ,1700 BLOCK BELMAR DR                                        ,LOUISVILLE,40213
1167,80-18-030486,2018/04/25 01:30:00+00,2018/04/25 01:30:00+00,ASSAULT,DISARMING A PEACE OFFICER,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)           ,TRAFFIC PURSUIT OR STOPS                               ,13A,PART I,COMPLETED,4TH DIVISION,412,HIGHWAY / ROAD / ALLEY                       ,S JACKSON ST / LAMPTON ST                                   ,LOUISVILLE,40203
1168,80-18-054493,2018/07/17 17:41:00+00,2018/07/17 17:41:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER)                    ,TRAFFIC PURSUIT OR STOPS                               ,13A,PART I,COMPLETED,1ST DIVISION,111,HIGHWAY / ROAD / ALLEY                       ,N 20TH ST / LYTLE ST                                        ,LOUISVILLE,40203
1169,80-18-023296,2018/03/29 21:58:00+00,2018/03/29 21:58:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER)                    ,RESPONDING TO DISTURBANCE CALLS                        ,13A,PART I,COMPLETED,4TH DIVISION,424,RESIDENCE / HOME                             ,100 BLOCK E KENTON ST                                       ,LOUISVILLE,40214
1170,80-18-025678,2018/04/08 08:00:00+00,2018/04/08 07:22:59+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER)                    ,TRAFFIC PURSUIT OR STOPS                               ,13A,PART I,COMPLETED,4TH DIVISION,412,HIGHWAY / ROAD / ALLEY                       ,S HANCOCK ST / E ST CATHERINE ST                            ,LOUISVILLE,40203
1171,80-19-080896,2019/11/01 14:36:59+00,2019/11/01 06:45:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER)                    ,TRAFFIC PURSUIT OR STOPS                               ,13A,PART I,COMPLETED,3RD DIVISION,331,HIGHWAY / ROAD / ALLEY                       ,6000 BLOCK TERRY RD                                         ,LOUISVILLE,40258
1172,80-18-021042,2018/03/21 15:14:59+00,2018/03/21 14:55:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER)                    ,RESPONDING TO DISTURBANCE CALLS                        ,13A,PART I,COMPLETED,4TH DIVISION,424,PARKING LOT / GARAGE                         ,3100 BLOCK S 2ND ST                                         ,LOUISVILLE,40208
1173,80-18-062996,2018/08/15 18:37:59+00,2018/08/15 18:20:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER)                    ,TRAFFIC PURSUIT OR STOPS                               ,13A,PART I,COMPLETED,1ST DIVISION,111,HIGHWAY / ROAD / ALLEY                       ,N 22ND ST / GRIFFITHS AVE                                   ,LOUISVILLE,40212
1174,80-18-055239,2018/07/20 01:41:00+00,2018/07/20 01:38:59+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)           ,ATTEMPTING OTHER ARREST                                ,13A,PART I,COMPLETED,1ST DIVISION,111,HIGHWAY / ROAD / ALLEY                       ,1700 BLOCK DUNCAN ST                                        ,LOUISVILLE,40203
1175,80-20-014319,2020/03/02 10:22:59+00,2020/03/02 10:20:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER)                    ,INVESTIGATING SUSPICIOUS PERSONS OR CIRCUMSTANCE       ,13A,PART I,COMPLETED,3RD DIVISION,315,HIGHWAY / ROAD / ALLEY                       ,BARKSDALE DR / DORRANCE DR                                  ,LOUISVILLE,40258
1176,80-16-039458,2016/05/10 02:25:00+00,2016/05/10 02:25:00+00,ASSAULT,MURDER - POLICE OFFICER ATTEMPTED,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER)                    ,TRAFFIC PURSUIT OR STOPS                               ,13A,PART I,COMPLETED,2ND DIVISION,236,FIELD / WOODS                                ,KRAMERS LN / MATTHEWS AVE                                   ,LOUISVILLE,40216
1177,80-16-055460,2016/06/30 20:52:59+00,2016/06/30 20:45:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,DETECTIVE OR SPECIAL ASSIGNMENT ALONE                  ,INVESTIGATING SUSPICIOUS PERSONS OR CIRCUMSTANCE       ,13A,PART I,COMPLETED,8TH DIVISION,815,HOTEL / MOTEL / ETC.                         ,9300 BLOCK BLAIRWOOD RD                                     ,LOUISVILLE,40222
1178,80-17-080224,2017/09/27 01:17:00+00,2017/09/27 01:17:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER)                    ,RESPONDING TO DISTURBANCE CALLS                        ,13A,PART I,COMPLETED,7TH DIVISION,736,HIGHWAY / ROAD / ALLEY                       ,PRESTON HWY / TRIO AVE                                      ,LOUISVILLE,40219
1179,80-18-028533,2018/04/08 23:39:00+00,2018/04/08 23:39:00+00,ASSAULT,MURDER - POLICE OFFICER ATTEMPTED,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)           ,RESPONDING TO DISTURBANCE CALLS                        ,13A,PART I,COMPLETED,3RD DIVISION,331,CHURCH / SYNAGOGUE / TEMPLE                  ,4500 BLOCK CRAWFORD AVE                                     ,LOUISVILLE,40258
1180,80-16-008279,2016/01/27 22:01:00+00,2016/01/27 21:56:59+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)           ,ALL OTHER                                              ,13A,PART I,COMPLETED,8TH DIVISION,815,PARKING LOT / GARAGE                         ,7900 BLOCK SHELBYVILLE RD                                   ,LOUISVILLE,40222
1181,80-16-080507,2016/09/20 08:00:00+00,2016/09/19 15:40:59+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,"OTHER ASSISTED (FOOT, OFF DUTY, ETC)                   ",INVESTIGATING SUSPICIOUS PERSONS OR CIRCUMSTANCE       ,13A,PART I,COMPLETED,7TH DIVISION,736,RESIDENCE / HOME                             ,3700 BLOCK FALCON CREST DR                                  ,LOUISVILLE,40219
1182,80-20-028927,2020/05/17 00:04:59+00,2020/05/17 00:01:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)           ,ATTEMPTING OTHER ARREST                                ,13A,PART I,COMPLETED,1ST DIVISION,123,HIGHWAY / ROAD / ALLEY                       ,W CHESTNUT ST / ROY WILKINS AVE                             ,LOUISVILLE,40203
