ObjectId,CodesAndRegsLicenseDataID,LicenseID,Description,LicenseName,Location,StreetNumber,Prefix,StreetName,Suffix,Longitude,Latitude,ExpirationDate,SubType,SubDescription,IssueDate,Zip,DISTRICT,NEIGHBORHOOD,ZONING,EndorsementType,EndorsementTypeDescription,EndorsementStatusDescription,EndorsementIssuedDate,AGENCY,GPSX,GPSY
220,170,36805,Alcoholic Beverage Annual,DIORIO'S PIZZA AND PUB,919 BAXTER AVE ,919, ,BAXTER,AVE,-85.7253995579,38.2423448527,2019/10/31 03:59:59+00,RST,Restaurant / Cafe,2013-02-25 15:52:40,40204,8,CHEROKEE TRIANGLE,(C2),SD,Sunday Drink,ACTIVE,,Codes and Regulations,1216694.0,273727.0
221,171,36806,Alcoholic Beverage Annual,LIQUOR PALACE 7,344 E LEE ST ,344,E,LEE,ST,-85.7520660338,38.2220909187,2019/05/31 03:59:59+00,LIQ,Liquor Store,2013-06-24 07:53:04,40208,6,OLD LOUISVILLE,EZ1,LP,Quota Retail Package,ACTIVE,,Codes and Regulations,1208916.0,266476.0
222,172,36806,Alcoholic Beverage Annual,LIQUOR PALACE 7,344 E LEE ST ,344,E,LEE,ST,-85.7520660338,38.2220909187,2019/05/31 03:59:59+00,LIQ,Liquor Store,2013-06-24 07:53:04,40208,6,OLD LOUISVILLE,EZ1,LP2,Quota Retail Package (12 AM - 2 AM),ACTIVE,,Codes and Regulations,1208916.0,266476.0
223,173,15ABC1095,Alcoholic Beverage Annual,WALGREENS #09005,200 E BROADWAY ,200,E,BROADWAY, ,-85.7513038468,38.2453515363,2019/08/31 03:59:59+00,DRG,Drug Store,2015-07-29 18:27:09,40202,4,CENTRAL BUSINESS DISTRICT,C3,LP,Quota Retail Package,ACTIVE,2015-07-29 18:27:09,Codes and Regulations,1209273.0,274942.0
224,174,15ABC1112,Alcoholic Beverage Annual,WALGREENS #12322,808 EASTERN PKY ,808, ,EASTERN,PKY,-85.742014854,38.2146041105,2019/08/31 03:59:59+00,DRG,Drug Store,2015-07-29 17:27:23,40217,10,SCHNITZELBURG,C1,MBP,NQ Retail Malt Beverage Package,ACTIVE,2015-07-29 17:27:23,Codes and Regulations,1211759.0,263703.0
225,175,36813,Alcoholic Beverage Annual,OLD RASCALS,1102 W ASHLAND AVE ,1102,W,ASHLAND,AVE,-85.7792987575,38.1862786247,2019/02/28 05:00:00+00,BAR,Bar,2013-02-27 15:41:00,40215,21,BEECHMONT,C1,LD,Quota Retail Drink,ACTIVE,,Codes and Regulations,1200877.0,253565.0
226,176,36813,Alcoholic Beverage Annual,OLD RASCALS,1102 W ASHLAND AVE ,1102,W,ASHLAND,AVE,-85.7792987575,38.1862786247,2019/02/28 05:00:00+00,BAR,Bar,2013-02-27 15:41:00,40215,21,BEECHMONT,C1,LD4,Quota Retail Drink (12 AM - 4 AM),ACTIVE,,Codes and Regulations,1200877.0,253565.0
227,177,36813,Alcoholic Beverage Annual,OLD RASCALS,1102 W ASHLAND AVE ,1102,W,ASHLAND,AVE,-85.7792987575,38.1862786247,2019/02/28 05:00:00+00,BAR,Bar,2013-02-27 15:41:00,40215,21,BEECHMONT,C1,SD,Sunday Drink,ACTIVE,,Codes and Regulations,1200877.0,253565.0
228,178,36441,Alcoholic Beverage Annual,ABYSSINIA ETHIOPIAN RESTAURANT,554 S 5TH ST ,554,S,5TH,ST,-85.759665083,38.2495335859,2019/11/30 05:00:00+00,RST,Restaurant / Cafe,2012-12-06 15:24:25,40202,4,CENTRAL BUSINESS DISTRICT,(C3),LD4,Quota Retail Drink (12 AM - 4 AM),ACTIVE,2012-12-06 15:24:25,Codes and Regulations,1206897.0,276504.0
229,179,15ABC1136,Alcoholic Beverage Annual,SILVIO'S,104 FAIRFAX AVE ,104, ,FAIRFAX,AVE,-85.6512836434,38.2521283596,2019/05/31 03:59:59+00,RST,Restaurant / Cafe,2015-08-21 11:41:25,40207,9,ROCKCREEK LEXINGTON ROAD,C1,RLD,NQ2 Retail Drink (Restaurant),ACTIVE,2015-08-21 11:41:25,Codes and Regulations,1238032.0,276957.0
230,180,15ABC1171,Alcoholic Beverage Annual,RIVER HOUSE,3015 RIVER RD 101,3015, ,RIVER,RD,-85.6988114491,38.2814066652,2019/05/31 03:59:59+00,RST,Restaurant / Cafe,2016-05-18 09:53:51,40207,7,,C2,SBL,Supplemental Bar,ACTIVE,2016-05-18 09:53:51,Codes and Regulations,1224553.0,287829.0
231,181,15ABC1125,Alcoholic Beverage Annual,RED CASTLE PACKAGED LIQUORS,1200 S 1ST ST ,1200,S,1ST,ST,-85.7557657615,38.2344761157,2019/10/31 03:59:59+00,LIQ,Liquor Store,2015-07-21 10:09:52,40203,6,OLD LOUISVILLE,TNZD,LP2,Quota Retail Package (12 AM - 2 AM),INACTIVE,,Codes and Regulations,1207927.0,271003.0
232,182,15ABC1179,Alcoholic Beverage Annual,QUICK STOP LIQUORS,8116 BLUE LICK RD ,8116, ,BLUE LICK,RD,-85.6875158414,38.1325511351,2019/02/28 05:00:00+00,LIQ,Liquor Store,2015-11-06 10:11:47,40219,24,,C2,MBP2,NQ Retail Malt Beverage Package (12 am till 2 am),ACTIVE,2015-11-06 10:11:47,Codes and Regulations,1226949.0,233577.0
233,183,36829,Alcoholic Beverage Annual,"O'LINE SPORTS GRILL, THE",2813 N HURSTBOURNE PKY 101,2813,N,HURSTBOURNE,PKY,-85.5707677047,38.2868156874,2020/01/31 05:00:00+00,RST,Restaurant / Cafe,2013-02-04 12:01:23,40223,17,,C1,RLD,NQ2 Retail Drink (Restaurant),ACTIVE,,Codes and Regulations,1261332.0,289246.0
234,184,36829,Alcoholic Beverage Annual,"O'LINE SPORTS GRILL, THE",2813 N HURSTBOURNE PKY 101,2813,N,HURSTBOURNE,PKY,-85.5707677047,38.2868156874,2020/01/31 05:00:00+00,RST,Restaurant / Cafe,2013-02-04 12:01:23,40223,17,,C1,SD,Sunday Drink,ACTIVE,,Codes and Regulations,1261332.0,289246.0
235,185,6716,Alcoholic Beverage Annual,MOLLY MALONE'S,933 BAXTER AVE ,933, ,BAXTER,AVE,-85.7250523833,38.2418823573,2019/10/31 03:59:59+00,RST,Restaurant / Cafe,2004-10-21 09:44:00,40204,8,CHEROKEE TRIANGLE,(C2),MBRD,NQ4 Retail Malt Beverage Drink,ACTIVE,,Codes and Regulations,1216791.0,273557.0
236,186,13ABC1040,Alcoholic Beverage Annual,SPEEDWAY #9391,2210 ARTHUR ST ,2210, ,ARTHUR,ST,-85.7530673957,38.2149621592,2019/08/31 03:59:59+00,GRO,Grocery / Food Mart,2013-11-06 11:00:19,40208,6,UNIVERSITY,C2,MBP2,NQ Retail Malt Beverage Package (12 am till 2 am),ACTIVE,,Codes and Regulations,1208586.0,263885.0
237,187,6716,Alcoholic Beverage Annual,MOLLY MALONE'S,933 BAXTER AVE ,933, ,BAXTER,AVE,-85.7250523833,38.2418823573,2019/10/31 03:59:59+00,RST,Restaurant / Cafe,2004-10-21 09:44:00,40204,8,CHEROKEE TRIANGLE,(C2),MBRD4,NQ4 Retail Malt Beverage Drink (12 am till 4 am),ACTIVE,,Codes and Regulations,1216791.0,273557.0
238,188,13953,Alcoholic Beverage Annual,BARRET LIQUORS,1033 BARRET AVE ,1033, ,BARRET,AVE,-85.7272968262,38.235638967,2019/10/31 03:59:59+00,LIQ,Liquor Store,2005-04-18 15:42:00,40204,8,TYLER PARK,C2,LP2,Quota Retail Package (12 AM - 2 AM),ACTIVE,,Codes and Regulations,1216110.0,271294.0
239,189,15ABC1206,Alcoholic Beverage Annual,ASAHI RESTAURANT,3701 LEXINGTON RD ,3701, ,LEXINGTON,RD,-85.6607452214,38.2518991108,2019/05/31 03:59:59+00,RST,Restaurant / Cafe,2016-02-02 08:34:47,40207,9,ROCKCREEK LEXINGTON ROAD,C2,SD,Sunday Drink,ACTIVE,,Codes and Regulations,1235314.0,276915.0
240,190,36852,Alcoholic Beverage Annual,LA MOVIDA,7803 3RD STREET RD ,7803, ,3RD STREET,RD,-85.7912087896,38.1314271033,2019/02/28 05:00:00+00,BAR,Bar,2013-04-12 08:55:22,40214,25,,C2,LD,Quota Retail Drink,ACTIVE,,Codes and Regulations,1197120.0,233650.0
241,191,36852,Alcoholic Beverage Annual,LA MOVIDA,7803 3RD STREET RD ,7803, ,3RD STREET,RD,-85.7912087896,38.1314271033,2019/02/28 05:00:00+00,BAR,Bar,2013-04-12 08:55:22,40214,25,,C2,LD4,Quota Retail Drink (12 AM - 4 AM),ACTIVE,,Codes and Regulations,1197120.0,233650.0
242,192,15ABC1068,Alcoholic Beverage Annual,BUFFALO WILD WINGS,4917 OUTER LOOP ,4917, ,OUTER,LOOP,-85.6669434465,38.1383176369,2019/02/28 05:00:00+00,RST,Restaurant / Cafe,2015-05-29 11:48:37,40219,24,,C2,RLD,NQ2 Retail Drink (Restaurant),ACTIVE,2015-05-29 11:48:37,Codes and Regulations,1232898.0,235585.0
243,193,15ABC1056,Alcoholic Beverage Annual,WILD EGGS,153 S ENGLISH STATION RD ,153,S,ENGLISH STATION,RD,-85.4933442907,38.2384907571,2019/02/28 05:00:00+00,RST,Restaurant / Cafe,2015-04-22 09:11:25,40245,20,,C1,RLD,NQ2 Retail Drink (Restaurant),ACTIVE,,Codes and Regulations,1283315.0,271340.0
244,194,36852,Alcoholic Beverage Annual,LA MOVIDA,7803 3RD STREET RD ,7803, ,3RD STREET,RD,-85.7912087896,38.1314271033,2019/02/28 05:00:00+00,BAR,Bar,2013-04-12 08:55:22,40214,25,,C2,SD,Sunday Drink,ACTIVE,,Codes and Regulations,1197120.0,233650.0
245,195,36877,Alcoholic Beverage Annual,CHIPOTLE MEXICAN GRILL # 1965,315 S 4TH ST ,315,S,4TH,ST,-85.7569092417,38.2531751648,2019/11/30 20:41:00+00,RST,Restaurant / Cafe,2013-04-23 10:14:52,40202,4,CENTRAL BUSINESS DISTRICT,(C3),LD,Quota Retail Drink,ACTIVE,,Codes and Regulations,1207710.0,277817.0
246,196,15ABC1068,Alcoholic Beverage Annual,BUFFALO WILD WINGS,4917 OUTER LOOP ,4917, ,OUTER,LOOP,-85.6669434465,38.1383176369,2019/02/28 05:00:00+00,RST,Restaurant / Cafe,2015-05-29 11:48:37,40219,24,,C2,RLD2,NQ2 Restaurant Liquor Drink (12 am till 2 am),ACTIVE,2015-05-29 11:48:37,Codes and Regulations,1232898.0,235585.0
247,197,36877,Alcoholic Beverage Annual,CHIPOTLE MEXICAN GRILL # 1965,315 S 4TH ST ,315,S,4TH,ST,-85.7569092417,38.2531751648,2019/11/30 20:41:00+00,RST,Restaurant / Cafe,2013-04-23 10:14:52,40202,4,CENTRAL BUSINESS DISTRICT,(C3),SD,Sunday Drink,ACTIVE,,Codes and Regulations,1207710.0,277817.0
248,198,15ABC1072,Alcoholic Beverage Annual,WILD EGGS,121 S FLOYD ST ,121,S,FLOYD,ST,-85.7478660675,38.2549475523,2019/11/30 05:00:00+00,RST,Restaurant / Cafe,2015-05-26 12:39:45,40202,4,CENTRAL BUSINESS DISTRICT,(C3),RLD,NQ2 Retail Drink (Restaurant),ACTIVE,2015-05-26 12:39:45,Codes and Regulations,1210317.0,278420.0
249,199,15ABC1072,Alcoholic Beverage Annual,WILD EGGS,121 S FLOYD ST ,121,S,FLOYD,ST,-85.7478660675,38.2549475523,2019/11/30 05:00:00+00,RST,Restaurant / Cafe,2015-05-26 12:39:45,40202,4,CENTRAL BUSINESS DISTRICT,(C3),SD,Sunday Drink,ACTIVE,2015-05-26 12:39:45,Codes and Regulations,1210317.0,278420.0
250,200,15ABC1048,Alcoholic Beverage Annual,THE YEARLING CLUB,4309 W BROADWAY ,4309,W,BROADWAY, ,-85.8250066024,38.250796376,2019/03/31 03:59:59+00,PRI,Private Club,2015-05-01 09:17:11,40211,5,SHAWNEE,R7,PC2,NQ3 Private Club  (12 am till 2 am),ACTIVE,,Codes and Regulations,1188143.0,277278.0
251,201,13ABC1089,Alcoholic Beverage Annual,CROSSROADS IGA #782,14010 SHELBYVILLE RD ,14010, ,SHELBYVILLE,RD,-85.4890742572,38.2382203246,2019/02/28 05:00:00+00,GRO,Grocery / Food Mart,2013-11-18 11:13:57,40245,20,,C1,MBP,NQ Retail Malt Beverage Package,ACTIVE,,Codes and Regulations,1284540.0,271225.0
252,202,15ABC1077,Alcoholic Beverage Annual,DIFABIO'S CASAPELA LOUISVILLE,2311 FRANKFORT AVE ,2311, ,FRANKFORT,AVE,-85.7027761465,38.2535369878,2019/09/30 03:59:59+00,RST,Restaurant / Cafe,2015-05-29 23:25:06,40206,9,CLIFTON,C2,MBRD,NQ4 Retail Malt Beverage Drink,ACTIVE,2015-05-29 23:25:06,Codes and Regulations,1223255.0,277699.0
253,203,14ABC1069,Alcoholic Beverage Annual,LIQUOR LAND,4049 TAYLORSVILLE RD ,4049, ,TAYLORSVILLE,RD,-85.6210603713,38.2201959052,2020/01/31 05:00:00+00,LIQ,Liquor Store,2014-05-20 16:50:36,40220,11,HIKES POINT,C1,LP,Quota Retail Package,ACTIVE,2014-05-20 16:50:36,Codes and Regulations,1246537.0,265199.0
254,204,15ABC1215,Alcoholic Beverage Annual,ROYALS HOT CHICKEN,736 E MARKET ST ,736,E,MARKET,ST,-85.7386194832,38.2529345915,2019/11/30 05:00:00+00,RST,Restaurant / Cafe,2016-01-25 12:42:30,40202,4,PHOENIX HILL,C2,RLD2,NQ2 Restaurant Liquor Drink (12 am till 2 am),ACTIVE,,Codes and Regulations,1212960.0,277644.0
255,205,6863,Alcoholic Beverage Annual,SPINELLI'S PIZZERIA,614 BAXTER AVE ,614, ,BAXTER,AVE,-85.7287223549,38.2456286678,2019/10/31 03:59:59+00,RST,Restaurant / Cafe,2004-11-03 16:42:00,40204,4,PHOENIX HILL,C1,MBRD4,NQ4 Retail Malt Beverage Drink (12 am till 4 am),ACTIVE,,Codes and Regulations,1215759.0,274938.0
256,206,7138,Alcoholic Beverage Annual,CHEROKEE GOLF COURSE,2501 ALEXANDER RD ,2501, ,ALEXANDER,RD,-85.7051710941,38.2381797946,2019/10/31 03:59:59+00,BAR,Bar,2004-12-30 09:06:00,40204,8,CHEROKEE SENECA,R1,MBRD,NQ4 Retail Malt Beverage Drink,ACTIVE,,Codes and Regulations,1222479.0,272118.0
257,207,3176,Alcoholic Beverage Annual,IROQUOIS HILL POST #6182 VFW,992 LONGFIELD AVE ,992, ,LONGFIELD,AVE,-85.7772010999,38.1983957452,2020/02/28 05:00:00+00,PRI,Private Club,2004-02-10 08:29:00,40215,15,WYANDOTTE/OAKDALE,OR3,PC2,NQ3 Private Club  (12 am till 2 am),ACTIVE,,Codes and Regulations,1201553.0,257967.0
258,208,37022,Alcoholic Beverage Annual,HAVANA RUMBA EXPRESS,2210 BARDSTOWN RD ,2210, ,BARDSTOWN,RD,-85.693395517,38.2242014762,2020/01/31 05:00:00+00,RST,Restaurant / Cafe,2013-06-04 09:42:32,40205,8,BELKNAP,(C1),RLD,NQ2 Retail Drink (Restaurant),ACTIVE,,Codes and Regulations,1225781.0,266975.0
259,209,37022,Alcoholic Beverage Annual,HAVANA RUMBA EXPRESS,2210 BARDSTOWN RD ,2210, ,BARDSTOWN,RD,-85.693395517,38.2242014762,2020/01/31 05:00:00+00,RST,Restaurant / Cafe,2013-06-04 09:42:32,40205,8,BELKNAP,(C1),SD,Sunday Drink,ACTIVE,,Codes and Regulations,1225781.0,266975.0
260,210,13953,Alcoholic Beverage Annual,BARRET LIQUORS,1033 BARRET AVE ,1033, ,BARRET,AVE,-85.7272968262,38.235638967,2019/10/31 03:59:59+00,LIQ,Liquor Store,2005-04-18 15:42:00,40204,8,TYLER PARK,C2,MBP,NQ Retail Malt Beverage Package,ACTIVE,,Codes and Regulations,1216110.0,271294.0
261,211,16ABC1015,Alcoholic Beverage Annual,MAIN EVENT ENTERTAINMENT,12500 SYCAMORE STATION PL ,12500, ,SYCAMORE STATION,PL,-85.5291289253,38.2224889281,2019/02/28 05:00:00+00,RST,Restaurant / Cafe,2016-03-09 15:35:00,40299,20,,C2,SD,Sunday Drink,ACTIVE,2016-03-09 15:35:00,Codes and Regulations,1272957.0,265654.0
262,212,28193,Alcoholic Beverage Annual,IMPELLIZZERI'S PIZZA,110 W MAIN ST ,110,W,MAIN,ST,-85.7522404902,38.2557839405,2019/11/30 05:00:00+00,RST,Restaurant / Cafe,2010-10-06 15:18:00,40202,4,CENTRAL BUSINESS DISTRICT,(C3),RLD4,NQ2 Restaurant Liquor Drink (12 am till 4 am),ACTIVE,,Codes and Regulations,1209066.0,278745.0
263,213,14ABC1162,Alcoholic Beverage Annual,ASPEN CREEK,302 BULLITT LN ,302, ,BULLITT,LN,-85.6185871874,38.2474656099,2020/01/31 05:00:00+00,RST,Restaurant / Cafe,2015-02-13 15:31:51,40222,18,REMAINDER OF CITY,C2,RLD,NQ2 Retail Drink (Restaurant),ACTIVE,,Codes and Regulations,1247395.0,275118.0
264,214,14ABC1162,Alcoholic Beverage Annual,ASPEN CREEK,302 BULLITT LN ,302, ,BULLITT,LN,-85.6185871874,38.2474656099,2020/01/31 05:00:00+00,RST,Restaurant / Cafe,2015-02-13 15:31:51,40222,18,REMAINDER OF CITY,C2,SD,Sunday Drink,ACTIVE,,Codes and Regulations,1247395.0,275118.0
265,215,4194,Alcoholic Beverage Annual,HARD ROCK CAFE,424 S 4TH ST 135,424,S,4TH,ST,-85.757706283,38.2521432276,2019/11/30 05:00:00+00,RST,Restaurant / Cafe,2004-05-21 09:31:00,40202,4,CENTRAL BUSINESS DISTRICT,(C3),RLD4,NQ2 Restaurant Liquor Drink (12 am till 4 am),ACTIVE,,Codes and Regulations,1207475.0,277445.0
266,216,5107,Alcoholic Beverage Annual,BRISTOL BAR & GRILLE,614 W MAIN ST ,614,W,MAIN,ST,-85.7607441684,38.256706894,2019/11/30 05:00:00+00,RST,Restaurant / Cafe,2004-07-06 13:30:00,40202,4,CENTRAL BUSINESS DISTRICT,(C3),RLD2,NQ2 Restaurant Liquor Drink (12 am till 2 am),ACTIVE,,Codes and Regulations,1206630.0,279121.0
267,217,35154,Alcoholic Beverage Annual,FOUR POINTS BY SHERATON,2850 CRITTENDEN DR 100,2850, ,CRITTENDEN,DR,-85.751406072,38.2022842685,2019/05/31 03:59:59+00,HOT,Hotels,2012-06-21 10:51:48,40209,15,FAIRGROUNDS,EZ1,LD,Quota Retail Drink,ACTIVE,,Codes and Regulations,1208988.0,259261.0
268,218,35154,Alcoholic Beverage Annual,FOUR POINTS BY SHERATON,2850 CRITTENDEN DR 100,2850, ,CRITTENDEN,DR,-85.751406072,38.2022842685,2019/05/31 03:59:59+00,HOT,Hotels,2012-06-21 10:51:48,40209,15,FAIRGROUNDS,EZ1,SD,Sunday Drink,ACTIVE,,Codes and Regulations,1208988.0,259261.0
269,219,5372,Alcoholic Beverage Annual,ZA'S PIZZA PUB,1573 BARDSTOWN RD ,1573, ,BARDSTOWN,RD,-85.7052085918,38.2311871125,2020/01/31 05:00:00+00,RST,Restaurant / Cafe,2004-07-21 16:34:00,40205,8,BONNYCASTLE,(C2),RLD4,NQ2 Restaurant Liquor Drink (12 am till 4 am),ACTIVE,,Codes and Regulations,1222428.0,269572.0
270,220,35338,Alcoholic Beverage Annual,BUFFALO WILD WINGS SPRINGHURST,10206 WESTPORT RD ,10206, ,WESTPORT,RD,-85.5618624434,38.2920597728,2020/01/31 05:00:00+00,RST,Restaurant / Cafe,2012-11-02 16:45:00,40241,17,,C1,RLD,NQ2 Retail Drink (Restaurant),ACTIVE,,Codes and Regulations,1263915.0,291119.0
271,221,35338,Alcoholic Beverage Annual,BUFFALO WILD WINGS SPRINGHURST,10206 WESTPORT RD ,10206, ,WESTPORT,RD,-85.5618624434,38.2920597728,2020/01/31 05:00:00+00,RST,Restaurant / Cafe,2012-11-02 16:45:00,40241,17,,C1,SD,Sunday Drink,ACTIVE,,Codes and Regulations,1263915.0,291119.0
272,222,14412,Alcoholic Beverage Annual,GENTLEMEN'S CUT,3592 SPRINGHURST BLVD 102,3592, ,SPRINGHURST,BLVD,-85.5614669838,38.2987156784,2020/01/31 05:00:00+00,AMU,Amusement,2005-08-18 09:03:00,40241,17,,C2,MBRD,NQ4 Retail Malt Beverage Drink,ACTIVE,,Codes and Regulations,1264063.0,293541.0
273,223,27483,Alcoholic Beverage Annual,THE BARD'S TOWN,1801 BARDSTOWN RD ,1801, ,BARDSTOWN,RD,-85.7006149743,38.2285116537,2020/01/31 05:00:00+00,BAR,Bar,2010-07-02 10:06:06,40205,8,HIGHLANDS DOUGLASS,(C2),MBRD,NQ4 Retail Malt Beverage Drink,ACTIVE,,Codes and Regulations,1223732.0,268577.0
274,224,27483,Alcoholic Beverage Annual,THE BARD'S TOWN,1801 BARDSTOWN RD ,1801, ,BARDSTOWN,RD,-85.7006149743,38.2285116537,2020/01/31 05:00:00+00,BAR,Bar,2010-07-02 10:06:06,40205,8,HIGHLANDS DOUGLASS,(C2),MBRD4,NQ4 Retail Malt Beverage Drink (12 am till 4 am),ACTIVE,,Codes and Regulations,1223732.0,268577.0
275,225,6218,Alcoholic Beverage Annual,DAIRY MART #3282,2728 W MARKET ST ,2728,W,MARKET,ST,-85.7960988209,38.2594218189,2019/03/31 03:59:59+00,GRO,Grocery / Food Mart,2004-10-12 10:49:00,40212,5,RUSSELL,C1,MBP2,NQ Retail Malt Beverage Package (12 am till 2 am),ACTIVE,,Codes and Regulations,1196496.0,280278.0
276,226,27558,Alcoholic Beverage Annual,BUNGALOW JOE'S,7813 BEULAH CHURCH RD 102,7813, ,BEULAH CHURCH,RD,-85.6130097655,38.1354616894,2020/01/31 05:00:00+00,RST,Restaurant / Cafe,2010-09-02 13:14:00,40228,23,,PD,RLD2,NQ2 Restaurant Liquor Drink (12 am till 2 am),ACTIVE,,Codes and Regulations,1248393.0,234311.0
277,227,14ABC1186,Alcoholic Beverage Annual,KAIJU,1004 E OAK ST ,1004,E,OAK,ST,-85.7370552675,38.2326726059,2019/10/31 03:59:59+00,BAR,Bar,2014-12-09 12:03:10,40204,10,GERMANTOWN,R6,LD4,Quota Retail Drink (12 AM - 4 AM),ACTIVE,2014-12-09 12:03:10,Codes and Regulations,1213290.0,270259.0
278,228,15ABC1020,Alcoholic Beverage Annual,7TH STREET FOOD MART,2517 7TH STREET RD ,2517, ,7TH STREET,RD,-85.7829326728,38.2143842833,2019/05/31 03:59:59+00,GRO,Grocery / Food Mart,2015-03-06 12:58:20,40208,6,TAYLOR BERRY,C1,MBP,NQ Retail Malt Beverage Package,ACTIVE,,Codes and Regulations,1200003.0,263816.0
279,229,6274,Alcoholic Beverage Annual,LORIE'S LIQUORS,2316 W MARKET ST ,2316,W,MARKET,ST,-85.7898284245,38.2588949525,2019/03/31 03:59:59+00,LIQ,Liquor Store,2004-11-01 13:20:00,40212,4,RUSSELL,C1,LP2,Quota Retail Package (12 AM - 2 AM),ACTIVE,,Codes and Regulations,1198293.0,280056.0
280,230,5781,Alcoholic Beverage Annual,J & H SPORTSMAN CLUB,1464 S 7TH ST ,1464,S,7TH,ST,-85.7688134539,38.2275235549,2019/05/31 03:59:59+00,PRI,Private Club,2004-08-16 13:13:00,40208,6,PARK HILL,EZ1,MBRD,NQ4 Retail Malt Beverage Drink,ACTIVE,,Codes and Regulations,1204138.0,268533.0
281,231,5781,Alcoholic Beverage Annual,J & H SPORTSMAN CLUB,1464 S 7TH ST ,1464,S,7TH,ST,-85.7688134539,38.2275235549,2019/05/31 03:59:59+00,PRI,Private Club,2004-08-16 13:13:00,40208,6,PARK HILL,EZ1,MBRD4,NQ4 Retail Malt Beverage Drink (12 am till 4 am),ACTIVE,,Codes and Regulations,1204138.0,268533.0
282,232,35574,Alcoholic Beverage Annual,BANK STREET LIQUORS,3627 BANK ST ,3627, ,BANK,ST,-85.8075063006,38.2724199973,2019/03/31 03:59:59+00,LIQ,Liquor Store,2012-08-16 08:15:58,40212,5,PORTLAND,C1,LP,Quota Retail Package,ACTIVE,,Codes and Regulations,1193301.0,285066.0
283,233,14ABC1055,Alcoholic Beverage Annual,JASMINE CHINESE CUISINE,13825 ENGLISH VILLA DR ,13825, ,ENGLISH VILLA,DR,-85.4943183078,38.2400622277,2019/02/28 05:00:00+00,RST,Restaurant / Cafe,2014-04-15 11:52:17,40245,20,,C1,RLD,NQ2 Retail Drink (Restaurant),ACTIVE,2014-04-15 11:52:17,Codes and Regulations,1283043.0,271916.0
284,234,14ABC1055,Alcoholic Beverage Annual,JASMINE CHINESE CUISINE,13825 ENGLISH VILLA DR ,13825, ,ENGLISH VILLA,DR,-85.4943183078,38.2400622277,2019/02/28 05:00:00+00,RST,Restaurant / Cafe,2014-04-15 11:52:17,40245,20,,C1,SD,Sunday Drink,ACTIVE,2014-04-15 11:52:17,Codes and Regulations,1283043.0,271916.0
285,235,23541,Alcoholic Beverage Annual,MOLLY MALONE'S,3900 SHELBYVILLE RD ,3900, ,SHELBYVILLE,RD,-85.6547809836,38.2527042693,2019/05/31 03:59:59+00,RST,Restaurant / Cafe,2009-10-23 15:06:54,40207,9,ROCKCREEK LEXINGTON ROAD,C2,MBRD4,NQ4 Retail Malt Beverage Drink (12 am till 4 am),ACTIVE,,Codes and Regulations,1237031.0,277182.0
286,236,31943,Alcoholic Beverage Annual,SILK RENTAL HALL,614 HEYWOOD AVE ,614, ,HEYWOOD,AVE,-85.7694186106,38.206684323,2019/05/31 03:59:59+00,AMU,Amusement,2011-04-08 12:41:00,40208,15,SOUTH LOUISVILLE,C2,MBRD,NQ4 Retail Malt Beverage Drink,ACTIVE,,Codes and Regulations,1203839.0,260948.0
287,237,31943,Alcoholic Beverage Annual,SILK RENTAL HALL,614 HEYWOOD AVE ,614, ,HEYWOOD,AVE,-85.7694186106,38.206684323,2019/05/31 03:59:59+00,AMU,Amusement,2011-04-08 12:41:00,40208,15,SOUTH LOUISVILLE,C2,MBRD2,NQ4 Retail Malt Beverage Drink (12 am till 2 am),ACTIVE,,Codes and Regulations,1203839.0,260948.0
288,238,15ABC1051,Alcoholic Beverage Annual,KOSAIR SHRINE CLUB,4120 BARDSTOWN RD ,4120, ,BARDSTOWN,RD,-85.6469792848,38.1914887887,2020/01/31 05:00:00+00,PRI,Private Club,2015-04-09 15:46:27,40218,2,,C2,SD,Sunday Drink,ACTIVE,,Codes and Regulations,1238933.0,254858.0
289,239,3512,Alcoholic Beverage Annual,PLEASURE VALLEY LIONS CLUB,6000 LIONS ARMS DR ,6000, ,LIONS ARMS,DR,-85.8644973175,38.1773007593,2019/02/28 05:00:00+00,PRI,Private Club,2004-02-26 10:48:00,40216,1,,C1,MBRD,NQ4 Retail Malt Beverage Drink,ACTIVE,,Codes and Regulations,1176335.0,250714.0
290,240,3415,Alcoholic Beverage Annual,OUR PLACE LIQUORS,3808 POPLAR LEVEL RD ,3808, ,POPLAR LEVEL,RD,-85.7129347435,38.204741974,2019/02/28 05:00:00+00,LIQ,Liquor Store,2004-02-23 09:15:00,40213,10,CAMP TAYLOR,C1,MBP,NQ Retail Malt Beverage Package,ACTIVE,,Codes and Regulations,1220056.0,259978.0
291,241,15ABC1098,Alcoholic Beverage Annual,WALGREENS #03776,1475 DIXIE HWY ,1475, ,DIXIE,HWY,-85.7898590529,38.2286375536,2019/08/31 03:59:59+00,DRG,Drug Store,2015-07-29 18:10:09,40210,3,PARK HILL,C1,LP,Quota Retail Package,ACTIVE,2015-07-29 18:10:09,Codes and Regulations,1198100.0,269039.0
