OBJECTID,ID,SECCLASS,NAME,TELEPHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,EMERGTITLE,EMERGTEL,EMERGEXT,CONTDATE,CONTHOW,GEODATE,GEOHOW,NAICSCODE,NAICSDESCR,GEOLINKID,X,Y,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QC_QA,STATE_ID,SECLEVEL,FACTYPE,AGENCY,INMATE_MEN,INMATE_WOM,INMATE_JUV,INMATE_COE,CAPACITY,TOTALPOP,EMERPHONE,PERM_ID,GNIS_ID,PS
44,10461749,UNCLASSIFIED,DEER RIDGE CORRECTIONAL INSTITUTION,541-325-5212,3920 EAST ASHWOOD ROAD, ,MADRAS,OR,97741, ,JEFFERSON,41031,NORTH SIDE OF E ASHWOOD RD 0.34 MILE EAST OF NE HENDERSON DR. FACILITY SITS BACK OFF OF ROAD TO THE NORTH APPROXIMATELY 0.50 MILE., , , ,2008/02/19 00:00:00+00,PHONE,2009/02/19 00:00:00+00,MANUAL,922140,CORRECTIONAL INSTITUTIONS,120820438,-121.0523424,44.6372601,NAVTEQ,2008Q1,ONENTITY,YES,TGS, , , , , , , , ,0,0, , , ,N
45,10461763,UNCLASSIFIED,MILL CREEK CORRECTIONAL FACILITY,503-378-2601,5465 TURNER ROAD, ,SALEM,OR,97301, ,MARION,41047,SOUTHWEST SIDE OF TURNER RD DIRECTLY ACROSS FROM DEER PARK DR SE, , , ,2008/02/19 00:00:00+00,PHONE,2009/02/19 00:00:00+00,MANUAL,922140,CORRECTIONAL INSTITUTIONS,124458885,-122.975078,44.876466,NAVTEQ,2008Q1,ONENTITY,YES,TGS, , , , , , , , ,0,0, , , ,N
46,10461775,UNCLASSIFIED,POWDER RIVER CORRECTIONAL FACILITY,541-523-6680,3600 13TH STREET, ,BAKER CITY,OR,97814,1346,BAKER,41001,EAST SIDE OFTHE INTERSECTION OF 13TH ST AND K ST., , , ,2008/02/19 00:00:00+00,PHONE,2009/02/19 00:00:00+00,MANUAL,922140,CORRECTIONAL INSTITUTIONS,86532867,-117.84356,44.7917144,NAVTEQ,2008Q1,ONENTITY,YES,TGS, , , , , , , , ,0,0, , , ,N
47,10461757,UNCLASSIFIED,EASTERN OREGON CORRECTIONAL INSTITUTION,541-276-0700,2500 WESTGATE, ,PENDLETON,OR,97801,9613,UMATILLA,41059,SOUTH SIDE OF WESTGATE 0.25 MILE WEST OF STATE HWY 37., , , ,2008/02/19 00:00:00+00,PHONE,2008/02/19 00:00:00+00,MANUAL,922140,CORRECTIONAL INSTITUTIONS,121277031,-118.8171959,45.6719865,NAVTEQ,2006Q4,ONENTITY,YES,TGS, , , , , , , , ,0,0, , , ,N
48,10461850,UNCLASSIFIED,SNAKE RIVER CORRECTIONAL INSTITUTION,541-881-5000,777 STANTON BOULEVARD, ,ONTARIO,OR,97914,8335,MALHEUR,41045,FROM THE INTERSECTION OF STANTON BLVD AND SAGE RD TRAVEL WEST ON STATNTON BLVD 0.93 MILE ON THE SOUTH SIDE OF STANTON BLVD., , , ,2008/02/28 00:00:00+00,PHONE,2009/02/19 00:00:00+00,MANUAL,922140,CORRECTIONAL INSTITUTIONS,120791788,-117.0676805,44.0792584,NAVTEQ,2008Q1,ONENTITY,YES,TGS, , , , , , , , ,0,0, , , ,N
49,10461770,UNCLASSIFIED,OREGON STATE CORRECTIONAL INSTITUTION,503-373-0105,3405 DEER PARK DRIVE SOUTHEAST, ,SALEM,OR,97310,9302,MARION,41047,LOCATED ON THE SOUTHWEST SIDE OF THE INTERSECTION OF DEER PARK DR SOUTHEAST AND STATE HWY 22, , , ,2008/02/19 00:00:00+00,PHONE,2009/02/19 00:00:00+00,MANUAL,922140,CORRECTIONAL INSTITUTIONS,21361611,-122.9488162,44.897217,NAVTEQ,2008Q1,ONENTITY,YES,TGS, , , , , , , , ,0,0, , , ,N
50,10461703,UNCLASSIFIED,MILWAUKIE POLICE DEPARTMENT,503-786-7400,3200 SOUTHEAST HARRISON STREET, ,MILWAUKIE,OR,97222,6537,CLACKAMAS,41005,LOCATED ON SOUTHEAST CORNER OF SE HARRISON ST AND SE 32ND AVE, , , ,2008/02/15 00:00:00+00,PHONE,2008/02/15 00:00:00+00,MANUAL,922120,POLICE DEPARTMENTS (EXCEPT AMERICAN INDIAN OR ALASKA NATIVE),21354617,-122.6288741,45.4461333,NAVTEQ,2006Q4,ONENTITY,YES,TGS, , , , , , , , ,0,0, , , ,Y
51,10469182,UNCLASSIFIED,COLUMBIA COUNTY SHERIFF / COLUMBIA COUNTY JAIL,503-366-4611,901 PORT AVENUE, ,SAINT HELENS,OR,97051,3018,COLUMBIA,41009,ON THE NORTH CORNER OF PORT AVENUE AND OLD PORTLAND ROAD, , , ,2008/03/06 00:00:00+00,PHONE,2008/03/06 00:00:00+00,MANUAL,922140,JAILS (EXCEPT PRIVATE OPERATION OF),121098715,-122.8190756,45.8486452,NAVTEQ,2006Q4,ONENTITY,YES,TGS, , , , , , , , ,0,0, , , ,Y
52,10677514,UNCLASSIFIED,UMATILLA COUNTY SHERIFFS OFFICE - WEST OFFICE,541-667-3010,915 SOUTHEAST COLUMBIA DRIVE, ,HERMISTON,OR,97838,9422,UMATILLA,41059,NORTH CORNER OF INTERSECTION OF PORT DRIVE AND SOUTHEAST COLUMBIA DRIVE., , , ,2008/09/15 00:00:00+00,PHONE,2008/09/15 00:00:00+00,MANUAL,922120,SHERIFFS' OFFICES (EXCEPT COURT FUNCTIONS ONLY),86397712,-119.2737147,45.8284813,NAVTEQ,2008Q1,ONENTITY,YES,TGS, , , , , , , , ,0,0, , , ,Y
53,10461833,UNCLASSIFIED,COMMUNITY CORRECTIONS CENTER,541-682-2297,75 WEST 5TH AVENUE, ,EUGENE,OR,97401,2602,LANE,41039,"LOC ON THE NORTH SIDE OF W 5TH AVE, BETWEEN OLIVE ST, AND WILLAMETTE ST.", , , ,2008/02/20 00:00:00+00,PHONE,2008/02/20 00:00:00+00,MANUAL,922140,CORRECTIONAL INSTITUTIONS,37686679,-123.0937247,44.0550781,NAVTEQ,2006Q4,ONENTITY,YES,TGS, , , , , , , , ,0,0, , , ,N
54,10425998,UNCLASSIFIED,MARION COUNTY COMMUNITY CORRECTIONS,503-588-8492,4040 AUMSVILLE HIGHWAY SOUTHEAST, ,SALEM,OR,97317,9112,MARION,41047,"LOC ON THE NORTHEAST SIDE OF AUMSVILLE HWY SE, .52 MILES SOUTHEAST OF KUEBLER BLVD SE.", , , ,2008/02/07 00:00:00+00,PHONE,2008/02/07 00:00:00+00,MANUAL,922140,CORRECTIONAL INSTITUTIONS,21383493,-122.9601564,44.8966751,NAVTEQ,2006Q4,ONENTITY,YES,TGS, , , , , , , , ,0,0, , , ,N
55,10448916,UNCLASSIFIED,WASHINGTON COUNTY COMMUNITY CORRECTIONS CENTER,503-846-4300,260 SOUTHWEST ADAMS AVENUE, ,HILLSBORO,OR,97123,3874,WASHINGTON,41067,"LOC ON THE EAST SIDE OF SW ADAMS AVE, BETWEEN SW WASHINGTON ST AND SW BASELINE ST.", , , ,2008/02/12 00:00:00+00,PHONE,2008/02/12 00:00:00+00,MANUAL,922140,CORRECTIONAL INSTITUTIONS,21328050,-122.990537,45.5206866,NAVTEQ,2006Q4,ONENTITY,YES,TGS, , , , , , , , ,0,0, , , ,N
56,10461745,UNCLASSIFIED,COLUMBIA RIVER CORRECTIONAL INSTITUTION,503-280-6646,9111 NORTHEAST SUNDERLAND AVENUE, ,PORTLAND,OR,97211,1708,MULTNOMAH,41051,SOUTHWEST CORNER OF THE INTERSECTION OF NE LEBECK LN AND NE SUNDERLAND AVE, , , ,2008/02/19 00:00:00+00,PHONE,2008/02/19 00:00:00+00,MANUAL,922140,CORRECTIONAL INSTITUTIONS,21299569,-122.6368161,45.5894128,NAVTEQ,2006Q4,ONENTITY,YES,TGS, , , , , , , , ,0,0, , , ,N
57,10425922,UNCLASSIFIED,COOS COUNTY CORRECTIONS,541-396-3121,200 EAST 2ND STREET, ,COQUILLE,OR,97423,1855,COOS,41011,LOCATED ON NORTH SIDE OF E 2ND ST BETWEEN N COLLIER ST AND N BAXTER ST., , , ,2008/02/06 00:00:00+00,PHONE,2008/02/06 00:00:00+00,MANUAL,922140,CORRECTIONAL INSTITUTIONS,86785083,-124.1862885,43.1761669,NAVTEQ,2006Q4,ONENTITY,YES,TGS, , , , , , , , ,0,0, , , ,N
58,10425931,UNCLASSIFIED,WARM SPRINGS TRIBAL POLICE DEPARTMENT AND JAIL,541-553-3272,2144 KOTA STREET, ,WARM SPRINGS,OR,97761, ,JEFFERSON,41031,LOC ON THE SOUTH SIDE OF KOTA ST BETWEEN COURT PL AND PAIUTE AVE., , , ,2008/04/14 00:00:00+00,PHONE,2008/04/25 00:00:00+00,MANUAL,922140,JAILS (EXCEPT PRIVATE OPERATION OF),86551839,-121.2667056,44.7625231,NAVTEQ,2006Q4,ONENTITY,YES,TGS, , , , , , , , ,0,0, , , ,Y
59,10171657,UNCLASSIFIED,COTTAGE GROVE POLICE DEPARTMENT,541-942-9145,400 MAIN STREET, ,COTTAGE GROVE,OR,97424,2034,LANE,41039,N SIDE OF MAIN ST BETWEEN N RIVER RD AND N 5TH ST, , , ,2006/06/28 00:00:00+00,PHONE,2006/06/28 00:00:00+00,MANUAL,922120,POLICE DEPARTMENTS (EXCEPT AMERICAN INDIAN OR ALASKA NATIVE),87441325,-123.0638804,43.7975802,NAVTEQ,2006Q3,ONENTITY,YES,TGS, , ,LOCAL, ,YES,YES,NO,YES,0,0, , , ,Y
60,10677516,UNCLASSIFIED,UNION COUNTY SHERIFFS OFFICE,541-963-1017,1109 K AVENUE, ,LA GRANDE,OR,97850,2130,UNION,41061,NORTHWEST CORNER OF INTERSECTION OF K AVENUE AND 6TH STREET., , , ,2008/09/15 00:00:00+00,PHONE,2008/09/15 00:00:00+00,MANUAL,922120,SHERIFFS' OFFICES (EXCEPT COURT FUNCTIONS ONLY),86460215,-118.094722,45.3216077,NAVTEQ,2008Q1,ONENTITY,YES,TGS, , , , , , , , ,0,0, , , ,Y
61,10171613,UNCLASSIFIED,TWO RIVERS CORRECTIONAL INSTITUTION,541-922-2001,82911 BEACH ACCESS ROAD, ,UMATILLA,OR,97882,9419,UMATILLA,41059,"LOCATED ON THE EAST SIDE OF BEACH ACESS RD,.92 MILES NORTH OF US-730.", , , ,2006/06/29 00:00:00+00,PHONE,2009/02/20 00:00:00+00,MANUAL,922140,CORRECTIONAL INSTITUTIONS,86385684,-119.2609405,45.9269875,NAVTEQ,2008Q1,ONENTITY,YES,TGS, , , , , , ,NO, ,0,0, , , , 
62,10171612,UNCLASSIFIED,WARNER CREEK CORRECTIONAL FACILITY,541-947-8200,20654 RABBIT HILL ROAD, ,LAKEVIEW,OR,97630, ,LAKE,41037,"WEST SIDE OF RABBIT HILL ROAD, 0.62 MILES NORTH OF THE INTERSECTION OF RABBIT HILL ROAD & WILLOW BRIDGE LN", , , ,2006/06/29 00:00:00+00,PHONE,2009/02/20 00:00:00+00,MANUAL,922140,CORRECTIONAL INSTITUTIONS,86881081,-120.3792857,42.2447331,NAVTEQ,2008Q1,ONENTITY,YES,TGS, , , , , , ,NO, ,0,0, , , , 
63,10461827,UNCLASSIFIED,LANE COUNTY JAIL,541-682-4201,101 WEST 5TH AVENUE, ,EUGENE,OR,97401,2603,LANE,41039,"LOC ON THE NORTH SIDE OF W 5TH AVE, BETWEEN OLIVE ST AND CHARMELTON ST.", , , ,2008/02/20 00:00:00+00,PHONE,2008/02/20 00:00:00+00,MANUAL,922140,JAILS (EXCEPT PRIVATE OPERATION OF),37686675,-123.094541,44.0549993,NAVTEQ,2006Q4,ONENTITY,YES,TGS, , , , , , , , ,0,0, , , ,N
64,10461700,UNCLASSIFIED,CLACKAMAS COUNTY JAIL,503-655-8331,2206 KAEN ROAD, ,OREGON CITY,OR,97045,4048,CLACKAMAS,41005,LOCATED 0.27 MI SOUTHWEST OF BEAVERCREEK RD AND KAEN RD INTERSECTION ON SOUTHEAST SIDE OF KAEN RD., , , ,2008/02/15 00:00:00+00,PHONE,2008/02/15 00:00:00+00,MANUAL,922140,JAILS (EXCEPT PRIVATE OPERATION OF),21325524,-122.599089,45.3297007,NAVTEQ,2006Q4,ONENTITY,YES,TGS, , , , , , , , ,0,0, , , ,N
65,10461807,UNCLASSIFIED,LINCOLN COUNTY JAIL,541-265-4277,251 WEST OLIVE STREET, ,NEWPORT,OR,97365,3815,LINCOLN,41041,LOC ON THE SOUTHEAST CORNER OF W OLIVE ST AND SW NYE ST., , , ,2008/02/20 00:00:00+00,PHONE,2008/02/20 00:00:00+00,MANUAL,922140,JAILS (EXCEPT PRIVATE OPERATION OF),86573906,-124.0552501,44.6361139,NAVTEQ,2006Q4,ONENTITY,YES,TGS, , , , , , , , ,0,0, , , ,N
66,10448864,UNCLASSIFIED,MULTNOMAH COUNTY INVERNESS JAIL,503-988-5060,11540 NORTHEAST INVERNESS DRIVE, ,PORTLAND,OR,97220,9002,MULTNOMAH,41051,"FROM THE T INTERSECTION OF NE 122ND AVE AND NE INVERNESS DR, TRAVEL .37 MILES NORTHWEST, AND THE JAIL IS LOCATED ON THE SOUTHWEST SIDE OF NE INVERNESS DRIVE.", , , ,2008/02/11 00:00:00+00,PHONE,2008/02/11 00:00:00+00,MANUAL,922140,JAILS (EXCEPT PRIVATE OPERATION OF),21289179,-122.5440541,45.5634259,NAVTEQ,2006Q4,ONENTITY,YES,TGS, , , , , , , , ,0,0, , , ,N
67,10461574,UNCLASSIFIED,POLK COUNTY JAIL,503-623-9254,884 SOUTHEAST JEFFERSON STREET, ,DALLAS,OR,97338,2028,POLK,41053,LOCATED ON EAST SIDE OF SE JEFFERSON ST BETWEEN SE COURT ST AND SE MILL ST., , , ,2008/02/14 00:00:00+00,PHONE,2008/02/14 00:00:00+00,MANUAL,922140,JAILS (EXCEPT PRIVATE OPERATION OF),21188199,-123.3148464,44.9208452,NAVTEQ,2006Q4,ONENTITY,YES,TGS, , , , , , , , ,0,0, , , ,N
68,10463030,UNCLASSIFIED,JOSEPHINE COUNTY ADULT JAIL,541-474-5140,1901 NORTHEAST F STREET, ,GRANTS PASS,OR,97526,4810,JOSEPHINE,41033,LOCATED ON THE S SIDE OF NE F ST .06 MILES SE OF TERRY LN., , , ,2008/02/21 00:00:00+00,PHONE,2008/02/21 00:00:00+00,MANUAL,922140,JAILS (EXCEPT PRIVATE OPERATION OF),129644180,-123.303479,42.4330373,NAVTEQ,2006Q4,ONENTITY,YES,TGS, , , , , , , , ,0,0, , , ,N
69,10425636,UNCLASSIFIED,KLAMATH COUNTY JAIL,541-883-4197,3201 VANDENBERG AVENUE, ,KLAMATH FALLS,OR,97603,3729,KLAMATH,41035,"LOC ON THE NORTH SIDE OF VANDENBERG AVE, .31 MILES NORTHWEST OF EBERLEIN AVE.", , , ,2008/02/06 00:00:00+00,PHONE,2008/02/06 00:00:00+00,MANUAL,922140,JAILS (EXCEPT PRIVATE OPERATION OF),112414281,-121.7491548,42.2226474,NAVTEQ,2006Q4,ONENTITY,YES,TGS, , , , , , , , ,0,0, , , ,N
70,10461740,UNCLASSIFIED,COFFEE CREEK CORRECTIONAL FACILITY,503-570-6400,24499 SOUTHWEST GRAHAMS FERRY ROAD, ,WILSONVILLE,OR,97070, ,WASHINGTON,41067,BETWEEN SW DAY ST AND SW CLAY ST ON THE WEST SIDE OF SW GRAHAMS FERRY RD, , , ,2008/02/19 00:00:00+00,PHONE,2009/02/20 00:00:00+00,MANUAL,922140,CORRECTIONAL INSTITUTIONS,21368242,-122.7912225,45.3415682,NAVTEQ,2008Q1,ONENTITY,YES,TGS, , , , , , , , ,0,0, , , ,N
71,10461787,UNCLASSIFIED,SOUTH FORK FOREST CAMP,503-842-2811,48300 WILSON RIVER HIGHWAY, ,TILLAMOOK,OR,97141,9730,TILLAMOOK,41057,FROM THE INTERSECTION OF WILSON RIVER HWY AND S FORK RD TRAVEL SOUTHEAST ON S FORK RD APPROXIMATELY 1.43 MILE ON SOUTHEAST SIDE OF S FORK RD., , , ,2008/02/19 00:00:00+00,PHONE,2008/02/26 00:00:00+00,MANUAL,922140,CORRECTIONAL BOOT CAMPS,87483045,-123.4629987,45.5895999,NAVTEQ,2006Q4,ONENTITY,YES,TGS, , , , , , , , ,0,0, , , ,N
72,10461834,UNCLASSIFIED,LANE COUNTY FOREST WORK CAMP,541-682-6488,21600 SIUSLAW RIVER ROAD, ,VENETA,OR,97487,9455,LANE,41039,"LOC ON THE SOUTH SIDE OF SIUSLAW RIVER RD, 1.41 MILES SOUTHWEST OF WOLF CREEK RD.", , , ,2008/02/20 00:00:00+00,PHONE,2009/02/20 00:00:00+00,MANUAL,561210,CORRECTIONAL FACILITY OPERATION ON A CONTRACT OR FEE BASIS,124505597,-123.4768272,43.889043,NAVTEQ,2008Q1,ONENTITY,YES,TGS, , , , , , , , ,0,0, , , ,N
73,10472945,UNCLASSIFIED,FEDERAL CORRECTIONAL INSTITUTION - SHERIDAN,503-843-4442,27072 BALLSTON ROAD, ,SHERIDAN,OR,97378,9620,YAMHILL,41071,.4 MILES SOUTH OF THE INTERSECTION OF BALLSTON RD AND SALMON RIVER HWY. TRAVEL EAST ON ACCESS ROAD BETWEEN .7 AND .8 MILES ON THE SOUTH SIDE OF ACCESS ROAD., , , ,2008/05/01 00:00:00+00,PHONE,2009/02/13 00:00:00+00,MANUAL,922140,PRISONS,87757049,-123.3818554,45.0840373,NAVTEQ,2008Q1,ONENTITY, ,TGS, , ,FEDERAL CORRECTIONAL INSTITUTION,FBOP, , , , ,0,0, , , ,N
74,10480580,UNCLASSIFIED,FEDERAL CORRECTIONAL INSTITUTION - SHERIDAN DETENTION CENTER,503-843-7663,27072 BALLSTON ROAD, ,SHERIDAN,OR,97378,9620,YAMHILL,41071,.4 MILES SOUTH OF THE INTERSECTION OF BALLSTON RD AND SALMON RIVER HWY. TURN EAST ON ACCESS ROAD BETWEEN .3 AND .4 MILES. LOCATED ON THE SOUTH SIDE OF ACCESS ROAD., , , ,2008/05/01 00:00:00+00,PHONE,2008/04/28 00:00:00+00,MANUAL,922140,PRISONS,87757049,-123.389324,45.0842112,NAVTEQ,2006Q4,ONENTITY,YES,TGS, , , , , , , , ,0,0, , , ,N
75,10472944,UNCLASSIFIED,FEDERAL CORRECTIONAL INSTITUTION - SHERIDAN SATELLITE CAMP,503-843-7663,27072 BALLSTON ROAD, ,SHERIDAN,OR,97378,9620,YAMHILL,41071,.4 MILES SOUTH OF THE INTERSECTION OF BALLSTON RD AND SALMON RIVER HWY. ON THE EAST SIDE OF BALLSTON RD, , , ,2008/05/05 00:00:00+00,PHONE,2009/01/06 00:00:00+00,MANUAL,922140,PRISONS,119728687,-123.3889547,45.0854323,NAVTEQ,2008Q1,ONENTITY,YES,TGS, , ,FEDERAL CORRECTIONAL INSTITUTION,FBOP, , , , ,0,0, , , ,N
76,10171653,UNCLASSIFIED,FAIRVIEW POLICE DEPARTMENT,503-674-6200,1300 NORTHEAST VILLAGE STREET, ,FAIRVIEW,OR,97024,3817,MULTNOMAH,41051,NE CORNER OF NE VILLAGE DR AND NE PARK LN, , , ,2006/06/28 00:00:00+00,PHONE,2006/06/28 00:00:00+00,MANUAL,922120,POLICE DEPARTMENTS (EXCEPT AMERICAN INDIAN OR ALASKA NATIVE),31334185,-122.438884,45.5310077,NAVTEQ,2006Q3,ONENTITY,YES,TGS, , ,LOCAL, ,YES,YES,NO,YES,0,0, , , ,Y
77,10461844,UNCLASSIFIED,UNITED STATES DRUG ENFORCEMENT ADMINISTRATION - EUGENE,541-465-6861,211 EAST 7TH AVENUE, ,EUGENE,OR,97401,2773,LANE,41039,"LOC ON THE NORTH SIDE OF E 7TH AVE, BETWEEN PEARL ST AND HIGH ST.", , , ,2008/02/20 00:00:00+00,PHONE,2008/03/07 00:00:00+00,MANUAL,922120,DEA (DRUG ENFORCEMENT ADMINISTRATION),37686913,-123.0885701,44.0529013,NAVTEQ,2006Q4,ONENTITY,YES,TGS, , , , , , , , ,0,0, , , ,Y
78,10171588,UNCLASSIFIED,WARRENTON POLICE DEPARTMENT,503-861-2235,225 SOUTH MAIN AVENUE, ,WARRENTON,OR,97146, ,CLATSOP,41007,LOCATED ON S MAIN ST SW CORNER OF MAIN ST AND SW 2ND ST., , , ,2006/06/28 00:00:00+00,PHONE,2006/06/28 00:00:00+00,MANUAL,922120,POLICE DEPARTMENTS (EXCEPT AMERICAN INDIAN OR ALASKA NATIVE),87476849,-123.9257604,46.163576,NAVTEQ,2006Q3,ONENTITY,YES,TGS, , ,LOCAL, ,YES,YES,NO,YES,0,0, , , ,Y
79,10448868,UNCLASSIFIED,UNITED STATES MARSHALS SERVICE - DISTRICT HEADQUARTERS,503-326-2209,1000 SOUTHWEST 3RD AVENUE,MARK O HATFIED UNITED STATES COURTHOUSE,PORTLAND,OR,97204,2930,MULTNOMAH,41051,"LOC ON THE SOUTHEAST SIDE OF SW 3RD ST, BETWEEN SW SALMON ST AND SW MAIN ST.", , , ,2008/02/11 00:00:00+00,PHONE,2008/02/11 00:00:00+00,MANUAL,922120,MARSHALS' OFFICES,21307797,-122.6762047,45.5158524,NAVTEQ,2006Q4,ONENTITY,YES,TGS, , , , , , , , ,0,0, , , ,Y
80,10171654,UNCLASSIFIED,MULTNOMAH JUVENILE CENTER,503-988-3475,1401 NORTHEAST 68TH STREET, ,PORTLAND,OR,97213,4957,MULTNOMAH,41051,W SIDE OF NE 68TH ST BETWEEN NE HASSALO ST AND NE HALSEY ST, , , ,2006/06/28 00:00:00+00,PHONE,2006/06/28 00:00:00+00,MANUAL,623990,"BOYS' AND GIRLS' RESIDENTIAL FACILITIES (E.G., HOMES, RANCHES, VILLAGES)",21292422,-122.5943671,45.5316302,NAVTEQ,2006Q3,ONENTITY,YES,TGS, , , , , , ,YES, ,0,0, , , ,N
81,10425930,UNCLASSIFIED,COOS COUNTY JUVENILE DETENTION,541-396-3121,200 EAST 2ND STREET, ,COQUILLE,OR,97423,1855,COOS,41011,LOCATED ON NORTH SIDE OF E 2ND ST BETWEEN N BAXTER AND N COLLIER ST., , , ,2008/02/06 00:00:00+00,PHONE,2008/02/06 00:00:00+00,MANUAL,623990,"BOYS' AND GIRLS' RESIDENTIAL FACILITIES (E.G., HOMES, RANCHES, VILLAGES)",86785083,-124.1862928,43.17617,NAVTEQ,2006Q4,ONENTITY,YES,TGS, , , , , , , , ,0,0, , , ,N
82,10169466,UNCLASSIFIED,GRANT COUNTY JUVENILE DEPARTMENT,541-575-1722,201 SOUTH HUMBOLT STREET,SUITE 160,CANYON CITY,OR,97820,6191,GRANT,41023,"EAST SIDE OF S HUMBOLT ST, 0.02 MI FROM THE INTERSECTION OF S HUMBOLT ST AND W IZEE ST", , , ,2006/06/29 00:00:00+00,PHONE,2006/07/13 00:00:00+00,MANUAL,623990,"BOYS' AND GIRLS' RESIDENTIAL FACILITIES (E.G., HOMES, RANCHES, VILLAGES)",121249414,-118.9504092,44.3874262,NAVTEQ,2006Q3,ONENTITY,YES,TGS, , ,COUNTY, ,YES,YES,YES,YES,0,0, , , ,N
83,10171625,UNCLASSIFIED,LANE COUNTY JUVENILE JUSTICE CENTER,541-682-4700,2727 MARTIN LUTHER KING JUNIOR BOULEVARD, ,EUGENE,OR,97401,5901,LANE,41039,N SIDE OF MARTIN LUTHER KING JR BLVD .21 MI E OF SCOUT ACCESS RD, , , ,2006/06/28 00:00:00+00,PHONE,2006/06/28 00:00:00+00,MANUAL,623990,"BOYS' AND GIRLS' RESIDENTIAL FACILITIES (E.G., HOMES, RANCHES, VILLAGES)",109816595,-123.0677224,44.0612583,NAVTEQ,2006Q3,ONENTITY,YES,TGS, , ,COUNTY, ,YES,YES,YES,YES,0,0, , , ,N
84,10461778,UNCLASSIFIED,SANTIAM CORRECTIONAL INSTITUTION,503-378-5808,4005 AUMSVILLE HIGHWAY SOUTHEAST, ,SALEM,OR,97317,9112,MARION,41047,FROM THE INTERSECTION OF KUEBLER BLVD SE AND AUMSVILLE HWY SE TRAVEL SOUTHEAST ON AUMSVILLE HWY SE 0.73 MILE ON THE SOUTHWEST SIDE OF AUMSVILLE HWY SE, , , ,2008/02/19 00:00:00+00,PHONE,2009/02/20 00:00:00+00,MANUAL,922140,CORRECTIONAL INSTITUTIONS,21383493,-122.9615811,44.8917462,NAVTEQ,2008Q1,ONENTITY,YES,TGS, , , , , , , , ,0,0, , , ,N
85,10463204,UNCLASSIFIED,LINN-BENTON JUVENILE DETENTION CENTER,541-791-9397,4400 LOCHNER ROAD SOUTHEAST, ,ALBANY,OR,97322,3798,LINN,41043,LOC ON THE WEST SIDE OF LOCHNER ROAD SE 0.56 MILES SE OF MARION ST SE, , , ,2008/02/22 00:00:00+00,PHONE,2008/02/22 00:00:00+00,MANUAL,623990,"BOYS' AND GIRLS' RESIDENTIAL FACILITIES (E.G., HOMES, RANCHES, VILLAGES)",112433162,-123.0947458,44.6015568,NAVTEQ,2006Q4,ONENTITY,YES,TGS, , , , , , , , ,0,0, , , ,N
86,10462416,UNCLASSIFIED,UNITED STATES MARSHALS SERVICE - MEDFORD,541-776-4277,310 WEST 6TH STREET,J A REDDEN UNITED STATES COURTHOUSE,MEDFORD,OR,97501,2766,JACKSON,41029,LOC ON THE WEST CORNER OF N HOLLY ST AND W 6TH ST., , , ,2008/02/22 00:00:00+00,PHONE,2008/02/21 00:00:00+00,MANUAL,922120,MARSHALS' OFFICES,86873912,-122.877135,42.3254551,NAVTEQ,2006Q4,ONENTITY,YES,TGS, , , , , , , , ,0,0, , , ,Y
87,10171599,UNCLASSIFIED,LINCOLN CITY POLICE DEPARTMENT,541-994-3636,1503 SOUTHEAST EAST DEVILS LAKE ROAD, ,LINCOLN CITY,OR,97367,2621,LINCOLN,41041,"GOING SOUTHWEST ON SE E DEVILS LAKE RD TURN NORTH ON POLICE DEPARTMENT, TRAVEL.13 MILE ENTITY LOCATED ON THE NORTHEND OF POLICE DEPARTMENT", , , ,2006/06/29 00:00:00+00,PHONE,2006/06/29 00:00:00+00,MANUAL,922120,POLICE DEPARTMENTS (EXCEPT AMERICAN INDIAN OR ALASKA NATIVE),121245089,-124.0111735,44.9616374,NAVTEQ,2006Q3,ONENTITY,YES,TGS, , ,LOCAL, ,YES,YES,NO,YES,0,0, , , ,Y
88,10463208,UNCLASSIFIED,OREGON YOUTH AUTHORITY - CAMP TILLAMOOK,503-842-4243,6820 BARRACKS CIRCLE, ,TILLAMOOK,OR,97141,9683,TILLAMOOK,41057,LOC ON THE N SIDE OF BARRACKS CIR 0.07 MILES N OF THE WESTERN MOST INTERSECTION OF OFFICER ROW AND BARRACKS CIR., , , ,2008/02/22 00:00:00+00,PHONE,2009/02/18 00:00:00+00,MANUAL,623990,"BOYS' AND GIRLS' RESIDENTIAL FACILITIES (E.G., HOMES, RANCHES, VILLAGES)",92538442,-123.7966469,45.4243018,NAVTEQ,2008Q1,ONENTITY,YES,TGS, , , , , , , , ,0,0, , , ,N
89,10171655,UNCLASSIFIED,FLORENCE POLICE DEPARTMENT,541-997-3515,900 GREENWOOD STREET, ,FLORENCE,OR,97439,9492,LANE,41039,NE CORNER OF GREENWOOD ST AND 9TH ST, , , ,2006/06/28 00:00:00+00,PHONE,2006/06/28 00:00:00+00,MANUAL,922120,POLICE DEPARTMENTS (EXCEPT AMERICAN INDIAN OR ALASKA NATIVE),86686498,-124.1133352,43.9751166,NAVTEQ,2006Q3,ONENTITY,YES,TGS, , ,LOCAL, ,YES,YES,NO,YES,0,0, , , ,Y
