OBJECTID,CYCLE,NAME,LOCATION,MILES,NHD_BASIN,AQUATIC_LIFE,RECREATION,FISH_CONSUMPTION,DRINKING_WATER_SUPPLY,Shape__Length
263,2010,Stony Brook (Suffield)-03,"From confluence with DeGrayes Brook (just northwest of airport), US to headwaters (the confluence of Rocky Gutter Brook and Rattlesnake Brook), Suffield.",4.27,1080205,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,22523.7559055678
264,2010,Muddy Brook (Suffield)-01,"From mouth at Stony Brook, Suffield, US to confluence with Philo Brook.",2.23,1080205,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,11779.0472985201
266,2010,Scantic River-01,"From mouth at Connecticut River, US to confluence with Broad Brook, East  Windsor.",9.38,1080205,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,49507.6823549896
270,2010,Poplar Plains Brook (Westport)-01,"From mouth at confluence with Saugatuck River (Lee Pond section, just DS of Route 15 crossing), US to confluence with unnamed tributary US of Route 33 (Wilton Road) crossing (outlet for Keenes Pond), Westport.",0.5,1100006,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,2647.0365549371
271,2010,"Unnamed tributary, West Branch Saugatuck River (Weston)-01","From mouth at confluence with West Branch Saugatuck River (DS Route 53 (Newtown Turnpike) crossing), US to unnamed pond outlet (US Birch Hill Road crossing), Weston.",0.39,1100006,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,2042.00964680675
272,2010,"Salmon Brook, West Branch (Granby)-01b","From confluence with Bissell Brook (US of Route 10/202 crossing), US to headwaters (just US of Route 179 (South Road) crossing), Hartland.",11.29,1080207,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,59607.8825605898
273,2010,Hart Brook-01,"From mouth at confluence with Hall Meadow Brook, above West Branch Naugatuck River (just US of Norfolk Road (Route 272) crossing), US to Reuben Hart Reservoir outlet dam, Torrington.",0.64,1100005,Not Supporting,Not Assessed,Fully Supporting,Not Assessed,3397.75627760957
275,2010,Willow Brook (New Britain)-01,"From mouth at Mattabasset River, US to outlet of conduit under Buell Street, near intersection with Route 71A (Kensington Ave, east of Hart Park), New Britain.",3.43,1080205,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,18125.5332190188
277,2010,Misery Brook-01,"From mouth at Quinnipiac River (just DS of Meriden Waterbury Turnpike (Route 322) crossing), Cheshire/Southington border, US to Slopers Pond outlet dam( just US of East Street crossing), Southington.",4.23,1100004,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,22326.8934683984
279,2010,Sodom Brook-01,"From mouth at confluence with Quinnipiac River (flows into north side of Hanover Pond portion of river), US to headwaters (just US of second Hicks Avenue crossing, due to river changing direction), Meriden.",4.16,1100004,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,21970.0195778246
280,2010,Harbor Brook (Meriden)-01,"From mouth at confluence with Quinnipiac River (flows into north side of Hanover Pond portion of river, DS of Bradley Avenue crossing), US to exit of box culvert (just DS of RailRoad and Main Street (Route 71) crossings), Meriden.",2.02,1100004,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,10666.674496163
281,2010,Harbor Brook (Meriden)-02,"From exit of box culvert (just DS of RailRoad and Main Street (Route 71) crossings), US to culvert entrance (just US of Fire Station, and US of Mill Street crossing), Meriden.",0.4,1100004,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,2125.94851641219
284,2010,Muddy River (Wallingford)-02b,"From confluence with unnnamed tributary (outlet for Tamarac Swamp), just DS of Tyler Mill Road crossing, Wallingford, US to  MacKenzie Reservoir outlet dam (US of Northford Road crossing), Wallingford.",1.81,1100004,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,9558.20237312485
287,2010,Mill River (Hamden/Cheshire)-02,"From inlet to Lake Whitney (east side of Route 15, just DS of Connolly Parkway crossing), Hamden, US to Cook Hill Road crossing, Cheshire.",9.06,1100004,Insufficient Information,Not Supporting,Fully Supporting,Not Assessed,47822.2860235987
288,2010,Mill River (Cheshire)-03,"From Cook Hill Road crossing, Cheshire, US to headwaters (US of Williamsburg Drive crossing).",3.09,1100004,Not Supporting,Not Assessed,Fully Supporting,Not Assessed,16338.0180068416
294,2010,Cherry Brook (Canton)-01,"From mouth at confluence with Farmington River (just DS of Albany Turnpike (Route 44) crossing), US to Barbourtown Road crossing, Canton.",2.05,1080207,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,10833.4701437449
295,2010,Roaring Brook (Farmington)-01,"From mouth at confluence with Farmington River (just DS of Farmington Avenue (Route 4) crossing), Farmington, US to Paparrazzo Dam outlet (just US of Mallard Drive crossing), Avon.",1.17,1080207,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,6192.95858839624
298,2010,Thompson Brook (Avon)-01,"From mouth at confluence with Farmington River (DS of Old Farms Road crossing), US to INLET of Beaverdam Pond (DS of old RailRoad crossing which is now a bike path), Avon.",1.91,1080207,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,10085.9464905085
301,2010,West River (New Haven/Woodbridge)-01,"From head of tide (tide gates) at Chapel Street crossing (just DS of Edgewood Park Pond), New Haven, US to Konolds Pond outlet dam (just US of Bradley Road crossing), Woodbridge.",3.23,1100004,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,17071.9062380282
303,2010,Wepawaug River-01,"From wepawaug Pond outlet dam (head of tide) at New Haven Avenue (Route 162) crossing, US to Route 1 crossing, Milford.  Segment includes Wepawaug Pond and City Pond portions on river.",0.77,1100004,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,4078.84310069747
304,2010,Wepawaug River-02,"From Route 1 crossing, Milford, US to Lake Wepawaug inlet, Orange.  Segment includes Lake Wepawaug portion on river.",4.2,1100004,Insufficient Information,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,22151.2843337215
306,2010,Housatonic River-06,"From confluence with Mauwee Brook (between River Road on west side, and RailRoad tracks on east), Kent, US to Great Falls outlet dam, Salisbury/Canaan (Amesville) town border. (Segment follows river channel, not concrete passage from dam).",18.23,1100005,Fully Supporting,Not Supporting,Not Supporting,Water Not Classified For Drinking Supply,96232.9000724076
307,2010,Housatonic River-07,"From Great Falls outlet dam, Salisbury/Canaan (Amesville) town border (river channel, not concrete passage from dam), US alon Salisbury/North Canaan town border to Massachusetts border.",7.34,1100005,Not Assessed,Not Assessed,Not Supporting,Water Not Classified For Drinking Supply,38767.3899843171
311,2010,Still River (New Milford/Brookfield)-01,"From mouth at confluence with Housatonic River (DS of RailRoad crossing), New Milford, US to Silvermine Road crossing (USGS station), Brookfield (just DS of Route 7 crossing, and DS of confluence with Charles Pickneys Brook), Brookfield.",8.48,1100005,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,44793.6817253144
312,2010,Still River (Brookfield/Danbury)-02,"From Silvermine Road crossing (USGS station), Brookfield (just DS of Route 7 crossing, and DS of confluence with Charles Pickneys Brook), US to confuence with Limekiln Brook (just US of I84 crossing), Danbury.",6.21,1100005,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,32770.6527650448
313,2010,Still River (Danbury)-03,"From confuence with Limekiln Brook (just US of I84 crossing), US to confluence with Sympaug Brook (just US of Cross Street crossing), Danbury.",2.19,1100005,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,11559.0621654164
314,2010,Still River (Danbury)-04,"From confluence with Sympaug Brook (just US of Cross Street crossing), US to confluence with Padanaram Brook (just US of White Street crossing, river runs between RailRoad tracks), Danbury.",1.56,1100005,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,8261.37623800683
315,2010,Still River (Danbury)-05,"From confluence with Padanaram Brook (just US of White Street crossing, river runs between RailRoad tracks), US to Lake Kenosia outlet (just US of Kenosia Avenue crossing), Danbury.",3.87,1100005,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,20421.6232254672
319,2010,Shunock River-01,"From mouth at Pawcatuck River, US to Side Pond dam at outlet of Ripley Parks Pond (just south of Babcock Road), North Stonington Center.",4.37,1090005,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,23054.4017590016
322,2010,Natchaug River-01,"From mouth at confluence with Willimantic River, above Shetucket River (DS of Brick Top Road (Route 14) crossing), Windham, US to Willimantic Reservoir outlet dam (Natchaug River Dam), southwest of Windam Airport, Windham/Mansfield town border.",3.38,1100002,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,17832.04811162
328,2010,Pocotopaug Creek-02,"From Old Chestnut Hill Road crossing, East Hamption, US to Pocotopaug Lake outlet dam (just US of Route 66 crossing).",2.66,1080205,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,14047.1355078686
329,2010,Eightmile River (Lyme)-01,"From mouth at Connecticut River, Hamburg Cove (part of Connecticut River tidal area), US to headwaters at Peck Meadow Pond outlet dam.",12.22,1080205,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,64534.7030216016
336,2010,Housatonic River-01,"From end of saltwater influence, at southern most portion of Wooster Island, Orange, US to confluence with Naugatuck River, Shelton/Derby town border.",3.17,1100005,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,16735.8121166938
337,2010,Housatonic River-02,"From confluence with Naugatuck River, US to Lake Housatonic outlet dam (Derby Dam), Shelton/Derby town border. (Between segment 02 and 03, are Lake Housatonic, Lake Zoar, and Lake Lillinonah, all independent waterbodies).",1.5,1100005,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,7921.16394670912
338,2010,Housatonic River-03,"From inlet to Lake Lillinonah (Northwestern most portion, DS of Lovers Leap Road crossing), at confluence with Town Farm Brook, New Milford/Bridgewater town border, US to Boardman Road crossing (between Route 7 and RailRoad tracks), New Milford.",5.09,1100005,Not Assessed,Fully Supporting,Not Supporting,Water Not Classified For Drinking Supply,26853.21094285
339,2010,Housatonic River-04,"From Boardman Road crossing (between Route 7 and RailRoad tracks), New Milford, US to Bull Bridge outlet dam (US of Bulls Bridge Road crossing, west side of Route 7), Kent.",8.05,1100005,Not Assessed,Not Supporting,Not Supporting,Water Not Classified For Drinking Supply,42510.8867588487
340,2010,Housatonic River-05,"From Bull Bridge OUTLET dam (US of Bulls Bridge Road crossing, west side of Route 7), US to confluence with Mauwee Brook (between River Road on west side, and RailRoad tracks on east), Kent.",6.66,1100005,Not Assessed,Not Assessed,Not Supporting,Water Not Classified For Drinking Supply,35190.9586623198
352,2010,Deep Brook-01,"From mouth at confluence with Pootatuck River (south side of I84, near exit 10), US to headwaters at Deep Brook Pond outlet dam, parallel to Head of Meadow Road), Newtown.",5.25,1100005,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,27729.5039253149
354,2010,Blackberry River-01,"From mouth at confluence with Housatonic River (at loop in river around island), US to confluence with North Canaan WPCF (near old RailRoad grade, currently trail), North Canaan.",0.78,1100005,Fully Supporting,Not Assessed,Not Supporting,Water Not Classified For Drinking Supply,4130.74861666637
355,2010,Blackberry River-02a,"From confluence with North Canaan WPCF (near old RailRoad grade, currently trail, DS of Route 44 crossing), US to drainage ditch at southwest boundary of Lime Quarry (parallel to Lower Road), North Canaan.",2.75,1100005,Fully Supporting,Not Supporting,Not Supporting,Water Not Classified For Drinking Supply,14528.2770899215
356,2010,Blackberry River-02b,"From drainage ditch at southwest boundary of Lime Quarry (parallel to Lower Road), US to Blast Furnace (Historical Park) at Lower Pond dam outlet on Iron Furnace Pond (perpendicular to Furnace Hill Road), North Canaan.",1.18,1100005,Fully Supporting,Not Assessed,Not Supporting,Water Not Classified For Drinking Supply,6212.26925326099
364,2010,Farmill River-02,"From River Road (Route 110) crossing (Wilson Gardens Dog Pond outlet dam), Shelton/Stratford town border, US to confluence with Means Brook (US of Sycamore Drive crossing), Shelton.",3.99,1100005,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,21076.8668882884
365,2010,Mad River (Waterbury)-01,"From mouth at confluence with Naugatuck River (behind Roller Magic, off of Harvester Road), US to Route 69 crossing (US of I84 crossing, exit 22 area, and just US of Brass City Mall), Waterbury.",1.77,1100005,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,9371.2379572125
366,2010,Mad River (Waterbury)-02,"From Route 69 crossing (US of I84 crossing, exit 22 area, and just US of Brass City Mall), US to confluence with Beaver Pond Brook, just US of I84 crossing (Scovill Pond no longer exists), Waterbury.",1.01,1100005,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,5327.69037841468
367,2010,Mad River (Waterbury)-03a,"From confluence with Beaver Pond Brook, (just US of I84 crossing and DS of Plank Road crossing, in former Scovill Ponds section), Waterbury, US to confluence with Lily Brook (CT6914-06 Gazetteer, and called Finch Brook in NHD), Wolcott.",3.46,1100005,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,18252.8358092161
368,2010,Norwalk River-05,"From confluence with Cooper Pond Brook (DS of Branchville Road, east of intersection with Route 7), Ridgefield, US to headwaters at Little Pond outlet dam (US of confluence with Ridgefield Brook from west, on west side parallel to Route 7), Ridgefield.",4.85,1100006,Insufficient Information,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,25633.9528668938
370,2010,Ridgefield Brook-01,"From confluence with Norwalk River (DS of headwaters at Little Pond outlet dam, west side of Route 7), US to Taylors Pond outlet dam (US of Limestone Road crossing), Ridgefield.",1.05,1100006,Insufficient Information,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,5544.92030044489
371,2010,Ridgefield Brook-02,"From INLET to Taylor Pond (on southwest portion of pond, east of Barrow Mountain), US (south) to headwaters at outlet of Lounsebury Pond in southwest portion of Great Swamp, Ridgefield (Segment includes outfall of Ridgefield POTW, upper Great Swamp area)",3.22,1100006,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,16999.0605475809
374,2010,Silvermine River-01,"From Mouth at confluence with Norwalk River (northwest INLET to Deering Pond portion of river), US to Merritt Parkway (Route 15) crossing), Norwalk. (Segment includes Davis Pond)",0.98,1100006,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,5173.68983421977
375,2010,Morgan Brook-02,"From confluence with tributary 4305-04 (end of seg-01) east side of Route 44, US to East West Hill Road crossing area (50 meters US of East West Hill Road crossing, entrance of 9/12/05 home heating fuel spill), Barkhamsted.",1.41,1080207,Insufficient Information,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,7455.16784094598
377,2010,Morgan Brook-04,"From confluence with Mallory Brook, US to West Hill Pond outlet dam, Barkhamsted.",1.52,1080207,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,8045.67626276461
380,2010,Byram River-01,"From head of tide (US of Route 1 crossing, at INLET to ponded portion of river, just DS of Upland Street East area), US to Pemberwick outlet dam (US of Comly Avenue crossing, and US of confluence with Pemberwick Brook, Greenwich.",0.49,1100006,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,2604.5696551716
383,2010,Titicus River-01,"From New York state border (in large marsh along north side of North Salem Road (Route 116)), US to headwaters (at unnamed marsh, US of Old West Mountain Road crossing), Ridgefield. (Segment includes several ponds and marshes) ",6.34,2030101,Not Assessed,Not Supporting,Fully Supporting,Not Assessed,33474.3824546986
384,2010,Indian River (Westport)-01,"From mouth at Saugatuck River (head of Burritt Cove, Saugatuck River Estuary, just DS of Saugatuck Avenue (Route 136) crossing), US to I95 crossing, Westport.",0.53,1100006,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,2788.78073226702
385,2010,Trout Brook-02,"From US side of Route 84 Exit 42 (Trout Brook) ramp, West Hartford, US to Park Road crossing (Entire segment flows through concrete channel).",0.88,1080205,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,4667.95300028606
386,2010,Trout Brook-03,"From Park Road crossing (just DS of Boulevard road crossing), US to Woodbridge Lake outlet dam, West Hartford.",5.95,1080205,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,31422.9723160442
387,2010,North Branch Park River-01,"From mouth at confluence with Park River just DS of I84 crossing, US to entrance of conduit (entire segment in pipe) near Farmingotn Avenue, Hartford.",0.51,1080205,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,2684.19087338557
388,2010,North Branch Park River-02,"From DS side of Farmington Avenue (at entrance of conduit), US to confluence with Wash Brook (just DS of confluence of Wash Brook and Beamans Brook), Bloomfield.",5.39,1080205,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,28465.6401229213
389,2010,Hockanum River-01,"From mouth at Connecticut River, East Hartford, US to Cellu Company Dam, the first dam at Scotland Impoundment (two dams just DS of this dam), includes impounded water behind East Hartford town hall.",4.26,1080205,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,22496.9061096226
390,2010,Hockanum River-02,"From Cellu Company dam (first dam at Scotland Impoundment), US to confluence with South Fork Hockanum (AKA Hop) River, just US of ""Laurel Lake"", Manchester.",3.6,1080205,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,18983.848544441
391,2010,Hockanum River-03,"From confluence with South Fork Hockanum (AKA Hop) River (just US of ""Laurel Lake""), US to Union Pond outlet dam, Manchester.",3.42,1080205,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,18069.8416329138
392,2010,Hockanum River-04a,"From inlet to Union Pond, Manchester, US to confluence with Tankerhoosen River, Vernon.",1.44,1080205,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,7606.50305344037
393,2010,Hockanum river-04b,"From confluence with Tankerhoosen River, Vernon, US to marsh (approximatly one mile DS of Dart Hill Road crossing, parallel to Route 83, near Neak Road), Vernon.",1.67,1080205,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,8802.05322977154
394,2010,Beaver Brook (Weston)-01,"From mouth at confluence with Saugatuck River (DS Slumber Lane crossing), US to confluence with Davidge Brook (adjacent to Glenwood Road), Weston.",1.02,1100006,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,5381.07642441239
395,2010,Kettle Creek (Weston)-01,"From mouth at confluence with Saugatuck River (DS of Good Hill Road crossing), US to confluence with unnamed tributary (DS of Kettle Creek Road crossing), Weston.",0.62,1100006,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,3283.42134613632
396,2010,"Farmington River, East Branch-01","From mouth at Farmington River mainstem, New Hartford, US to Lake McDonough outlet dam.",1.11,1080207,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,5878.93459851624
398,2010,Mattabesset River-04,"From confluence with Willow Brook, US to Kensington Dam at outlet of Railroad Pond (just US of Kensington Road crossing), Berlin.",2.83,1080205,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,14944.9460853354
399,2010,Mattabesset River-05,"From Kensington Dam at outlet of Railroad Pond (just US of Kensington Road crossing), Berlin, US to inlet of Paper Goods Pond (segment includes both ponds).",1.01,1080205,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,5328.85552662061
400,2010,Mattabesset River-06,"From inlet to Paper Goods Pond, US to Lower Hart Pond outlet dam (Both Lower and Upper Hart Ponds are not in segment).",1.32,1080205,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,6976.21872598432
404,2010,John Hall Brook-01,"From mouth at confluence with Stocking Brook (DS of Southington Road crossing), US to Kenmere Reservoir OUTLET, Berlin.",1.02,1080205,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,5370.6427182544
405,2010,John Hall Brook-02,"From Kenmere Reservoir INLET, US to Hallmere Reservoir outlet dam, Berlin.",1.0,1080205,Not Assessed,Not Supporting,Fully Supporting,Not Assessed,5304.71900937019
406,2010,Little Brook (Rocky Hill)-01,"From mouth at Mattabasset River US to source near Trinity Rd, Rocky Hill.",1.92,1080205,Insufficient Information,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,10131.3491103244
411,2010,Hollenbeck River-01,"From mouth at confluence with Housatonic River (DS of Point of Rock Road (Route 126) crossing), Canaan, US to headwaters (US of Cornwall Hollow Road (Route 43) crossing), Cornwall.",18.32,1100005,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,96710.7310943253
421,2010,Padanaram Brook-01,"From mouth at confluence with Still River (just DS of Crosby Street crossing), US to headwaters at Padanaram Reservoir outlet dam (parallel to Padanaram Road), Danbury.",3.71,1100005,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,19565.9462999987
422,2010,Sympaug Brook-01,"From mouth at confluence with Still River (DS of Shelter Rock Road crossing, parallel to Cross Street), US to Greatpasture Road (Wooster Street) crossing, Danbury.",0.6,1100005,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,3155.06060732397
424,2010,Limekiln Brook-01,"From mouth at confluence with Still River (just US of I84 crossing), US to confluence with Danbury WPCF outfall channel (US of Newtown Road (Route 6) crossing, behind shopping plaza at pump station), Danbury.",0.45,1100005,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,2383.66088973073
426,2010,Limekiln Brook-03,"From Shelter Rock Road crossing (first road crossing, above landfill), Bethel, US to headwaters (just US of Poverty Hollow Road crossing), Newtown.",6.04,1100005,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,31865.4291776441
427,2010,Shepaug River-01,"From mouth at confluence with Housatonic River (northeast branch of Lake Lillinonah portion, just DS of Minor Bridge Road crossing), US to confluence with Bantam River (parallel with Whittlesey Road), Washington.",17.67,1100005,Fully Supporting,Not Supporting,Fully Supporting,Not Assessed,93290.2128935887
428,2010,Shepaug River-02,"From confluence with Bantam River (just DS of Whittlesey Road crossing), Washington, US to Shepaug Reservoir outlet dam (US of Valley Road crossing), Litchfield/Warren town border.",3.51,1100005,Not Supporting,Fully Supporting,Fully Supporting,Not Assessed,18552.4932995331
438,2010,Pomperaug River-03,"From Flood Bridge Road crossing, US to confluence with Bullet Hill Brook (just DS of Heritage Road crossing), Southbury. (Segment includes Heritage Village POTW discharge)",1.31,1100005,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,6937.29329193824
440,2010,South Brook-01,"From mouth at confluence with Pomperaug River, US to Main Street (Route 6) crossing, Woodbury.",0.37,1100005,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,1979.95706299929
441,2010,Stiles Brook-01,"From mouth at confluence with Pomperaug River, US to Anna Stiles Pond outlet Dam (just US of Route 6 crossing), Southbury.",0.25,1100005,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,1325.0581278439
446,2010,Naugatuck River-02,"From Rimmon (Tingue) outlet dam (just DS of Route 8 crossing), Seymour, US to confluence with Hopeville Pond Brk, just US of Waterbury WPCF. (Segment includes Wtby, Naug & Beacon Falls WPCFs, & dredge holes in river between Rts 42 & 67 in Beacon Falls)",11.26,1100005,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,59472.0032207546
447,2010,Naugatuck River-03,"From confluence with Hopeville Pond Brook, just US of Waterbury WPCF, US to confluence with Steele Brook (west side of Route 8, at Route 73 connection), Waterbury.",3.52,1100005,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,18584.3279335929
448,2010,Naugatuck River-04,"From confluence with Steele Brook (west side of Route 8, at Route 73 connection), Waterbury, US to sewage leak from pipe under river (near old bridge abutment) along Chase River Road, Watertown/Waterbury town border.",1.65,1100005,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,8731.38540491019
449,2010,Naugatuck River-05,"From US side of sewage leak from pipe under river (near old bridge abutment) along Chase River Road, Watertown/Waterbury town border, US to confluence with Thomaston WPCF outfall (just US of confuence with Branch Brook), Thomaston.",4.46,1100005,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,23525.2281710027
450,2010,Naugatuck River-06,"From confluence with Thomaston WPCF outfall (just US of confuence with Branch Brook), Thomaston, US to confluence with Spruce Brook (west side of Route 8), Litchfield/Harwinton town border.",9.0,1100005,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,47513.8610968618
451,2010,Naugatuck River-07,"From confluence with Spruce Brook (west side of Route 8), Litchfield/Harwinton town border, US to confluence with Torrington WPCF (just US of bend north of plant), Harwinton/Torrington town border.",2.71,1100005,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,14329.983810304
454,2010,Transylvania brook-01,"From mouth at confluence with Pomperaug River (just DS of East Flat Hill Road crossing), US to confluence with Spruce Brook (just US side of Southbury Training School STP), Southbury.",1.6,1100005,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,8459.78448842515
455,2010,Transylvania Brook-02,"From confluence with Spruce Brook (just US side of Southbury Training School STP), US to Gravel Pit Pond outlet dam (US of South Britian Road (Route 172) crossing), Southbury.",0.32,1100005,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,1666.02418124888
457,2010,Naugatuck River-01,"From mouth at confluence with Housatonic River (DS of RailRoad crossing), Derby, US to Rimmon (Tingue) outlet dam (US of Broad Street crossing, and just DS of Route 8 crossing), Seymour.",6.15,1100005,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,32470.147583438
458,2010,Poland River-01,"From mouth at confluence with Pequabuck River, US to confluence with Marsh Brook (seg 2 begins), Plymouth.",0.42,1080207,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,2207.03406473975
459,2010,Poland River-02,"From confluence with Marsh Brook, US to confluence with unnamed brook 4313-03-1, US of Judd Road crossing (paralell with Route 72), Plymouth, CT.",0.71,1080207,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,3741.55120762021
460,2010,Coppermine Brook (Bristol)-01,"From mouth at Pequabuck River, US to New Britain drinking water watershed boundary and water diversion (just us of confluence with Polkville Brook), Bristol.",2.43,1080207,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,12837.9736897412
461,2010,Pequabuck River-03,"From Bristol POTW outfall (DS of route 229 crossing), US to exit of box culvert, downtown Bristol.",1.23,1080207,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,6514.63105748351
462,2010,Pequabuck River-04,"From exit of box culvert, US to entrance of box culvert (entire segment in culvert), center of Bristol.",0.33,1080207,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,1733.83864086571
463,2010,Pequabuck River-05,"From entrance to box culvert, center Bristol, US to Plymouth POTW (just DS of Canal Street (Route 72) crossing), Plymouth.",2.7,1080207,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,14263.5279612174
464,2010,Pequabuck River-06,"From Plymouth POTW (just DS of Canal Street (Route72) crossing), US to headwaters, South of Rocky Road, Harwinton.",5.46,1080207,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,28846.3978373302
465,2010,Nod Brook-01,"From mouth at dredge holes (Twin Lakes North & South) near Farmington River, Avon, US to headwaters (just US of Rocklyn Road crossing), Simsbury.",6.61,1080207,Insufficient Information,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,34909.8658853381
