OBJECTID_12_13,PIN,MAJOR,MINOR,ADDRESS,APT_CONV,B_COM_GRSSQF,B_OTH_GRSSQF,B_PRKG_GRSSQF,B_RES_GRSSQF,BLDG_AV,BLDG_DESC,COM_GRSSQF,EFF_YEAR_MAX,GRSS_SQFT,HOUSE,JURIS_NAME,KCA_AREA,LAND_AV,LEVY_CD,LOT_SQFT,LU_GEN_CAT,LU_GEN_DESC,LU_PLN_CAT,LU_PLN_DESC,NR_BLDGS,NR_STORIES_MAX,NR_UNITS,OTH_GRSSQF,PRES_USE,PRKG_GRSSQF,PROP_NAME,PROP_TYPE,PUB_OWN_CATEGORY,PUB_OWN_TYPE,PUC,RES_GRSSQF,ROLL_YR,STR_ZIP,SUBAREA,TAXPAYER,TAX_ADDRESS,TAX_ATTENTION,TAX_CITY,TAX_ZIP,TAX_STATUS,USE_CATEGORY,YR_BUILT_MAX,YR_RENOV_MAX,GEOM_AREA,GEOM_PERIMETER,BUFFER,TC_ID,OBJECTID,TC_ID_1,Total_A,Can_A,Grass_A,Soil_A,Water_A,Build_A,Road_A,Paved_A,Perv_A,Imperv_A,Can_P,Grass_P,Soil_P,Water_P,Build_P,Road_P,Paved_P,Perv_P,Imperv_P,OBJECTID_1,TC_E_A,TC_Pv_A,TC_Land_A,TC_Pi_A,TC_P_A,TC_E_P,TC_Pv_P,TC_P_P,TC_Pi_P,TC_Land_A_1,Gain,Loss,No_Change,TreeCanopy_2016_Area,TreeCanopy_2021_Area,Change_Area,Change_PercentChange,TreeCanopy_2016_Percent,TreeCanopy_2021_Percent,Change_Percent_AbsDiff,TC_ID_12,OBJECTID_12,TC_ID_12_13,Shape__Area,Shape__Length
27,1624049214,162404,9214,1600  S COLUMBIAN WAY, ,0,0,0,0,4680800,SCHOOL,0,1965,120636,1600,SEATTLE,40,5482000,10,365468,6,Major Institution And Public Facilities/Utilities,16,Schools,2,1,0,120636,School(Public),0,ASA MERCER JR HIGH,C,SEATTLE SCHOOL DISTRICT,PUBLIC,184,0,2019,98108,40,SEATTLE PUBLIC SCHOOLS,PO BOX 34165 - M/S 23-365, ,SEATTLE  WA,98124,X,O,1957,1965,365287.52366143,2593.43746937,Y,27,27,,365286,39364,26531,0,0,164337,0,135054,65895,299391,10.7762137065204,7.26307605547434,0.0,0.0,44.9885842873803,0.0,36.972125950625,18.0392897619947,81.9607102380053,,39364,26531,365286,135054,161585,10.7762137065204,7.26307605547434,44.2352020060993,36.972125950625,,4296,869,35068,35937,39364,3427,9.53613267662855,9.8380447101723,10.7762137065204,0.938168996348066,,,,365286.016860962,2593.43241892735
28,7549802085,754980,2085,5511   15TH AVE S, ,0,0,0,0,39267800,MULTI-POURPOSE BLDG,0,2006,249285,5511,SEATTLE,40,36893300,10,368933,6,Major Institution And Public Facilities/Utilities,16,Schools,3,3,0,249285,School(Public),0,CLEVELAND HIGH SCHOOL,C,SEATTLE SCHOOL DISTRICT,PUBLIC,184,0,2019,98108,40,SEATTLE PUBLIC SCHOOLS,PO BOX 34165 M/S 23-365, ,SEATTLE  WA,98124,X,O,2006,2006,374324.2982849,3099.09280753,Y,28,28,,374339,111290,113301,0,0,87677,0,62071,224591,149748,29.7297369496633,30.266950544827,0.0,0.0,23.4218181915323,0.0,16.5814943139774,59.9966874944903,40.0033125055097,,111290,113301,374339,62071,175372,29.7297369496633,30.266950544827,46.8484448588044,16.5814943139774,,6053,8646,105237,113883,111290,-2593,-2.27689822010309,30.4224245937506,29.7297369496633,-0.692687644087314,,,,374322.78112793,3099.08663535042
29,2919200635,291920,635,144  NW 80TH ST, ,0,0,0,0,10348100,Elementary School,0,2002,60940,144,SEATTLE,19,9405500,10,122150,6,Major Institution And Public Facilities/Utilities,16,Schools,1,3,0,60940,School(Public),0,GREENWOOD ELEMENTARY SCHOOL,C,SEATTLE SCHOOL DISTRICT,PUBLIC,184,0,2019,98117,50,SEATTLE PUBLIC SCHOOLS,PO BOX 34165 M/S 23-365, ,SEATTLE  WA,98124,X,O,1908,2002,122325.10032559,1606.4547068,Y,29,29,,122318,22140,36777,2067,0,33918,0,27416,60984,61334,18.1003613531941,30.0667113589169,1.68985758432937,0.0,27.7293611733351,0.0,22.4137085302245,49.8569302964404,50.1430697035596,,22140,36777,122318,29483,66260,18.1003613531941,30.0667113589169,54.1702774734708,24.1035661145539,,2052,1563,20088,21651,22140,489,2.25855618678121,17.7005837243905,18.1003613531941,0.399777628803612,,,,122324.601074219,1606.45158132194
30,4315700020,431570,20,4320  SW MYRTLE ST, ,0,20382,0,0,4796300,SCHOOL,0,1991,53189,4320,SEATTLE,45,6297600,10,157440,6,Major Institution And Public Facilities/Utilities,16,Schools,1,3,0,32807,School(Public),0,GATEWOOD ELEMENTARY SCHOOL,C,SEATTLE SCHOOL DISTRICT,PUBLIC,184,0,2019,98136,35,SEATTLE PUBLIC SCHOOLS,PO BOX 34165 M/S 23-365, ,SEATTLE  WA,98124,X,O,1910,1991,159761.60529026,1742.66588276,Y,30,30,,159750,25383,55494,0,0,31936,0,46937,80877,78873,15.8892018779343,34.7380281690141,0.0,0.0,19.9912363067293,0.0,29.3815336463224,50.6272300469484,49.3727699530516,,25383,55494,159750,46937,102431,15.8892018779343,34.7380281690141,64.1195618153365,29.3815336463224,,3955,704,21428,22132,25383,3251,14.6891378998735,13.8541471048513,15.8892018779343,2.03505477308294,,,,159760.988189697,1742.66270585708
31,3646100805,364610,805, 2101 S Jackson St, ,0,0,0,0,0, ,0,0,0, ,SEATTLE,40,21466200,10,195148,7,Parks/Open Space/Cemeteries,17,Open Space,0,0,0,0,"Park, Public(Zoo/Arbor)",0,Judkins Park,C,SEATTLE SCHOOL DISTRICT,PUBLIC,149,0,2019, ,20,SEATTLE PUBLIC SCHOOLS,PO BOX 34165 M/S 23-365, ,SEATTLE  WA,98124,X,NB,0,0,195888.23010604,2466.25220415,Y,31,31,,759960,82929,445360,37870,0,143455,265,50081,566159,193801,10.9122848570977,58.6030843728617,4.98315700826359,0.0,18.8766514027054,0.0348702563292805,6.58995210274225,74.4985262382231,25.5014737617769,,82929,445360,759960,87951,533311,10.9122848570977,58.6030843728617,70.1761934838676,11.5731091110058,,11151,6272,71778,78050,82929,4879,6.25112107623318,10.2702773830202,10.9122848570977,0.642007474077584,,,,759969.302337646,4366.38468522988
32,5700001240,570000,1240,3013 S Mt Baker Blvd, ,0,0,0,0,0, ,0,0,0, ,SEATTLE,40,478800,10,15963,8,Vacant,18,Vacant,0,0,0,0,Vacant(Single-family),0, ,C,SEATTLE SCHOOL DISTRICT,PUBLIC,300,0,2019, ,50,SEATTLE PUBLIC SCHOOLS,PO BOX 34165 - M/S 23-365, ,SEATTLE  WA,98124,X,NB,0,0,15963.34564573,636.04425022,Y,32,32,,367960,39406,189915,0,0,89108,3025,46506,229321,138639,10.709316230025,51.612947059463,0.0,0.0,24.2167626915969,0.822100228285683,12.6388737906294,62.322263289488,37.677736710512,,39406,189915,367960,46506,236421,10.709316230025,51.612947059463,64.2518208500924,12.6388737906294,,4019,1841,35387,37228,39406,2178,5.85043515633394,10.1174040656593,10.709316230025,0.591912164365691,,,,367948.723983765,3537.53925825485
33,7518503620,751850,3620,1810  NW 65TH ST, ,0,0,0,0,1344200,SALMON BAY ELEMENTARY SCHOOL,0,1980,25200,1810,SEATTLE,19,9039200,10,115888,6,Major Institution And Public Facilities/Utilities,16,Schools,1,3,0,25200,School(Public),0,SALMON BAY SCHOOL (MONROE ELEMENTARY SCHOOL),C,SEATTLE SCHOOL DISTRICT,PUBLIC,184,0,2019,98117,50,SEATTLE PUBLIC SCHOOLS,PO BOX 34165 M/S 23-365, ,SEATTLE  WA,98124,X,O,1930,1980,122012.91130078,1604.18763834,Y,33,33,,189320,25886,73584,2622,0,54662,0,32566,102092,87228,13.6731459961969,38.8675258821044,1.38495668709064,0.0,28.8728079442214,0.0,17.2015634903866,53.9256285653919,46.0743714346081,,25886,73584,189320,35188,108772,13.6731459961969,38.8675258821044,57.4540460595817,18.5865201774773,,3155,1716,22731,24447,25886,1439,5.88620280607027,12.9130572575533,13.6731459961969,0.760088738643567,,,,189324.886627197,2264.08447865445
34,1324039116,132403,9116,1901  SW GENESEE ST, ,0,0,0,0,11363400,ELEMENTARY SCHOOL,0,2005,68509,1901,SEATTLE,45,6069100,10,606916,6,Major Institution And Public Facilities/Utilities,16,Schools,1,3,0,68509,School(Public),0,COOPER Elementary School,C,SEATTLE SCHOOL DISTRICT,PUBLIC,184,0,2019, ,5,SEATTLE PUBLIC SCHOOLS,PO BOX 34165 M/S 23-365, ,SEATTLE  WA,98124,X,O,1999,2005,608794.60449898,3186.40812474,Y,34,34,,608811,80318,331621,0,0,61510,33203,102159,411939,196872,13.1926000022996,54.4702707408375,0.0,0.0,10.1032997104192,5.45374508673464,16.7800844597092,67.662870743137,32.337129256863,,80318,331621,608811,102159,433780,13.1926000022996,54.4702707408375,71.2503552005467,16.7800844597092,,11152,4008,69166,73174,80318,7144,9.76303058463389,12.0191652253327,13.1926000022996,1.17343477696691,,,,608792.155822754,3186.40117784481
35,1926049025,192604,9025,13052   GREENWOOD AVE N, ,0,0,0,0,6879000,BROADVIEW THOMAS ELEMENTARY SCHOOL,0,1977,127347,13052,SEATTLE,10,28479500,10,406850,6,Major Institution And Public Facilities/Utilities,16,Schools,1,2,0,127347,School(Public),0,BROADVIEW THOMAS ELEMENTARY SCHOOL,C,SEATTLE SCHOOL DISTRICT,PUBLIC,184,0,2019,98133,95,SEATTLE PUBLIC SCHOOLS,PO BOX 34165 M/S 23-365, ,SEATTLE  WA,98124,X,O,1963,1977,407713.42487234,3118.29088018,Y,35,35,,429029,97921,122595,8988,9082,100919,0,89524,238586,190443,22.8238650534113,28.5749914341455,2.09496327754068,2.11687321836053,23.5226523148785,0.0,20.8666547016635,55.610692983458,44.389307016542,,97921,122595,419947,98512,221107,23.3174662516937,29.1929695890196,52.6511678854713,23.4581982964517,,7639,3200,90282,93482,97921,4439,4.74850773410924,22.2604281016414,23.3174662516937,1.05703815005227,,,,429026.281402588,3203.03731278944
36,3438501230,343850,1230,5950   DELRIDGE WAY SW, ,0,0,0,0,4135800,BOREN JR HIGH BLDGS 1-4,0,1980,115502,5950,SEATTLE,45,12062800,10,603144,6,Major Institution And Public Facilities/Utilities,16,Schools,4,1,0,115502,School(Public),0,BOREN JR. HIGH SCHOOL,C,SEATTLE SCHOOL DISTRICT,PUBLIC,184,0,2019,98106,5,SEATTLE PUBLIC SCHOOLS,PO BOX 34165 M/S 23-365, ,SEATTLE  WA,98124,X,O,1962,1980,603345.67420447,3752.5192697,Y,36,36,,662617,149695,276664,11972,0,129234,1552,93500,438331,224286,22.5914819571487,41.7532299956083,1.80677525629436,0.0,19.503574463076,0.234222786315473,14.1107155415572,66.1514872090514,33.8485127909486,,149695,276664,662617,105472,382136,22.5914819571487,41.7532299956083,57.6707207934599,15.9174907978515,,8471,13521,141224,154745,149695,-5050,-3.26343339041649,23.3536115131365,22.5914819571487,-0.762129555987851,,,,662646.714553833,3794.1714828571
37,9396700035,939670,35,3800  SW FINDLAY ST, ,0,3216,0,0,5479000,SCHOOL,14679,1990,49029,3800,SEATTLE,45,4739700,10,135421,6,Major Institution And Public Facilities/Utilities,16,Schools,2,2,0,31134,School(Public),0,FAIRMOUNT PARK ELEMENTARY,C,SEATTLE SCHOOL DISTRICT,PUBLIC,184,0,2019,98136,35,SEATTLE PUBLIC SCHOOLS,PO BOX 34165 M/S 23-365, ,SEATTLE  WA,98124,X,O,1964,1990,135625.76659096,1553.2829806,Y,37,37,,135625,26363,28250,0,0,52234,116,28662,54613,81012,19.4381566820276,20.8294930875576,0.0,0.0,38.5135483870968,0.0855299539170507,21.1332718894009,40.2676497695852,59.7323502304147,,26363,28250,135625,28662,56912,19.4381566820276,20.8294930875576,41.9627649769585,21.1332718894009,,4465,1219,21898,23117,26363,3246,14.0416143963317,17.0447926267281,19.4381566820276,2.39336405529954,,,,135625.153289795,1553.27987604816
38,3869400560,386940,560,4925   CORSON AVE S, ,0,0,0,0,5215300,New Gym,0,2008,48407,4925,SEATTLE,40,8802900,10,293433,6,Major Institution And Public Facilities/Utilities,16,Schools,3,1,0,48407,School(Public),0,MAPLE ELEMENTARY SCHOOL,C,SEATTLE SCHOOL DISTRICT,PUBLIC,184,0,2019,98108,40,SEATTLE PUBLIC SCHOOLS,PO BOX 34165 M/S 23-365, ,SEATTLE  WA,98124,X,O,2008,2008,279419.70274188,2367.41656883,Y,38,38,,279417,26857,139704,0,0,66401,0,46455,166561,112856,9.61179885261097,49.9983895038598,0.0,0.0,23.7641231564293,0.0,16.6256884870999,59.6101883564708,40.3898116435292,,26857,139704,279417,46455,186159,9.61179885261097,49.9983895038598,66.6240779909597,16.6256884870999,,4496,1521,22361,23882,26857,2975,12.457080646512,8.54708195993801,9.61179885261097,1.06471689267296,,,,279418.586547852,2367.41169846463
39,6658000060,665800,60,6110   28TH AVE NW, ,0,0,0,0,6992400,SCHOOL,1600,1995,55100,6110,SEATTLE,19,21276100,10,146732,6,Major Institution And Public Facilities/Utilities,16,Schools,2,2,0,53500,School(Public),0,ADAMS ELEMENTARY SCHOOL,C,SEATTLE SCHOOL DISTRICT,PUBLIC,184,0,2019,98107,50,SEATTLE PUBLIC SCHOOLS,PO BOX 34165 - M/S 23-365, ,SEATTLE  WA,98124,X,O,1989,1995,151736.41185438,1752.34470553,Y,39,39,,151742,41027,20155,2441,0,47879,4317,35923,63623,88119,27.0373396950086,13.2824135704024,1.60865152693387,0.0,31.5528989996178,2.84496052510182,23.6737356829355,41.9284047923449,58.0715952076551,,41027,20155,151742,38364,58519,27.0373396950086,13.2824135704024,38.5648007802718,25.2823872098694,,2917,1766,38110,39876,41027,1151,2.88644798876517,26.2788153576465,27.0373396950086,0.758524337362104,,,,151735.832000732,1752.34156357034
40,3624039032,362403,9032,2500  SW THISTLE ST, ,0,0,0,0,34496800,SCHOOL,0,1990,362508,2500,SEATTLE,45,18752500,10,750103,6,Major Institution And Public Facilities/Utilities,16,Schools,1,2,0,362508,School(Public),0,CHIEF SEALTH INTERNATIONAL HIGH SCHOOL & DENNY INT,C,SEATTLE SCHOOL DISTRICT,PUBLIC,184,0,2019,98106,15,SEATTLE PUBLIC SCHOOLS,PO BOX 34165 M/S 23-365, ,SEATTLE  WA,98124,X,O,1956,1990,759993.36418254,3715.08951183,Y,40,40,,759986,92752,224162,1495,0,258746,0,182831,318409,441577,12.2044353448616,29.4955433389562,0.1967141499975,0.0,34.0461534817747,0.0,24.05715368441,41.8966928338154,58.1033071661846,,92752,224162,759986,184326,408488,12.2044353448616,29.4955433389562,53.7494111733637,24.2538678344075,,12974,9449,79778,89227,92752,3525,3.95059791318771,11.7406110112555,12.2044353448616,0.463824333606144,,,,759990.347915649,3715.08185688875
41,3320000015,332000,15,1303  S WASHINGTON ST, ,0,0,0,0,0, ,0,0,0, ,SEATTLE,40,20779900,10,138533,6,Major Institution And Public Facilities/Utilities,16,Schools,0,0,0,0,School(Public),0,PART OF GATZERT ELEM SCHOOL,C,SEATTLE SCHOOL DISTRICT,PUBLIC,184,0,2019,98144,10,SEATTLE PUBLIC SCHOOLS,PO BOX 34165 M/S 23-365, ,SEATTLE  WA,98124,X,NB,0,0,138533.86489167,1590.60618094,Y,41,41,,297074,48392,114905,5267,0,58635,0,69875,168564,128510,16.2895440193352,38.678915017807,1.77295892605883,0.0,19.737506479867,0.0,23.5210755569319,56.7414179632011,43.2585820367989,,48392,114905,297074,75142,190047,16.2895440193352,38.678915017807,63.9729495007978,25.2940344829908,,4757,1538,43635,45173,48392,3219,7.12593806034578,15.2059756155032,16.2895440193352,1.08356840383204,,,,297084.902984619,2127.20418013714
42,9270200005,927020,5,2424   7TH AVE W, ,0,0,0,0,14594500,SCHOOL,2257,2002,70821,2424,SEATTLE,20,12532600,10,125326,6,Major Institution And Public Facilities/Utilities,16,Schools,2,3,0,68564,School(Public),0,FRANTZ H COE ELEMENTARY SCHOOL,C,SEATTLE SCHOOL DISTRICT,PUBLIC,184,0,2019,98119,30,SEATTLE PUBLIC SCHOOLS,PO BOX 34165 M/S 23-365, ,SEATTLE  WA,98124,X,O,2002,2002,126277.34015466,1516.4996906,Y,42,42,,126273,20304,8717,1614,0,40709,0,54929,30635,95638,16.0794469126417,6.90329682513285,1.27818298448599,0.0,32.2388792536805,0.0,43.500194024059,24.2609267222605,75.7390732777395,,20304,8717,126273,56543,65260,16.0794469126417,6.90329682513285,51.6816738336778,44.778377008545,,2602,614,17702,18316,20304,1988,10.8538982310548,14.5050802626056,16.0794469126417,1.57436665003603,,,,126276.896240234,1516.4962006317
43,6392002430,639200,2430,7711   43RD AVE NE, ,0,0,0,0,5059600,SCHOOL,0,2016,135047,7711,SEATTLE,17,8342500,10,98148,6,Major Institution And Public Facilities/Utilities,16,Schools,3,2,0,57647,School(Public),0,THORNTON CREEK ELEMENTARY,C,SEATTLE SCHOOL DISTRICT,PUBLIC,184,0,2019,98115,90,SEATTLE PUBLIC SCHOOLS,PO BOX 34165 - M/S 23-365, ,SEATTLE  WA,98124,X,O,2016,2016,95644.28212936,1354.26187393,Y,43,43,,95637,8077,16352,0,0,59311,0,11897,24429,71208,8.44547612325774,17.0979850894528,0.0,0.0,62.0167926639271,0.0,12.4397461233623,25.5434612127106,74.4565387872894,,8077,16352,95637,11897,28249,8.44547612325774,17.0979850894528,29.5377312128151,12.4397461233623,,1431,1151,6646,7797,8077,280,3.59112479158651,8.15270240597258,8.44547612325774,0.292773717285153,,,,95643.8781738281,1354.25951748512
44,7152200350,715220,350,1121   33RD AVE, ,0,0,0,0,11577100,MADRONA SCHOOL,0,2005,68775,1121,SEATTLE,25,2795000,10,43000,6,Major Institution And Public Facilities/Utilities,16,Schools,2,3,0,68775,School(Public),0,MADRONA SCHOOL,C,SEATTLE SCHOOL DISTRICT,PUBLIC,184,0,2019,98122,47,SEATTLE PUBLIC SCHOOLS,PO BOX 34165 - M/S 23-365, ,SEATTLE  WA,98124,X,O,1900,2005,43058.10869344,830.5449811,Y,44,44,,80244,3696,21915,0,0,46083,0,8550,25611,54633,4.60595184686706,27.3104531179901,0.0,0.0,57.4285927919844,0.0,10.6550022431584,31.9164049648572,68.0835950351428,,3696,21915,80244,8550,30465,4.60595184686706,27.3104531179901,37.9654553611485,10.6550022431584,,922,734,2774,3508,3696,188,5.35917901938426,4.37166641742685,4.60595184686706,0.234285429440208,,,,80241.9904785156,1202.20169283739
45,9550202395,955020,2395,120  NE 54TH ST, ,0,0,0,0,2724000,MC DONALD ELEMENTARY SCHOOL,0,1980,51360,120,SEATTLE,19,8468000,10,94089,6,Major Institution And Public Facilities/Utilities,16,Schools,1,3,0,51360,School(Public),0,MCDONALD ELEMENTARY SCHOOL,C,SEATTLE SCHOOL DISTRICT,PUBLIC,184,0,2019,98105,60,SEATTLE PUBLIC SCHOOLS,PO BOX 34165 M/S 23-365, ,SEATTLE  WA,98124,X,O,1913,1980,93918.64587121,1317.42742924,Y,45,45,,93915,6328,29171,7543,0,31339,0,19534,43042,50873,6.73800777298621,31.0610658574243,8.03173082042272,0.0,33.3695362828089,0.0,20.7996592663579,45.8308044508332,54.1691955491668,,6328,29171,93915,27077,56248,6.73800777298621,31.0610658574243,59.8924559442049,28.8313900867806,,962,820,5366,6186,6328,142,2.29550598124798,6.58680721929404,6.73800777298621,0.151200553692169,,,,93918.2906188965,1317.42497770261
46,7885100255,788510,255,723  S CONCORD ST, ,0,0,0,0,8361000,New Classroom Bldg.,0,2000,72294,723,SEATTLE,36,3264000,10,136000,6,Major Institution And Public Facilities/Utilities,16,Schools,3,3,0,72294,School(Public),0,CONCORD ELEMENTARY,C,SEATTLE SCHOOL DISTRICT,PUBLIC,184,0,2019,98108,40,SEATTLE PUBLIC SCHOOLS,PO BOX 34165 M/S 23-365, ,SEATTLE  WA,98124,X,O,2000,2000,136014.37971292,2139.46525881,Y,46,46,,150027,20246,81436,0,0,40727,0,7618,101682,48345,13.4949042505682,54.2808961053677,0.0,0.0,27.1464469728782,0.0,5.07775267118585,67.7758003559359,32.2241996440641,,20246,81436,150027,7618,89054,13.4949042505682,54.2808961053677,59.3586487765536,5.07775267118585,,3651,1877,16595,18472,20246,1774,9.60372455608488,12.3124504255901,13.4949042505682,1.18245382497817,,,,150029.999694824,1700.23424503261
47,752000170,75200,170,11031   34TH AVE NE, ,0,0,0,0,5806700,Vocational Bldg,5800,1965,162543,11031,SEATTLE,10,10983200,10,784515,6,Major Institution And Public Facilities/Utilities,16,Schools,2,2,0,156743,School(Public),0,JANE ADAMS JUNIOR HIGH SCHOOL,C,SEATTLE SCHOOL DISTRICT,PUBLIC,184,0,2019,98125,10,SEATTLE PUBLIC SCHOOLS,PO BOX 34165 - M/S 23-365, ,SEATTLE  WA,98124,X,O,1950,1965,781795.51960937,3745.87006228,Y,47,47,,781795,51157,515377,68197,0,113171,0,33893,634731,147064,6.54353123261213,65.9222686254069,8.72313074399299,0.0,14.4757896891129,0.0,4.33527970887509,81.188930602012,18.811069397988,,51157,515377,781795,102090,617467,6.54353123261213,65.9222686254069,78.980679078275,13.0584104528681,,6569,4967,44588,49555,51157,1602,3.23277166784381,6.33861817995766,6.54353123261213,0.204913052654468,,,,781792.473114014,3745.86259543312
48,1689400145,168940,145,2000   4TH AVE N, ,0,0,0,0,2566000,SCHOOL BLDG-modular,0,2000,25176,2000,SEATTLE,20,3311000,10,33110,6,Major Institution And Public Facilities/Utilities,16,Schools,2,1,0,18998,School(Public),0,JOHN HAY SCHOOL,C,SEATTLE SCHOOL DISTRICT,PUBLIC,184,0,2019,98109,30,SEATTLE PUBLIC SCHOOLS,PO BOX 34165 - M/S 23-365, ,SEATTLE  WA,98124,X,O,1940,2000,33073.14964905,795.88339551,Y,48,48,,130628,13586,16431,2797,0,50747,0,47067,32814,97814,10.4005266864684,12.5784670974064,2.14119484337202,0.0,38.8484857764032,0.0,36.0313255963499,25.1201886272468,74.8798113727532,,13586,16431,130628,49864,66295,10.4005266864684,12.5784670974064,50.7509875371283,38.172520439722,,1642,3740,11944,15684,13586,-2098,-13.3766896199949,12.0066142021619,10.4005266864684,-1.60608751569342,,,,130627.237792969,1585.75930804858
49,6788200735,678820,735,2405   22ND AVE E, ,0,0,0,0,688900,MONTLAKE SCHOOL,0,1960,18532,2405,SEATTLE,25,6480000,10,72000,6,Major Institution And Public Facilities/Utilities,16,Schools,1,2,0,18532,School(Public),0,MONTLAKE SCHOOL,C,SEATTLE SCHOOL DISTRICT,PUBLIC,184,0,2019,98112,46,SEATTLE PUBLIC SCHOOLS,PO BOX 34165 - M/S 23-365, ,SEATTLE  WA,98124,X,O,1900,1960,71977.82679019,1119.68774724,Y,49,49,,71981,8879,8983,2861,0,22677,0,28581,20723,51258,12.3351995665523,12.4796821383421,3.97465997971687,0.0,31.5041469276615,0.0,39.7063113877273,28.7895416846112,71.2104583153888,,8879,8983,71981,31442,40425,12.3351995665523,12.4796821383421,56.1606535057863,43.6809713674442,,1513,1321,7366,8687,8879,192,2.21019914815241,12.0684625109404,12.3351995665523,0.266737055611898,,,,71977.5207824707,1119.68541175071
50,3526039131,352603,9131,9201   15TH AVE NW, ,0,0,0,0,9087400,WHITMAN MIDDLE SCHOOL,0,1980,162870,9201,SEATTLE,19,28658100,10,636847,6,Major Institution And Public Facilities/Utilities,16,Schools,1,1,0,162870,School(Public),0,MARCUS WHITMAN MIDDLE SCHOOL,C,SEATTLE SCHOOL DISTRICT,PUBLIC,184,0,2019,98117,50,SEATTLE PUBLIC SCHOOLS,PO BOX 34165 M/S 23-365, ,SEATTLE  WA,98124,X,O,1959,1980,640408.91686093,3258.57173489,Y,50,50,,640409,53033,357202,0,0,135306,0,94868,410235,230174,8.28111410052013,55.7771674039559,0.0,0.0,21.1280603489333,0.0,14.8136581465907,64.058281504476,35.941718495524,,53033,357202,640409,94868,452070,8.28111410052013,55.7771674039559,70.5908255505466,14.8136581465907,,6422,3662,46611,50273,53033,2760,5.49002446641338,7.85013952021286,8.28111410052013,0.430974580307272,,,,640406.293151855,3258.56427075107
51,9277200005,927720,5,1580  SW LANDER ST, ,0,0,0,0,3084100,LAFAYETTE ELEM SCHOOL,0,1975,80870,1580,SEATTLE,45,3754800,10,83440,6,Major Institution And Public Facilities/Utilities,16,Schools,1,1,0,80870,School(Public),0,LAFAYETTE ELEM SCHOOL,C,SEATTLE SCHOOL DISTRICT,PUBLIC,184,0,2019,98116,10,SEATTLE PUBLIC SCHOOLS,PO BOX 34165 M/S 23-365, ,SEATTLE  WA,98124,X,O,1950,1975,86845.28231504,1180.17956937,Y,51,51,,207683,7551,25962,24175,0,61272,0,88723,57688,149995,3.63582960569714,12.5007824424724,11.6403364743383,0.0,29.5026554893756,0.0,42.7203959881165,27.7769485225079,72.2230514774921,,7551,25962,207683,112898,138860,3.63582960569714,12.5007824424724,66.8615149049272,54.3607324624548,,2207,2182,5344,7526,7551,25,0.33218176986447,3.62379202919835,3.63582960569714,0.0120375764987983,,,,207679.552658081,2010.17063224579
52,1704900242,170490,242,5215   46TH AVE S, ,0,0,0,0,8010100,WHITWORTH ELEM SCHOOL,0,1989,59331,5215,SEATTLE,40,2831400,10,113256,6,Major Institution And Public Facilities/Utilities,16,Schools,1,3,0,59331,School(Public),0,WHITWORTH ELEMENTARY SCHOOL,C,SEATTLE SCHOOL DISTRICT,PUBLIC,184,0,2019,98118,60,SEATTLE PUBLIC SCHOOLS,PO BOX 34165 - M/S 23-365, ,SEATTLE  WA,98124,X,O,1989,1989,113636.52039377,1357.2218395,Y,52,52,,150149,19617,60401,0,0,35647,0,34484,80018,70131,13.0650220780691,40.2273741416859,0.0,0.0,23.7410838567023,0.0,22.9665199235426,53.292396219755,46.707603780245,,19617,60401,150149,34484,94885,13.0650220780691,40.2273741416859,63.1938940652285,22.9665199235426,,1992,1044,17625,18669,19617,948,5.07793668648562,12.4336492417532,13.0650220780691,0.631372836315926,,,,150151.685653687,1610.53843845013
53,3332501090,333250,1090,3928  S GRAHAM ST, ,0,0,0,0,5796900,SHARPLES JR HIGH,0,1965,168905,3928,SEATTLE,40,3137300,10,209157,6,Major Institution And Public Facilities/Utilities,16,Schools,1,2,0,168905,School(Public),0,SHARPLES JR HIGH,C,SEATTLE SCHOOL DISTRICT,PUBLIC,184,0,2019,98118,60,SEATTLE PUBLIC SCHOOLS,PO BOX 34165 M/S 23-365, ,SEATTLE  WA,98124,X,O,1950,1965,241930.57685769,1987.02381865,Y,53,53,,241929,6448,61949,0,0,128839,9349,35344,68397,173532,2.66524476189295,25.6062729147808,0.0,0.0,53.2548805641325,3.8643568980982,14.6092448610956,28.2715176766737,71.7284823233263,,6448,61949,241929,35344,97293,2.66524476189295,25.6062729147808,40.2155177758764,14.6092448610956,,734,2468,5714,8182,6448,-1734,-21.192862380836,3.38198397050374,2.66524476189295,-0.71673920861079,,,,241929.54914856,1987.01957120322
