OBJECTID,GEOID,ACRES_TOTAL,PCT_PEOPLE_OF_COLOR,PCT_ENGLISH_LANG_LEARNERS,PCT_FOREIGN_BORN,PCT_POP_UNDER200PCT_POVERTY,PCT_LESS_BACHELOR_DEGREE,PCT_ADULT_NOLEISUREPHYSACTIV,PCT_ADULT_WITH_DIABETES,PCT_ADULT_WITH_OBESITY,PCT_ADULT_MENTALHLTHNOTGOOD,PCT_ADULT_WITH_ASTHMA,LIFE_EXPECTANCY_AT_BIRTH,PCT_ADULT_WITH_DISABILITY,PTL_PEOPLE_OF_COLOR,PTL_ENGLISH_LANG_LEARNERS,PTL_FOREIGN_BORN,PTL_POP_UNDER200PCT_POVERTY,PTL_LESS_BACHELOR_DEGREE,PTL_ADULT_NOLEISUREPHYSACTIV,PTL_ADULT_WITH_DIABETES,PTL_ADULT_WITH_OBESITY,PTL_ADULT_MENTALHLTHNOTGOOD,PTL_ADULT_WITH_ASTHMA,PTL_LOW_LIFE_EXPECT_AT_BIRTH,RACE_ELL_ORIGINS_PERCENTILE,SOCIOECON_DISADV_PERCENTILE,HEALTH_DISADV_PERCENTILE,COMPOSITE_PERCENTILE,RACE_ELL_ORIGINS_QUINTILE,HEALTH_DISADV_QUINTILE,COMPOSITE_QUINTILE,TRACTCE,TRACT,NAME,NAMELSAD,POP_POC,POP_TOTAL_FOR_POC,POP_FOREIGN_BORN,POP_TOTAL_FOR_FOREIGN_BORN,POP_ENGLISH_LANG_LEARNERS,POP_5_YRS_AND_OLDER,POP_LESS_THAN_BACHELOR_DEG,POP_25_YRS_AND_OLDER,POP_UNDER200PCT_POVERTY,POP_POV_STATUS_DETERMINED,POP_ADULT_WITH_DISABILITY,POP_ADULT_CIVILIAN_NONINST,COMPOSITE_SCORE,RACE_ELL_ORIGINS_SCORE,SOCIOECON_DISADV_SCORE,HEALTH_DISADV_SCORE,SOCIOECON_DISADV_QUINTILE,PTL_ADULT_WITH_DISABILITY,SHAPE_Length,SHAPE_Area
48,53033002400,237.83103267,0.2925,0.0327,0.0959,0.0813,0.2117,0.105,0.058,0.198,0.119,0.09,86.65,0.052631579,0.295,0.357,0.159,0.119,0.198,0.392,0.545,0.335,0.227,0.346,0.16,0.255,0.079,0.21,0.102,Second Lowest,Second Lowest,Lowest,2400,2400,24.0,Census Tract 24,941,3217,305,3179,99,3030,518,2447,258,3172,133,2527,0.181333333,0.2765,0.1585,0.297714286,Lowest,0.079,13151.7125244876,10359919.7831786
49,53033003602,129.06074575,0.3819,0.0855,0.1654,0.198,0.2065,0.095,0.042,0.188,0.129,0.091,84.0,0.151709402,0.517,0.715,0.482,0.647,0.187,0.232,0.244,0.13,0.573,0.437,0.483,0.59,0.414,0.42,0.5,Middle,Middle,Middle,3602,3602,36.02,Census Tract 36.02,1747,4574,658,3979,335,3918,705,3414,788,3979,568,3744,0.474666667,0.55775,0.417,0.420714286,Middle,0.846,11471.0943824279,5621886.08481409
50,53033004102,918.47512602,0.3044,0.0442,0.1094,0.1013,0.1373,0.094,0.056,0.187,0.106,0.086,88.22,0.105795148,0.357,0.448,0.21,0.193,0.028,0.221,0.517,0.107,0.022,0.051,0.069,0.335,0.045,0.096,0.073,Second Lowest,Lowest,Lowest,4102,4102,41.02,Census Tract 41.02,1278,4198,436,3985,167,3777,375,2731,400,3947,314,2968,0.158666667,0.343,0.1105,0.228571429,Lowest,0.613,23350.8002922279,17933927.2688512
51,53033004600,638.87439757,0.2287,0.0291,0.0814,0.1436,0.1881,0.09,0.046,0.198,0.122,0.09,83.72,0.075831025,0.09,0.318,0.079,0.426,0.136,0.107,0.306,0.335,0.255,0.346,0.529,0.096,0.25,0.221,0.125,Lowest,Second Lowest,Lowest,4600,4600,46.0,Census Tract 46,815,3563,284,3490,96,3299,511,2717,496,3455,219,2888,0.189,0.14425,0.281,0.308857143,Second Lowest,0.284,25514.2239990878,27829368.758049
52,53033005100,217.86846081,0.2517,0.0284,0.125,0.1164,0.2131,0.093,0.048,0.201,0.121,0.091,82.82,0.030589001,0.176,0.312,0.312,0.284,0.21,0.176,0.34,0.397,0.25,0.437,0.597,0.238,0.204,0.232,0.193,Second Lowest,Second Lowest,Lowest,5100,5100,51.0,Census Tract 51,1010,4012,479,3831,101,3560,612,2872,446,3831,94,3073,0.224666667,0.244,0.247,0.316285714,Second Lowest,0.017,13462.5915467426,9490350.15280695
53,53033005401,338.87841386,0.2876,0.0533,0.1663,0.0926,0.1088,0.08,0.034,0.186,0.126,0.089,82.74,0.047715736,0.284,0.517,0.488,0.159,0.011,0.0,0.039,0.085,0.426,0.187,0.608,0.38,0.034,0.068,0.085,Second Lowest,Lowest,Lowest,5401,5401,54.01,Census Tract 54.01,1108,3853,521,3133,164,3077,294,2701,290,3133,141,2955,0.160666667,0.39325,0.085,0.199428571,Lowest,0.051,19740.10787087,7892270.58746504
54,53033005600,1129.03248482,0.1994,0.019,0.1163,0.0384,0.2604,0.101,0.067,0.203,0.104,0.087,85.91,0.050056455,0.028,0.17,0.25,0.005,0.335,0.323,0.704,0.465,0.011,0.073,0.25,0.062,0.102,0.142,0.022,Lowest,Lowest,Lowest,5600,5600,56.0,Census Tract 56,1422,7130,823,7076,126,6637,1361,5226,272,7076,266,5314,0.102,0.119,0.17,0.268857143,Lowest,0.056,29943.5055294427,32045056.1365035
55,53033006400,223.28631551,0.2368,0.0196,0.0928,0.1288,0.1322,0.09,0.053,0.202,0.112,0.089,87.29,0.07628866,0.119,0.221,0.13,0.346,0.022,0.107,0.426,0.443,0.073,0.187,0.097,0.102,0.113,0.102,0.034,Lowest,Lowest,Lowest,6400,6400,64.0,Census Tract 64,810,3420,337,3632,67,3420,346,2617,467,3626,222,2910,0.105666667,0.14725,0.184,0.231714286,Lowest,0.289,13186.7701844683,9726351.90369561
56,53033008300,58.79881767,0.4413,0.0871,0.2849,0.2257,0.3499,0.137,0.07,0.21,0.127,0.091,81.27,0.191171801,0.653,0.727,0.789,0.681,0.625,0.698,0.75,0.647,0.465,0.437,0.762,0.715,0.693,0.789,0.784,Second Highest,Second Highest,Second Highest,8300,8300,83.0,Census Tract 83,1508,3417,962,3377,290,3331,927,2649,743,3292,602,3149,0.732333333,0.7055,0.653,0.673285714,Second Highest,0.954,8632.13489440587,2561276.49784559
57,53033008800,234.39024009,0.4184,0.054,0.13,0.1551,0.2918,0.112,0.061,0.233,0.129,0.098,85.47,0.104695246,0.59,0.534,0.335,0.511,0.454,0.539,0.607,0.869,0.573,0.795,0.33,0.539,0.477,0.721,0.602,Middle,Second Highest,Second Highest,8800,8800,88.0,Census Tract 88,1599,3822,566,4353,214,3962,948,3249,663,4276,359,3429,0.579,0.51225,0.4825,0.617142857,Middle,0.607,13202.5268569703,10210038.8581796
58,53033009000,211.48239662,0.6317,0.155,0.3234,0.3705,0.4428,0.2,0.111,0.22,0.124,0.091,78.52,0.189767442,0.892,0.88,0.857,0.897,0.772,0.931,0.971,0.795,0.357,0.437,0.927,0.909,0.875,0.863,0.92,Highest Equity Priority,Highest Equity Priority/Most Disadvantaged,Highest Equity Priority,9000,9000,90.0,Census Tract 90,2706,4284,1229,3800,547,3528,1348,3044,1380,3725,612,3225,0.882333333,0.88025,0.8345,0.765857143,Highest Equity Priority/Most Disadvantaged,0.943,14319.1029916181,9212173.19680116
59,53033009702,548.66637801,0.2133,0.009,0.0342,0.0664,0.2785,0.098,0.054,0.206,0.117,0.089,84.33,0.096722068,0.073,0.079,0.005,0.073,0.409,0.295,0.448,0.545,0.159,0.187,0.449,0.011,0.193,0.329,0.096,Lowest,Second Lowest,Lowest,9702,9702,97.02,Census Tract 97.02,1261,5911,194,5665,48,5341,1078,3871,376,5665,419,4332,0.177666667,0.0575,0.241,0.366428571,Lowest,0.482,28258.7625684306,23899907.426216
60,53033010001,575.12567964,0.6681,0.2223,0.3309,0.4411,0.6136,0.223,0.115,0.229,0.134,0.095,85.05,0.143984844,0.926,0.937,0.869,0.937,0.926,0.965,0.977,0.846,0.727,0.71,0.375,0.937,0.965,0.869,0.965,Highest Equity Priority,Highest Equity Priority/Most Disadvantaged,Highest Equity Priority,10001,10001,100.01,Census Tract 100.01,3024,4526,1334,4032,875,3937,1672,2725,1744,3954,456,3167,0.923666667,0.9145,0.9315,0.776428571,Highest Equity Priority/Most Disadvantaged,0.835,25628.9245317132,25052474.6053089
61,53033010101,215.37672476,0.7306,0.2508,0.3073,0.3516,0.5188,0.169,0.093,0.239,0.127,0.098,78.29,0.119238477,0.948,0.954,0.823,0.886,0.88,0.84,0.909,0.903,0.465,0.795,0.938,0.943,0.92,0.875,0.954,Highest Equity Priority,Highest Equity Priority/Most Disadvantaged,Highest Equity Priority,10101,10101,101.01,Census Tract 101.01,3162,4328,1284,4178,967,3856,1363,2627,1419,4036,357,2994,0.912666667,0.91825,0.883,0.791,Highest Equity Priority/Most Disadvantaged,0.687,15311.6567050508,9381810.13054025
62,53033010200,1203.90717949,0.4101,0.0654,0.1537,0.0618,0.3217,0.122,0.074,0.211,0.111,0.089,84.81,0.099486678,0.568,0.596,0.437,0.068,0.534,0.625,0.789,0.664,0.068,0.187,0.421,0.562,0.289,0.511,0.465,Middle,Middle,Middle,10200,10200,102.0,Census Tract 102,2065,5035,779,5067,308,4710,1262,3923,313,5067,407,4091,0.454,0.54225,0.301,0.469714286,Second Lowest,0.534,33439.4693972433,30129079.2077624
63,53033011801,442.61325143,0.7841,0.2126,0.3171,0.2629,0.5011,0.205,0.102,0.256,0.142,0.104,81.03,0.074347995,0.977,0.931,0.84,0.767,0.846,0.937,0.931,0.977,0.835,0.926,0.802,0.948,0.84,0.914,0.926,Highest Equity Priority,Highest Equity Priority/Most Disadvantaged,Highest Equity Priority,11801,11801,118.01,Census Tract 118.01,2975,3794,1078,3400,646,3039,1091,2177,894,3400,191,2569,0.900666667,0.93125,0.8065,0.810714286,Highest Equity Priority/Most Disadvantaged,0.267,15849.8135377743,12671173.507106
64,53033011802,538.05176787,0.7623,0.0862,0.2158,0.3284,0.5994,0.205,0.102,0.256,0.142,0.104,81.03,0.121376812,0.954,0.721,0.693,0.875,0.914,0.937,0.931,0.977,0.835,0.926,0.802,0.835,0.931,0.96,0.943,Highest Equity Priority,Highest Equity Priority/Most Disadvantaged,Highest Equity Priority,11802,11802,118.02,Census Tract 118.02,3219,4223,971,4500,363,4212,1912,3190,1478,4500,402,3312,0.908666667,0.8305,0.8945,0.871571429,Highest Equity Priority/Most Disadvantaged,0.693,17201.5467858114,12323056.73972
65,53033000101,102.50371303,0.6137,0.167,0.2653,0.375,0.4938,0.156,0.074,0.232,0.139,0.099,78.27,0.137931034,0.88,0.892,0.772,0.903,0.835,0.795,0.789,0.857,0.784,0.84,0.949,0.857,0.909,0.943,0.937,Highest Equity Priority,Highest Equity Priority/Most Disadvantaged,Highest Equity Priority,101,101,1.01,Census Tract 1.01,2307,3759,929,3502,533,3191,1265,2562,1311,3496,400,2900,0.903,0.856,0.869,0.831428571,Highest Equity Priority/Most Disadvantaged,0.806,8662.07421505589,4465058.88152566
66,53033000102,596.44246528,0.4293,0.0791,0.1806,0.2403,0.4832,0.156,0.074,0.232,0.139,0.099,78.27,0.173451327,0.63,0.676,0.528,0.727,0.812,0.795,0.789,0.857,0.784,0.84,0.949,0.625,0.812,0.948,0.835,Second Highest,Highest Equity Priority/Most Disadvantaged,Highest Equity Priority,102,102,1.02,Census Tract 1.02,1855,4321,796,4407,338,4275,1726,3572,1059,4407,686,3955,0.795,0.616,0.7695,0.843714286,Highest Equity Priority/Most Disadvantaged,0.892,19552.3616489447,15446821.4359812
67,53033000201,446.42449592,0.4581,0.0963,0.2639,0.2258,0.3974,0.129,0.064,0.201,0.122,0.089,82.84,0.179303006,0.681,0.778,0.761,0.687,0.71,0.67,0.63,0.397,0.255,0.187,0.591,0.75,0.738,0.625,0.727,Second Highest,Second Highest,Second Highest,201,201,2.01,Census Tract 2.01,2023,4416,1201,4551,415,4311,1401,3525,1026,4544,674,3759,0.704333333,0.72525,0.6985,0.519857143,Second Highest,0.909,18651.5780841989,19446176.3240906
68,53033002000,279.7033706,0.2981,0.0332,0.139,0.2026,0.3787,0.114,0.056,0.212,0.131,0.094,83.42,0.182351217,0.323,0.363,0.386,0.67,0.676,0.568,0.517,0.681,0.659,0.681,0.546,0.346,0.721,0.75,0.625,Second Lowest,Second Highest,Second Highest,2000,2000,20.0,Census Tract 20,1110,3723,586,4215,132,3972,1176,3105,847,4180,622,3411,0.605666667,0.34875,0.673,0.653142857,Second Highest,0.92,15509.5457092747,12183878.8231612
69,53033002200,978.23318546,0.2739,0.0564,0.1639,0.1077,0.2257,0.109,0.07,0.198,0.106,0.087,86.02,0.086767896,0.238,0.545,0.477,0.204,0.25,0.46,0.75,0.335,0.022,0.073,0.239,0.369,0.17,0.238,0.232,Second Lowest,Second Lowest,Second Lowest,2200,2200,22.0,Census Tract 22,1629,5948,975,5949,316,5607,971,4302,634,5889,400,4610,0.259,0.3745,0.227,0.324428571,Lowest,0.392,28505.8067930162,30127208.0190613
70,53033003400,194.5011872,0.2112,0.0068,0.1276,0.0675,0.2132,0.086,0.043,0.201,0.122,0.09,82.5,0.09902371,0.068,0.056,0.329,0.085,0.215,0.062,0.261,0.397,0.255,0.346,0.648,0.079,0.073,0.278,0.051,Lowest,Second Lowest,Lowest,3400,3400,34.0,Census Tract 34,752,3560,466,3652,23,3377,570,2673,246,3643,284,2868,0.143333333,0.13025,0.15,0.355142857,Lowest,0.517,12629.322933575,8472471.71456528
71,53033003900,240.61834206,0.3002,0.0533,0.1721,0.124,0.1647,0.108,0.063,0.194,0.109,0.087,88.54,0.092381786,0.335,0.517,0.5,0.312,0.068,0.448,0.619,0.267,0.051,0.073,0.052,0.42,0.13,0.159,0.204,Middle,Lowest,Second Lowest,3900,3900,39.0,Census Tract 39,913,3041,540,3137,161,3020,334,2028,389,3137,211,2284,0.236333333,0.42175,0.19,0.279,Lowest,0.443,13200.9092050947,10481334.9800325
72,53033004402,72.88846266,0.5067,0.0638,0.2901,0.4632,0.3072,0.124,0.041,0.196,0.167,0.106,92.14,0.066515983,0.772,0.585,0.801,0.943,0.471,0.63,0.198,0.289,0.948,0.943,0.006,0.772,0.744,0.477,0.681,Second Highest,Middle,Second Highest,4402,4402,44.02,Census Tract 44.02,1806,3564,945,3258,205,3211,536,1745,1509,3258,206,3097,0.664333333,0.7325,0.707,0.456428571,Second Highest,0.181,7487.97985687103,3175021.43339309
73,53033004902,151.95472437,0.2943,0.0137,0.0568,0.1119,0.1962,0.085,0.034,0.189,0.133,0.091,78.87,0.06305129,0.301,0.119,0.034,0.232,0.17,0.045,0.039,0.176,0.704,0.437,0.904,0.164,0.142,0.272,0.13,Lowest,Second Lowest,Lowest,4902,4902,49.02,Census Tract 49.02,925,3143,184,3241,43,3150,497,2533,360,3217,193,3061,0.192666667,0.18875,0.201,0.353571429,Lowest,0.17,10801.7314915316,6448262.33971094
74,53033005201,190.98216721,0.4102,0.0684,0.2577,0.2381,0.3446,0.127,0.039,0.184,0.157,0.098,84.75,0.050968703,0.573,0.619,0.738,0.721,0.602,0.653,0.13,0.062,0.937,0.795,0.432,0.63,0.704,0.454,0.619,Second Highest,Middle,Second Highest,5201,5201,52.01,Census Tract 52.01,1599,3898,982,3811,244,3569,910,2641,901,3784,171,3355,0.596,0.62575,0.6615,0.439571429,Second Highest,0.068,14175.9240617134,7536632.48098182
75,53033005306,49.53870656,0.7112,0.1746,0.4114,0.5782,0.3723,0.172,0.033,0.188,0.212,0.121,86.25,0.077146172,0.937,0.903,0.948,0.977,0.664,0.852,0.022,0.13,0.977,0.971,0.233,0.954,0.863,0.59,0.84,Highest Equity Priority,Middle,Highest Equity Priority,5306,5306,53.06,Census Tract 53.06,2229,3134,1435,3488,609,3488,605,1625,1934,3345,266,3448,0.802333333,0.93125,0.8205,0.498714286,Highest Equity Priority/Most Disadvantaged,0.306,5954.87262312138,2157906.05781439
76,53033006100,464.58127732,0.2663,0.0344,0.1181,0.1462,0.1726,0.089,0.044,0.19,0.123,0.089,84.04,0.072277228,0.221,0.375,0.289,0.448,0.096,0.085,0.272,0.193,0.318,0.187,0.461,0.255,0.244,0.125,0.153,Second Lowest,Lowest,Lowest,6100,6100,61.0,Census Tract 61,1509,5667,668,5658,188,5473,830,4808,827,5658,365,5050,0.208,0.2765,0.272,0.251428571,Second Lowest,0.244,21477.2648301768,11959193.7415131
77,53033006200,661.41445083,0.2348,0.0274,0.0933,0.0895,0.1678,0.086,0.054,0.192,0.106,0.086,86.8,0.075791855,0.113,0.284,0.136,0.142,0.079,0.062,0.448,0.215,0.022,0.051,0.143,0.125,0.039,0.022,0.011,Lowest,Lowest,Lowest,6200,6200,62.0,Census Tract 62,957,4075,398,4266,111,4053,547,3260,376,4203,268,3536,0.062,0.1615,0.1105,0.174142857,Lowest,0.278,40489.6837554681,24613411.8155346
78,53033006702,75.30183643,0.4576,0.0794,0.2957,0.1448,0.1777,0.083,0.036,0.181,0.122,0.087,87.75,0.128834356,0.676,0.681,0.812,0.431,0.107,0.028,0.062,0.028,0.255,0.073,0.091,0.727,0.238,0.034,0.329,Second Highest,Lowest,Second Lowest,6702,6702,67.02,Census Tract 67.02,1490,3256,864,2922,226,2845,450,2532,423,2922,357,2771,0.333,0.71125,0.269,0.182142857,Second Lowest,0.738,8593.8649046644,3280147.99506344
79,53033006900,223.64960169,0.2316,0.0022,0.135,0.0901,0.2485,0.088,0.047,0.197,0.118,0.089,85.59,0.072718027,0.102,0.022,0.369,0.147,0.318,0.073,0.312,0.329,0.21,0.187,0.302,0.107,0.176,0.113,0.045,Lowest,Lowest,Lowest,6900,6900,69.0,Census Tract 69,1088,4698,661,4898,10,4593,897,3609,438,4859,286,3933,0.132,0.14875,0.2325,0.239142857,Lowest,0.261,15666.5439544695,9742176.64971903
80,53033007201,37.24882691,0.5648,0.14,0.4337,0.3205,0.193,0.091,0.036,0.182,0.128,0.089,89.08,0.088670898,0.823,0.869,0.96,0.863,0.147,0.125,0.062,0.045,0.511,0.187,0.029,0.886,0.511,0.062,0.505,Highest Equity Priority,Lowest,Middle,7201,7201,72.01,Census Tract 72.01,2624,4646,2256,5202,728,5200,935,4845,1667,5202,461,5199,0.486333333,0.86875,0.505,0.196142857,Middle,0.414,5873.2165106452,1622558.90016649
81,53033007301,61.96841387,0.5931,0.0632,0.3205,0.2513,0.3658,0.11,0.054,0.209,0.125,0.089,79.56,0.056057186,0.84,0.579,0.846,0.738,0.647,0.477,0.448,0.607,0.386,0.187,0.87,0.806,0.732,0.46,0.687,Highest Equity Priority,Middle,Second Highest,7301,7301,73.01,Census Tract 73.01,2216,3736,852,2658,168,2658,703,1922,668,2658,149,2658,0.666,0.77625,0.6925,0.441142857,Second Highest,0.113,7422.61069281975,2699344.10808396
82,53033007303,77.4700733,0.5348,0.0896,0.4511,0.1477,0.1872,0.11,0.054,0.209,0.125,0.089,79.56,0.153598713,0.789,0.75,0.965,0.471,0.13,0.477,0.448,0.607,0.386,0.187,0.87,0.823,0.272,0.653,0.607,Highest Equity Priority,Second Highest,Second Highest,7303,7303,73.03,Census Tract 73.03,2075,3880,1218,2700,239,2668,429,2292,385,2606,382,2487,0.582666667,0.82325,0.3005,0.546714286,Second Lowest,0.852,7984.8635220016,3374596.3929783
83,53033007406,37.26914204,0.3874,0.0348,0.2647,0.2589,0.2702,0.114,0.039,0.22,0.151,0.096,74.91,0.178541839,0.528,0.38,0.767,0.75,0.38,0.568,0.13,0.795,0.92,0.732,1.0,0.573,0.585,0.823,0.676,Middle,Highest Equity Priority/Most Disadvantaged,Second Highest,7406,7406,74.06,Census Tract 74.06,1003,2589,639,2414,84,2414,555,2054,625,2414,431,2414,0.660333333,0.55075,0.565,0.721142857,Middle,0.903,6764.47724113477,1623443.82747276
84,53033007501,73.70339616,0.3231,0.016,0.1817,0.2875,0.3126,0.093,0.038,0.203,0.134,0.091,86.6,0.171209315,0.403,0.147,0.534,0.823,0.494,0.176,0.107,0.465,0.727,0.437,0.177,0.363,0.698,0.431,0.517,Second Lowest,Middle,Middle,7501,7501,75.01,Census Tract 75.01,1265,3915,755,4156,65,4057,1093,3497,1195,4156,647,3779,0.497333333,0.37175,0.6585,0.425,Second Highest,0.886,7219.62364175991,3210519.93669459
85,53033008002,57.89783766,0.4284,0.0449,0.3253,0.2524,0.3148,0.124,0.071,0.228,0.128,0.093,75.42,0.146960759,0.625,0.46,0.863,0.744,0.517,0.63,0.778,0.84,0.511,0.636,0.978,0.659,0.664,0.84,0.75,Second Highest,Highest Equity Priority/Most Disadvantaged,Second Highest,8002,8002,80.02,Census Tract 80.02,1893,4419,1307,4018,180,4008,1129,3586,1014,4018,573,3899,0.721,0.64325,0.6305,0.744714286,Second Highest,0.84,7998.38246587977,2522029.80832368
86,53033008900,758.11532583,0.4834,0.1268,0.281,0.1418,0.3484,0.137,0.074,0.243,0.133,0.1,81.03,0.072654941,0.727,0.823,0.784,0.42,0.613,0.698,0.789,0.926,0.704,0.863,0.802,0.801,0.522,0.818,0.738,Highest Equity Priority,Highest Equity Priority/Most Disadvantaged,Second Highest,8900,8900,89.0,Census Tract 89,2719,5625,1687,6004,733,5779,1598,4587,839,5916,347,4776,0.713666667,0.76525,0.5165,0.718857143,Middle,0.25,19328.7463975703,13690717.1692086
87,53033009500,1362.48940209,0.4519,0.064,0.1534,0.1482,0.3495,0.13,0.077,0.219,0.117,0.092,83.55,0.099447514,0.67,0.59,0.426,0.477,0.619,0.681,0.835,0.772,0.159,0.551,0.535,0.619,0.573,0.676,0.636,Second Highest,Second Highest,Second Highest,9500,9500,95.0,Census Tract 95,3049,6747,1064,6938,417,6512,1796,5139,1024,6908,540,5430,0.622666667,0.589,0.548,0.580142857,Middle,0.528,29618.2112966094,27424305.6749963
88,53033009801,248.26099494,0.2298,0.0252,0.0369,0.125,0.3571,0.105,0.054,0.213,0.123,0.092,86.59,0.126471705,0.096,0.267,0.011,0.323,0.642,0.392,0.448,0.687,0.318,0.551,0.188,0.056,0.477,0.522,0.346,Lowest,Middle,Second Lowest,9801,9801,98.01,Census Tract 98.01,884,3846,122,3305,79,3133,868,2431,413,3305,333,2633,0.351666667,0.1175,0.4825,0.472142857,Middle,0.721,13291.5490832838,10814248.9398005
89,53033010301,247.75625493,0.6236,0.1619,0.2461,0.3202,0.5036,0.174,0.091,0.246,0.131,0.097,81.56,0.072174739,0.886,0.886,0.71,0.857,0.857,0.886,0.897,0.943,0.659,0.755,0.722,0.846,0.903,0.829,0.903,Highest Equity Priority,Highest Equity Priority/Most Disadvantaged,Highest Equity Priority,10301,10301,103.01,Census Tract 103.01,2401,3850,1069,4344,628,3880,1541,3060,1363,4257,228,3159,0.859333333,0.842,0.857,0.728571429,Highest Equity Priority/Most Disadvantaged,0.238,16924.3685147596,10792262.4648728
90,53033010501,183.35047556,0.3384,0.0357,0.2035,0.1697,0.3412,0.113,0.058,0.201,0.12,0.091,84.82,0.109637489,0.437,0.397,0.653,0.573,0.59,0.545,0.545,0.397,0.238,0.437,0.415,0.511,0.619,0.494,0.573,Middle,Middle,Middle,10501,10501,105.01,Census Tract 105.01,1617,4778,846,4158,139,3891,1136,3329,676,3984,372,3393,0.541333333,0.481,0.5815,0.461428571,Second Highest,0.653,12490.0968039152,7986746.71531259
91,53033010601,269.14973185,0.2749,0.0537,0.1194,0.0747,0.3732,0.111,0.058,0.213,0.124,0.093,86.77,0.115495166,0.244,0.528,0.295,0.107,0.67,0.505,0.545,0.687,0.357,0.636,0.154,0.323,0.397,0.613,0.448,Second Lowest,Second Highest,Middle,10601,10601,106.01,Census Tract 106.01,1120,4074,537,4498,223,4155,1377,3690,336,4498,442,3827,0.444333333,0.32775,0.3885,0.508571429,Second Lowest,0.676,14458.8370353337,11724162.3194433
92,53033011101,280.91639313,0.7825,0.2445,0.3483,0.2765,0.655,0.217,0.11,0.216,0.127,0.092,81.23,0.163583686,0.971,0.948,0.897,0.806,0.96,0.954,0.96,0.738,0.465,0.551,0.768,0.96,0.92,0.857,0.948,Highest Equity Priority,Highest Equity Priority/Most Disadvantaged,Highest Equity Priority,11101,11101,111.01,Census Tract 111.01,4497,5747,1846,5300,1259,5150,2686,4101,1454,5259,734,4487,0.912333333,0.94675,0.883,0.758714286,Highest Equity Priority/Most Disadvantaged,0.875,15552.0743493747,12236718.0847794
93,53033011102,604.5735746,0.5967,0.1305,0.2026,0.2271,0.4433,0.153,0.084,0.206,0.113,0.086,78.12,0.067663643,0.846,0.84,0.647,0.693,0.778,0.784,0.869,0.545,0.085,0.051,0.955,0.812,0.767,0.585,0.755,Highest Equity Priority,Middle,Second Highest,11102,11102,111.02,Census Tract 111.02,2776,4652,1108,5470,661,5065,1817,4099,1200,5284,276,4079,0.721333333,0.79475,0.7355,0.497428571,Second Highest,0.193,20411.1700649139,13970026.6889197
94,53033011300,855.3497219,0.4929,0.1061,0.1997,0.234,0.5471,0.163,0.074,0.23,0.143,0.097,79.24,0.124285996,0.744,0.801,0.636,0.71,0.897,0.829,0.789,0.852,0.852,0.755,0.893,0.761,0.835,0.909,0.875,Second Highest,Highest Equity Priority/Most Disadvantaged,Highest Equity Priority,11300,11300,113.0,Census Tract 113,3253,6600,1263,6324,627,5908,2636,4818,1478,6316,631,5077,0.835,0.73125,0.8035,0.810571429,Highest Equity Priority/Most Disadvantaged,0.704,27175.1822768332,37255604.4918172
95,53033011902,685.27207694,0.6325,0.1362,0.3373,0.282,0.6369,0.192,0.103,0.237,0.132,0.097,81.13,0.132358751,0.897,0.846,0.886,0.812,0.948,0.914,0.943,0.892,0.687,0.755,0.785,0.914,0.914,0.937,0.96,Highest Equity Priority,Highest Equity Priority/Most Disadvantaged,Highest Equity Priority,11902,11902,119.02,Census Tract 119.02,2447,3869,1066,3160,406,2981,1598,2509,891,3160,335,2531,0.921666667,0.8815,0.88,0.820428571,Highest Equity Priority/Most Disadvantaged,0.767,28898.3038549965,16273690.2084721
96,53033001702,316.32864466,0.3334,0.0583,0.1916,0.1323,0.4162,0.118,0.058,0.209,0.129,0.092,76.87,0.108463808,0.431,0.562,0.585,0.357,0.732,0.613,0.545,0.607,0.573,0.551,0.961,0.534,0.568,0.732,0.63,Middle,Second Highest,Second Highest,1702,1702,17.02,Census Tract 17.02,1776,5327,1006,5250,285,4886,1797,4318,680,5141,478,4407,0.611333333,0.50225,0.5445,0.640857143,Middle,0.636,17476.4075143324,13779275.7612243
97,53033003301,165.35487818,0.2949,0.0145,0.1551,0.1377,0.2354,0.089,0.04,0.201,0.127,0.09,88.6,0.10909549,0.306,0.136,0.454,0.386,0.272,0.085,0.164,0.397,0.465,0.346,0.046,0.289,0.318,0.215,0.278,Second Lowest,Second Lowest,Second Lowest,3301,3301,33.01,Census Tract 33.01,1283,4351,732,4721,65,4486,870,3696,650,4721,433,3969,0.274,0.3005,0.329,0.307142857,Second Lowest,0.647,11177.1813262219,7202858.49355536
98,53033003800,154.33405404,0.3528,0.043,0.1165,0.1189,0.1725,0.104,0.058,0.199,0.116,0.089,86.25,0.05797845,0.477,0.437,0.261,0.289,0.09,0.38,0.545,0.375,0.136,0.187,0.233,0.403,0.119,0.181,0.198,Middle,Lowest,Lowest,3800,3800,38.0,Census Tract 38,871,2469,289,2481,103,2393,305,1768,293,2464,113,1949,0.234333333,0.413,0.1895,0.285428571,Lowest,0.142,10392.5315540704,6722791.39419173
