inci_no,Alm_Date,Address,Inci_type,Content_Loss,Property_Loss,Total_Loss,Pre_Inci_Value,Saved,ObjectId
18-0003610,2018/02/01 05:00:00+00,3516 BROCKTON Louisville KY 40220,131 - Passenger vehicle fire,,2000.0,2000,2000,0,551
17-0028492,2017/09/12 04:00:00+00,736 S 1ST City of Louisville KY 40202,161 - Outside storage fire,0.0,1000.0,1000,315000,314000,552
18-0003609,2018/02/01 05:00:00+00,4704 SOUTHERN Louisville KY 40214,131 - Passenger vehicle fire,500.0,1500.0,2000,1500,-500,553
18-0003901,2018/02/03 05:00:00+00,3732 CLIFF Louisville KY 40215,111 - Building fire,,42340.0,42340,42340,0,554
18-0003965,2018/02/03 05:00:00+00,638 S 38TH 2 Louisville KY 40211,111 - Building fire,,100.0,100,28380,28280,555
18-0003920,2018/02/03 05:00:00+00,1033 HATHAWAY Louisville KY 40215,111 - Building fire,10000.0,25000.0,35000,73000,38000,556
18-0004045,2018/02/04 05:00:00+00,1220 FISK Louisville KY 40203,131 - Passenger vehicle fire,0.0,500.0,500,2200,1700,557
18-0004106,2018/02/05 05:00:00+00,2068 S PRESTON Louisville KY 40217,"113 - Cooking fire, confined to container",500.0,,500,180000,179500,558
18-0004120,2018/02/05 05:00:00+00,2306 GARLAND Louisville KY 40211,131 - Passenger vehicle fire,,8000.0,8000,8000,0,559
18-0004141,2018/02/05 05:00:00+00,713 IOWA Louisville KY 40208,111 - Building fire,,10000.0,10000,59000,49000,560
18-0004301,2018/02/07 05:00:00+00,2713 SLEVIN Louisville KY 40212,"151 - Outside rubbish, trash or waste fire",,100.0,100,21500,21400,561
18-0004303,2018/02/07 05:00:00+00,756 S SHELBY Louisville KY 40203,111 - Building fire,5000.0,11000.0,16000,31320,15320,562
18-0004545,2018/02/09 05:00:00+00,3021 FURMAN Louisville KY 40220,111 - Building fire,500.0,0.0,500,139870,139370,563
18-0004764,2018/02/11 05:00:00+00,2427 W CHESTNUT Louisville KY 40211,111 - Building fire,0.0,5000.0,5000,8000,3000,564
18-0005018,2018/02/13 05:00:00+00,917 MULBERRY Louisville KY 40217,"118 - Trash or rubbish fire, contained",500.0,,500,500,0,565
18-0005330,2018/02/15 05:00:00+00,2961 BRECKENRIDGE Louisville KY 40220,111 - Building fire,200.0,0.0,200,350000,349800,566
18-0005310,2018/02/15 05:00:00+00,N CLIFTON City of Louisville KY 40206,131 - Passenger vehicle fire,,100.0,100,1000,900,567
18-0005566,2018/02/17 05:00:00+00,1107 ASH Louisville KY 40217,111 - Building fire,0.0,2000.0,2000,125000,123000,568
18-0005643,2018/02/17 05:00:00+00,4203 DANA Louisville KY 40216,131 - Passenger vehicle fire,500.0,10000.0,10500,10000,-500,569
18-0005726,2018/02/18 05:00:00+00,1335 OAKWOOD Louisville KY 40215,111 - Building fire,5000.0,15000.0,20000,25000,5000,570
18-0005686,2018/02/18 05:00:00+00,208 E SOUTHERN HEIGHTS Louisville KY 40209,131 - Passenger vehicle fire,,3000.0,3000,3000,0,571
18-0006164,2018/02/21 05:00:00+00,3714 CLIFF Louisville KY 40215,111 - Building fire,10000.0,60000.0,70000,60000,-10000,572
18-0006057,2018/02/21 05:00:00+00,3928 S BROOK Louisville KY 40214,111 - Building fire,5000.0,47000.0,52000,47000,-5000,573
18-0006164,2018/02/21 05:00:00+00,3712 CLIFF Louisville KY 40215,111 - Building fire,10000.0,60000.0,70000,60000,-10000,574
18-0006057,2018/02/21 05:00:00+00,3924 S BROOK Louisville KY 40214,111 - Building fire,5000.0,47000.0,52000,47000,-5000,575
18-0006057,2018/02/21 05:00:00+00,3926 S BROOK Louisville KY 40214,111 - Building fire,5000.0,47000.0,52000,47000,-5000,576
17-0039766,2017/12/19 05:00:00+00,I264 East City of Louisville KY 40220,131 - Passenger vehicle fire,100.0,2000.0,2100,2000,-100,577
17-0039966,2017/12/20 05:00:00+00,845 RIVER CREST Louisville KY 40206,111 - Building fire,30000.0,350000.0,380000,1000000,620000,578
17-0039989,2017/12/20 05:00:00+00,217 W ST CATHERINE Louisville KY 40203,111 - Building fire,,500.0,500,250000,249500,579
17-0039993,2017/12/21 05:00:00+00,703 BLUEGRASS Louisville KY 40215,111 - Building fire,300.0,250.0,550,80000,79450,580
17-0040028,2017/12/21 05:00:00+00,1925 S 7TH Louisville KY 40208,"151 - Outside rubbish, trash or waste fire",500.0,500.0,1000,500,-500,581
17-0040162,2017/12/22 05:00:00+00,344 N 27TH Louisville KY 40212,131 - Passenger vehicle fire,300.0,2500.0,2800,2500,-300,582
17-0040511,2017/12/25 05:00:00+00,2224 OSAGE Louisville KY 40210,111 - Building fire,5000.0,10000.0,15000,50000,35000,583
17-0040643,2017/12/26 05:00:00+00,4015 S 3RD 3 Louisville KY 40214,"113 - Cooking fire, confined to container",1000.0,2000.0,3000,150000,147000,584
17-0040670,2017/12/27 05:00:00+00,3760 PARTHENIA Louisville KY 40215,111 - Building fire,0.0,5000.0,5000,5000,0,585
17-0041052,2017/12/30 05:00:00+00,140 N 4TH City of Louisville KY 40202,111 - Building fire,5000.0,100000.0,105000,2120290,2015290,586
17-0041107,2017/12/30 05:00:00+00,2306 W MADISON Louisville KY 40211,111 - Building fire,200.0,3000.0,3200,6000,2800,587
17-0041122,2017/12/30 05:00:00+00,316 MACON 1 Louisville KY 40207,"113 - Cooking fire, confined to container",,100.0,100,250000,249900,588
17-0041161,2017/12/31 05:00:00+00,S 4TH Louisville KY 40202,112 - Fires in structure other than in a building,0.0,1000.0,1000,1000,0,589
17-0041176,2017/12/31 05:00:00+00,22 City of Louisville KY 40203,131 - Passenger vehicle fire,0.0,3500.0,3500,3500,0,590
17-0041185,2017/12/31 05:00:00+00,4207 VERMONT Louisville KY 40211,111 - Building fire,15000.0,5000.0,20000,67520,47520,591
18-0000002,2018/01/01 05:00:00+00,217 FREEMAN Louisville KY 40214,111 - Building fire,500.0,0.0,500,96000,95500,592
18-0000059,2018/01/01 05:00:00+00,341 N 27TH Louisville KY 40212,112 - Fires in structure other than in a building,,5000.0,5000,60000,55000,593
18-0000113,2018/01/01 05:00:00+00,1202 LILLIAN Louisville KY 40208,111 - Building fire,5000.0,15000.0,20000,15000,-5000,594
18-0000131,2018/01/01 05:00:00+00,314 WOODBINE Louisville KY 40208,111 - Building fire,5000.0,10000.0,15000,10000,-5000,595
18-0000148,2018/01/02 05:00:00+00,2636 DUNCAN Louisville KY 40212,131 - Passenger vehicle fire,0.0,10000.0,10000,10000,0,596
18-0000328,2018/01/03 05:00:00+00,140 N 4TH Louisville KY 40202,111 - Building fire,0.0,1000000.0,1000000,25000000,24000000,597
18-0000454,2018/01/04 05:00:00+00,2518 ELLIOTT Louisville KY 40211,111 - Building fire,0.0,1500.0,1500,17950,16450,598
18-0000454,2018/01/04 05:00:00+00,2520 ELLIOTT Louisville KY 40211,111 - Building fire,0.0,16120.0,16120,16120,0,599
18-0000454,2018/01/04 05:00:00+00,2522 ELLIOTT Louisville KY 40211,111 - Building fire,0.0,1500.0,1500,13800,12300,600
18-0000466,2018/01/04 05:00:00+00,2319 FRANKFORT Louisville KY 40206,111 - Building fire,0.0,1000.0,1000,536750,535750,601
18-0000553,2018/01/04 05:00:00+00,212 FREEMAN Louisville KY 40214,112 - Fires in structure other than in a building,,2500.0,2500,5000,2500,602
18-0000637,2018/01/05 05:00:00+00,1307 HOWARD Louisville KY 40213,111 - Building fire,0.0,5000.0,5000,150000,145000,603
18-0000689,2018/01/05 05:00:00+00,4418 TAYLOR 17 Louisville KY 40215,111 - Building fire,500.0,1000.0,1500,1000,-500,604
18-0000685,2018/01/05 05:00:00+00,1708 ROSEWOOD Louisville KY 40204,131 - Passenger vehicle fire,100.0,14000.0,14100,14000,-100,605
18-0000728,2018/01/06 05:00:00+00,I-264E City of Louisville KY 40211,131 - Passenger vehicle fire,400.0,4000.0,4400,4000,-400,606
18-0000785,2018/01/06 05:00:00+00,526 DENMARK Louisville KY 40215,111 - Building fire,1000.0,10000.0,11000,85000,74000,607
18-0000859,2018/01/07 05:00:00+00,2216 GOLDSMITH Louisville KY 40218,111 - Building fire,1000.0,,1000,480000,479000,608
18-0000919,2018/01/07 05:00:00+00,3439 NEWBURG 1 Louisville KY 40218,111 - Building fire,500.0,10.0,510,250000,249490,609
18-0000931,2018/01/07 05:00:00+00,312 W KENWOOD Louisville KY 40214,111 - Building fire,,1000.0,1000,78450,77450,610
18-0001021,2018/01/08 05:00:00+00,513 HEYWOOD Louisville KY 40208,111 - Building fire,15000.0,15000.0,30000,60000,30000,611
18-0001082,2018/01/08 05:00:00+00,314 N 27TH City of Louisville KY 40212,"114 - Chimney or flue fire, confined to chimney or flue",,1000.0,1000,29400,28400,612
18-0001112,2018/01/09 05:00:00+00,N 21ST Louisville KY 40203,131 - Passenger vehicle fire,0.0,3500.0,3500,3500,0,613
18-0001352,2018/01/10 05:00:00+00,2114 HALE Louisville KY 40210,111 - Building fire,100.0,500.0,600,18000,17400,614
18-0001235,2018/01/10 05:00:00+00,2438 ELLIOTT Louisville KY 40211,111 - Building fire,0.0,15000.0,15000,18730,3730,615
18-0001436,2018/01/11 05:00:00+00,1420 W JEFFERSON Louisville KY 40203,131 - Passenger vehicle fire,0.0,6455.0,6455,6455,0,616
18-0001434,2018/01/11 05:00:00+00,413 E MUHAMMAD ALI 315 City of Louisville KY 40202,"113 - Cooking fire, confined to container",100.0,,100,100,0,617
18-0001493,2018/01/12 05:00:00+00,624 LINDELL Louisville KY 40211,111 - Building fire,20000.0,28400.0,48400,37850,-10550,618
18-0001505,2018/01/12 05:00:00+00,1800 DIXIE Louisville KY 40210,"113 - Cooking fire, confined to container",200.0,,200,112000,111800,619
18-0001595,2018/01/13 05:00:00+00,4627 BELLEVUE Louisville KY 40215,111 - Building fire,,2000.0,2000,103200,101200,620
18-0001687,2018/01/14 05:00:00+00,E HILL Louisville KY 40208,131 - Passenger vehicle fire,0.0,5000.0,5000,5000,0,621
18-0001774,2018/01/14 05:00:00+00,6300 WISTERIA VIEW 201 Louisville KY 40218,"743 - Smoke detector activation, no fire - unintentional",,800.0,800,88090,87290,622
18-0001823,2018/01/15 05:00:00+00,1004 BARDSTOWN Louisville KY 40204,131 - Passenger vehicle fire,,300.0,300,2000,1700,623
18-0001893,2018/01/16 05:00:00+00,1006 S BROOK Louisville KY 40203,111 - Building fire,25.0,0.0,25,136930,136905,624
18-0001912,2018/01/16 05:00:00+00,1202 BOURBON Louisville KY 40213,111 - Building fire,1000.0,50000.0,51000,100000,49000,625
18-0001937,2018/01/16 05:00:00+00,S 3RD Louisville KY 40214,131 - Passenger vehicle fire,0.0,9000.0,9000,9000,0,626
17-0028492,2017/09/12 04:00:00+00,South 1st Street City of Louisville KY 40203,"160 - Special outside fire, other",,1000.0,1000,315000,314000,627
18-0006475,2018/02/24 05:00:00+00,2101 PEABODY Louisville KY 40218,111 - Building fire,2000.0,2000.0,4000,100000,96000,628
17-0028578,2017/09/13 04:00:00+00,1335 PHYLLIS Louisville KY 40215,111 - Building fire,10000.0,30000.0,40000,35300,-4700,629
18-0006504,2018/02/24 05:00:00+00,524 N 26TH 1 Louisville KY 40212,111 - Building fire,500.0,2000.0,2500,27050,24550,630
18-0006590,2018/02/25 05:00:00+00,1024 S 29TH Louisville KY 40211,111 - Building fire,500.0,1500.0,2000,245500,243500,631
18-0006633,2018/02/25 05:00:00+00,2911 BARDSTOWN Louisville KY 40205,"122 - Fire in motor home, camper, recreational vehicle",1000.0,15000.0,16000,15000,-1000,632
18-0006763,2018/02/26 05:00:00+00,228 SHAWNEE Louisville KY 40212,131 - Passenger vehicle fire,0.0,300.0,300,3000,2700,633
18-0006779,2018/02/26 05:00:00+00,827 HUMLER Louisville KY 40211,111 - Building fire,100.0,,100,25000,24900,634
18-0006826,2018/02/27 05:00:00+00,5266 SOUTHERN Louisville KY 40214,111 - Building fire,10000.0,20000.0,30000,30000,0,635
18-0006869,2018/02/27 05:00:00+00,1323 E MAIN Louisville KY 40206,111 - Building fire,10.0,40000.0,40010,80000,39990,636
18-0006876,2018/02/27 05:00:00+00,524 E KENTUCKY Louisville KY 40203,112 - Fires in structure other than in a building,1000.0,5000.0,6000,46540,40540,637
18-0006980,2018/02/28 05:00:00+00,1103 GOSS Louisville KY 40217,111 - Building fire,1000.0,20000.0,21000,168400,147400,638
18-0007029,2018/03/01 05:00:00+00,403 MACLEAN Louisville KY 40209,111 - Building fire,3000.0,5000.0,8000,20000,12000,639
18-0007161,2018/03/02 05:00:00+00,4700 S 3RD Louisville KY 40214,111 - Building fire,1000.0,,1000,400000,399000,640
18-0007196,2018/03/02 05:00:00+00,4347 S 3RD Louisville KY 40214,131 - Passenger vehicle fire,0.0,3000.0,3000,3500,500,641
18-0007194,2018/03/02 05:00:00+00,3712 NOBLITT Louisville KY 40218,111 - Building fire,10000.0,70000.0,80000,195000,115000,642
18-0007264,2018/03/03 05:00:00+00,2249 DATE Louisville KY 40210,111 - Building fire,,8000.0,8000,15000,7000,643
18-0007350,2018/03/04 05:00:00+00,181 N BELLAIRE Louisville KY 40206,112 - Fires in structure other than in a building,,100.0,100,100,0,644
18-0007519,2018/03/06 05:00:00+00,945 S 5TH 906 Louisville KY 40203,"113 - Cooking fire, confined to container",500.0,500.0,1000,500,-500,645
18-0007589,2018/03/06 05:00:00+00,827 HUMLER Louisville KY 40211,111 - Building fire,15000.0,15000.0,30000,36520,6520,646
18-0007606,2018/03/06 05:00:00+00,629 S 4TH Louisville KY 40202,111 - Building fire,1000.0,0.0,1000,813650,812650,647
18-0007702,2018/03/07 05:00:00+00,1108 S 26TH Louisville KY 40210,111 - Building fire,800.0,2000.0,2800,33800,31000,648
18-0007833,2018/03/09 05:00:00+00,3211 KEMMONS Louisville KY 40218,131 - Passenger vehicle fire,500.0,2500.0,3000,2500,-500,649
18-0007858,2018/03/09 05:00:00+00,2924 slevin Louisville KY 40212,131 - Passenger vehicle fire,0.0,2000.0,2000,4000,2000,650
18-0007930,2018/03/10 05:00:00+00,223 N 32ND Louisville KY 40212,111 - Building fire,10000.0,15000.0,25000,39250,14250,651
18-0008101,2018/03/11 05:00:00+00,2724 GARLAND Louisville KY 40211,131 - Passenger vehicle fire,0.0,15000.0,15000,15000,0,652
18-0008114,2018/03/12 04:00:00+00,1256 S PRESTON Louisville KY 40203,112 - Fires in structure other than in a building,,500.0,500,54190,53690,653
18-0008114,2018/03/12 04:00:00+00,1258 S PRESTON Louisville KY 40203,112 - Fires in structure other than in a building,,54190.0,54190,54190,0,654
18-0008141,2018/03/12 04:00:00+00,1014 S 2ND Louisville KY 40203,"113 - Cooking fire, confined to container",100.0,100.0,200,1000000,999800,655
18-0008219,2018/03/12 04:00:00+00,I-264 E City of Louisville KY 40214,131 - Passenger vehicle fire,,8000.0,8000,8000,0,656
18-0008114,2018/03/12 04:00:00+00,1264 S PRESTON Louisville KY 40203,112 - Fires in structure other than in a building,,2000.0,2000,85000,83000,657
18-0008245,2018/03/13 04:00:00+00,531 FRANKLIN City of Louisville KY 40202,"160 - Special outside fire, other",500.0,500.0,1000,500,-500,658
18-0008315,2018/03/13 04:00:00+00,CLEVELAND Louisville KY 40206,131 - Passenger vehicle fire,0.0,4500.0,4500,6500,2000,659
18-0008412,2018/03/14 04:00:00+00,1129 W ASHLAND Louisville KY 40215,"113 - Cooking fire, confined to container",500.0,,500,60000,59500,660
18-0008470,2018/03/15 04:00:00+00,1818 W DATE Louisville KY 40210,131 - Passenger vehicle fire,,5000.0,5000,5000,0,661
18-0008478,2018/03/15 04:00:00+00,STRADER Louisville KY 40215,131 - Passenger vehicle fire,500.0,500.0,1000,5000,4000,662
18-0008492,2018/03/15 04:00:00+00,2500 MONTGOMERY City of Louisville KY 40212,111 - Building fire,2000.0,2000.0,4000,2000,-2000,663
18-0008592,2018/03/15 04:00:00+00,1311 S 32ND Louisville KY 40211,111 - Building fire,500.0,2000.0,2500,35120,32620,664
18-0008825,2018/03/17 04:00:00+00,1466 S BROOK Louisville KY 40208,"113 - Cooking fire, confined to container",100.0,0.0,100,200,100,665
18-0008900,2018/03/18 04:00:00+00,3109 GRAND Louisville KY 40211,111 - Building fire,10000.0,20000.0,30000,28020,-1980,666
18-0008906,2018/03/18 04:00:00+00,2222 LAUDERDALE Louisville KY 40205,"160 - Special outside fire, other",,100.0,100,500,400,667
18-0009354,2018/03/21 04:00:00+00,3832 KLONDIKE Louisville KY 40218,111 - Building fire,500.0,,500,114900,114400,668
18-0009563,2018/03/23 04:00:00+00,4409 PRESTON Louisville KY 40213,"113 - Cooking fire, confined to container",100.0,,100,5000,4900,669
18-0009652,2018/03/24 04:00:00+00,I-65 City of Louisville KY 40213,131 - Passenger vehicle fire,,2500.0,2500,2500,0,670
18-0009683,2018/03/24 04:00:00+00,2520 7TH STREET Shively KY 40208,111 - Building fire,15000.0,15000.0,30000,100000,70000,671
18-0009742,2018/03/25 04:00:00+00,3901 GARLAND 1 Louisville KY 40211,111 - Building fire,8000.0,50000.0,58000,88260,30260,672
18-0009971,2018/03/27 04:00:00+00,E I-64 City of Louisville KY 40202,131 - Passenger vehicle fire,0.0,5000.0,5000,5000,0,673
18-0010209,2018/03/30 04:00:00+00,120 N CHARLTON Louisville KY 40206,131 - Passenger vehicle fire,0.0,5000.0,5000,5000,0,674
18-0010306,2018/03/31 04:00:00+00,421 E ST CATHERINE 102 Louisville KY 40203,111 - Building fire,2000.0,2000.0,4000,2000,-2000,675
18-0010305,2018/03/31 04:00:00+00,421 E ST CATHERINE Louisville KY 40203,111 - Building fire,2000.0,2000.0,4000,300000,296000,676
18-0010334,2018/03/31 04:00:00+00,3407 TAYLOR Louisville KY 40215,131 - Passenger vehicle fire,100.0,2500.0,2600,2500,-100,677
18-0010378,2018/03/31 04:00:00+00,I-65N City of Louisville KY 40213,131 - Passenger vehicle fire,250.0,7000.0,7250,7000,-250,678
17-0030765,2017/10/01 04:00:00+00,7635 SHELBYVILLE NOWD KY 40222,111 - Building fire,10000.0,60000.0,70000,500000,430000,679
17-0028716,2017/09/14 04:00:00+00,700 Algonquin Louisville KY 40208,131 - Passenger vehicle fire,,3100.0,3100,3100,0,680
17-0030818,2017/10/02 04:00:00+00,112 DR W J HODGE Louisville KY 40203,111 - Building fire,1000.0,5000.0,6000,15000,9000,681
17-0028659,2017/09/14 04:00:00+00,1619 DUMESNIL Louisville KY 40210,111 - Building fire,8000.0,15000.0,23000,26500,3500,682
17-0028672,2017/09/14 04:00:00+00,1403 MCCOY Louisville KY 40215,111 - Building fire,2000.0,15000.0,17000,47500,30500,683
17-0030868,2017/10/02 04:00:00+00,113 N 35TH Louisville KY 40212,"113 - Cooking fire, confined to container",500.0,1200.0,1700,40100,38400,684
17-0028781,2017/09/15 04:00:00+00,5338 S 3RD Louisville KY 40214,"151 - Outside rubbish, trash or waste fire",,100.0,100,1000,900,685
17-0031146,2017/10/04 04:00:00+00,3712 WHEELER Louisville KY 40215,111 - Building fire,8000.0,20000.0,28000,70000,42000,686
17-0029015,2017/09/17 04:00:00+00,3306 AUDUBON RIDGE Louisville KY 40213,111 - Building fire,10000.0,40000.0,50000,164000,114000,687
17-0031064,2017/10/04 04:00:00+00,2701 BARDSTOWN Louisville KY 40205,131 - Passenger vehicle fire,0.0,34000.0,34000,34000,0,688
17-0029123,2017/09/18 04:00:00+00,904 PLACE ROUGE Louisville KY 40203,131 - Passenger vehicle fire,,1500.0,1500,2000,500,689
17-0031241,2017/10/05 04:00:00+00,DIXIE Louisville KY 40210,131 - Passenger vehicle fire,0.0,2000.0,2000,2000,0,690
17-0029169,2017/09/18 04:00:00+00,1416 EARL Louisville KY 40215,161 - Outside storage fire,5000.0,30000.0,35000,30000,-5000,691
17-0031512,2017/10/08 04:00:00+00,4248 LOUISVILLE Louisville KY 40209,131 - Passenger vehicle fire,0.0,3000.0,3000,5000,2000,692
17-0029284,2017/09/19 04:00:00+00,1450 ARLING Louisville KY 40215,111 - Building fire,2500.0,15000.0,17500,65000,47500,693
17-0032137,2017/10/13 04:00:00+00,1212 S 4TH 100 Louisville KY 40203,111 - Building fire,1000.0,5000.0,6000,225000,219000,694
17-0029394,2017/09/20 04:00:00+00,1635 THORNBERRY Louisville KY 40215,111 - Building fire,10000.0,30000.0,40000,115000,75000,695
17-0032194,2017/10/13 04:00:00+00,3908 GREENWOOD Louisville KY 40211,111 - Building fire,0.0,500.0,500,32100,31600,696
17-0029506,2017/09/21 04:00:00+00,DIXIE Louisville KY 40210,131 - Passenger vehicle fire,0.0,4500.0,4500,4500,0,697
17-0032273,2017/10/14 04:00:00+00,626 W MAIN Louisville KY 40202,"113 - Cooking fire, confined to container",1.0,1.0,2,1000000,999998,698
17-0029570,2017/09/22 04:00:00+00,2616 CONESTOGA Louisville KY 40210,111 - Building fire,0.0,500.0,500,25000,24500,699
17-0032345,2017/10/15 04:00:00+00,1336 BLUEGRASS Louisville KY 40215,111 - Building fire,,5000.0,5000,50000,45000,700
17-0029682,2017/09/22 04:00:00+00,131 BRECKENRIDGE Louisville KY 40207,154 - Dumpster or other outside trash receptacle fire,,200.0,200,1000,800,701
17-0032550,2017/10/16 04:00:00+00,951 W FLORENCE Louisville KY 40215,111 - Building fire,800.0,,800,80000,79200,702
17-0029685,2017/09/22 04:00:00+00,1146 S PRESTON Louisville KY 40203,111 - Building fire,10000.0,100000.0,110000,124950,14950,703
17-0032830,2017/10/19 04:00:00+00,666 CURRY Louisville KY 40211,111 - Building fire,2000.0,25000.0,27000,25000,-2000,704
17-0029889,2017/09/24 04:00:00+00,738 M Louisville KY 40208,111 - Building fire,10000.0,20000.0,30000,34280,4280,705
17-0033044,2017/10/20 04:00:00+00,W TENNY Louisville KY 40214,131 - Passenger vehicle fire,0.0,5000.0,5000,15000,10000,706
17-0033201,2017/10/21 04:00:00+00,3727 BANK Louisville KY 40212,111 - Building fire,5000.0,10000.0,15000,32250,17250,707
17-0033223,2017/10/22 04:00:00+00,LOCUST Louisville KY 40217,"160 - Special outside fire, other",0.0,10.0,10,10,0,708
17-0033300,2017/10/23 04:00:00+00,LOUIS COLEMAN JR Louisville KY 40211,131 - Passenger vehicle fire,100.0,35000.0,35100,35000,-100,709
17-0033322,2017/10/23 04:00:00+00,114 S 45TH Louisville KY 40212,111 - Building fire,0.0,8000.0,8000,33200,25200,710
17-0033339,2017/10/23 04:00:00+00,118 S LONGWORTH Louisville KY 40212,111 - Building fire,400.0,800.0,1200,40000,38800,711
17-0033523,2017/10/25 04:00:00+00,2622 ELLIOTT Louisville KY 40211,111 - Building fire,0.0,5000.0,5000,23740,18740,712
17-0033604,2017/10/25 04:00:00+00,1815 GARDINER Louisville KY 40205,"151 - Outside rubbish, trash or waste fire",,200.0,200,200,0,713
17-0033668,2017/10/26 04:00:00+00,920 S 4TH Louisville KY 40203,111 - Building fire,2000.0,0.0,2000,300000,298000,714
17-0033816,2017/10/27 04:00:00+00,MANSLICK Louisville KY 40215,131 - Passenger vehicle fire,,1000.0,1000,1000,0,715
17-0033849,2017/10/28 04:00:00+00,1461 Shelby City of Louisville KY 40207,111 - Building fire,,3000.0,3000,70000,67000,716
17-0033849,2017/10/28 04:00:00+00,1457 S SHELBY 2 City of Louisville KY 40217,111 - Building fire,150000.0,200000.0,350000,200000,-150000,717
17-0033940,2017/10/28 04:00:00+00,635 MARRET Louisville KY 40208,131 - Passenger vehicle fire,0.0,500.0,500,500,0,718
17-0033999,2017/10/29 04:00:00+00,5425 BRUCE Louisville KY 40214,111 - Building fire,2000.0,29855.0,31855,119420,87565,719
17-0034019,2017/10/29 04:00:00+00,2224 MAGAZINE Louisville KY 40211,111 - Building fire,0.0,10000.0,10000,32000,22000,720
17-0034060,2017/10/30 04:00:00+00,669 LOUIS COLEMAN JR Louisville KY 40211,111 - Building fire,4000.0,21495.0,25495,42990,17495,721
17-0034199,2017/10/31 04:00:00+00,400B CAMP Louisville KY 40203,111 - Building fire,,25000.0,25000,50000,25000,722
17-0034198,2017/10/31 04:00:00+00,410 CAMP Louisville KY 40203,111 - Building fire,,30000.0,30000,30000,0,723
17-0034209,2017/10/31 04:00:00+00,522 GHEENS Louisville KY 40214,111 - Building fire,100.0,,100,50000,49900,724
17-0034270,2017/10/31 04:00:00+00,3701 TAYLOR Louisville KY 40215,"130 - Mobile property (vehicle) fire, other",100.0,1600.0,1700,1600,-100,725
17-0034307,2017/10/31 04:00:00+00,3719 BRIARBRIDGE 6 Louisville KY 40218,111 - Building fire,200.0,,200,310000,309800,726
17-0034387,2017/11/01 04:00:00+00,535 N 42ND Louisville KY 40212,111 - Building fire,2000.0,10000.0,12000,23540,11540,727
17-0034499,2017/11/02 04:00:00+00,1821 SILS Louisville KY 40205,111 - Building fire,1000.0,5000.0,6000,273000,267000,728
17-0034640,2017/11/04 04:00:00+00,280 W JEFFERSON Louisville KY 40202,111 - Building fire,200.0,200.0,400,200,-200,729
17-0034739,2017/11/04 04:00:00+00,1100 E MARKET Louisville KY 40206,111 - Building fire,100.0,5000.0,5100,13335090,13329990,730
17-0034869,2017/11/05 04:00:00+00,818 S 40TH Louisville KY 40211,111 - Building fire,0.0,5000.0,5000,5000,0,731
17-0034928,2017/11/06 05:00:00+00,2831 TYSON Louisville KY 40218,111 - Building fire,30000.0,100000.0,130000,200000,70000,732
17-0035042,2017/11/07 05:00:00+00,2704 CRITTENDEN Louisville KY 40209,"113 - Cooking fire, confined to container",10000.0,0.0,10000,500000,490000,733
17-0035110,2017/11/07 05:00:00+00,I-65 South Louisville KY 40202,132 - Road freight or transport vehicle fire,80000.0,80000.0,160000,80000,-80000,734
17-0035117,2017/11/07 05:00:00+00,1420 SALE Louisville KY 40215,131 - Passenger vehicle fire,0.0,3000.0,3000,3000,0,735
17-0035339,2017/11/10 05:00:00+00,1708 VALLEY FORGE Louisville KY 40215,131 - Passenger vehicle fire,,1000.0,1000,5000,4000,736
17-0035406,2017/11/10 05:00:00+00,117 W BRECKINRIDGE 2 Louisville KY 40203,"118 - Trash or rubbish fire, contained",,100.0,100,70000,69900,737
17-0035494,2017/11/11 05:00:00+00,I264 East Louisville KY 40211,131 - Passenger vehicle fire,,4500.0,4500,4500,0,738
17-0035520,2017/11/11 05:00:00+00,1206 POTOMAC Louisville KY 40214,161 - Outside storage fire,3500.0,3500.0,7000,3500,-3500,739
17-0035519,2017/11/11 05:00:00+00,1132 PAYNE Louisville KY 40204,"151 - Outside rubbish, trash or waste fire",0.0,1500.0,1500,6700,5200,740
17-0035535,2017/11/11 05:00:00+00,2201 GRAND Louisville KY 40210,111 - Building fire,2000.0,5000.0,7000,35000,28000,741
17-0035622,2017/11/12 05:00:00+00,4400 LONSDALE Louisville KY 40215,131 - Passenger vehicle fire,0.0,5000.0,5000,5000,0,742
17-0029888,2017/09/24 04:00:00+00,738 M Louisville KY 40208,111 - Building fire,10000.0,20000.0,30000,34280,4280,743
17-0029923,2017/09/24 04:00:00+00,525 CALDWELL Louisville KY 40203,"160 - Special outside fire, other",,75.0,75,500,425,744
17-0029950,2017/09/25 04:00:00+00,112 E Oak City of Louisville KY 40215,"118 - Trash or rubbish fire, contained",,5000.0,5000,300000,295000,745
17-0029950,2017/09/25 04:00:00+00,112 E OAK Louisville KY 40203,"118 - Trash or rubbish fire, contained",,500.0,500,300000,299500,746
17-0029949,2017/09/25 04:00:00+00,BROOKLINE Louisville KY 40215,131 - Passenger vehicle fire,0.0,8600.0,8600,8600,0,747
17-0030083,2017/09/26 04:00:00+00,300 N Shawnee City of Louisville KY 40211,112 - Fires in structure other than in a building,300.0,10000.0,10300,93160,82860,748
17-0030083,2017/09/26 04:00:00+00,300 N SHAWNEE Louisville KY 40212,131 - Passenger vehicle fire,500.0,2700.0,3200,2700,-500,749
