County,District,School_Name,Program,Application_Number,Applicant,Preliminary_Grant_Application,Full_Grant_Application,Site_and_Design_Application,Site_Only_Application,Design_Only_Application,Environmental_Hardship_Application,Reduced_to_Costs_Incurred,Number_of_Elementary_School_Pupil_Grants_Requested,Number_of_Middle_School_Pupil_Grants_Requested,Number_of_High_School_Pupil_Grants_Requested,Number_of_Non_Severe_School_Pupil_Grants_Requested,Number_of_Severe_School_Pupil_Grants_Requested,Grade_Level_of_Project,State_Share_of_Funding,Site_Acquisition,Financial_Hardship,CSFA_Lease_Amount,CTEFP_Loan_Amount,Type_of_Joint_Use_Facility,Type_of_Joint_Use_Partner,Industry_Sector,Portables_Replaced,Last_SAB_Date,Status
Los Angeles,Los Angeles Unified,Liberty Boulevard Elementary,Modernization,57/64733-00-203,,,1137981.0,,,,,,226.0,,,18.0,5.0,EL,1137981.0,,,,,,,,,8/24/2005,Closed
Los Angeles,Los Angeles Unified,Delevan Drive Elementary,Modernization,57/64733-00-204,,,1071301.0,,,,,,247.0,,,,10.0,EL,1071301.0,,,,,,,,,8/24/2005,Closed
Los Angeles,Los Angeles Unified,Trinity Street Elementary,Modernization,57/64733-00-205,,,1566077.0,,,,,,361.0,,,10.0,5.0,EL,1566077.0,,,,,,,,,8/24/2005,Closed
Los Angeles,Los Angeles Unified,Twentieth Street Elementary,Modernization,57/64733-00-206,,,914702.0,,,,,,208.0,,,9.0,3.0,EL,914702.0,,,,,,,,,8/24/2005,99% Completed
Los Angeles,Los Angeles Unified,Canoga Park Elementary,Modernization,57/64733-00-207,,,1553843.0,,,,,,313.0,,,23.0,,EL,1553843.0,,,,,,,,,8/24/2005,Closed
Los Angeles,Los Angeles Unified,Drew (charles) Junior High,Modernization,57/64733-00-208,,,3026843.0,,,,,,,617.0,,118.0,7.0,MI,6053686.0,,,,,,,,,2/22/2006,Closed
Los Angeles,Los Angeles Unified,Sixth Avenue Elementary,Modernization,57/64733-00-209,,,1512979.0,,,,,,287.0,,,26.0,9.0,EL,1512979.0,,,,,,,,,8/24/2005,Closed
Los Angeles,Los Angeles Unified,Rosemont Avenue Elementary,Modernization,57/64733-00-210,,,1542443.0,,,,,,347.0,,,16.0,,EL,1542443.0,,,,,,,,,8/24/2005,Closed
Los Angeles,Los Angeles Unified,Woodlake Avenue Elementary,Modernization,57/64733-00-211,,,1210899.0,,,,,,264.0,,,9.0,,EL,1210899.0,,,,,,,,,8/24/2005,Closed
Los Angeles,Los Angeles Unified,Liggett Street Elementary,Modernization,57/64733-00-213,,,1428628.0,,,,,,337.0,,,25.0,,EL,1428628.0,,,,,,,,,8/24/2005,Closed
Los Angeles,Los Angeles Unified,Nimitz (chester W.) Junior High,Modernization,57/64733-00-214,,,2602834.0,,,,,,,264.0,,137.0,23.0,MI,2602834.0,,,,,,,,,8/24/2005,Closed
Los Angeles,Los Angeles Unified,Kester Avenue Elementary,Modernization,57/64733-00-215,,,1103035.0,,,,,,225.0,,,,2.0,EL,1103035.0,,,,,,,,,9/28/2005,Closed
Los Angeles,Los Angeles Unified,Euclid Avenue Elementary,Modernization,57/64733-00-216,,,1945122.0,,,,,,504.0,,,,,EL,1945122.0,,,,,,,,,8/24/2005,Closed
Los Angeles,Los Angeles Unified,Garfield (james A.) Senior High,Modernization,57/64733-00-217,,,6127130.0,,,,,,,,711.0,246.0,,HI,12254260.0,,,,,,,,,10/26/2005,Closed
Los Angeles,Los Angeles Unified,Vanalden Avenue Elementary,Modernization,57/64733-00-218,,,791946.0,,,,,,186.0,,,,,EL,791946.0,,,,,,,,,12/15/2005,Closed
Los Angeles,Los Angeles Unified,Cohasset Street Elementary,Modernization,57/64733-00-219,,,1228289.0,,,,,,268.0,,,16.0,,EL,1228289.0,,,,,,,,,12/15/2005,Closed
Los Angeles,Los Angeles Unified,Sutter (john A.) Junior High,Modernization,57/64733-00-220,,,2489634.0,,,,,,,559.0,,,,MI,2489634.0,,,,,,,,,12/15/2005,Closed
Los Angeles,Los Angeles Unified,Perez (alphonso B.) Special Ed,Modernization,57/64733-00-221,,,1443368.0,,,,,,18.0,,,,120.0,EL,1443368.0,,,,,,,,,8/24/2005,Closed
Los Angeles,Los Angeles Unified,Wadsworth Avenue Elementary,Modernization,57/64733-00-222,,,1746803.0,,,,,,288.0,,,23.0,6.0,EL,1746803.0,,,,,,,,,8/24/2005,Closed
Los Angeles,Los Angeles Unified,Birmingham Senior High,Modernization,57/64733-00-223,,,5566818.0,,,,,,,,945.0,139.0,46.0,HI,5566818.0,,,,,,,,,12/15/2005,Closed
Los Angeles,Los Angeles Unified,Banneker (benjamin) Spec. Ed.,Modernization,57/64733-00-224,,,1533895.0,,,,,,,,,,148.0,EL,1533895.0,,,,,,,,,8/24/2005,Closed
Los Angeles,Los Angeles Unified,Harte (bret) Junior High,Modernization,57/64733-00-225,,,2652490.0,,,,,,,398.0,,100.0,10.0,MI,2652490.0,,,,,,,,,9/28/2005,Closed
Los Angeles,Los Angeles Unified,Welby Way Elementary,Modernization,57/64733-00-226,,,1533961.0,,,,,,407.0,,,9.0,,EL,1533961.0,,,,,,,,,8/24/2005,Closed
Los Angeles,Los Angeles Unified,Main Street Elementary,Modernization,57/64733-00-227,,,1605372.0,,,,,,371.0,,,21.0,,EL,1605372.0,,,,,,,,,8/24/2005,Closed
Los Angeles,Los Angeles Unified,La Salle Avenue Elementary,Modernization,57/64733-00-228,,,2056352.0,,,,,,443.0,,,33.0,6.0,EL,2056352.0,,,,,,,,,8/24/2005,Closed
Los Angeles,Los Angeles Unified,Madison (james) Junior High,Modernization,57/64733-00-229,,,3091572.0,,,,,,,590.0,,,,MI,3091572.0,,,,,,,,,8/24/2005,Closed
Los Angeles,Los Angeles Unified,Millikan (robert A.) Junior Hi,Modernization,57/64733-00-230,,,2969251.0,,,,,,,776.0,,,,MI,2969251.0,,,,,,,,,8/24/2005,Closed
Los Angeles,Los Angeles Unified,Coldwater Canyon Avenue Elemen,Modernization,57/64733-00-231,,,1528476.0,,,,,,286.0,,,26.0,,EL,1528476.0,,,,,,,,,8/24/2005,Closed
Los Angeles,Los Angeles Unified,Foshay Learning Center (formerly Jr. High),Modernization,57/64733-00-232,,,3779591.0,,,,,,102.0,108.0,140.0,151.0,16.0,HI,3779591.0,,,,,,,,,1/25/2006,100% Completed
Los Angeles,Los Angeles Unified,Griffith (david Wark) Junior H,Modernization,57/64733-00-234,,,3650739.0,,,,,,,783.0,,,,MI,3650739.0,,,,,,,,,1/25/2006,Closed
Los Angeles,Los Angeles Unified,Park Avenue Elementary,Modernization,57/64733-00-235,,,1323978.0,,,,,,201.0,,,23.0,34.0,EL,1323978.0,,,,,,,,,9/28/2005,Closed
Los Angeles,Los Angeles Unified,Hamlin Street Elementary,Modernization,57/64733-00-236,,,889466.0,,,,,,213.0,,,16.0,11.0,EL,889466.0,,,,,,,,,9/28/2005,Closed
Los Angeles,Los Angeles Unified,Graham Elementary,Modernization,57/64733-00-237,,,1528372.0,,,,,,317.0,,,7.0,6.0,EL,1528372.0,,,,,,,,,9/28/2005,Closed
Los Angeles,Los Angeles Unified,Florence Avenue Elementary,Modernization,57/64733-00-238,,,1528020.0,,,,,,251.0,,,26.0,31.0,EL,1528020.0,,,,,,,,,9/28/2005,Closed
Los Angeles,Los Angeles Unified,Magnolia Avenue Elementary,Modernization,57/64733-00-239,,,2112047.0,,,,,,489.0,,,31.0,,EL,2112047.0,,,,,,,,,9/28/2005,Closed
Los Angeles,Los Angeles Unified,Lull Special Ed Center-CLOSED,Modernization,57/64733-00-240,,,1020993.0,,,,,,,,,,101.0,EL,1020993.0,,,,,,,,,9/28/2005,Closed
Los Angeles,Los Angeles Unified,Blythe Street Elementary,Modernization,57/64733-00-241,,,1046120.0,,,,,,271.0,,,7.0,,EL,1046120.0,,,,,,,,,9/28/2005,Closed
Los Angeles,Los Angeles Unified,Lemay Street Elementary,Modernization,57/64733-00-242,,,862670.0,,,,,,203.0,,,5.0,,EL,862670.0,,,,,,,,,9/28/2005,Closed
Los Angeles,Los Angeles Unified,Chandler Elementary,Modernization,57/64733-00-243,,,1192258.0,,,,,,259.0,,,34.0,,EL,1192258.0,,,,,,,,,9/28/2005,Closed
Los Angeles,Los Angeles Unified,Dena Elementary,Modernization,57/64733-00-244,,,1740762.0,,,,,,409.0,,,17.0,,EL,1740762.0,,,,,,,,,12/15/2005,Closed
Los Angeles,Los Angeles Unified,Weemes (lenicia B.) Elementary,Modernization,57/64733-00-245,,,1881604.0,,,,,,412.0,,,33.0,3.0,EL,1881604.0,,,,,,,,,9/28/2005,Closed
Los Angeles,Los Angeles Unified,Henry (patrick) Junior High,Modernization,57/64733-00-246,,,2145025.0,,,,,,,619.0,,,,MI,2145025.0,,,,,,,,,2/22/2006,Closed
Los Angeles,Los Angeles Unified,Brooklyn Avenue Elementary,Modernization,57/64733-00-247,,,1228186.0,,,,,,257.0,,,24.0,9.0,EL,1228186.0,,,,,,,,,9/28/2005,Closed
Los Angeles,Los Angeles Unified,Chatsworth Park Elementary,Modernization,57/64733-00-248,,,1230024.0,,,,,,256.0,,,9.0,,EL,1230024.0,,,,,,,,,1/25/2006,Closed
Los Angeles,Los Angeles Unified,Carson Street Elementary,Modernization,57/64733-00-249,,,1125391.0,,,,,,134.0,,,37.0,14.0,EL,1125391.0,,,,,,,,,10/26/2005,Closed
Los Angeles,Los Angeles Unified,Woodland Hills Academy,Modernization,57/64733-00-250,,,2841767.0,,,,,,,775.0,,42.0,,MI,2841767.0,,,,,,,,,9/28/2005,Closed
Los Angeles,Los Angeles Unified,Forty-ninth Street Elementary,Modernization,57/64733-00-251,,,1962750.0,,,,,,373.0,,,24.0,7.0,EL,1962750.0,,,,,,,,,10/26/2005,Closed
Los Angeles,Los Angeles Unified,Darby Avenue Elementary,Modernization,57/64733-00-252,,,172830.0,,,,,,50.0,,,,,EL,172830.0,,,,,,,,,10/26/2005,Closed
Los Angeles,Los Angeles Unified,Logan Street Elementary,Modernization,57/64733-00-253,,,1813948.0,,,,,,428.0,,,14.0,7.0,EL,1813948.0,,,,,,,,,10/26/2005,Closed
Los Angeles,Los Angeles Unified,Fairfax Senior High,Modernization,57/64733-00-254,,,3752741.0,,,,,,,,713.0,,,HI,3752741.0,,,,,,,,,12/15/2005,Closed
Los Angeles,Los Angeles Unified,Murchison Street Elementary,Modernization,57/64733-00-255,,,1451887.0,,,,,,240.0,,,54.0,,EL,1451887.0,,,,,,,,,12/15/2005,Closed
Los Angeles,Los Angeles Unified,Granada Elementary,Modernization,57/64733-00-256,,,1201046.0,,,,,,204.0,,,7.0,7.0,EL,1201046.0,,,,,,,,,12/15/2005,Closed
Los Angeles,Los Angeles Unified,Canoga Park Senior High,Modernization,57/64733-00-257,,,3528472.0,,,,,,,,425.0,93.0,,HI,3528472.0,,,,,,,,,3/22/2006,Closed
Los Angeles,Los Angeles Unified,Granada Hills Senior High,Modernization,57/64733-00-258,,,4958466.0,,,,,,,,970.0,,,HI,4958466.0,,,,,,,,,12/15/2005,Closed
Los Angeles,Los Angeles Unified,Crenshaw Senior High,Modernization,57/64733-00-259,,,4385299.0,,,,,,,,842.0,,,HI,4385299.0,,,,,,,,,12/15/2005,Closed
Los Angeles,Los Angeles Unified,Huntington Drive Elementary,Modernization,57/64733-00-260,,,1639779.0,,,,,,375.0,,,28.0,,EL,1639779.0,,,,,,,,,12/15/2005,Closed
Los Angeles,Los Angeles Unified,Westminster Avenue Elementary,Modernization,57/64733-00-261,,,650732.0,,,,,,186.0,,,6.0,,EL,650732.0,,,,,,,,,12/15/2005,Closed
Los Angeles,Los Angeles Unified,Sierra Park Elementary,Modernization,57/64733-00-262,,,1532470.0,,,,,,349.0,,,22.0,,EL,1532470.0,,,,,,,,,12/15/2005,Closed
Los Angeles,Los Angeles Unified,Taft (william Howard) Senior High,Modernization,57/64733-00-263,,,5753419.0,,,,,,,,1136.0,,,HI,5753419.0,,,,,,,,,12/15/2005,Closed
Los Angeles,Los Angeles Unified,Vermont Avenue Elementary,Modernization,57/64733-00-264,,,1665055.0,,,,,,395.0,,,14.0,4.0,EL,1665055.0,,,,,,,,,12/15/2005,Closed
Los Angeles,Los Angeles Unified,Toland Way Elementary,Modernization,57/64733-00-265,,,1254119.0,,,,,,288.0,,,,11.0,EL,1254119.0,,,,,,,,,12/15/2005,Closed
Los Angeles,Los Angeles Unified,Wilson (woodrow) Senior High,Modernization,57/64733-00-266,,,5718771.0,,,,,,,,1087.0,,,HI,5718771.0,,,,,,,,,1/25/2006,Closed
Los Angeles,Los Angeles Unified,Twenty-eighth Street Elementary,Modernization,57/64733-00-267,,,2907829.0,,,,,,544.0,,,24.0,,EL,2907829.0,,,,,,,,,1/25/2006,Closed
Los Angeles,Los Angeles Unified,Stanford Avenue Elementary,Modernization,57/64733-00-268,,,1693394.0,,,,,,334.0,,,27.0,9.0,EL,1693394.0,,,,,,,,,1/25/2006,Closed
Los Angeles,Los Angeles Unified,Flournoy (lovelia P.) Elementa,Modernization,57/64733-00-269,,,2454011.0,,,,,,551.0,,,27.0,11.0,EL,2454011.0,,,,,,,,,1/25/2006,Closed
Los Angeles,Los Angeles Unified,Beckford Avenue Elementary,Modernization,57/64733-00-270,,,1381357.0,,,,,,394.0,,,,16.0,EL,1381357.0,,,,,,,,,12/15/2005,Closed
Los Angeles,Los Angeles Unified,Apperson Street Elementary,Modernization,57/64733-00-271,,,1203946.0,,,,,,210.0,,,,17.0,EL,1203946.0,,,,,,,,,1/25/2006,Closed
Los Angeles,Los Angeles Unified,George Ellery Hale Charter Academy,Modernization,57/64733-00-272,,,3359167.0,,,,,,,811.0,,80.0,,MI,3359167.0,,,,,,,,,1/25/2006,Closed
Los Angeles,Los Angeles Unified,Lawrence (ernest) Junior High,Modernization,57/64733-00-273,,,558806.0,,,,,,,137.0,,,,MI,558806.0,,,,,,,,,2/22/2006,Closed
Los Angeles,Los Angeles Unified,Locke (alain Leroy) Senior Hig,Modernization,57/64733-00-274,,,5090161.0,,,,,,,,571.0,232.0,,HI,5090161.0,,,,,,,,,1/25/2006,Closed
Los Angeles,Los Angeles Unified,Miramonte Elementary,Modernization,57/64733-00-275,,,2686239.0,,,,,,610.0,,,17.0,7.0,EL,2686239.0,,,,,,,,,2/22/2006,Closed
Los Angeles,Los Angeles Unified,Sunland Elementary,Modernization,57/64733-00-276,,,1479176.0,,,,,,354.0,,,7.0,,EL,1479176.0,,,,,,,,,2/22/2006,Closed
Los Angeles,Los Angeles Unified,White (stephen M.) Junior High,Modernization,57/64733-00-277,,,1583323.0,,,,,,,469.0,,,,MI,1583323.0,,,,,,,,,1/25/2006,Closed
Los Angeles,Los Angeles Unified,Monroe (james) High,Modernization,57/64733-00-278,,,832692.0,,,,,,,,153.0,,,HI,832692.0,,,,,,,,,2/22/2006,Closed
Los Angeles,Los Angeles Unified,Miller (loren) Elementary,Modernization,57/64733-00-279,,,1738348.0,,,,,,373.0,,,36.0,,EL,1738348.0,,,,,,,,,2/22/2006,Closed
Los Angeles,Los Angeles Unified,Mar Vista Elementary,Modernization,57/64733-00-280,,,1022365.0,,,,,,214.0,,,3.0,2.0,EL,1022365.0,,,,,,,,,2/22/2006,Closed
Los Angeles,Los Angeles Unified,Limerick Avenue Elementary,Modernization,57/64733-00-281,,,814234.0,,,,,,217.0,,,,,EL,814234.0,,,,,,,,,2/22/2006,Closed
Los Angeles,Los Angeles Unified,Venice Senior High,Modernization,57/64733-00-282,,,5356681.0,,,,,,,,634.0,116.0,9.0,HI,5356681.0,,,,,,,,,2/22/2006,Closed
Los Angeles,Los Angeles Unified,Catskill Avenue Elementary,Modernization,57/64733-00-283,,,2193542.0,,,,,,415.0,,,,,EL,2193542.0,,,,,,,,,2/22/2006,Closed
Los Angeles,Los Angeles Unified,Parthenia St. Elementary,Modernization,57/64733-00-284,,,1318764.0,,,,,,343.0,,,,,EL,1318764.0,,,,,,,,,2/22/2006,Closed
Los Angeles,Los Angeles Unified,Toluca Lake Elementary,Modernization,57/64733-00-285,,,1015097.0,,,,,,85.0,,,36.0,11.0,EL,1015097.0,,,,,,,,,2/22/2006,Closed
Los Angeles,Los Angeles Unified,Lomita Fundamental Magnet,Modernization,57/64733-00-286,,,508354.0,,,,,,103.0,,,,,EL,508354.0,,,,,,,,,2/22/2006,Closed
Los Angeles,Los Angeles Unified,Flournoy (lovelia P.) Elementa,Modernization,57/64733-00-287,,,585471.0,,,,,,153.0,,,,,EL,585471.0,,,,,,,,,2/22/2006,Closed
Los Angeles,Los Angeles Unified,Parmelee Avenue Elementary,Modernization,57/64733-00-288,,,2485721.0,,,,,,544.0,,,23.0,11.0,EL,2485721.0,,,,,,,,,2/22/2006,Closed
Los Angeles,Los Angeles Unified,Kennedy (john F.) High,Modernization,57/64733-00-289,,,6225184.0,,,,,,,,1012.0,94.0,8.0,HI,6225184.0,,,,,,,,,2/22/2006,Closed
Los Angeles,Los Angeles Unified,Kentwood Elementary,Modernization,57/64733-00-290,,,1248836.0,,,,,,242.0,,,29.0,,EL,1248836.0,,,,,,,,,2/22/2006,Closed
Los Angeles,Los Angeles Unified,Atwater Avenue Elementary,Modernization,57/64733-00-291,,,1624082.0,,,,,,315.0,,,25.0,13.0,EL,1624082.0,,,,,,,,,2/22/2006,Closed
Los Angeles,Los Angeles Unified,Northridge Junior High,Modernization,57/64733-00-292,,,434579.0,,,,,,,101.0,,,,MI,434579.0,,,,,,,,,1/24/2007,Closed
Los Angeles,Los Angeles Unified,Loyola Village Elementary,Modernization,57/64733-00-293,,,1715669.0,,,,,,310.0,,,14.0,,EL,1715669.0,,,,,,,,,2/22/2006,Closed
Los Angeles,Los Angeles Unified,Pinewood Avenue Elementary,Modernization,57/64733-00-294,,,1403383.0,,,,,,306.0,,,11.0,,EL,1403383.0,,,,,,,,,2/22/2006,Closed
Los Angeles,Los Angeles Unified,Adams (john) Middle,Modernization,57/64733-00-295,,,1019857.0,,,,,,,181.0,,,,MI,1019857.0,,,,,,,,,3/22/2006,Closed
Los Angeles,Los Angeles Unified,Sepulveda (francisco) Junior H,Modernization,57/64733-00-296,,,1349897.0,,,,,,,405.0,,,,MI,1349897.0,,,,,,,,,3/22/2006,Closed
Los Angeles,Los Angeles Unified,Parthenia St. Elementary,Modernization,57/64733-00-297,,,605777.0,,,,,,158.0,,,,,EL,605777.0,,,,,,,,,3/22/2006,Closed
Los Angeles,Los Angeles Unified,George Ellery Hale Charter Academy,Modernization,57/64733-00-298,,,543616.0,,,,,,,157.0,,,,MI,543616.0,,,,,,,,,3/22/2006,Closed
Los Angeles,Los Angeles Unified,Third Street Elementary,Modernization,57/64733-00-299,,,581577.0,,,,,,146.0,,,,,EL,581577.0,,,,,,,,,3/22/2006,Closed
Los Angeles,Los Angeles Unified,Le Conte (joseph) Junior High,Modernization,57/64733-00-300,,,2706900.0,,,,,,,492.0,,44.0,3.0,MI,2706900.0,,,,,,,,,3/22/2006,Closed
Los Angeles,Los Angeles Unified,Burbank (luther) Junior High,Modernization,57/64733-00-301,,,673602.0,,,,,,,156.0,,,,MI,673602.0,,,,,,,,,3/22/2006,Closed
Los Angeles,Los Angeles Unified,South Park Elementary,Modernization,57/64733-00-303,,,2206014.0,,,,,,504.0,,,19.0,,EL,2206014.0,,,,,,,,,3/22/2006,Closed
Los Angeles,Los Angeles Unified,Garfield (james A.) Senior High,Modernization,57/64733-00-304,,,867181.0,,,,,,,,145.0,,,HI,867181.0,,,,,,,,,3/22/2006,Closed
Los Angeles,Los Angeles Unified,Verdugo Hills Senior High,Modernization,57/64733-00-305,,,1378272.0,,,,,,,,120.0,37.0,5.0,HI,1378272.0,,,,,,,,,3/22/2006,Closed
Los Angeles,Los Angeles Unified,Encino Elementary,Modernization,57/64733-00-306,,,584666.0,,,,,,98.0,,,8.0,,EL,584666.0,,,,,,,,,3/22/2006,Closed
Los Angeles,Los Angeles Unified,Toluca Lake Elementary,Modernization,57/64733-00-307,,,736303.0,,,,,,148.0,,,,,EL,736303.0,,,,,,,,,3/22/2006,Closed
Los Angeles,Los Angeles Unified,Crenshaw Senior High,Modernization,57/64733-00-308,,,729091.0,,,,,,,,132.0,,,HI,729091.0,,,,,,,,,3/22/2006,Closed
Los Angeles,Los Angeles Unified,Maclay (charles) Junior High,Modernization,57/64733-00-310,,,1196576.0,,,,,,,359.0,,,,MI,1196576.0,,,,,,,,,3/22/2006,Closed
Los Angeles,Los Angeles Unified,Hollenbeck Junior High,Modernization,57/64733-00-311,,,719162.0,,,,,,,148.0,,,,MI,719162.0,,,,,,,,,3/22/2006,Closed
Los Angeles,Los Angeles Unified,Graham Elementary,Modernization,57/64733-00-312,,,610901.0,,,,,,133.0,,,,,EL,610901.0,,,,,,,,,3/22/2006,Closed
Los Angeles,Los Angeles Unified,Olive Vista Junior High,Modernization,57/64733-00-313,,,1721629.0,,,,,,,278.0,,89.0,5.0,MI,1721629.0,,,,,,,,,3/22/2006,Closed
Los Angeles,Los Angeles Unified,Manhattan Place Elementary,Modernization,57/64733-00-315,,,465797.0,,,,,,105.0,,,,,EL,465797.0,,,,,,,,,3/22/2006,Closed
Los Angeles,Los Angeles Unified,Birmingham Senior High,Modernization,57/64733-00-316,,,2003043.0,,,,,,,,443.0,,,HI,2003043.0,,,,,,,,,3/22/2006,Closed
Los Angeles,Los Angeles Unified,Parmelee Avenue Elementary,Modernization,57/64733-00-317,,,550334.0,,,,,,136.0,,,,,EL,550334.0,,,,,,,,,3/22/2006,Closed
Los Angeles,Los Angeles Unified,Sherman Oaks Center For Enriched Studies,Modernization,57/64733-00-318,,,2612590.0,,,,,,119.0,103.0,196.0,,,HI,2612590.0,,,,,,,,,4/26/2006,Closed
Los Angeles,Los Angeles Unified,Sylmar Senior High,Modernization,57/64733-00-319,,,2080818.0,,,,,,,,393.0,,,HI,2080818.0,,,,,,,,,4/26/2006,Closed
Los Angeles,Los Angeles Unified,Byrd (richard E.) Junior High,Modernization,57/64733-00-320,,,1509885.0,,,,,,,453.0,,,,MI,1509885.0,,,,,,,,,3/22/2006,Closed
Los Angeles,Los Angeles Unified,Sixty-sixth Street Elementary,Modernization,57/64733-00-321,,,199010.0,,,,,,49.0,,,,,EL,199010.0,,,,,,,,,3/22/2006,Closed
Los Angeles,Los Angeles Unified,Fulton (robert) Junior High,Modernization,57/64733-00-322,,,3699951.0,,,,,,,856.0,,,,MI,3699951.0,,,,,,,,,3/22/2006,Closed
Los Angeles,Los Angeles Unified,Harrison Street Elementary,Modernization,57/64733-00-323,,,1870138.0,,,,,,201.0,202.0,,34.0,,EL,1870138.0,,,,,,,,,3/22/2006,Closed
Los Angeles,Los Angeles Unified,Mt. Gleason Junior High,Modernization,57/64733-00-324,,,1519884.0,,,,,,,456.0,,,,MI,1519884.0,,,,,,,,,4/26/2006,Closed
Los Angeles,Los Angeles Unified,Burroughs (john) Junior High,Modernization,57/64733-00-325,,,1173965.0,,,,,,,234.0,,2.0,,MI,1173965.0,,,,,,,,,4/26/2006,Closed
Los Angeles,Los Angeles Unified,Woodland Hills Academy,Modernization,57/64733-00-326,,,425103.0,,,,,,,120.0,,,,MI,425103.0,,,,,,,,,3/22/2006,Closed
Los Angeles,Los Angeles Unified,Huntington Drive Elementary,Modernization,57/64733-00-327,,,551635.0,,,,,,131.0,,,,,EL,551635.0,,,,,,,,,1/24/2007,Closed
Los Angeles,Los Angeles Unified,Pinewood Avenue Elementary,Modernization,57/64733-00-328,,,388916.0,,,,,,101.0,,,,,EL,388916.0,,,,,,,,,1/24/2007,Closed
Los Angeles,Los Angeles Unified,Owensmouth Continuation,Modernization,57/64733-00-329,,,69541.0,,,,,,,,11.0,,,HI,69541.0,,,,,,,,,3/22/2006,Closed
Los Angeles,Los Angeles Unified,Apperson Street Elementary,Modernization,57/64733-00-330,,,600802.0,,,,,,123.0,,,,,EL,600802.0,,,,,,,,,1/24/2007,Closed
Los Angeles,Los Angeles Unified,Twenty-fourth Street Elementary,Modernization,57/64733-00-331,,,999099.0,,,,,,108.0,,,39.0,15.0,EL,999099.0,,,,,,,,,1/24/2007,Closed
Los Angeles,Los Angeles Unified,Murchison Street Elementary,Modernization,57/64733-00-332,,,718602.0,,,,,,124.0,,,,,EL,718602.0,,,,,,,,,1/24/2007,Closed
Los Angeles,Los Angeles Unified,Frost (robert) Junior High,Modernization,57/64733-00-333,,,2744736.0,,,,,,,676.0,,22.0,10.0,MI,2744736.0,,,,,,,,,1/24/2007,Closed
Los Angeles,Los Angeles Unified,Harrison Street Elementary,Modernization,57/64733-00-334,,,1081591.0,,,,,,274.0,,,,,EL,1081591.0,,,,,,,,,1/24/2007,Closed
Los Angeles,Los Angeles Unified,Sellery (c. Morley) Special Education Center,Modernization,57/64733-00-335,,,1241130.0,,,,,,25.0,,,,107.0,EL,1241130.0,,,,,,,,,1/24/2007,Closed
Los Angeles,Los Angeles Unified,Mark Twain Middle,Modernization,57/64733-00-337,,,1159145.0,,,,,,,230.0,,,,MI,1159145.0,,,,,,,,,1/24/2007,Closed
Los Angeles,Los Angeles Unified,Gulf Avenue Elementary,Modernization,57/64733-00-338,,,1610179.0,,,,,,325.0,,,25.0,,EL,1610179.0,,,,,,,,,1/24/2007,Closed
Los Angeles,Los Angeles Unified,Harbor City Elementary,Modernization,57/64733-00-339,,,513595.0,,,,,,116.0,,,,,EL,513595.0,,,,,,,,,1/24/2007,Closed
Los Angeles,Los Angeles Unified,One Hundred Fifty-third Street,Modernization,57/64733-00-340,,,547438.0,,,,,,133.0,,,,,EL,547438.0,,,,,,,,,1/24/2007,Closed
Los Angeles,Los Angeles Unified,Rowan Avenue Elementary,Modernization,57/64733-00-341,,,540719.0,,,,,,124.0,,,,,EL,540719.0,,,,,,,,,1/24/2007,Closed
Los Angeles,Los Angeles Unified,Ninety-second Street Elementary,Modernization,57/64733-00-342,,,453172.0,,,,,,101.0,,,,,EL,453172.0,,,,,,,,,1/24/2007,Closed
Los Angeles,Los Angeles Unified,Bertrand Avenue Elementary,Modernization,57/64733-00-343,,,1105426.0,,,,,,209.0,,,9.0,6.0,EL,1105426.0,,,,,,,,,2/28/2007,Closed
Los Angeles,Los Angeles Unified,Le Conte (joseph) Junior High,Modernization,57/64733-00-344,,,348450.0,,,,,,,101.0,,,,MI,348450.0,,,,,,,,,2/28/2007,Closed
Los Angeles,Los Angeles Unified,Kittridge Street Elementary,Modernization,57/64733-00-345,,,1389046.0,,,,,,284.0,,,30.0,,EL,1389046.0,,,,,,,,,2/28/2007,100% Completed
Los Angeles,Los Angeles Unified,Beethoven Street Elementary,Modernization,57/64733-00-346,,,665449.0,,,,,,105.0,,,8.0,5.0,EL,665449.0,,,,,,,,,2/28/2007,Closed
Los Angeles,Los Angeles Unified,Stanford Avenue Elementary,Modernization,57/64733-00-347,,,424957.0,,,,,,101.0,,,,,EL,424957.0,,,,,,,,,2/28/2007,Closed
Los Angeles,Los Angeles Unified,Anatola Avenue Elementary,Modernization,57/64733-00-348,,,1078170.0,,,,,,150.0,,,32.0,,EL,1078170.0,,,,,,,,,2/28/2007,Closed
Los Angeles,Los Angeles Unified,Sherman Oaks Elementary,Modernization,57/64733-00-349,,,1414347.0,,,,,,232.0,,,7.0,3.0,EL,1414347.0,,,,,,,,,2/28/2007,97% Completed
Los Angeles,Los Angeles Unified,Calvert Street Elementary,Modernization,57/64733-00-350,,,1246764.0,,,,,,148.0,,,29.0,20.0,EL,1246764.0,,,,,,,,,2/28/2007,Closed
Los Angeles,Los Angeles Unified,Huntington Drive Elementary,Modernization,57/64733-00-351,,,472917.0,,,,,,108.0,,,,,EL,472917.0,,,,,,,,,4/25/2007,Closed
