CHAMBER OF COMMERCE,ADDRESS,CITY,STATE,ZIP,PHONE,LONGITUDE,LATITUDE,Location
OKLAHOMA BLACK CHAMBER OF COMMERCE,4815 S HARVARD AVE STE 322,TULSA,OK,74135,(918) 712-4181,-95.939994,36.093445,"(36.093445, -95.939994)"
CHAMBER OF COMMERCE,302 W MAIN ST STE 106,PURCELL,OK,73080,(405) 527-3093,-97.362897,35.012156,"(35.012156, -97.362897)"
BLANCHARD CHAMBER OF COMMERCE,1822 N COUNCIL HWY 76,BLANCHARD,OK,73010,(405) 485-8787,-97.653004,35.155482,"(35.155482, -97.653004)"
ARDMORE CHAMBER OF COMMERCE,410 W MAIN ST,ARDMORE,OK,73401,(580) 221-5113,-97.133273,34.173603,"(34.173603, -97.133273)"
ARDMORE CHAMBER OF COMMERCE,410 W MAIN ST,ARDMORE,OK,73401,(580) 223-7765,-97.133273,34.173603,"(34.173603, -97.133273)"
ARDMORE DEVELOPMENT AUTHORITY,410 W MAIN ST,ARDMORE,OK,73401,(580) 223-7765,-97.133273,34.173603,"(34.173603, -97.133273)"
ALTUS CHAMBER OF COMMERCE,301 W COMMERCE ST,ALTUS,OK,73521,(580) 482-0210,-99.336732,34.639034,"(34.639034, -99.336732)"
BARTLESVILLE REGIONAL CHAMBER OF COMMERCE,201 S KEELER AVE,BARTLESVILLE,OK,74003,(918) 336-8708,-95.978629,36.752198,"(36.752198, -95.978629)"
BIXBY CHAMBER OF COMMERCE,113 W DAWES AVE,BIXBY,OK,74008,(918) 366-9445,-95.884888,35.9425,"(35.9425, -95.884888)"
INOLA CHAMBER OF COMMERCE,310 N BROADWAY,INOLA,OK,74036,(918) 543-2900,-95.512321,36.156819,"(36.156819, -95.512321)"
COAL COUNTY CHAMBER OF COMMERCE,6 W OHIO AVE,COALGATE,OK,74538,(580) 927-2119,-96.218227,34.539536,"(34.539536, -96.218227)"
PONCA CITY AREA CHAMBER OF COMMERCE,420 E GRAND AVE,PONCA CITY,OK,74601,(580) 765-4400,-97.079531,36.703475,"(36.703475, -97.079531)"
MUSKOGEE CHAMBER OF COMMERCE,310 W BROADWAY ST,MUSKOGEE,OK,74401,(918) 682-2401,-95.371175,35.749648,"(35.749648, -95.371175)"
CHAMBER OF COMMERCE,102 E GRAND AVE,TONKAWA,OK,74653,(580) 628-2220,-97.309669,36.67855,"(36.67855, -97.309669)"
CHAMBER OF COMMERCE SULPHUR,717 W BROADWAY AVE,SULPHUR,OK,73086,(580) 622-2824,-96.975824,34.506217,"(34.506217, -96.975824)"
CHAMBER OF COMMERCE,15327 US HIGHWAY 70,ARDMORE,OK,73401,(580) 657-2422,-96.934148,34.189283,"(34.189283, -96.934148)"
VINITA AREA CHAMBER OF COMMERCE,125 S SCRAPER ST,VINITA,OK,74301,(918) 256-7133,-95.156155,36.638769,"(36.638769, -95.156155)"
