OBJECTID,TMDL_ID,Source_Originator,Source_DataDesc,FeatureDetailURL,WaterbodyID,Name,Pollutant,UseImpairment,Problem
68,3729.0,"VT DEPT OF ENVIRONMENTAL CONSERVATION, WATERSHED MANAGEMENT DIVISION",2018 303(d) LIST OF WATERS,http://dec.vermont.gov/sites/dec/files/documents/mp_PriorityWatersList_PartA_303d_2018.pdf,VT08-07,"WINOOSKI RIVER, MARSHFIELD, RM 72.8 UP TO CONFLU WITH MOLLYS BROOK",E. COLI,CR,"CONSISTENTLY ELEVATED E COLI, IMPAIRMENT CONTINUES UPSTREAM INTO VT08-09"
70,880.0,"VT DEPT OF ENVIRONMENTAL CONSERVATION, WATERSHED MANAGEMENT DIVISION",2018 303(d) LIST OF WATERS,http://dec.vermont.gov/sites/dec/files/documents/mp_PriorityWatersList_PartA_303d_2018.pdf,VT08-07,"WINOOSKI RIVER, PLAINFIELD RM 70.7 TO RM 71.4",E. COLI,CR,CONSISTENTLY ELEVATED E. COLI
71,3528.0,"VT DEPT OF ENVIRONMENTAL CONSERVATION, WATERSHED MANAGEMENT DIVISION",2018 303(d) LIST OF WATERS,http://dec.vermont.gov/sites/dec/files/documents/mp_PriorityWatersList_PartA_303d_2018.pdf,VT01-03,"BARNEY BROOK, MOUTH TO RM 1.5","SEDIMENT, IRON","ALS, AES","DOWNSTREAM OF LANDFILL, HAZ SITE, AND CONSTRUCTED WETLANDS; SILT AND IRON PRECIPITATE CAUSING FISH/INVERT IMPACTS"
72,514.0,"VT DEPT OF ENVIRONMENTAL CONSERVATION, WATERSHED MANAGEMENT DIVISION",2018 303(d) LIST OF WATERS,http://dec.vermont.gov/sites/dec/files/documents/mp_PriorityWatersList_PartA_303d_2018.pdf,VT01-06,BRANCH POND BROOK (POND TO ROARING BRANCH),ACID,ALS,ATMOSPHERIC DEPOSITION: CRITICALLY ACIDIFIED; CHRONIC ACIDIFICATION
73,3608.0,"VT DEPT OF ENVIRONMENTAL CONSERVATION, WATERSHED MANAGEMENT DIVISION",2018 303(d) LIST OF WATERS,http://dec.vermont.gov/sites/dec/files/documents/mp_PriorityWatersList_PartA_303d_2018.pdf,VT01-06,"FAYVILLE BRANCH, RM 3.7 TO HEADWATERS",ACID,ALS,"ACIDIFICATION, ACID DEPOSITION"
74,493.0,"VT DEPT OF ENVIRONMENTAL CONSERVATION, WATERSHED MANAGEMENT DIVISION",2018 303(d) LIST OF WATERS,http://dec.vermont.gov/sites/dec/files/documents/mp_PriorityWatersList_PartA_303d_2018.pdf,VT01-02,"HOOSIC RIVER, ENTIRE 7 MILE LENGTH IN VERMONT",PCBs,FC,ELEVATED LEVELS OF TOXIC CONTAMINANT IN BROWN TROUT
75,676.0,"VT DEPT OF ENVIRONMENTAL CONSERVATION, WATERSHED MANAGEMENT DIVISION",2018 303(d) LIST OF WATERS,http://dec.vermont.gov/sites/dec/files/documents/mp_PriorityWatersList_PartA_303d_2018.pdf,VT05-07,JEWETT BROOK (3.5 MILES),"NUTRIENTS, SEDIMENT",ALS,AGRICULTURAL RUNOFF
76,3607.0,"VT DEPT OF ENVIRONMENTAL CONSERVATION, WATERSHED MANAGEMENT DIVISION",2018 303(d) LIST OF WATERS,http://dec.vermont.gov/sites/dec/files/documents/mp_PriorityWatersList_PartA_303d_2018.pdf,VT01-02,"LADD BROOK, MOUTH TO RM 0.4",SEDIMENT,ALS,INDICATION OF SEDIMENT STRESS;  POTENTIAL IMPACTS FROM ERODING GRAVEL ROADS
77,510.0,"VT DEPT OF ENVIRONMENTAL CONSERVATION, WATERSHED MANAGEMENT DIVISION",2018 303(d) LIST OF WATERS,http://dec.vermont.gov/sites/dec/files/documents/mp_PriorityWatersList_PartA_303d_2018.pdf,VT01-05,"LYE BROOK, RM 2.5 TO HEADWATERS (4.5 MILES)",ACID,ALS,ATMOSPHERIC DEPOSITION: CRITICALLY ACIDIFIED; CHRONIC ACIDIFICATION
78,714.0,"VT DEPT OF ENVIRONMENTAL CONSERVATION, WATERSHED MANAGEMENT DIVISION",2018 303(d) LIST OF WATERS,http://dec.vermont.gov/sites/dec/files/documents/mp_PriorityWatersList_PartA_303d_2018.pdf,VT05-11,"MCCABES BROOK, MOUTH TO RM 1.4",NUTRIENTS,ALS,INCLUDES ABOVE AND BELOW WWTF; POSSIBLE TOXIC IMPACT BELOW WWTF; UNSTABLE CHANNEL ABOVE
79,3728.0,"VT DEPT OF ENVIRONMENTAL CONSERVATION, WATERSHED MANAGEMENT DIVISION",2018 303(d) LIST OF WATERS,http://dec.vermont.gov/sites/dec/files/documents/mp_PriorityWatersList_PartA_303d_2018.pdf,VT17-08,"ROARING BROOK, MOUTH TO RM 2.4",NUTRIENTS,ALS,MACROINVERT. IMPACTS FROM POSSIBLE AG RUNOFF
80,681.0,"VT DEPT OF ENVIRONMENTAL CONSERVATION, WATERSHED MANAGEMENT DIVISION",2018 303(d) LIST OF WATERS,http://dec.vermont.gov/sites/dec/files/documents/mp_PriorityWatersList_PartA_303d_2018.pdf,VT05-07,"RUGG BROOK, FROM MOUTH TO APPROX 3.1 MILES UPSTREAM","NUTRIENTS, SEDIMENT, E. COLI","ALS, CR, AES",AGRICULTURAL RUNOFF
81,3716.0,"VT DEPT OF ENVIRONMENTAL CONSERVATION, WATERSHED MANAGEMENT DIVISION",2018 303(d) LIST OF WATERS,http://dec.vermont.gov/sites/dec/files/documents/mp_PriorityWatersList_PartA_303d_2018.pdf,VT05-07,"STEVENS BROOK, LASALLE ST DOWNSTREAM 0.5 MI","METALS (Cd, Ba, CN, Zn)","ALS, CR",SED CONTAMINATION FROM ST ALBANS GAS AND LIGHT HAZ WASTE SITE
82,853.0,"VT DEPT OF ENVIRONMENTAL CONSERVATION, WATERSHED MANAGEMENT DIVISION",2018 303(d) LIST OF WATERS,http://dec.vermont.gov/sites/dec/files/documents/mp_PriorityWatersList_PartA_303d_2018.pdf,VT08-02,SUNNYSIDE BROOK (TRIB #8 TO SUNDERLAND BROOK) (1.2 MI.),CHLORIDE,ALS,CHLORIDE CRITERIA EXCEEDED; IMPACTS TO MACROINVERTS.
83,3606.0,"VT DEPT OF ENVIRONMENTAL CONSERVATION, WATERSHED MANAGEMENT DIVISION",2018 303(d) LIST OF WATERS,http://dec.vermont.gov/sites/dec/files/documents/mp_PriorityWatersList_PartA_303d_2018.pdf,VT11-10,"WEST RIVER, BELOW BALL MOUNTAIN DAM TO TOWNSHEND DAM (9 MILES)",TEMPERATURE,2CR,ELEVATED TEMPERATURES AFFECT FISHERY
84,3750.0,"VT DEPT OF ENVIRONMENTAL CONSERVATION, WATERSHED MANAGEMENT DIVISION",2018 303(d) LIST OF WATERS,https://dec.vermont.gov/sites/dec/files/documents/mp_PriorityWatersList_PartA_303d_2018.pdf,VT08-17L01,**BEAVER POND (ROXBURY),ACID,ALS,ATMOSHHERIC DEPOSITION; EXTREMELY SENSITIVE TO ACIDIFICATION; EPISODIC ACIDIFICATION
85,3724.0,"VT DEPT OF ENVIRONMENTAL CONSERVATION, WATERSHED MANAGEMENT DIVISION",2018 303(d) LIST OF WATERS,https://dec.vermont.gov/sites/dec/files/documents/mp_PriorityWatersList_PartA_303d_2018.pdf,VT01-06L04,LOST POND (Sunderland),ACID,ALS,ATMOSPHERIC DEPOSITION: CRITICALLY ACIDIFIED; CHRONIC ACIDIFICATION
86,3727.0,"VT DEPT OF ENVIRONMENTAL CONSERVATION, WATERSHED MANAGEMENT DIVISION",2018 303(d) LIST OF WATERS,https://dec.vermont.gov/sites/dec/files/documents/mp_PriorityWatersList_PartA_303d_2018.pdf,VT16-13L04,UNKNOWN POND (Ferdinand),ACID,ALS,ATMOSPHERIC DEPOSITION: EXTREMELY SENSITIVE TO ACIDIFICATION; EPISODIC ACIDIFICATION
87,163.0,"VT DEPT OF ENVIRONMENTAL CONSERVATION, WATERSHED MANAGEMENT DIVISION",2018 303(d) LIST OF WATERS,https://dec.vermont.gov/sites/dec/files/documents/mp_PriorityWatersList_PartA_303d_2018.pdf,VT08-02L01,SHELBURNE POND (Shelburne),PHOSPHORUS,"ALS, CR, 2CR",EXCESSIVE ALGAE AND NATIVE PLANT GROWTH CAUSES PERIODIC LOW D.O./FISH KILLS
88,466.0,"VT DEPT OF ENVIRONMENTAL CONSERVATION, WATERSHED MANAGEMENT DIVISION",2018 303(d) LIST OF WATERS,https://dec.vermont.gov/sites/dec/files/documents/mp_PriorityWatersList_PartA_303d_2018.pdf,VT17-09L01,**WALKER POND (Coventry),PHOSPHORUS,AES,EXTREMELY ELEVATED TP; AGRICULTURAL INFLUENCES
89,3749.0,"VT DEPT OF ENVIRONMENTAL CONSERVATION, WATERSHED MANAGEMENT DIVISION",2018 303(d) LIST OF WATERS,https://dec.vermont.gov/sites/dec/files/documents/mp_PriorityWatersList_PartA_303d_2018.pdf,VT17-10L02,**MUD POND (Craftsbury),PHOSPHORUS,AES,EXTREMELY ELEVATED TP; AGRICULTURAL INFLUENCES
90,132.0,"VT DEPT OF ENVIRONMENTAL CONSERVATION, WATERSHED MANAGEMENT DIVISION",2018 303(d) LIST OF WATERS,https://dec.vermont.gov/sites/dec/files/documents/mp_PriorityWatersList_PartA_303d_2018.pdf,VT07-03L01,**HALFMOON POND (Fletcher),PHOSPHORUS,AES,EXTREMELY ELEVATED TP; AGRICULTURAL INFLUENCES
91,182.0,"VT DEPT OF ENVIRONMENTAL CONSERVATION, WATERSHED MANAGEMENT DIVISION",2018 303(d) LIST OF WATERS,https://dec.vermont.gov/sites/dec/files/documents/mp_PriorityWatersList_PartA_303d_2018.pdf,VT08-11L02,WATERBURY RESERVOIR (Waterbury),SEDIMENT,"ALS, AES","SEDIMENTATION, TURBIDITY"
92,,"VT DEPT OF ENVIRONMENTAL CONSERVATION, WATERSHED MANAGEMENT DIVISION",2018 303(d) LIST OF WATERS,https://dec.vermont.gov/sites/dec/files/documents/mp_PriorityWatersList_PartA_303d_2018.pdf,Multiple,Lake Champlain PCBs,PCBs,FC,ELEVATED LEVELS OF PCBs IN LAKE TROUT
494,843.0,"VT DEPT OF ENVIRONMENTAL CONSERVATION, WATERSHED MANAGEMENT DIVISION",2018 303(d) LIST OF WATERS,http://dec.vermont.gov/sites/dec/files/documents/mp_PriorityWatersList_PartA_303d_2018.pdf,VT08-01,"WINOOSKI RIVER, MOUTH TO WINOOSKI DAM (~10.5 MILES)",E. COLI,CR,BURLINGTON CSOs
496,568.0,"VT DEPT OF ENVIRONMENTAL CONSERVATION, WATERSHED MANAGEMENT DIVISION",2018 303(d) LIST OF WATERS,http://dec.vermont.gov/sites/dec/files/documents/mp_PriorityWatersList_PartA_303d_2018.pdf,VT03-01,"LOWER OTTER CREEK, BELOW VERGENNES WWTF (APPROX 7 MILES)",E. COLI,CR,PERIODIC & RECURRING OVERFLOWS AT PUMP STATIONS WITHIN THE COLLECTION SYSTEM
